"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.493833356E-3,9.493258667E-1,4.764741669E0,8.281079407E0
1.353883336E-2,9.602531433E-1,4.744683380E0,8.139473877E0
2.358483334E-2,9.398954773E-1,4.643194427E0,8.192164307E0
3.362983334E-2,8.719367981E-1,4.528682556E0,8.321345673E0
4.367516667E-2,8.193960571E-1,4.433480530E0,8.377329254E0
5.372016667E-2,8.114625549E-1,4.420457611E0,8.495733032E0
6.376616668E-2,8.686436462E-1,4.413422241E0,8.571176147E0
7.381116669E-2,8.891510010E-1,4.398303680E0,8.533304901E0
8.448516668E-2,8.894503784E-1,4.431833954E0,8.426576843E0
9.453016668E-2,9.111552429E-1,4.467609558E0,8.475375366E0
1.045761667E-1,8.580157471E-1,4.453538818E0,8.606203308E0
1.146211667E-1,7.129673767E-1,4.389921112E0,8.879684601E0
1.246671667E-1,5.007087708E-1,4.289629669E0,9.044940948E0
1.347121667E-1,2.525248718E-1,4.174968109E0,8.991801453E0
1.447581667E-1,-6.346801758E-2,4.022285614E0,8.935219116E0
1.548031667E-1,-3.972738647E-1,3.844605103E0,9.058113556E0
1.648491667E-1,-6.671626282E-1,3.539240112E0,9.342971191E0
1.748941667E-1,-7.881111145E-1,3.448977814E0,9.350305939E0
1.849401667E-1,-7.646099854E-1,3.542233887E0,9.301208038E0
1.949851667E-1,-7.198530579E-1,3.606600037E0,9.317524109E0
2.050311667E-1,-6.542893982E-1,3.687731323E0,9.360933838E0
2.150771667E-1,-5.038522339E-1,3.727997589E0,9.409732361E0
2.251221667E-1,-2.924917603E-1,3.806883545E0,9.433532867E0
2.351681667E-1,1.475930786E-1,3.928131409E0,9.082812195E0
2.452131667E-1,2.374063110E-1,4.211043091E0,9.098230133E0
2.552591667E-1,4.052073669E-1,4.106410675E0,9.108858032E0
2.653041667E-1,4.462220764E-1,4.217779083E0,9.163494415E0
2.753501667E-1,4.444258118E-1,4.268972626E0,9.241332550E0
2.853951667E-1,4.875361633E-1,4.309837646E0,9.214987335E0
2.954411667E-1,4.626878357E-1,4.334087219E0,9.203910370E0
3.054861667E-1,3.393443298E-1,4.286186829E0,9.172775116E0
3.155321667E-1,2.204914856E-1,4.202810211E0,9.193581848E0
3.255771667E-1,1.293310547E-1,4.159699860E0,9.268575897E0
3.356231667E-1,1.477427673E-1,4.162993011E0,9.326804810E0
3.456691667E-1,3.472778320E-1,4.364623718E0,9.241631927E0
3.557141667E-1,5.819897461E-1,4.530478821E0,9.100774841E0
3.657601667E-1,6.842271423E-1,4.611161041E0,8.990154877E0
3.758051667E-1,7.132667542E-1,4.609514465E0,8.902586975E0
3.858511667E-1,6.539900208E-1,4.544699249E0,8.813222809E0
3.958961667E-1,5.010081482E-1,4.420457611E0,8.763226776E0
4.059421667E-1,4.228706360E-1,4.328249359E0,8.843160553E0
4.159871667E-1,3.195854187E-1,4.198319550E0,8.885073395E0
4.260331667E-1,2.192939758E-1,4.056115265E0,8.993597717E0
4.360781667E-1,2.691403198E-1,4.023932190E0,8.971892853E0
4.461241667E-1,3.537144470E-1,4.042493591E0,8.840017090E0
4.561701667E-1,3.623963928E-1,4.047882385E0,8.819509735E0
4.662151667E-1,3.682342529E-1,4.020489349E0,8.812624054E0
4.762611667E-1,3.385958862E-1,3.988605652E0,8.841064911E0
4.863061667E-1,3.134481812E-1,3.965553589E0,8.837622070E0
4.963521667E-1,2.730322266E-1,3.942501526E0,8.831335144E0
5.063971667E-1,2.796185303E-1,3.943399658E0,8.835676117E0
5.164431667E-1,2.805166626E-1,3.967050476E0,8.819958801E0
5.264881667E-1,2.233355713E-1,3.969744873E0,8.703800354E0
5.365341667E-1,2.055226135E-1,3.998185730E0,8.613538055E0
5.465791667E-1,2.668949890E-1,4.048331451E0,8.551417236E0
5.566251667E-1,3.245251465E-1,4.104015656E0,8.509504395E0
5.666701667E-1,3.676354980E-1,4.127067719E0,8.490344238E0
5.767161667E-1,4.192781067E-1,4.152664490E0,8.449778595E0
5.867621667E-1,3.905378723E-1,4.169130249E0,8.380023651E0
5.968071667E-1,3.927832031E-1,4.169579315E0,8.431217194E0
6.068531667E-1,4.595443726E-1,4.197720795E0,8.579409027E0
6.168981667E-1,4.442761230E-1,4.208797760E0,8.688232727E0
6.269441667E-1,4.269122314E-1,4.205654297E0,8.727750549E0
6.369891667E-1,3.733236694E-1,4.232149200E0,8.729097748E0
6.470351667E-1,3.299139404E-1,4.263434143E0,8.738677826E0
6.570801667E-1,3.001258850E-1,4.265080719E0,8.773106232E0
6.671261667E-1,3.225791931E-1,4.325554962E0,8.843160553E0
6.771711667E-1,3.543132019E-1,4.377646637E0,8.858129425E0
6.872171667E-1,3.375480652E-1,4.376598816E0,8.888516235E0
6.972631667E-1,3.228785706E-1,4.413721619E0,8.889713745E0
7.073081667E-1,3.658392334E-1,4.425846405E0,8.887618103E0
7.173541667E-1,3.387455750E-1,4.387975159E0,8.880433044E0
7.273991667E-1,3.201841736E-1,4.400399323E0,8.922046509E0
7.374451667E-1,2.674937439E-1,4.392016754E0,8.903335419E0
7.474901667E-1,2.044747925E-1,4.365671539E0,8.815917206E0
7.575361667E-1,2.037263489E-1,4.408781891E0,8.786578217E0
7.675811667E-1,2.127076721E-1,4.433181152E0,8.798104248E0
7.776271667E-1,2.252815247E-1,4.476141815E0,8.806486816E0
7.876721667E-1,1.987866211E-1,4.425846405E0,8.857830048E0
