"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.515833353E-3,1.215211868E1,8.898559570E0,-4.752587891E1
1.856183333E-2,1.234435272E1,8.962615967E0,-4.733190918E1
2.860683334E-2,1.248701477E1,9.106903076E0,-4.718273926E1
3.865216670E-2,1.252742004E1,9.521667480E0,-4.711340332E1
4.869816668E-2,1.266889572E1,9.764648438E0,-4.691912842E1
5.874316668E-2,1.267727661E1,1.002209473E1,-4.684136963E1
6.878916669E-2,1.269230270E1,1.008782959E1,-4.670410156E1
7.820716669E-2,1.270101547E1,1.011795044E1,-4.664770508E1
8.825216669E-2,1.262207794E1,1.035510254E1,-4.660327148E1
9.829816667E-2,1.288515472E1,1.052700806E1,-4.647369385E1
1.083431667E-1,1.297270203E1,1.086825562E1,-4.652722168E1
1.183891667E-1,1.304119492E1,1.129129028E1,-4.649481201E1
1.284341667E-1,1.334425354E1,1.163311768E1,-4.627185059E1
1.384801667E-1,1.378019714E1,1.191479492E1,-4.632843018E1
1.485261667E-1,1.394954681E1,1.233850098E1,-4.616864014E1
1.585711667E-1,1.411925125E1,1.260226440E1,-4.600408936E1
1.686171667E-1,1.435436630E1,1.282202148E1,-4.602124023E1
1.786621667E-1,1.442606354E1,1.319802856E1,-4.557641602E1
1.887081667E-1,1.460646820E1,1.320617676E1,-4.583728027E1
1.987531667E-1,1.447515488E1,1.322390747E1,-4.591833496E1
2.087991667E-1,1.428380966E1,1.330923462E1,-4.579528809E1
2.188441667E-1,1.421357727E1,1.309518433E1,-4.567480469E1
2.288901667E-1,1.408509445E1,1.289907837E1,-4.604821777E1
2.389351667E-1,1.390205765E1,1.284637451E1,-4.601959229E1
2.489811667E-1,1.383409119E1,1.296029663E1,-4.605090332E1
2.590271667E-1,1.395185471E1,1.277420044E1,-4.618585205E1
2.690721667E-1,1.389963531E1,1.265609741E1,-4.608850098E1
2.791181667E-1,1.374976349E1,1.280346680E1,-4.612066650E1
2.891631667E-1,1.398754120E1,1.283438110E1,-4.612500000E1
2.992091667E-1,1.384747314E1,1.279971313E1,-4.619702148E1
3.092541667E-1,1.376699066E1,1.270703125E1,-4.606408691E1
3.193001667E-1,1.392368317E1,1.275381470E1,-4.610668945E1
3.293451667E-1,1.397728729E1,1.256616211E1,-4.638397217E1
3.393911667E-1,1.392656708E1,1.254382324E1,-4.649633789E1
3.494361667E-1,1.379372406E1,1.247665405E1,-4.640026855E1
3.594821667E-1,1.378561783E1,1.235885620E1,-4.643035889E1
3.695271667E-1,1.390629196E1,1.225488281E1,-4.625860596E1
3.795731667E-1,1.385054779E1,1.218841553E1,-4.659204102E1
3.896191667E-1,1.385565186E1,1.219747925E1,-4.649676514E1
3.996641667E-1,1.374079514E1,1.219638062E1,-4.637933350E1
4.097101667E-1,1.382558060E1,1.206634521E1,-4.645819092E1
4.197551667E-1,1.372773743E1,1.204949951E1,-4.634527588E1
4.298011667E-1,1.374721146E1,1.204522705E1,-4.669262695E1
