"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.748291659E-3,-1.459451914E-1,9.950111061E-2,-5.924890563E-2
1.179429167E-2,-1.644224823E-1,1.387409270E-1,-8.118909597E-2
2.184029168E-2,-1.680620015E-1,1.912303120E-1,-1.043800935E-1
3.188629166E-2,-1.738570482E-1,1.954732686E-1,-1.277698427E-1
4.193229167E-2,-1.948657483E-1,1.893952489E-1,-1.441401243E-1
5.197829168E-2,-2.267933190E-1,2.027973384E-1,-1.521200240E-1
6.202429166E-2,-2.646305263E-1,2.100787163E-1,-1.614038646E-1
7.207029167E-2,-3.008452654E-1,2.314324826E-1,-1.718823463E-1
8.211629168E-2,-3.378180563E-1,2.147639394E-1,-1.806351095E-1
9.216129169E-2,-3.363495767E-1,1.882018447E-1,-1.726786494E-1
1.022072917E-1,-2.981694341E-1,1.406926364E-1,-1.461085677E-1
1.122532917E-1,-2.361614853E-1,9.258344769E-2,-1.094235182E-1
1.222992917E-1,-1.765831411E-1,6.407554448E-2,-6.297783554E-2
1.323448750E-1,-1.252171546E-1,4.130152613E-2,-2.089376375E-2
1.423908750E-1,-8.304099739E-2,1.688920520E-2,2.135815658E-2
1.524368750E-1,-4.639083520E-2,-1.891353354E-2,5.311768129E-2
1.624828750E-1,-1.592653245E-2,-6.258837134E-2,8.257541060E-2
1.725288750E-1,1.001079194E-2,-9.822253138E-2,1.001136601E-1
1.825738750E-1,2.179101855E-2,-1.090363041E-1,9.846382588E-2
1.926198750E-1,2.131989785E-2,-8.959828317E-2,7.394443452E-2
2.026658750E-1,2.240140736E-2,-6.787195057E-2,5.686771125E-2
2.127118750E-1,2.958427556E-2,-4.656554759E-2,5.437832326E-2
2.227578750E-1,3.915034980E-2,-4.162724689E-2,6.492337584E-2
2.328038750E-1,5.443571880E-2,-5.676928535E-2,7.886741310E-2
2.428498750E-1,6.418289244E-2,-6.632311642E-2,9.814070910E-2
2.528958750E-1,5.259745196E-2,-6.626947969E-2,1.108599752E-1
2.629418750E-1,2.869557776E-2,-5.606371164E-2,1.224561781E-1
2.729868750E-1,-1.403110800E-4,-2.989339456E-2,1.267976761E-1
2.830328750E-1,-4.640657455E-2,8.844500408E-3,1.141472533E-1
2.930788750E-1,-7.357773930E-2,2.803950012E-2,1.127123386E-1
3.031248750E-1,-1.208706200E-1,8.209972084E-2,6.884083152E-2
3.131708750E-1,-1.408773661E-1,1.221435443E-1,4.056924582E-2
3.232168750E-1,-1.214382574E-1,1.077788845E-1,3.059197217E-2
3.332628750E-1,-7.920158654E-2,1.027188748E-1,1.677522808E-2
3.433088750E-1,-4.366862774E-2,1.038525850E-1,3.047431819E-3
3.533548750E-1,-2.343214490E-2,1.073004305E-1,-1.497720834E-2
3.633998750E-1,-2.220337652E-2,1.061443910E-1,-2.633481473E-2
3.734458750E-1,-2.825221419E-2,9.345496446E-2,-3.971640393E-2
3.834918750E-1,-3.805068880E-2,7.543558627E-2,-4.531504214E-2
3.935378750E-1,-5.281791463E-2,6.127449498E-2,-5.144590512E-2
4.035838750E-1,-6.387245655E-2,5.341222137E-2,-5.471649766E-2
4.136298750E-1,-8.697697520E-2,6.136787683E-2,-5.518095195E-2
4.236758750E-1,-1.129012257E-1,7.076653838E-2,-5.327176675E-2
4.337218750E-1,-1.398007572E-1,7.757623494E-2,-4.905784875E-2
4.437678750E-1,-1.484569907E-1,8.422999084E-2,-5.028064549E-2
4.538128750E-1,-1.381835788E-1,8.224061131E-2,-4.733039439E-2
4.638588750E-1,-1.168241501E-1,7.181660831E-2,-3.437374905E-2
4.739048750E-1,-9.920387715E-2,4.734988138E-2,-2.454668470E-2
4.839508750E-1,-8.499503881E-2,1.950774714E-2,-2.277425118E-2
4.939968750E-1,-8.393563330E-2,-1.984497067E-3,-1.607400365E-2
5.040428750E-1,-9.149929136E-2,-1.149620675E-2,-8.342872374E-3
5.140888750E-1,-1.025239825E-1,-7.403727621E-3,-2.636411227E-4
5.241348750E-1,-1.135942712E-1,8.111933246E-3,1.089093462E-2
5.341808750E-1,-1.207983866E-1,3.264763579E-2,2.851067297E-2
5.442258750E-1,-1.263390929E-1,5.798415095E-2,4.609818757E-2
