"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-5.732916761E-4,-5.024791881E-2,5.287174135E-2,-3.298515081E-2
9.472708334E-3,-6.436327845E-2,6.712817401E-2,-3.527483717E-2
1.951870832E-2,-7.013328373E-2,8.679109067E-2,-3.256906569E-2
2.956470833E-2,-5.714596435E-2,9.389229119E-2,-2.763742581E-2
3.960970833E-2,-3.883326799E-2,9.645931423E-2,-2.877352759E-2
4.965570834E-2,-2.511840686E-2,9.397212416E-2,-3.623867780E-2
5.970170832E-2,-2.033190802E-2,8.597571403E-2,-3.516995162E-2
6.974670832E-2,-1.757831313E-2,7.433506101E-2,-3.496256098E-2
7.979270833E-2,-2.376084216E-2,6.433595717E-2,-3.267570585E-2
8.983870834E-2,-4.314983264E-2,8.357318491E-2,-2.303639427E-2
9.988370832E-2,-4.795630649E-2,1.058111116E-1,-2.382761985E-2
1.099297083E-1,-4.288340360E-2,1.143800318E-1,-2.551477216E-2
1.199757083E-1,-1.389383152E-2,1.031103358E-1,-2.614487708E-2
1.300207083E-1,2.668190002E-2,6.901665032E-2,-2.134374343E-2
1.400667083E-1,7.050182670E-2,2.599594742E-2,-1.449995302E-2
1.501127083E-1,9.891824424E-2,-1.824808121E-2,1.066407189E-3
1.601577083E-1,1.025744975E-1,-4.036243632E-2,1.581552625E-2
1.702037083E-1,6.207036972E-2,-4.942781106E-2,2.876880579E-2
1.802497083E-1,8.156535216E-3,-2.401965484E-2,4.011334106E-2
1.902947083E-1,-3.915375844E-2,1.471756678E-2,4.166556895E-2
2.003407083E-1,-6.363353878E-2,4.908992350E-2,3.767855093E-2
2.103867083E-1,-6.484078616E-2,6.817962974E-2,3.935769945E-2
2.204327083E-1,-5.803587660E-2,6.860253960E-2,3.786712885E-2
2.304777083E-1,-4.570113868E-2,6.258172542E-2,3.122426942E-2
2.405237083E-1,-3.795081005E-2,4.413346946E-2,2.588862553E-2
2.505697083E-1,-2.927522175E-2,2.800483629E-2,2.163678780E-2
2.606147083E-1,-3.064967878E-2,2.206412330E-2,2.095448598E-2
2.706607083E-1,-3.655177355E-2,2.548772283E-2,2.245846018E-2
2.807067083E-1,-4.388771579E-2,3.532437608E-2,2.768278494E-2
2.907517083E-1,-4.633257538E-2,5.059780180E-2,2.064284123E-2
3.007977083E-1,-4.665934667E-2,5.653265864E-2,1.048288122E-2
3.108437083E-1,-4.085456952E-2,6.734192371E-2,-1.142684836E-3
3.208887083E-1,-3.200621530E-2,7.253401726E-2,-9.065588936E-3
3.309347083E-1,-1.554921083E-2,7.239758968E-2,-1.206399687E-2
3.409807083E-1,7.583905244E-4,6.361927837E-2,-1.081630588E-2
3.510257083E-1,1.507226937E-2,5.047916993E-2,-6.964187138E-3
3.610717083E-1,2.262446098E-2,3.203118965E-2,3.973487765E-6
3.711177083E-1,1.544788852E-2,2.459010482E-2,4.991834983E-3
3.811627083E-1,6.638950668E-3,2.489290573E-2,4.370253533E-3
3.912077500E-1,2.094381955E-3,3.139406815E-2,5.963890348E-3
4.012537500E-1,-1.322187483E-3,2.761078253E-2,2.932681236E-3
4.112987500E-1,-4.017916042E-3,2.560291812E-2,-8.383421227E-4
4.213447500E-1,-3.968647681E-3,2.705140971E-2,-7.172138430E-3
4.313907500E-1,-3.574424190E-3,1.912896149E-2,-1.398855541E-2
4.414367500E-1,8.690497838E-3,7.337016053E-3,-3.587654233E-2
4.514817500E-1,2.235068753E-2,1.778292470E-3,-6.089137867E-2
4.615277500E-1,3.694827110E-2,-5.822349340E-5,-8.497088403E-2
4.715737500E-1,4.186656326E-2,-6.175371818E-3,-1.122475937E-1
4.816187500E-1,3.431170806E-2,-4.342317581E-3,-1.242904067E-1
4.916647500E-1,2.497538552E-2,1.215821598E-2,-1.178938597E-1
5.017107500E-1,1.783145592E-2,2.762904949E-2,-1.033684462E-1
5.117557500E-1,8.788882755E-3,3.039729968E-2,-9.111309797E-2
5.218017500E-1,9.812868200E-3,1.964345574E-2,-7.090689987E-2
5.318477500E-1,2.001250908E-2,-4.281051457E-3,-2.924067527E-2
5.418927500E-1,3.064411506E-2,-4.026434943E-2,1.841872185E-2
5.519387500E-1,3.654895350E-2,-7.148972899E-2,5.287570879E-2
5.619847500E-1,3.602457419E-2,-8.248751611E-2,7.027919590E-2
