"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
-1.112124999E-3,9.642004076E-1,2.221618021E-1,5.932326979E-3,1.446600802E-1,3.075465685E1,2.551421350E1,-3.028689177E0,1.637915194E1
8.933874982E-3,9.640179118E-1,2.226571224E-1,5.954506758E-3,1.451131589E-1,3.083342150E1,2.557098084E1,-3.046158586E0,1.642945721E1
1.897887498E-2,9.638357531E-1,2.231574371E-1,5.901707293E-3,1.455561222E-1,3.091184533E1,2.562719456E1,-3.071798024E0,1.647673142E1
2.902487500E-2,9.636738249E-1,2.236077235E-1,5.790471223E-3,1.459410915E-1,3.098139682E1,2.567683047E1,-3.101609296E0,1.651612888E1
3.906987500E-2,9.635413152E-1,2.239850115E-1,5.681827184E-3,1.462411771E-1,3.103819934E1,2.571823772E1,-3.127743473E0,1.654619776E1
4.911587501E-2,9.634416800E-1,2.242613895E-1,5.647013888E-3,1.464759351E-1,3.108084293E1,2.574922249E1,-3.142338115E0,1.657102369E1
5.916087498E-2,9.633695246E-1,2.244284385E-1,5.702921682E-3,1.466924856E-1,3.111168967E1,2.576892771E1,-3.144589371E0,1.659639134E1
6.920687499E-2,9.633130900E-1,2.245086229E-1,5.872035912E-3,1.469329333E-1,3.113579493E1,2.578020529E1,-3.133475298E0,1.662756014E1
7.925187499E-2,9.632604065E-1,2.245434257E-1,6.160520553E-3,1.472135471E-1,3.115828157E1,2.578795956E1,-3.109438108E0,1.666640211E1
8.929787501E-2,9.632034239E-1,2.245673229E-1,6.541401623E-3,1.475322615E-1,3.118258531E1,2.579580234E1,-3.075994661E0,1.671189921E1
9.934287501E-2,9.631381384E-1,2.246164767E-1,6.970572445E-3,1.478642522E-1,3.121040767E1,2.580735180E1,-3.037999169E0,1.676004100E1
1.093878750E-1,9.630696077E-1,2.247019821E-1,7.384528254E-3,1.481602074E-1,3.123958706E1,2.582303354E1,-3.001388396E0,1.680362590E1
1.194338750E-1,9.630057552E-1,2.248147249E-1,7.747475840E-3,1.483857352E-1,3.126675061E1,2.584130803E1,-2.969070615E0,1.683789875E1
1.294788750E-1,9.629486462E-1,2.249314717E-1,8.023116229E-3,1.485641428E-1,3.129102592E1,2.585880695E1,-2.945257484E0,1.686464930E1
1.395248750E-1,9.629046449E-1,2.250225510E-1,8.195749721E-3,1.487023002E-1,3.130971704E1,2.587179647E1,-2.931344173E0,1.688434554E1
1.495698750E-1,9.628847937E-1,2.250436350E-1,8.318512954E-3,1.487922837E-1,3.131814597E1,2.587596979E1,-2.920482926E0,1.689754639E1
1.596158750E-1,9.628849623E-1,2.250117193E-1,8.447872169E-3,1.488319860E-1,3.131807439E1,2.587421216E1,-2.906671140E0,1.690537893E1
1.696608750E-1,9.628921694E-1,2.249614170E-1,8.615953801E-3,1.488515000E-1,3.131501446E1,2.587098946E1,-2.887739098E0,1.691195323E1
1.797068750E-1,9.628946561E-1,2.249144233E-1,8.840933678E-3,1.488936047E-1,3.131395862E1,2.586900964E1,-2.863165111E0,1.692250401E1
1.897518750E-1,9.628866061E-1,2.248834348E-1,9.090474631E-3,1.489776034E-1,3.131737654E1,2.586918314E1,-2.837243081E0,1.693836498E1
1.997978750E-1,9.628742570E-1,2.248290022E-1,9.321186480E-3,1.491244852E-1,3.132261902E1,2.586616261E1,-2.814627267E0,1.696092947E1
2.098428750E-1,9.628661227E-1,2.247370272E-1,9.479922048E-3,1.493060959E-1,3.132607179E1,2.585753260E1,-2.800209662E0,1.698572046E1
2.198888750E-1,9.628729083E-1,2.245910200E-1,9.574973728E-3,1.494759899E-1,3.132319153E1,2.584161680E1,-2.791578650E0,1.700773328E1
2.299338750E-1,9.628975221E-1,2.244012327E-1,9.632525250E-3,1.495981314E-1,3.131274169E1,2.582012196E1,-2.785083725E0,1.702352027E1
2.399798750E-1,9.629437572E-1,2.241666644E-1,9.668033970E-3,1.496500142E-1,3.129310325E1,2.579324351E1,-2.778418232E0,1.703092947E1
2.500248750E-1,9.630071039E-1,2.238963451E-1,9.704101135E-3,1.496451673E-1,3.126617710E1,2.576236175E1,-2.769597654E0,1.703203122E1
2.600708750E-1,9.630806501E-1,2.235940995E-1,9.740062934E-3,1.496216072E-1,3.123488714E1,2.572781058E1,-2.759749044E0,1.703109638E1
2.701158750E-1,9.631602655E-1,2.232468516E-1,9.782315150E-3,1.496245997E-1,3.120098059E1,2.568805431E1,-2.749107368E0,1.703344070E1
2.801618750E-1,9.632403867E-1,2.228658125E-1,9.862236111E-3,1.496710876E-1,3.116682234E1,2.564486681E1,-2.734833646E0,1.704173272E1
2.902066250E-1,9.633169254E-1,2.224798211E-1,9.985863354E-3,1.497449289E-1,3.113415729E1,2.560175302E1,-2.716341643E0,1.705421634E1
3.002526250E-1,9.633876056E-1,2.221062315E-1,1.015154262E-2,1.498339009E-1,3.110396277E1,2.556073719E1,-2.693799159E0,1.706941346E1
3.102976250E-1,9.634587074E-1,2.217371937E-1,1.036777702E-2,1.499080372E-1,3.107355932E1,2.552112084E1,-2.665359634E0,1.708415947E1
3.203426250E-1,9.635338974E-1,2.213695572E-1,1.059512766E-2,1.499527129E-1,3.104137612E1,2.548193841E1,-2.634953312E0,1.709582821E1
3.303886250E-1,9.636154515E-1,2.210146913E-1,1.080199493E-2,1.499374979E-1,3.100643207E1,2.544406418E1,-2.605497646E0,1.710015760E1
3.404336250E-1,9.637005460E-1,2.206972307E-1,1.097468110E-2,1.498447327E-1,3.096993006E1,2.541017402E1,-2.578494109E0,1.709474644E1
3.504796250E-1,9.637842496E-1,2.204342554E-1,1.113317433E-2,1.496816244E-1,3.093398367E1,2.538256340E1,-2.552222644E0,1.708087128E1
3.605246250E-1,9.638709878E-1,2.202025005E-1,1.130145616E-2,1.494516711E-1,3.089669104E1,2.535890127E1,-2.523719442E0,1.705958264E1
3.705706250E-1,9.639569674E-1,2.200083194E-1,1.151384466E-2,1.491668427E-1,3.085968120E1,2.534045154E1,-2.489608375E0,1.703306924E1
3.806156250E-1,9.640415140E-1,2.198163194E-1,1.179783013E-2,1.488807499E-1,3.082324591E1,2.532341348E1,-2.447597348E0,1.700816704E1
3.906616250E-1,9.641322983E-1,2.195634383E-1,1.213818700E-2,1.486382370E-1,3.078407562E1,2.530010320E1,-2.399412476E0,1.698972719E1
4.007066250E-1,9.642369068E-1,2.192271170E-1,1.248928079E-2,1.484276713E-1,3.073888029E1,2.526718866E1,-2.349412295E0,1.697535115E1
4.107526250E-1,9.643574889E-1,2.188176288E-1,1.282564425E-2,1.482194237E-1,3.068670306E1,2.522551222E1,-2.299841793E0,1.696101527E1
4.207976250E-1,9.644953513E-1,2.183518534E-1,1.309577394E-2,1.479856352E-1,3.062694221E1,2.517626232E1,-2.255988228E0,1.694225469E1
4.308436250E-1,9.646449726E-1,2.178647307E-1,1.331147097E-2,1.477085618E-1,3.056195498E1,2.512372670E1,-2.216712750E0,1.691727102E1
4.408886250E-1,9.647924022E-1,2.174127689E-1,1.353558684E-2,1.473909431E-1,3.049778747E1,2.507549392E1,-2.176117426E0,1.688779935E1
4.509346250E-1,9.649300960E-1,2.170282000E-1,1.379350448E-2,1.470318098E-1,3.043773817E1,2.503571826E1,-2.131927164E0,1.685428530E1
4.609796250E-1,9.650591497E-1,2.167022468E-1,1.406978761E-2,1.466386640E-1,3.038135168E1,2.500310585E1,-2.085883944E0,1.681722497E1
4.710256250E-1,9.651832721E-1,2.164020243E-1,1.433717775E-2,1.462390698E-1,3.032702316E1,2.497333417E1,-2.041127071E0,1.677914715E1
4.810706250E-1,9.653065938E-1,2.160852907E-1,1.454987182E-2,1.458714650E-1,3.027295087E1,2.494067172E1,-2.002963123E0,1.674336737E1
4.911156250E-1,9.654405786E-1,2.156978664E-1,1.466829393E-2,1.455466392E-1,3.021409603E1,2.489817425E1,-1.975116943E0,1.671025368E1
5.011616250E-1,9.655859010E-1,2.152361266E-1,1.472120930E-2,1.452607150E-1,3.015013418E1,2.484589836E1,-1.954252238E0,1.668007482E1
5.112066250E-1,9.657384726E-1,2.147242531E-1,1.472681483E-2,1.450032820E-1,3.008283871E1,2.478697733E1,-1.938510683E0,1.665205405E1
5.212526250E-1,9.658901591E-1,2.142005996E-1,1.466726133E-2,1.447729495E-1,3.001578753E1,2.472558657E1,-1.930486928E0,1.662553271E1
5.312976250E-1,9.660279371E-1,2.137100103E-1,1.454743784E-2,1.445907487E-1,2.995475733E1,2.466698510E1,-1.930919162E0,1.660293866E1
5.413436250E-1,9.661195222E-1,2.133568513E-1,1.451394163E-2,1.445036311E-1,2.991412145E1,2.462557417E1,-1.926490940E0,1.659293911E1
5.513886250E-1,9.660861419E-1,2.134727130E-1,1.476922510E-2,1.445298465E-1,2.992893838E1,2.464310322E1,-1.900830735E0,1.660185762E1
5.614346250E-1,9.660086339E-1,2.138239227E-1,1.490812004E-2,1.445148000E-1,2.996331522E1,2.468617506E1,-1.891029398E0,1.660285541E1
5.714796250E-1,9.659100524E-1,2.143173358E-1,1.494042559E-2,1.444386407E-1,3.000698307E1,2.474415832E1,-1.893924257E0,1.659408701E1
5.815256250E-1,9.658223026E-1,2.148247628E-1,1.489014440E-2,1.442771340E-1,3.004580071E1,2.480260329E1,-1.904067759E0,1.657362473E1
5.915706250E-1,9.657634235E-1,2.152281503E-1,1.483659683E-2,1.440755456E-1,3.007181949E1,2.484898561E1,-1.911795869E0,1.654873712E1
6.016166250E-1,9.657396948E-1,2.154574818E-1,1.484779736E-2,1.438903945E-1,3.008229901E1,2.487615331E1,-1.909810514E0,1.652761818E1
6.116616250E-1,9.657444996E-1,2.155029899E-1,1.499399424E-2,1.437749121E-1,3.008017734E1,2.488399675E1,-1.891511771E0,1.651803160E1
6.217076250E-1,9.657748453E-1,2.153783827E-1,1.524946736E-2,1.437310794E-1,3.006677390E1,2.487369362E1,-1.860034877E0,1.651954185E1
6.317526250E-1,9.658207854E-1,2.151324664E-1,1.557365038E-2,1.437562832E-1,3.004647148E1,2.485028208E1,-1.820626346E0,1.653075890E1
6.417986250E-1,9.658686220E-1,2.148483650E-1,1.588921437E-2,1.438246876E-1,3.002531662E1,2.482223104E1,-1.782599459E0,1.654670722E1
6.518436250E-1,9.659115275E-1,2.145772660E-1,1.615725779E-2,1.439116786E-1,3.000633010E1,2.479491110E1,-1.750508609E0,1.656356478E1
6.618896250E-1,9.659545594E-1,2.143313602E-1,1.634116557E-2,1.439678604E-1,2.998727582E1,2.476921725E1,-1.727386099E0,1.657482746E1
6.719346250E-1,9.660099826E-1,2.140905963E-1,1.638358637E-2,1.439493579E-1,2.996271736E1,2.474195956E1,-1.718156383E0,1.657417706E1
6.819796250E-1,9.660803678E-1,2.138374939E-1,1.627359363E-2,1.438659072E-1,2.993150068E1,2.471091030E1,-1.723983682E0,1.656248877E1
6.920256250E-1,9.661681175E-1,2.135389046E-1,1.602872044E-2,1.437479803E-1,2.989253802E1,2.467245881E1,-1.743131742E0,1.654370875E1
7.020706250E-1,9.662694386E-1,2.131951549E-1,1.571171292E-2,1.436119303E-1,2.984748762E1,2.462763722E1,-1.769072799E0,1.652122401E1
7.121166250E-1,9.663744685E-1,2.128325866E-1,1.540026879E-2,1.434763860E-1,2.980071786E1,2.458073345E1,-1.794112169E0,1.649898816E1
7.221616250E-1,9.664701418E-1,2.124804919E-1,1.515027475E-2,1.433803755E-1,2.975805206E1,2.453598095E1,-1.813513049E0,1.648271598E1
7.322076250E-1,9.665473127E-1,2.121342028E-1,1.497887406E-2,1.433911229E-1,2.972359387E1,2.449298965E1,-1.826941541E0,1.648043259E1
7.422526250E-1,9.666143684E-1,2.117494126E-1,1.485634263E-2,1.435208931E-1,2.969362059E1,2.444610912E1,-1.837230187E0,1.649288626E1
7.522986250E-1,9.666803703E-1,2.113291137E-1,1.481827349E-2,1.436990056E-1,2.966408938E1,2.439637658E1,-1.838736562E0,1.651291320E1
7.623436250E-1,9.667502077E-1,2.108973614E-1,1.483047500E-2,1.438624090E-1,2.963281079E1,2.434615625E1,-1.834103340E0,1.653250327E1
7.723896250E-1,9.668172633E-1,2.105080826E-1,1.484350892E-2,1.439811367E-1,2.960274766E1,2.430096563E1,-1.828989332E0,1.654697452E1
7.824346250E-1,9.668727707E-1,2.102008110E-1,1.486612070E-2,1.440543457E-1,2.957783936E1,2.426552936E1,-1.823080357E0,1.655636368E1
7.924806250E-1,9.669091013E-1,2.099931113E-1,1.487766894E-2,1.441125927E-1,2.956152532E1,2.424150565E1,-1.819710261E0,1.656361489E1
8.025256250E-1,9.669239370E-1,2.098573984E-1,1.484869298E-2,1.442139137E-1,2.955486091E1,2.422511116E1,-1.823092635E0,1.657465249E1
8.125716250E-1,9.669338836E-1,2.097085147E-1,1.470800680E-2,1.443773592E-1,2.955039190E1,2.420527342E1,-1.840140117E0,1.659009850E1
8.226166250E-1,9.669491829E-1,2.094758009E-1,1.443030121E-2,1.446406505E-1,2.954351667E1,2.417331615E1,-1.873372701E0,1.661377359E1
8.326626250E-1,9.670000120E-1,2.091086070E-1,1.396861410E-2,1.448771787E-1,2.952066375E1,2.412281643E1,-1.924057662E0,1.663033684E1
8.427076250E-1,9.670880989E-1,2.085984826E-1,1.346373700E-2,1.450722343E-1,2.948101859E1,2.405510428E1,-1.976090950E0,1.664151122E1
