"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.154291676E-3,6.544390869E-1,5.015769653E0,8.600515137E0
1.119929168E-2,7.723937988E-1,5.091212769E0,8.600365448E0
2.124529166E-2,8.472381592E-1,5.147645416E0,8.615034943E0
3.129029166E-2,8.083190918E-1,5.157225494E0,8.624615021E0
4.133629167E-2,7.491920471E-1,5.186265106E0,8.602910156E0
5.138229168E-2,6.855743408E-1,5.210215302E0,8.556955719E0
6.142729166E-2,5.824388123E-1,5.216951294E0,8.468489685E0
7.147329167E-2,4.833448792E-1,5.201383667E0,8.347840576E0
8.151829167E-2,4.101470947E-1,5.242248688E0,8.233927460E0
9.156429168E-2,4.638853455E-1,5.309758301E0,8.120613098E0
1.016092917E-1,5.210664368E-1,5.368585968E0,8.109985199E0
1.116552917E-1,5.608836365E-1,5.356760559E0,8.152945862E0
1.217002917E-1,5.885760498E-1,5.352569275E0,8.238717499E0
1.317462917E-1,6.604266357E-1,5.334157562E0,8.372988281E0
1.417922917E-1,7.876620483E-1,5.368585968E0,8.438252563E0
1.518372917E-1,7.960446167E-1,5.353168030E0,8.393795013E0
1.618832917E-1,7.349716187E-1,5.293142853E0,8.399782562E0
1.719282917E-1,5.893244934E-1,5.246290283E0,8.293054504E0
1.819742917E-1,5.152285767E-1,5.275180206E0,8.044571228E0
1.920192917E-1,4.129911804E-1,5.254373474E0,8.036937103E0
2.020652917E-1,3.721261597E-1,5.239404602E0,8.031548309E0
2.121104167E-1,4.264631653E-1,5.306465149E0,8.126900024E0
2.221554167E-1,4.399351501E-1,5.313949585E0,8.152496796E0
2.322014167E-1,3.317102051E-1,5.229225769E0,8.119116211E0
2.422464167E-1,5.695655823E-1,5.351671143E0,8.409063263E0
2.522924167E-1,5.221142578E-1,5.422623596E0,8.437204742E0
2.623374167E-1,5.483097839E-1,5.405110016E0,8.394842834E0
2.723834167E-1,3.523672485E-1,5.304519196E0,8.322692871E0
2.824284167E-1,1.419049072E-1,5.165308685E0,8.342302094E0
2.924744167E-1,1.706451416E-2,4.996459808E0,8.291407928E0
3.025204167E-1,-6.855743408E-2,4.904101868E0,8.143066406E0
3.125654167E-1,-1.038839722E-1,4.740641785E0,8.048463135E0
3.226114167E-1,3.695814514E-1,5.082530823E0,8.304879913E0
3.326564167E-1,1.486708374E0,5.796995087E0,8.495882721E0
3.427024167E-1,9.201365662E-1,5.373076630E0,8.194259949E0
3.527474167E-1,3.570075989E-1,5.223088531E0,8.132438507E0
3.627934167E-1,1.712438965E-1,5.013524323E0,8.229137421E0
3.728394167E-1,1.466949463E-1,5.062472534E0,8.285719757E0
3.828844167E-1,1.540296936E-1,5.113666077E0,8.306676178E0
3.929304167E-1,1.501377869E-1,5.108576660E0,8.233927460E0
4.029754167E-1,2.161505127E-1,5.183570709E0,8.174501038E0
4.130214167E-1,1.312770081E-1,5.234913940E0,8.117020569E0
4.230664167E-1,9.056167603E-2,5.220693512E0,7.975564728E0
4.331124167E-1,1.344204712E-1,5.271587677E0,7.931556244E0
4.431574167E-1,2.088157654E-1,5.320386200E0,7.941136322E0
4.532034167E-1,3.278182983E-1,5.338498535E0,7.933352509E0
4.632494167E-1,3.071612549E-1,5.334606628E0,7.948620758E0
4.732944167E-1,1.160087585E-1,5.219196625E0,7.917036438E0
4.833404167E-1,-7.005432129E-2,5.117707672E0,7.960895233E0
4.933854167E-1,-1.757345581E-1,5.016218719E0,8.063432007E0
5.034314167E-1,-1.321751404E-1,4.944368134E0,8.126900024E0
5.134764167E-1,-3.906875610E-2,4.949307861E0,8.234675903E0
5.235224167E-1,3.667373657E-2,4.930746460E0,8.342302094E0
5.335674167E-1,9.580078125E-3,4.897964630E0,8.422834625E0
5.436134167E-1,-4.370910645E-2,4.879702606E0,8.605903931E0
5.536594167E-1,-1.460961914E-1,4.844226379E0,8.608748016E0
5.637044167E-1,-1.522334290E-1,4.872367859E0,8.641978912E0
5.737504167E-1,-5.403762817E-2,4.888833618E0,8.689280548E0
5.837954167E-1,1.628613281E-1,4.953349457E0,8.805588684E0
5.938414167E-1,2.112107849E-1,4.976102142E0,8.717721405E0
6.038864167E-1,1.546284485E-1,4.942871246E0,8.620274048E0
6.139324167E-1,1.448986816E-1,4.954696655E0,8.646918640E0
6.239774167E-1,3.376977539E-1,4.963827667E0,8.304580536E0
6.340234167E-1,4.864883423E-2,5.073250122E0,8.459807739E0
6.440694167E-1,1.929487610E-1,4.928501129E0,8.629854126E0
6.541144167E-1,2.975811768E-1,5.063520355E0,8.612340546E0
6.641604167E-1,2.354603577E-1,4.978497162E0,8.493936768E0
6.742054167E-1,3.921844482E-2,4.845872955E0,8.474926300E0
6.842514167E-1,4.011657715E-2,4.889731750E0,8.362510071E0
6.942964167E-1,1.398092651E-1,4.945715332E0,8.388256531E0
7.043424167E-1,2.231858826E-1,4.972958679E0,8.495882721E0
7.143874167E-1,3.370989990E-1,5.047353973E0,8.553662567E0
7.244334167E-1,3.429368591E-1,5.093158722E0,8.546327820E0
7.344794167E-1,2.932402039E-1,5.101690979E0,8.513246613E0
7.445244167E-1,2.486329651E-1,5.100044403E0,8.471483459E0
7.545704167E-1,2.633024597E-1,5.090763702E0,8.459807739E0
7.646154167E-1,1.890568542E-1,5.068759460E0,8.504564667E0
7.746614167E-1,1.353186035E-1,5.017266541E0,8.464448090E0
7.847064167E-1,1.447489929E-1,5.005890198E0,8.385262756E0
7.947524167E-1,1.405577087E-1,4.976401520E0,8.319100342E0
8.047974167E-1,1.372645569E-1,4.950205994E0,8.309220886E0
8.148434167E-1,1.833686829E-1,4.974754944E0,8.308921509E0
8.248894167E-1,2.868035889E-1,5.011728058E0,8.437803497E0
8.349344167E-1,3.682342529E-1,5.068460083E0,8.412206726E0
8.449804167E-1,3.189866638E-1,5.028942261E0,8.424780579E0
8.550254167E-1,2.986289978E-1,4.919669495E0,8.642727356E0
8.650714167E-1,2.180964661E-1,4.839735718E0,8.817414093E0
8.751164167E-1,1.377136230E-2,4.707560577E0,8.632548523E0
8.851624167E-1,2.694396973E-2,4.738246765E0,8.578211517E0
8.952074167E-1,2.766247559E-1,4.865781555E0,8.675359497E0
9.052534167E-1,3.546125793E-1,4.910987549E0,8.497229919E0
9.152994167E-1,3.140469360E-1,4.953798523E0,8.469687195E0
9.253444167E-1,3.326083374E-1,4.977149963E0,8.456065521E0
9.353904167E-1,4.161346436E-1,5.028044128E0,8.406518555E0
9.454354167E-1,4.632865906E-1,5.131029968E0,8.265062714E0
9.554814167E-1,5.179229736E-1,5.173541565E0,8.140970764E0
9.655264167E-1,2.905458069E-1,5.063819733E0,8.096812592E0
9.755724167E-1,2.528242493E-1,5.073998566E0,8.167465668E0
9.856174167E-1,3.454815674E-1,5.098697205E0,8.148754578E0
9.956634167E-1,3.793112183E-1,5.113067322E0,8.183033295E0
1.005709417E0,3.418890381E-1,5.087620239E0,8.234077148E0
1.015754417E0,3.644920349E-1,5.072651367E0,8.244106293E0
1.025800417E0,4.032614136E-1,5.069657593E0,8.277935944E0
1.035845417E0,4.378395081E-1,5.068460083E0,8.390950928E0
1.045891417E0,4.834945679E-1,5.066813507E0,8.509055328E0
1.055936417E0,4.983137512E-1,5.039570160E0,8.614885254E0
1.065982417E0,4.661306763E-1,5.004542999E0,8.663534088E0
1.076027417E0,4.206253052E-1,4.987328796E0,8.618926849E0
1.086073417E0,4.198768616E-1,4.995561676E0,8.496780853E0
1.096119417E0,4.243675232E-1,5.001249847E0,8.409811707E0
1.106164417E0,4.080514526E-1,5.011278992E0,8.397537231E0
1.116210417E0,3.832031250E-1,5.010081482E0,8.316705322E0
1.126255417E0,3.426374817E-1,5.045108643E0,8.195457458E0
1.136301417E0,3.305126953E-1,5.044958954E0,8.115074615E0
1.146346417E0,3.652404785E-1,5.091512146E0,8.055947571E0
1.156392417E0,3.855981445E-1,5.100194092E0,8.086184692E0
1.166437417E0,3.588038635E-1,5.116360474E0,8.101902008E0
1.176483417E0,2.983296204E-1,5.097350006E0,8.093669128E0
1.186529417E0,3.041674805E-1,5.122797089E0,8.096064148E0
1.196574417E0,3.727249146E-1,5.119054871E0,8.109536133E0
1.206620417E0,3.567082214E-1,5.115312653E0,8.172704773E0
1.216666417E0,3.034190369E-1,5.118755493E0,8.163873138E0
1.226712417E0,3.037184143E-1,5.176834717E0,8.109386444E0
1.236757417E0,2.180964661E-1,5.195096741E0,8.124505005E0
1.246803417E0,1.739382935E-1,5.215155029E0,8.046966248E0
1.256848417E0,1.904040527E-1,5.237907715E0,8.024662628E0
1.266894417E0,2.020797729E-1,5.252876587E0,8.052654419E0
1.276939417E0,2.311193848E-1,5.263205109E0,8.128546600E0
1.286985417E0,2.436932373E-1,5.248385925E0,8.210576019E0
1.297031417E0,2.377056885E-1,5.242098999E0,8.286617889E0
1.307076417E0,2.101629639E-1,5.226531372E0,8.356672211E0
1.317122417E0,2.255809021E-1,5.261109467E0,8.396190033E0
1.327167417E0,2.833607483E-1,5.319039001E0,8.337362366E0
1.337213417E0,3.487747192E-1,5.388793945E0,8.247998199E0
1.347258417E0,3.700305176E-1,5.436544647E0,8.183632050E0
1.357304417E0,3.156935120E-1,5.443879395E0,8.198002167E0
1.367349417E0,2.439926147E-1,5.440885620E0,8.202343140E0
1.377395417E0,1.820214844E-1,5.432503052E0,8.196804657E0
1.387440417E0,1.936972046E-1,5.411097565E0,8.217761078E0
1.397486417E0,2.022294617E-1,5.405259705E0,8.233478394E0
1.407532417E0,2.399510193E-1,5.401517487E0,8.264463959E0
1.417577417E0,2.650987244E-1,5.394033051E0,8.265511780E0
1.427623417E0,2.965333557E-1,5.342689819E0,8.312214661E0
1.437668417E0,3.303630066E-1,5.290598145E0,8.357869720E0
1.447714417E0,3.507206726E-1,5.207221527E0,8.389154663E0
1.457759417E0,3.203338623E-1,5.069956970E0,8.445138245E0
1.467805417E0,2.731819153E-1,4.980592804E0,8.471782837E0
1.477850417E0,2.941383362E-1,4.872667236E0,8.371641083E0
1.487896417E0,3.070115662E-1,4.809199219E0,8.242908783E0
1.497942417E0,2.664459229E-1,4.766088867E0,8.092022552E0
1.507987417E0,1.820214844E-1,4.766388245E0,7.971373444E0
1.518033417E0,9.505233765E-2,4.865931244E0,7.751331024E0
1.528078417E0,2.305206299E-2,5.030888214E0,7.501201172E0
1.538124417E0,3.457809448E-2,5.220543823E0,7.235653381E0
1.548169417E0,1.496887207E-3,5.377417603E0,7.090904388E0
1.558215417E0,-1.496887207E-2,5.482798462E0,7.054829407E0
1.568260417E0,3.547622681E-2,5.528303833E0,7.172933807E0
1.578306417E0,1.651066589E-1,5.468877411E0,7.450307007E0
1.588351417E0,2.652484131E-1,5.364843750E0,7.780969391E0
1.598397417E0,2.441423035E-1,5.208269348E0,8.171656952E0
1.608443417E0,1.562750244E-1,5.046904907E0,8.408314819E0
1.618488417E0,-2.589614868E-2,5.031486969E0,8.380622406E0
1.628534417E0,-2.610571289E-1,5.093009033E0,8.190068665E0
1.638579417E0,-4.725672913E-1,5.230273590E0,7.861352234E0
1.648625417E0,-5.989045715E-1,5.422324219E0,7.592361603E0
1.658670417E0,-5.041516113E-1,5.604196014E0,7.523355103E0
1.668716417E0,-4.320016479E-1,5.711223450E0,7.646848297E0
1.678761417E0,-3.767665100E-1,5.699547729E0,7.845485229E0
1.688807417E0,-2.380050659E-1,5.678291931E0,8.148305511E0
1.698852417E0,-1.411564636E-1,5.532644806E0,8.478668518E0
1.708898417E0,-1.167572021E-1,5.465584259E0,8.647068329E0
1.718944417E0,-6.676116943E-2,5.368735657E0,8.681047668E0
1.728989417E0,1.290316772E-1,5.264701996E0,8.674760742E0
1.739035417E0,2.921923828E-1,5.187163239E0,8.569379883E0
1.749080417E0,3.601510620E-1,5.087171173E0,8.402776337E0
1.759126417E0,3.228785706E-1,4.999453583E0,8.181985474E0
1.769171417E0,2.909948730E-1,4.887486420E0,7.964338074E0
1.779217417E0,3.260220337E-1,4.886288910E0,7.800129547E0
1.789262417E0,2.918930054E-1,4.891528015E0,7.638615417E0
1.799308417E0,1.562750244E-1,4.905748444E0,7.433841248E0
1.809353417E0,9.220825195E-2,4.920567627E0,7.320975952E0
1.819399417E0,1.345701599E-1,5.061873779E0,7.123087463E0
1.829445417E0,1.664538574E-1,5.197791138E0,7.038513336E0
1.839490417E0,1.438508606E-1,5.273383942E0,6.960675201E0
1.849536417E0,2.933898926E-2,5.335205383E0,6.829996948E0
1.859581417E0,-9.535171509E-2,5.382057953E0,6.756948853E0
1.869627417E0,-1.706451416E-1,5.406008148E0,6.770271149E0
1.879672417E0,-1.725910950E-1,5.457800446E0,6.881489868E0
1.889718417E0,-1.615141296E-1,5.502257996E0,7.010820923E0
1.899763417E0,-1.652563477E-1,5.474864960E0,7.138355713E0
1.909809417E0,-1.902543640E-1,5.449717255E0,7.350165253E0
1.919854417E0,-1.377136230E-1,5.451812897E0,7.643555145E0
1.929900417E0,-7.289840698E-2,5.461692352E0,7.941735077E0
1.939945417E0,-1.706451416E-2,5.474565582E0,8.256829834E0
1.949991417E0,-1.631607056E-2,5.461991730E0,8.630153503E0
1.960037417E0,-7.289840698E-2,5.467230835E0,8.840017090E0
1.970082417E0,-1.197509766E-1,5.524262238E0,8.860225067E0
1.980128417E0,-6.421646118E-2,5.637726288E0,8.733139343E0
1.990173417E0,-4.221221924E-2,5.789061584E0,8.713230743E0
2.000219417E0,-1.100212097E-1,5.863307190E0,8.709189148E0
2.010264417E0,-1.468446350E-1,5.909860382E0,8.754245453E0
2.020310417E0,-1.237925720E-1,5.979765015E0,8.875643005E0
2.030355417E0,-6.466552734E-2,6.082301788E0,9.155411224E0
2.040401417E0,-4.640350342E-2,6.108197937E0,9.494905243E0
2.050446417E0,-1.152603149E-2,6.121969299E0,9.824669495E0
2.060492417E0,-2.903961182E-2,6.139333191E0,1.015817596E1
2.070538417E0,-1.107696533E-1,6.204447784E0,1.040561142E1
2.080583417E0,-2.820135498E-1,6.528823242E0,1.028765671E1
2.090629417E0,-3.477268982E-1,7.008725281E0,9.931696930E0
2.100674417E0,-2.627037048E-1,7.326813812E0,9.246272278E0
2.110720417E0,3.876937866E-2,7.091952209E0,9.077573090E0
2.120765417E0,2.246827698E-1,6.869365082E0,9.429640961E0
2.130811417E0,3.287164307E-1,6.554270325E0,1.017958145E1
2.140856417E0,4.102967834E-1,6.043233032E0,1.107876160E1
2.150902417E0,4.394860840E-1,5.331463165E0,1.180804504E1
2.160947417E0,3.281176758E-1,4.546944580E0,1.248493744E1
2.170993417E0,1.013392639E-1,3.882326660E0,1.308294388E1
2.181038417E0,-1.148112488E-1,3.378175049E0,1.344414276E1
2.191084417E0,-1.288819885E-1,2.958298187E0,1.367735779E1
2.201130417E0,-4.041595459E-2,2.743195496E0,1.374965744E1
2.211175167E0,-1.721420288E-2,2.609074402E0,1.353814728E1
2.221221167E0,-2.245330811E-2,2.548749847E0,1.301827835E1
2.231266167E0,-9.041198730E-2,2.582878876E0,1.221280334E1
2.241312167E0,-1.673519897E-1,2.667602692E0,1.129401398E1
2.251357167E0,-1.475930786E-1,2.774480438E0,1.052326675E1
2.261403167E0,-6.481521606E-2,2.919678497E0,9.829758911E0
2.271448167E0,5.613327026E-2,3.050955505E0,9.367520142E0
2.281494167E0,2.092648315E-1,3.145558777E0,9.069789276E0
2.291539167E0,3.553610229E-1,3.264261932E0,8.905880127E0
2.301585167E0,4.942721558E-1,3.352877655E0,8.798852692E0
2.311630167E0,5.701643372E-1,3.346740417E0,8.616382141E0
2.321676167E0,5.921685791E-1,3.305276642E0,8.391849060E0
2.331722167E0,5.870791626E-1,3.273392944E0,8.169411621E0
2.341767167E0,6.710545349E-1,3.221151581E0,7.921377411E0
2.351813167E0,6.605763245E-1,3.160228271E0,7.783663788E0
2.361858167E0,5.589376831E-1,3.113076324E0,7.651638336E0
2.371904167E0,5.071453857E-1,3.060086517E0,7.437284088E0
2.381949167E0,4.616400146E-1,3.049608307E0,7.197782135E0
2.391995167E0,3.746708679E-1,3.097658386E0,6.977140961E0
2.402040167E0,2.769241333E-1,3.168161774E0,6.707102509E0
2.412086167E0,2.450404358E-1,3.240760803E0,6.472839661E0
2.422131167E0,1.803749084E-1,3.330424347E0,6.359525299E0
2.432177167E0,5.882766724E-2,3.447630615E0,6.280190277E0
2.442222167E0,-9.175918579E-2,3.522924042E0,6.121370544E0
2.452268167E0,-2.589614868E-1,3.639531555E0,5.998925171E0
2.462314167E0,-3.577560425E-1,3.794459381E0,5.890999603E0
2.472359167E0,-3.655398560E-1,3.992048492E0,5.777834930E0
2.482405167E0,-3.544628906E-1,4.210743713E0,5.714666290E0
2.492450167E0,-3.421884155E-1,4.360282745E0,5.756279755E0
2.502496167E0,-2.951861572E-1,4.481979675E0,5.867348785E0
2.512541167E0,-2.528242493E-1,4.602179718E0,6.109545135E0
2.522587167E0,-2.598596191E-1,4.645739136E0,6.433920593E0
2.532632167E0,-2.323168945E-1,4.644391937E0,6.757098541E0
2.542678167E0,-1.875599670E-1,4.695286102E0,7.066804504E0
2.552723167E0,-9.969268799E-2,4.730313263E0,7.323670349E0
2.562769167E0,1.511856079E-2,4.817881165E0,7.561974792E0
2.572814167E0,1.079255676E-1,4.968617706E0,7.768694916E0
2.582860167E0,1.309776306E-1,4.987628174E0,8.027357025E0
2.592906167E0,1.595681763E-1,4.880750427E0,8.201295319E0
2.602951167E0,1.462458801E-1,4.854105835E0,8.264164581E0
2.612997167E0,1.863624573E-1,4.863236847E0,8.305179291E0
2.623042167E0,2.758763123E-1,4.955295410E0,8.374634857E0
2.633088167E0,3.520678711E-1,5.123246155E0,8.513246613E0
2.643133167E0,3.281176758E-1,5.264552307E0,8.758137360E0
2.653179167E0,2.829116821E-1,5.421875153E0,9.043144684E0
2.663224167E0,1.836680603E-1,5.590424652E0,9.265133057E0
2.673270167E0,1.184037781E-1,5.834866333E0,9.373807068E0
2.683315167E0,6.107299805E-2,6.052364044E0,9.412576447E0
2.693361167E0,-8.158035278E-2,6.156248016E0,9.481582947E0
2.703406167E0,-1.037342834E-1,6.119274902E0,9.579928436E0
2.713452167E0,-1.296304321E-1,6.052962799E0,9.956245880E0
2.723497167E0,-2.423460388E-1,6.087540894E0,1.050919601E1
2.733543167E0,-3.408412170E-1,6.208788757E0,1.075872711E1
2.743589167E0,-2.655477905E-1,6.267915802E0,1.072220306E1
2.753634167E0,-9.160949707E-2,6.315367126E0,1.065708847E1
2.763680167E0,-1.676513672E-2,6.393804016E0,1.070813232E1
2.773725167E0,-1.210981750E-1,6.281088409E0,1.084180435E1
2.783771167E0,-1.338217163E-1,5.949976959E0,1.133278336E1
2.793816167E0,-1.601669312E-1,5.590574341E0,1.222537720E1
2.803862167E0,1.778302002E-1,4.811743927E0,1.294762527E1
2.813907167E0,3.182382202E-1,4.207001495E0,1.362346985E1
2.823953167E0,-2.381547546E-1,3.818110199E0,1.385369110E1
2.833998167E0,-4.956193542E-1,3.450175323E0,1.255409363E1
2.844044167E0,-1.060544586E0,3.482508087E0,1.167317551E1
2.854089167E0,-1.401385803E0,3.707190857E0,1.032388138E1
2.864135167E0,-1.333726501E0,3.910917206E0,9.218130798E0
2.874181167E0,-1.359023895E0,4.245621185E0,8.677006073E0
2.884226167E0,-1.292262726E0,4.518354034E0,8.131540375E0
2.894272167E0,-1.175505524E0,4.334386597E0,7.593259735E0
2.904317167E0,-1.236428833E0,4.496649170E0,8.044122162E0
2.914363167E0,-1.133742371E0,4.461771698E0,8.045319672E0
2.924408167E0,-1.035097504E0,4.149970093E0,8.117918701E0
2.934454167E0,-9.331594849E-1,4.012106781E0,8.074658661E0
2.944499167E0,-6.379733276E-1,3.869154053E0,7.964338074E0
2.954545167E0,-5.017565918E-1,3.691323853E0,7.923922119E0
2.964590167E0,-4.108955383E-1,3.522924042E0,7.845934296E0
2.974636167E0,-1.487905884E-1,3.422931976E0,7.665559387E0
2.984681167E0,1.724414062E-1,3.394640808E0,7.341782684E0
