"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.176916663E-3,9.662437439E0,1.056561279E1,-5.101800537E1
1.222291664E-2,9.682376862E0,1.061770630E1,-5.113458252E1
2.226791665E-2,9.754035950E0,1.061856079E1,-5.076538086E1
3.231291665E-2,9.771137238E0,1.062298584E1,-5.074639893E1
4.235891666E-2,9.816390991E0,1.061935425E1,-5.054058838E1
5.240391666E-2,9.816390991E0,1.061935425E1,-5.054058838E1
6.244891667E-2,1.000148392E1,1.070419312E1,-5.062860107E1
7.249491665E-2,1.001195145E1,1.076892090E1,-5.054998779E1
8.254024998E-2,1.019759750E1,1.073950195E1,-5.058673096E1
9.258524998E-2,1.021698761E1,1.071789551E1,-5.043505859E1
1.026312500E-1,1.037705612E1,1.078799438E1,-5.041473389E1
1.126762500E-1,1.021145248E1,1.088427734E1,-5.022442627E1
1.227212500E-1,1.025280380E1,1.095327759E1,-4.995208740E1
1.327672500E-1,1.041834641E1,1.082620239E1,-4.995709229E1
1.428122500E-1,1.041969299E1,1.078567505E1,-5.002465820E1
1.528572500E-1,1.051773071E1,1.086141968E1,-4.999194336E1
1.629032500E-1,1.051537323E1,1.089498901E1,-4.984857178E1
1.729482500E-1,1.061462784E1,1.092486572E1,-5.005413818E1
1.829932500E-1,1.055491638E1,1.084036255E1,-4.982012939E1
1.930382500E-1,1.043933868E1,1.081796265E1,-4.988378906E1
2.030842500E-1,1.027844238E1,1.073107910E1,-4.975793457E1
2.131292500E-1,1.013619614E1,1.072598267E1,-4.984344482E1
2.231742500E-1,9.931682587E0,1.049636841E1,-4.992590332E1
2.332202500E-1,9.795665741E0,1.031887817E1,-5.002874756E1
2.432652500E-1,9.718856812E0,1.037402344E1,-4.997802734E1
2.533102500E-1,9.937946320E0,1.042407227E1,-4.971881104E1
2.633562500E-1,1.020393753E1,1.059530640E1,-4.971472168E1
2.734012500E-1,1.034133911E1,1.071008301E1,-4.977801514E1
2.834462500E-1,1.053856277E1,1.101959229E1,-4.962023926E1
