"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-1.587041654E-3,-2.997858077E-2,6.816916168E-2,-1.782104373E-2
8.457958349E-3,-3.006273694E-2,9.026408195E-2,-2.541984059E-2
1.850395833E-2,-2.992845327E-2,1.117987409E-1,-3.700774163E-2
2.854895833E-2,-2.845625766E-2,1.178382635E-1,-5.254648998E-2
3.859395834E-2,-3.026125953E-2,1.025593877E-1,-6.317529082E-2
4.863995835E-2,-3.979510814E-2,7.980187982E-2,-6.845074147E-2
5.868495835E-2,-4.043366015E-2,5.593211576E-2,-6.729404628E-2
6.872995835E-2,-5.405786261E-2,3.303958103E-2,-5.952453986E-2
7.877595833E-2,-7.272824645E-2,6.800997537E-3,-4.933059216E-2
8.882095834E-2,-9.336961061E-2,5.652057007E-4,-3.801641613E-2
9.886695835E-2,-9.598150849E-2,1.577261463E-2,-1.454025134E-2
1.089119583E-1,-7.313477993E-2,3.385654464E-2,9.939665906E-4
1.189569584E-1,-3.074505366E-2,2.984753996E-2,3.708168399E-3
1.290029583E-1,4.783737287E-2,3.313228488E-2,1.815459691E-3
1.390479583E-1,1.107109934E-1,8.524646983E-3,-2.056113631E-2
1.490929583E-1,1.430151463E-1,-4.167993367E-2,-2.317849174E-2
1.591389583E-1,1.436479837E-1,-1.082593501E-1,-2.364338562E-2
1.691839584E-1,1.064462885E-1,-1.477180719E-1,-1.967474446E-2
1.792289584E-1,4.813088849E-2,-1.705809981E-1,-9.734143503E-3
1.892749583E-1,-1.024267450E-2,-1.681575179E-1,-6.312781014E-3
1.993199583E-1,-9.144823998E-2,-1.015337184E-1,-2.204254270E-2
2.093649583E-1,-2.422870100E-1,8.805298805E-2,-9.222615510E-2
2.194109584E-1,-3.740590513E-1,2.611690760E-1,-1.110809892E-1
2.294559584E-1,-4.528380334E-1,3.503333032E-1,-1.283467859E-1
2.395019583E-1,-4.610999823E-1,3.771837056E-1,-1.481915414E-1
2.495469583E-1,-4.147665799E-1,3.593634367E-1,-1.675487310E-1
2.595919583E-1,-3.181853592E-1,3.102091849E-1,-1.906355917E-1
2.696379584E-1,-1.916686743E-1,2.307417989E-1,-1.836341321E-1
2.796829584E-1,-6.116941199E-2,1.353302896E-1,-1.431108564E-1
2.897279584E-1,5.727867037E-2,3.837818280E-2,-8.881966770E-2
2.997739583E-1,1.554765999E-1,-4.506801069E-2,-4.881408066E-2
3.098189583E-1,2.162131965E-1,-1.010780185E-1,-1.610007510E-2
3.198639583E-1,2.359029353E-1,-1.304487735E-1,-9.083808400E-4
3.299099584E-1,2.014565468E-1,-1.172277629E-1,1.299837977E-2
3.399549584E-1,1.241674423E-1,-6.280833483E-2,2.781102248E-2
3.499999583E-1,4.783938825E-2,-1.208363567E-2,2.774071507E-2
3.600459583E-1,-4.788520280E-3,2.364296466E-2,1.421177574E-2
3.700909583E-1,-1.807769388E-2,3.296216205E-2,-1.346752234E-2
3.801359583E-1,-1.387700066E-2,2.475265227E-2,-2.786842547E-2
3.901819584E-1,-7.623897865E-3,1.367390249E-2,-2.407741547E-2
4.002269583E-1,-5.164619535E-3,-1.428645803E-3,-1.312668063E-2
4.102719583E-1,-8.691443130E-3,-2.247853763E-2,-3.930785693E-3
4.203179583E-1,-1.628488116E-2,-3.918102756E-2,1.554094721E-3
4.303629583E-1,-2.647813037E-2,-5.727640912E-2,-8.705466986E-3
4.404089584E-1,-3.678962961E-2,-6.321369857E-2,-1.516379043E-2
4.504539583E-1,-4.888996854E-2,-7.443811744E-2,-1.297973096E-2
4.604989583E-1,-6.219386682E-2,-5.816208944E-2,-7.261750288E-3
4.705449583E-1,-8.187435567E-2,-3.013658337E-2,-8.755517192E-3
4.805899583E-1,-1.023031548E-1,2.126940293E-3,-6.199799012E-3
4.906349583E-1,-1.275129020E-1,3.803727031E-2,-7.549222559E-3
5.006809583E-1,-1.464406699E-1,5.866232514E-2,-1.288999990E-2
5.107259583E-1,-1.629975438E-1,7.541786879E-2,-1.986162364E-2
5.207709583E-1,-1.670544595E-1,8.455760032E-2,-1.898259670E-2
5.308172083E-1,-1.578074396E-1,7.612363249E-2,-1.358357072E-2
5.408622083E-1,-1.442280114E-1,5.693706870E-2,-4.508308135E-3
5.509072084E-1,-1.318475008E-1,3.994743153E-2,5.035928451E-3
5.609532083E-1,-1.236284450E-1,2.683169581E-2,1.990360767E-2
5.709982083E-1,-1.186749712E-1,1.743366756E-2,2.842705511E-2
5.810432083E-1,-1.110920832E-1,2.511327155E-2,2.903658524E-2
5.910892083E-1,-9.923382103E-2,4.289626330E-2,2.740859613E-2
6.011342084E-1,-7.992954552E-2,5.893003941E-2,2.645026520E-2
6.111802083E-1,-5.730492994E-2,6.744763255E-2,2.117960155E-2
6.212252083E-1,-3.252108395E-2,6.581358612E-2,2.156929113E-2
6.312702083E-1,-1.777888648E-2,4.444145411E-2,1.524881087E-2
6.413162083E-1,-1.126532070E-2,3.297231719E-2,-2.561187604E-3
6.513612084E-1,-1.513569336E-2,1.248115767E-2,-9.285669774E-3
6.614062084E-1,-2.163444646E-2,7.200970314E-3,-1.483668853E-2
6.714522083E-1,-2.262194641E-2,2.214467851E-3,-1.211813372E-2
6.814972083E-1,-1.851516031E-2,4.518220667E-3,-1.438350976E-2
6.915422083E-1,-3.681088332E-3,1.609391719E-2,-1.887439936E-2
7.015882084E-1,2.608607989E-3,1.398143545E-2,-3.309575468E-2
7.116332084E-1,7.379660849E-3,3.387205303E-2,-3.194287047E-2
7.216782084E-1,1.116980426E-2,3.307538852E-2,-2.217273042E-2
7.317242083E-1,2.219022997E-2,3.082661331E-2,-1.988800615E-2
7.417692083E-1,3.194081411E-2,2.336138301E-2,-2.829868346E-2
7.518142083E-1,4.162273556E-2,7.757922634E-3,-2.841320075E-2
7.618602084E-1,3.873047978E-2,-4.009601194E-3,-1.835341752E-2
7.719052084E-1,3.221106157E-2,-2.810645849E-3,-4.813640378E-3
7.819512083E-1,2.084775083E-2,2.071122173E-3,1.188009605E-2
7.919962083E-1,2.174996771E-3,1.100895647E-2,2.035400830E-2
8.020412083E-1,-1.451578364E-2,2.274536714E-2,2.332384698E-2
8.120872084E-1,-3.183165565E-2,2.902403474E-2,1.165014692E-2
8.221322084E-1,-3.676553071E-2,2.801106311E-2,-3.620186355E-3
8.321772083E-1,-3.428479657E-2,3.754384816E-2,-1.036517508E-2
8.422232083E-1,-3.623843566E-2,2.054440416E-2,-3.593935398E-3
8.522682083E-1,-3.637532145E-2,3.617885988E-3,3.725762945E-3
8.623132083E-1,-3.504776582E-2,-1.486884197E-3,1.634705346E-3
8.723592084E-1,-3.164584562E-2,9.834640659E-4,1.025107689E-3
