"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
2.720832708E-5,9.656914367E-1,2.564113427E-1,-2.394331907E-2,-3.346721082E-2,3.010360072E1,2.980444779E1,-1.666451873E0,-4.413228123E0
1.007320834E-2,9.656635776E-1,2.565805939E-1,-2.360240375E-2,-3.321538340E-2,3.011589133E1,2.982229278E1,-1.635393046E0,-4.375500549E0
2.011820834E-2,9.656156566E-1,2.568206834E-1,-2.326506038E-2,-3.299095143E-2,3.013702123E1,2.984861921E1,-1.603614312E0,-4.341024276E0
3.016320834E-2,9.655446813E-1,2.571348460E-1,-2.298307689E-2,-3.281663207E-2,3.016828995E1,2.988411214E1,-1.576163667E0,-4.313852097E0
4.020820832E-2,9.654538970E-1,2.575104166E-1,-2.278585071E-2,-3.268100351E-2,3.020823961E1,2.992740463E1,-1.556687457E0,-4.293570299E0
5.025420833E-2,9.653514380E-1,2.579171864E-1,-2.267933509E-2,-3.257483560E-2,3.025326481E1,2.997492357E1,-1.546247692E0,-4.279289907E0
6.029920833E-2,9.652458180E-1,2.583276440E-1,-2.263530217E-2,-3.248219683E-2,3.029961071E1,3.002323156E1,-1.542311484E0,-4.268369992E0
7.034420833E-2,9.651324009E-1,2.587568148E-1,-2.267472001E-2,-3.240865058E-2,3.034930104E1,3.007422701E1,-1.546961739E0,-4.262085531E0
8.038920833E-2,9.650105122E-1,2.592029392E-1,-2.284029390E-2,-3.235773718E-2,3.040261449E1,3.012793022E1,-1.564816573E0,-4.262116015E0
9.043520832E-2,9.648895507E-1,2.596347126E-1,-2.311005481E-2,-3.231036412E-2,3.045543228E1,3.018048870E1,-1.594146559E0,-4.265656791E0
1.004802083E-1,9.647836357E-1,2.600084814E-1,-2.341737909E-2,-3.224676453E-2,3.050160672E1,3.022635304E1,-1.628367225E0,-4.268460270E0
1.105252083E-1,9.647095837E-1,2.602687909E-1,-2.370407249E-2,-3.215147051E-2,3.053384975E1,3.025860824E1,-1.661755742E0,-4.266967729E0
1.205702083E-1,9.646713565E-1,2.604002574E-1,-2.394354035E-2,-3.205491208E-2,3.055048127E1,3.027532816E1,-1.690532673E0,-4.263707940E0
1.306162083E-1,9.646614520E-1,2.604234066E-1,-2.413049323E-2,-3.202418702E-2,3.055478899E1,3.027901997E1,-1.712012998E0,-4.265972463E0
1.406612083E-1,9.646542870E-1,2.604251873E-1,-2.423989591E-2,-3.214363119E-2,3.055790484E1,3.027999831E1,-1.720519459E0,-4.282491774E0
1.507062083E-1,9.645818787E-1,2.606651398E-1,-2.412592030E-2,-3.245543358E-2,3.058937589E1,3.030833692E1,-1.697512654E0,-4.314002740E0
1.607512083E-1,9.644468402E-1,2.611139300E-1,-2.401997366E-2,-3.293531759E-2,3.064798383E1,3.036174431E1,-1.669390300E0,-4.364711421E0
1.707972083E-1,9.642761876E-1,2.616830073E-1,-2.400620217E-2,-3.342485324E-2,3.072189252E1,3.042993550E1,-1.650563659E0,-4.419455347E0
1.808422083E-1,9.640900250E-1,2.622995525E-1,-2.415780439E-2,-3.384939844E-2,3.080232113E1,3.050457198E1,-1.651678316E0,-4.472080039E0
1.908872083E-1,9.638998584E-1,2.629254121E-1,-2.442404603E-2,-3.421734043E-2,3.088426854E1,3.058089053E1,-1.667052637E0,-4.521946796E0
