"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.916375011E-3,-5.566881970E-3,4.060304165E-2,-3.382036835E-2
1.196237499E-2,-2.222495340E-2,4.643776268E-2,-3.317508101E-2
2.200837500E-2,-3.731330857E-2,5.692055076E-2,-3.667181730E-2
3.205437501E-2,-4.920831695E-2,6.698729843E-2,-4.358911514E-2
4.210037499E-2,-5.985744298E-2,7.902031392E-2,-5.752423778E-2
5.214637500E-2,-5.621344224E-2,8.155751228E-2,-8.526878059E-2
6.219137501E-2,-4.420953616E-2,7.124511898E-2,-1.113970205E-1
7.223737499E-2,-3.806934878E-2,5.986730009E-2,-1.235839128E-1
8.228337500E-2,-3.756497800E-2,5.325337499E-2,-1.265890449E-1
9.232937501E-2,-3.848429769E-2,4.608760774E-2,-1.239498556E-1
1.023753750E-1,-4.304339364E-2,4.023029283E-2,-1.120028198E-1
1.124213750E-1,-5.175645649E-2,3.147328645E-2,-9.256121516E-2
1.224673750E-1,-5.962667987E-2,1.745169237E-2,-6.920409948E-2
1.325123750E-1,-7.575958222E-2,6.221112562E-4,-4.792144150E-2
1.425583750E-1,-9.043761343E-2,-1.482351311E-2,-4.468207806E-2
1.526043750E-1,-9.318040311E-2,-3.371038660E-2,-5.248008296E-2
1.626503750E-1,-8.893365413E-2,-5.542193353E-2,-7.586132735E-2
1.726963750E-1,-8.576475829E-2,-6.824637949E-2,-9.305097163E-2
1.827423750E-1,-7.784041017E-2,-7.236991078E-2,-8.471620828E-2
1.927883750E-1,-6.906023622E-2,-6.600762159E-2,-5.114680156E-2
2.028343750E-1,-5.812689662E-2,-5.097727105E-2,-9.451017715E-3
2.128793750E-1,-4.085416719E-2,-3.208320960E-2,2.647156455E-2
2.229253750E-1,-2.122802660E-2,-1.496024244E-2,4.639736935E-2
2.329713750E-1,-1.002730429E-2,-2.224740107E-3,5.704841763E-2
2.430173750E-1,-1.081210934E-2,-2.791497391E-3,5.929695070E-2
2.530633750E-1,-1.585107669E-2,-1.535868831E-2,5.495945737E-2
2.631093750E-1,-2.374196611E-2,-3.262483701E-2,4.297436774E-2
2.731553750E-1,-3.346010670E-2,-4.904508963E-2,2.869316563E-2
2.832003750E-1,-4.137827456E-2,-4.914022237E-2,2.180969901E-2
2.932463750E-1,-4.734642059E-2,-3.495489806E-2,3.081890754E-2
3.032923750E-1,-5.514261127E-2,-1.227546763E-2,4.788270965E-2
3.133383750E-1,-6.710658967E-2,7.051357999E-3,6.737012416E-2
3.233843750E-1,-8.077564090E-2,1.943854429E-2,7.819075137E-2
3.334303750E-1,-9.078139812E-2,1.551118214E-2,7.767915726E-2
3.434763750E-1,-9.492813051E-2,-2.848504577E-3,6.826311350E-2
3.535223750E-1,-8.983483166E-2,-2.646941133E-2,5.277390778E-2
3.635673750E-1,-7.910741121E-2,-4.700709879E-2,4.369792342E-2
3.736133750E-1,-7.173977792E-2,-5.657690018E-2,4.304518178E-2
3.836593750E-1,-6.891818345E-2,-5.000271648E-2,4.676512256E-2
3.937053750E-1,-7.638941705E-2,-3.625681251E-2,5.451385304E-2
4.037513750E-1,-9.057620168E-2,-6.706166547E-3,6.869860739E-2
4.137973750E-1,-9.304175526E-2,6.828711182E-2,6.794573367E-2
4.238433750E-1,-1.041441634E-1,1.146020740E-1,8.120168000E-2
4.338883750E-1,-1.109623834E-1,1.032599360E-1,9.048945457E-2
4.439343750E-1,-1.001129895E-1,1.104781106E-1,9.397859871E-2
4.539803750E-1,-8.196114749E-2,6.303975731E-2,1.003075987E-1
4.640263750E-1,-5.231688544E-2,2.535537258E-2,1.038819253E-1
4.740723750E-1,-3.498796374E-2,-2.972937189E-3,1.158246100E-1
4.841183750E-1,-2.818720415E-2,-2.550130524E-2,1.314385831E-1
4.941643750E-1,-4.069393873E-2,-3.258238360E-2,1.326729655E-1
5.042093750E-1,-6.016258895E-2,-2.701578289E-2,1.174957752E-1
5.142553750E-1,-7.603396475E-2,-1.017981116E-2,9.744190425E-2
5.243013750E-1,-8.344748616E-2,2.549241669E-2,8.598215878E-2
5.343473750E-1,-8.384216577E-2,6.599137932E-2,7.838229835E-2
5.443933750E-1,-8.026764542E-2,1.037106141E-1,7.635053992E-2
5.544393750E-1,-7.998002321E-2,1.211766899E-1,7.284128666E-2
5.644853750E-1,-8.041089028E-2,1.213352457E-1,6.551383436E-2
5.745303750E-1,-8.973488957E-2,9.855110198E-2,5.732780695E-2
5.845763750E-1,-1.101926491E-1,6.065003201E-2,5.047716200E-2
5.946223750E-1,-1.419756114E-1,2.281130850E-2,4.521102458E-2
6.046683750E-1,-1.794585139E-1,-4.620488733E-3,3.422065824E-2
6.147143750E-1,-2.103341371E-1,-1.885774732E-2,2.315975167E-2
6.247603750E-1,-2.298582494E-1,-6.866410375E-3,1.828370057E-2
6.348063750E-1,-2.273146659E-1,3.241814300E-2,2.470910922E-2
6.448513750E-1,-2.056163698E-1,7.839734107E-2,4.844862968E-2
6.548975417E-1,-1.655592322E-1,1.221882328E-1,7.152970880E-2
6.649435417E-1,-1.198822409E-1,1.500655860E-1,8.888706565E-2
6.749895417E-1,-7.822826505E-2,1.558145583E-1,9.662728012E-2
6.850355417E-1,-5.385979265E-2,1.347156167E-1,1.018525660E-1
6.950815417E-1,-7.539677620E-2,9.071646631E-2,1.068353429E-1
7.051275417E-1,-1.435583830E-1,3.450346738E-2,1.066080034E-1
7.151725417E-1,-2.422716469E-1,-1.893925108E-2,1.039453745E-1
7.252185417E-1,-3.523197770E-1,-5.033405125E-2,1.070447341E-1
7.352645417E-1,-4.484601617E-1,-3.831467405E-2,1.133143455E-1
