"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.157083411E-4,1.102661896E1,2.965545654E0,-4.885113525E1
1.036070831E-2,1.090454102E1,3.089904785E0,-4.883660889E1
2.040670833E-2,1.083753967E1,3.203826904E0,-4.887878418E1
3.045270834E-2,1.105579376E1,3.216583252E0,-4.853796387E1
4.049870832E-2,1.116857147E1,3.176727295E0,-4.861383057E1
5.054370832E-2,1.105636215E1,3.264129639E0,-4.868206787E1
6.058970833E-2,1.112763596E1,3.420776367E0,-4.879656982E1
7.063570834E-2,1.116534424E1,3.430541992E0,-4.859088135E1
8.068170832E-2,1.121247864E1,3.531707764E0,-4.854827881E1
9.072770833E-2,1.116590118E1,3.641296387E0,-4.869592285E1
1.007727083E-1,1.116732407E1,3.830627441E0,-4.870245361E1
1.108183333E-1,1.112636948E1,3.852203369E0,-4.873864746E1
1.208643333E-1,1.114331436E1,3.839569092E0,-4.861505127E1
1.309103333E-1,1.125323486E1,3.839538574E0,-4.852105713E1
1.409553333E-1,1.122105408E1,3.948516846E0,-4.831982422E1
1.510013333E-1,1.121642685E1,3.919158936E0,-4.876770020E1
1.610473333E-1,1.119092941E1,3.994689941E0,-4.839007568E1
1.710933333E-1,1.122546005E1,3.970855713E0,-4.838983154E1
1.811383333E-1,1.121408844E1,3.975524902E0,-4.861981201E1
1.911843333E-1,1.123035812E1,4.101684570E0,-4.869415283E1
2.012303333E-1,1.127634048E1,4.036010742E0,-4.837786865E1
2.112763333E-1,1.126592255E1,4.095733643E0,-4.842419434E1
2.213223333E-1,1.139135361E1,4.169952393E0,-4.852990723E1
2.313673333E-1,1.149442673E1,4.245025635E0,-4.834106445E1
2.414133333E-1,1.147751999E1,4.349395752E0,-4.836828613E1
2.514593333E-1,1.159223938E1,4.400360107E0,-4.833874512E1
2.615053333E-1,1.164438629E1,4.557098389E0,-4.827233887E1
2.715503333E-1,1.138333511E1,4.497802734E0,-4.841619873E1
2.815963333E-1,1.151304626E1,4.379180908E0,-4.821636963E1
2.916423333E-1,1.154521561E1,4.280914307E0,-4.840673828E1
3.016883333E-1,1.167829895E1,4.284118652E0,-4.864660645E1
3.117343333E-1,1.148689651E1,4.343841553E0,-4.853454590E1
3.217793333E-1,1.160858536E1,4.255828857E0,-4.838055420E1
3.318253333E-1,1.159835434E1,4.255065918E0,-4.829187012E1
3.418713333E-1,1.167457199E1,4.339691162E0,-4.840905762E1
3.519173333E-1,1.170749664E1,4.236480713E0,-4.822570801E1
3.619623333E-1,1.173127747E1,4.365386963E0,-4.821191406E1
3.720083333E-1,1.166924286E1,4.434570312E0,-4.828479004E1
3.820543333E-1,1.174784470E1,4.443237305E0,-4.824707031E1
3.921003333E-1,1.172216034E1,4.464202881E0,-4.841082764E1
4.021453333E-1,1.170436096E1,4.598846436E0,-4.809515381E1
4.121913333E-1,1.163769531E1,4.539276123E0,-4.823626709E1
4.222373333E-1,1.167674255E1,4.571533203E0,-4.824743652E1
4.322833333E-1,1.179138184E1,4.707977295E0,-4.843542480E1
4.423293333E-1,1.183768845E1,4.663116455E0,-4.828930664E1
4.523743333E-1,1.181672287E1,4.721557617E0,-4.792230225E1
4.624203333E-1,1.169501114E1,4.760894775E0,-4.824676514E1
4.724663333E-1,1.175996780E1,4.873779297E0,-4.819665527E1
4.825123333E-1,1.179312897E1,4.896057129E0,-4.838598633E1
4.925573333E-1,1.186135864E1,5.127838135E0,-4.828417969E1
5.026033333E-1,1.192688751E1,5.045867920E0,-4.818719482E1
5.126493333E-1,1.205448914E1,5.046417236E0,-4.816851807E1
5.226953333E-1,1.199272537E1,5.028015137E0,-4.820312500E1
5.327403333E-1,1.202450943E1,5.109069824E0,-4.801165771E1
5.427863333E-1,1.200028229E1,5.101989746E0,-4.813146973E1
5.528323333E-1,1.205555725E1,5.028381348E0,-4.796496582E1
5.628783333E-1,1.206719208E1,5.245880127E0,-4.780090332E1
5.729233333E-1,1.213733292E1,5.071960449E0,-4.778601074E1
5.829693333E-1,1.220624161E1,4.991363525E0,-4.801635742E1
5.930153333E-1,1.206221390E1,5.023223877E0,-4.792968750E1
6.030613333E-1,1.202466202E1,5.120910645E0,-4.776715088E1
6.131073333E-1,1.188458633E1,5.209594727E0,-4.761346436E1
6.231523333E-1,1.207621384E1,5.269500732E0,-4.774841309E1
6.331983333E-1,1.195716858E1,5.283569336E0,-4.770184326E1
6.432443333E-1,1.216468048E1,5.310607910E0,-4.739611816E1
6.532903333E-1,1.205861664E1,5.412628174E0,-4.738800049E1
6.633353333E-1,1.207665634E1,5.365997314E0,-4.739691162E1
6.733813333E-1,1.214203644E1,5.458312988E0,-4.750885010E1
6.834273333E-1,1.224257660E1,5.579498291E0,-4.746691895E1
6.934733333E-1,1.218067932E1,5.576477051E0,-4.738183594E1
7.035183333E-1,1.218067932E1,5.576477051E0,-4.738183594E1
7.135643333E-1,1.224758530E1,5.556335449E0,-4.752661133E1
7.236103333E-1,1.220441437E1,5.614105225E0,-4.744549561E1
7.336563333E-1,1.229984665E1,5.532867432E0,-4.728594971E1
7.437013333E-1,1.248018265E1,5.524261475E0,-4.740808105E1
7.537473333E-1,1.246330261E1,5.660522461E0,-4.734197998E1
7.637933333E-1,1.245790100E1,5.554565430E0,-4.736224365E1
7.738393333E-1,1.240055847E1,5.587677002E0,-4.717163086E1
7.838853333E-1,1.235959244E1,5.634002686E0,-4.717156982E1
7.939303333E-1,1.235898972E1,5.684387207E0,-4.724578857E1
8.039763333E-1,1.232325363E1,5.693328857E0,-4.722808838E1
8.140223333E-1,1.250035858E1,5.556365967E0,-4.756420898E1
8.240683333E-1,1.248722076E1,5.550170898E0,-4.743017578E1
8.341133333E-1,1.239674377E1,5.652709961E0,-4.722784424E1
8.441593333E-1,1.235161591E1,5.735137939E0,-4.746130371E1
8.542053333E-1,1.233465958E1,5.720611572E0,-4.741137695E1
8.642513333E-1,1.234605408E1,5.719055176E0,-4.735577393E1
8.742963333E-1,1.230500031E1,5.680114746E0,-4.737011719E1
8.843423333E-1,1.226239014E1,5.751617432E0,-4.740649414E1
8.943883333E-1,1.234119415E1,5.677001953E0,-4.740289307E1
9.044343333E-1,1.243579865E1,5.790039062E0,-4.725115967E1
9.144793333E-1,1.239339447E1,5.810089111E0,-4.716015625E1
9.245253333E-1,1.263429260E1,5.654113770E0,-4.702716064E1
9.345713333E-1,1.247715759E1,5.601654053E0,-4.691210938E1
9.446173333E-1,1.244151688E1,5.704528809E0,-4.718115234E1
9.546623333E-1,1.243982315E1,5.595550537E0,-4.705480957E1
9.647083333E-1,1.253570557E1,5.672454834E0,-4.716546631E1
9.747543333E-1,1.271224976E1,5.544708252E0,-4.702154541E1
9.848003333E-1,1.250137329E1,5.573760986E0,-4.718786621E1
9.948463333E-1,1.239990997E1,5.434753418E0,-4.705120850E1
1.004891333E0,1.262678146E1,5.338806152E0,-4.704101562E1
1.014937333E0,1.261260605E1,5.304412842E0,-4.704809570E1
1.024983333E0,1.261832809E1,5.392822266E0,-4.714117432E1
1.035029333E0,1.265750885E1,5.378265381E0,-4.719445801E1
1.045074333E0,1.268442154E1,5.497283936E0,-4.722521973E1
1.055120333E0,1.281280136E1,5.367401123E0,-4.723577881E1
1.065166333E0,1.283462143E1,5.320922852E0,-4.725390625E1
1.075212333E0,1.281694412E1,5.293243408E0,-4.703259277E1
1.085257333E0,1.272986984E1,5.240356445E0,-4.701550293E1
1.095303333E0,1.275302124E1,5.145812988E0,-4.714813232E1
1.105349333E0,1.276202011E1,5.053039551E0,-4.736669922E1
1.115395458E0,1.278742981E1,5.185333252E0,-4.731555176E1
1.125440458E0,1.283125305E1,5.234619141E0,-4.734509277E1
1.135486458E0,1.280216599E1,5.322723389E0,-4.726751709E1
1.145532458E0,1.277959061E1,5.401641846E0,-4.726574707E1
1.155578458E0,1.271109390E1,5.282470703E0,-4.717938232E1
1.165623458E0,1.261732864E1,5.207244873E0,-4.711444092E1
1.175669458E0,1.254412842E1,5.326110840E0,-4.722326660E1
1.185715458E0,1.258402252E1,5.300018311E0,-4.710076904E1
1.195761458E0,1.260217667E1,5.285980225E0,-4.729968262E1
1.205806458E0,1.266565704E1,5.298980713E0,-4.708343506E1
1.215852458E0,1.264416504E1,5.250091553E0,-4.704394531E1
1.225898458E0,1.268861008E1,5.156188965E0,-4.710546875E1
1.235944458E0,1.275754166E1,5.144134521E0,-4.704779053E1
1.245989458E0,1.264734650E1,5.241088867E0,-4.706243896E1
1.256035458E0,1.271000290E1,5.366607666E0,-4.696185303E1
1.266081458E0,1.274179840E1,5.230834961E0,-4.702282715E1
1.276127458E0,1.279829025E1,5.248565674E0,-4.715484619E1
1.286172458E0,1.278027725E1,5.273651123E0,-4.718927002E1
1.296218458E0,1.264837265E1,5.255523682E0,-4.708300781E1
1.306264458E0,1.259848404E1,5.181304932E0,-4.690045166E1
1.316310458E0,1.276936722E1,4.996307373E0,-4.704473877E1
1.326355458E0,1.281913757E1,5.016540527E0,-4.707476807E1
1.336401458E0,1.292869568E1,4.978942871E0,-4.712823486E1
1.346447458E0,1.279363632E1,4.966705322E0,-4.718200684E1
1.356493458E0,1.276390839E1,4.967559814E0,-4.719952393E1
1.366538458E0,1.278110123E1,4.859771729E0,-4.727276611E1
1.376584458E0,1.257914734E1,5.015411377E0,-4.707250977E1
1.386630458E0,1.262920380E1,4.908935547E0,-4.707855225E1
1.396676458E0,1.261382294E1,4.931549072E0,-4.713549805E1
1.406721458E0,1.259442520E1,4.830169678E0,-4.730804443E1
1.416767458E0,1.259442520E1,4.830169678E0,-4.730804443E1
1.426813458E0,1.280487823E1,4.837921143E0,-4.746520996E1
1.436859458E0,1.276969528E1,4.822387695E0,-4.731036377E1
1.446904458E0,1.270731735E1,5.035186768E0,-4.707196045E1
1.456950458E0,1.275066376E1,4.962066650E0,-4.718469238E1
1.466996458E0,1.278552246E1,4.988952637E0,-4.713140869E1
1.477042458E0,1.289198685E1,4.953002930E0,-4.726098633E1
1.487088458E0,1.274398422E1,5.083068848E0,-4.711944580E1
1.497133458E0,1.292866516E1,4.985015869E0,-4.744738770E1
1.507179458E0,1.290939713E1,4.910797119E0,-4.737200928E1
1.517225458E0,1.283482742E1,4.915039062E0,-4.735095215E1
1.527270458E0,1.274614334E1,4.994049072E0,-4.729565430E1
1.537316458E0,1.278221893E1,4.977661133E0,-4.714135742E1
1.547362458E0,1.277698517E1,4.983215332E0,-4.745440674E1
1.557408458E0,1.273789978E1,4.829498291E0,-4.743670654E1
1.567454458E0,1.278611755E1,4.977569580E0,-4.743640137E1
1.577499458E0,1.293205261E1,4.980316162E0,-4.724127197E1
1.587545458E0,1.300234985E1,4.894378662E0,-4.735278320E1
1.597591458E0,1.273400116E1,4.930694580E0,-4.751538086E1
1.607636458E0,1.278646851E1,4.964263916E0,-4.739715576E1
1.617682458E0,1.262451935E1,4.912353516E0,-4.760321045E1
1.627728458E0,1.279719543E1,4.875030518E0,-4.719183350E1
1.637774458E0,1.278697968E1,4.822357178E0,-4.719055176E1
1.647820458E0,1.266258621E1,4.931427002E0,-4.760528564E1
1.657865458E0,1.269559479E1,4.776855469E0,-4.723089600E1
1.667911458E0,1.278393173E1,4.862243652E0,-4.703131104E1
1.677957458E0,1.277485275E1,4.851837158E0,-4.715747070E1
1.688002458E0,1.277019501E1,4.940246582E0,-4.709985352E1
1.698048458E0,1.264348602E1,4.964019775E0,-4.724725342E1
1.708094458E0,1.256854248E1,5.084869385E0,-4.733416748E1
1.718140458E0,1.262910461E1,5.227325439E0,-4.709417725E1
1.728185458E0,1.261264420E1,5.233520508E0,-4.718817139E1
1.738231458E0,1.260024261E1,5.279602051E0,-4.727416992E1
1.748277458E0,1.265824509E1,5.027252197E0,-4.742913818E1
1.758323458E0,1.264862061E1,5.252532959E0,-4.734588623E1
1.768368458E0,1.259334183E1,5.280883789E0,-4.735974121E1
1.778414458E0,1.267716217E1,5.286376953E0,-4.724786377E1
1.788460458E0,1.251144028E1,5.272033691E0,-4.728155518E1
