"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
9.207916446E-4,9.467934220E-1,2.662845370E-1,9.988413239E-3,1.804858287E-1,3.754870505E1,3.062113066E1,-4.428055854E0,2.037262782E1
1.096679165E-2,9.467970045E-1,2.662618831E-1,1.037152809E-2,1.804783687E-1,3.754742948E1,3.062568517E1,-4.385664252E0,2.038310682E1
2.101379164E-2,9.467968359E-1,2.662673411E-1,1.074465414E-2,1.804494560E-1,3.754748951E1,3.063345196E1,-4.344292863E0,2.039076108E1
3.105979165E-2,9.468033265E-1,2.662833885E-1,1.108087009E-2,1.803714000E-1,3.754517839E1,3.064196873E1,-4.305646889E0,2.039175501E1
4.110679164E-2,9.468220397E-1,2.662911119E-1,1.140307221E-2,1.802415034E-1,3.753851440E1,3.064944872E1,-4.266751997E0,2.038653669E1
5.115279165E-2,9.468667997E-1,2.662399878E-1,1.171382092E-2,1.800622107E-1,3.752257022E1,3.064999687E1,-4.226339471E0,2.037567063E1
6.119879166E-2,9.469412731E-1,2.661103757E-1,1.203263022E-2,1.798409819E-1,3.749602714E1,3.064163798E1,-4.182105489E0,2.036064304E1
7.124579165E-2,9.470484526E-1,2.659153411E-1,1.235145006E-2,1.795432144E-1,3.745779551E1,3.062588264E1,-4.134139128E0,2.033725637E1
8.129179166E-2,9.471783913E-1,2.656818897E-1,1.266519120E-2,1.791808780E-1,3.741139498E1,3.060575018E1,-4.083938776E0,2.030659192E1
9.133879165E-2,9.473232079E-1,2.654291562E-1,1.297258924E-2,1.787671645E-1,3.735961617E1,3.058340774E1,-4.032457082E0,2.027001943E1
1.013847917E-1,9.474778025E-1,2.651413986E-1,1.327528790E-2,1.783522709E-1,3.730426475E1,3.055685182E1,-3.980735500E0,2.023330441E1
1.114317917E-1,9.476503517E-1,2.647903996E-1,1.356228687E-2,1.779354386E-1,3.724239115E1,3.052256879E1,-3.929363228E0,2.019614374E1
1.214777917E-1,9.478495377E-1,2.643643687E-1,1.383062532E-2,1.774867433E-1,3.717084246E1,3.047922288E1,-3.877508173E0,2.015511220E1
1.315247917E-1,9.480751077E-1,2.638363952E-1,1.410363153E-2,1.770454657E-1,3.708965577E1,3.042396012E1,-3.823288998E0,2.011541230E1
1.415707917E-1,9.483361231E-1,2.631929181E-1,1.440249483E-2,1.765803753E-1,3.699549707E1,3.035570067E1,-3.763175804E0,2.007417825E1
1.516177916E-1,9.486225109E-1,2.624406074E-1,1.478876016E-2,1.761291933E-1,3.689191874E1,3.027625868E1,-3.691772121E0,2.003740784E1
1.616637917E-1,9.489206999E-1,2.616267623E-1,1.525099518E-2,1.756941956E-1,3.678377316E1,3.019096953E1,-3.611373814E0,2.000481907E1
1.717107916E-1,9.492030838E-1,2.608246024E-1,1.574721111E-2,1.753170656E-1,3.668107593E1,3.010749542E1,-3.529325604E0,1.997960032E1
1.817567917E-1,9.494452174E-1,2.601197175E-1,1.620361933E-2,1.750114588E-1,3.659279528E1,3.003445121E1,-3.455825251E0,1.996085872E1
1.918042500E-1,9.496292306E-1,2.595870761E-1,1.661447734E-2,1.747653212E-1,3.652556726E1,2.998055028E1,-3.392657671E0,1.994684468E1
2.018502500E-1,9.497611080E-1,2.592690360E-1,1.700532614E-2,1.744828109E-1,3.647731306E1,2.995152324E1,-3.335006720E0,1.992739487E1
2.118972500E-1,9.498619655E-1,2.590913870E-1,1.737531225E-2,1.741607669E-1,3.644036750E1,2.993865784E1,-3.281335828E0,1.990240853E1
2.219432500E-1,9.499332779E-1,2.590124460E-1,1.765432439E-2,1.738611871E-1,3.641422284E1,2.993556123E1,-3.240288527E0,1.987699627E1
2.319902500E-1,9.499750455E-1,2.590232672E-1,1.782972904E-2,1.735986543E-1,3.639890155E1,2.994090478E1,-3.213490270E0,1.985246900E1
2.420362500E-1,9.500002071E-1,2.591281602E-1,1.784569216E-2,1.733026570E-1,3.638966867E1,2.995435961E1,-3.204985061E0,1.981925366E1
2.520832500E-1,9.500107438E-1,2.593049030E-1,1.772357166E-2,1.729925405E-1,3.638580163E1,2.997367897E1,-3.212564916E0,1.978021363E1
2.621292500E-1,9.500164337E-1,2.595006435E-1,1.756336095E-2,1.726842363E-1,3.638371326E1,2.999451900E1,-3.224726046E0,1.974021253E1
2.721752500E-1,9.500229243E-1,2.596634673E-1,1.747165995E-2,1.724123048E-1,3.638133084E1,3.001268222E1,-3.229834675E0,1.970639948E1
2.822222500E-1,9.500367906E-1,2.597389312E-1,1.750253252E-2,1.722189772E-1,3.637624060E1,3.002267011E1,-3.222170549E0,1.968528437E1
2.922682500E-1,9.500706767E-1,2.597183952E-1,1.762419993E-2,1.720508113E-1,3.636379835E1,3.002302642E1,-3.203417017E0,1.966995263E1
3.023152500E-1,9.501193141E-1,2.596165579E-1,1.778611759E-2,1.719191446E-1,3.634593250E1,3.001449468E1,-3.179728308E0,1.966015825E1
3.123612500E-1,9.501788255E-1,2.594601298E-1,1.793224071E-2,1.718109958E-1,3.632406083E1,2.999920132E1,-3.157365399E0,1.965272103E1
3.224082500E-1,9.502433523E-1,2.592667074E-1,1.804792327E-2,1.717339092E-1,3.630033149E1,2.997891655E1,-3.138509349E0,1.964800756E1
3.324542500E-1,9.503158449E-1,2.590412639E-1,1.811398846E-2,1.716662213E-1,3.627365489E1,2.995392978E1,-3.124698621E0,1.964300600E1
3.425012500E-1,9.503952074E-1,2.587988879E-1,1.810274579E-2,1.715937709E-1,3.624442846E1,2.992553177E1,-3.118833090E0,1.963527216E1
3.525472500E-1,9.504674892E-1,2.585568491E-1,1.804162232E-2,1.715645631E-1,3.621778976E1,2.989612019E1,-3.119717116E0,1.963095862E1
3.625942500E-1,9.505471046E-1,2.583279706E-1,1.793406356E-2,1.714793001E-1,3.618842643E1,2.986754655E1,-3.124251358E0,1.961894798E1
3.726402500E-1,9.506257085E-1,2.581174155E-1,1.780965660E-2,1.713740594E-1,3.615941355E1,2.984086913E1,-3.130400844E0,1.960414902E1
3.826872500E-1,9.506989597E-1,2.579194939E-1,1.770243502E-2,1.712767844E-1,3.613235608E1,2.981596969E1,-3.135177643E0,1.959070728E1
3.927332500E-1,9.507648774E-1,2.577142072E-1,1.762999512E-2,1.712273040E-1,3.610799072E1,2.979071963E1,-3.137449242E0,1.958367954E1
4.027802500E-1,9.508285613E-1,2.574780900E-1,1.759496055E-2,1.712324881E-1,3.608443593E1,2.976239922E1,-3.136656707E0,1.958398691E1
4.128262500E-1,9.508990730E-1,2.572057370E-1,1.758301192E-2,1.712509906E-1,3.605833839E1,2.973022605E1,-3.133012349E0,1.958657189E1
4.228722500E-1,9.509749373E-1,2.569165254E-1,1.758345446E-2,1.712642247E-1,3.603023934E1,2.969633112E1,-3.127517220E0,1.958897480E1
4.329192500E-1,9.510571658E-1,2.566152070E-1,1.759747883E-2,1.712581977E-1,3.599975915E1,2.966132874E1,-3.119720802E0,1.958963350E1
4.429652500E-1,9.511486244E-1,2.563028251E-1,1.758672085E-2,1.712190011E-1,3.596582821E1,2.962466571E1,-3.113417979E0,1.958587258E1
4.530122500E-1,9.512419797E-1,2.560057320E-1,1.752779955E-2,1.711509340E-1,3.593116169E1,2.958898288E1,-3.111824297E0,1.957742823E1
4.630582500E-1,9.513361358E-1,2.557185433E-1,1.743132541E-2,1.710662188E-1,3.589616500E1,2.955380911E1,-3.114040691E0,1.956600016E1
4.731052500E-1,9.514222839E-1,2.554213027E-1,1.736180419E-2,1.710385705E-1,3.586411583E1,2.951780416E1,-3.114813327E0,1.956181232E1
4.831512500E-1,9.515047653E-1,2.551121556E-1,1.732587400E-2,1.710451875E-1,3.583340481E1,2.948093546E1,-3.112698021E0,1.956248618E1
4.931982500E-1,9.515851815E-1,2.547922715E-1,1.734006695E-2,1.710725830E-1,3.580343821E1,2.944368115E1,-3.105510164E0,1.956696335E1
5.032442500E-1,9.516619731E-1,2.544666450E-1,1.739614333E-2,1.711247608E-1,3.577479965E1,2.940647215E1,-3.094364080E0,1.957544675E1
5.132912500E-1,9.517340020E-1,2.541802150E-1,1.749356577E-2,1.711395543E-1,3.574791707E1,2.937472665E1,-3.078386516E0,1.958076590E1
5.233372500E-1,9.517907317E-1,2.539578588E-1,1.761394771E-2,1.711419145E-1,3.572673071E1,2.935094696E1,-3.060825905E0,1.958513693E1
5.333842500E-1,9.518340165E-1,2.537850672E-1,1.769953742E-2,1.711485316E-1,3.571055731E1,2.933230780E1,-3.048188879E0,1.958884151E1
5.434302500E-1,9.518589253E-1,2.536792892E-1,1.775178898E-2,1.711613864E-1,3.570124691E1,2.932087158E1,-3.040727634E0,1.959209643E1
5.534772500E-1,9.518669332E-1,2.536332648E-1,1.777336816E-2,1.711828813E-1,3.569825322E1,2.931583042E1,-3.038075871E0,1.959527258E1
5.635232500E-1,9.518700521E-1,2.536269638E-1,1.777865759E-2,1.711747048E-1,3.569708719E1,2.931521650E1,-3.037130001E0,1.959452134E1
5.735692500E-1,9.518543313E-1,2.536801321E-1,1.765668461E-2,1.711956518E-1,3.570296423E1,2.931910190E1,-3.052139178E0,1.959325267E1
5.836162500E-1,9.517914482E-1,2.539408841E-1,1.714182925E-2,1.712109932E-1,3.572646305E1,2.933997721E1,-3.114071674E0,1.957954251E1
5.936622500E-1,9.516860389E-1,2.543966707E-1,1.640372203E-2,1.711924908E-1,3.576581999E1,2.937966041E1,-3.203311588E0,1.955503113E1
6.037092500E-1,9.515700929E-1,2.548416466E-1,1.581515183E-2,1.712306336E-1,3.580906272E1,2.942073488E1,-3.277670312E0,1.954114972E1
