"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.919916685E-3,6.728341350E-1,4.926673874E0,8.456434481E0
1.196591667E-2,6.672493862E-1,4.922967324E0,8.459034737E0
2.201191668E-2,6.581824013E-1,4.916765183E0,8.463351152E0
3.205891667E-2,6.462368321E-1,4.909031070E0,8.468759826E0
4.210491668E-2,6.330915604E-1,4.900608741E0,8.474628677E0
5.215091666E-2,6.204596742E-1,4.892531397E0,8.480227970E0
6.219691667E-2,6.101380230E-1,4.885511230E0,8.485022687E0
7.224391669E-2,6.033384055E-1,4.879752600E0,8.488821623E0
8.228991667E-2,5.999081730E-1,4.875117220E0,8.491728274E0
9.233591668E-2,5.985394495E-1,4.871471773E0,8.493916302E0
1.023819167E-1,5.980967787E-1,4.867981862E0,8.495948210E0
1.124289167E-1,5.978673851E-1,4.863932666E0,8.498283003E0
1.224749167E-1,5.961903306E-1,4.859154906E0,8.501133521E0
1.325209167E-1,5.920876317E-1,4.854142965E0,8.504282831E0
1.425669167E-1,5.851324783E-1,4.849231888E0,8.507565458E0
1.526139167E-1,5.756727798E-1,4.844708482E0,8.510787274E0
1.626599167E-1,5.647134896E-1,4.840501995E0,8.513914949E0
1.727059167E-1,5.537017208E-1,4.836918822E0,8.516673666E0
1.827519167E-1,5.433561690E-1,4.834172677E0,8.518899116E0
1.927989167E-1,5.339638596E-1,4.832805305E0,8.520268534E0
2.028449167E-1,5.263116085E-1,4.833292963E0,8.520467924E0
2.128909167E-1,5.201681217E-1,4.836669146E0,8.518929521E0
2.229379167E-1,5.154063686E-1,4.843222412E0,8.515494867E0
2.329839167E-1,5.115433325E-1,4.851842963E0,8.510818849E0
2.430299167E-1,5.066302095E-1,4.861240608E0,8.505749313E0
2.530759167E-1,5.001294213E-1,4.869846539E0,8.501209534E0
2.631229167E-1,4.917046434E-1,4.876446877E0,8.497916967E0
2.731689167E-1,4.809213179E-1,4.881139852E0,8.495839452E0
2.832149167E-1,4.674585424E-1,4.884303488E0,8.494772335E0
2.932609167E-1,4.524983315E-1,4.886656115E0,8.494229713E0
3.033079167E-1,4.375393997E-1,4.888650600E0,8.493866016E0
3.133539167E-1,4.241733225E-1,4.890548022E0,8.493451449E0
3.233999167E-1,4.132431223E-1,4.892117414E0,8.493086582E0
3.334459167E-1,4.049427073E-1,4.893743233E0,8.492549223E0
3.434929167E-1,3.993049316E-1,4.895921905E0,8.491561044E0
3.535389167E-1,3.964600420E-1,4.898788503E0,8.490040768E0
3.635849167E-1,3.966382359E-1,4.901843965E0,8.488268477E0
3.736309167E-1,3.998641082E-1,4.904250679E0,8.486727151E0
3.836779167E-1,4.047603839E-1,4.905151443E0,8.485974029E0
3.937239167E-1,4.099024253E-1,4.904474920E0,8.486118456E0
4.037699167E-1,4.138555085E-1,4.902248300E0,8.487213054E0
4.138159167E-1,4.155752112E-1,4.898743772E0,8.489152576E0
4.238629167E-1,4.155042041E-1,4.894213349E0,8.491768620E0
4.339089167E-1,4.143245649E-1,4.889500201E0,8.494540785E0
4.439549167E-1,4.128038137E-1,4.885210683E0,8.497082570E0
4.540009167E-1,4.121504239E-1,4.881524891E0,8.499232006E0
4.640479167E-1,4.127873319E-1,4.878353361E0,8.501021839E0
4.740939167E-1,4.145815865E-1,4.875069273E0,8.502818688E0
4.841399167E-1,4.175524106E-1,4.870887344E0,8.505069866E0
4.941859167E-1,4.211755282E-1,4.865342429E0,8.508064225E0
5.042329167E-1,4.247398812E-1,4.858718411E0,8.511671373E0
5.142789167E-1,4.275878407E-1,4.851678363E0,8.515543984E0
5.243249167E-1,4.296058975E-1,4.844737718E0,8.519393206E0
5.343719167E-1,4.309126406E-1,4.839191634E0,8.522478197E0
5.444179167E-1,4.320759076E-1,4.835881818E0,8.524298435E0
5.544639167E-1,4.331839915E-1,4.833962469E0,8.525330468E0
5.645099167E-1,4.348896243E-1,4.832692454E0,8.525963137E0
5.745569167E-1,4.366885202E-1,4.830836548E0,8.526923250E0
5.846029167E-1,4.379561966E-1,4.827413003E0,8.528797283E0
5.946489167E-1,4.382956640E-1,4.822255174E0,8.531696917E0
6.046949167E-1,4.371633141E-1,4.815554557E0,8.535539122E0
6.147419167E-1,4.349413356E-1,4.808076261E0,8.539867231E0
6.247879167E-1,4.323679029E-1,4.800989436E0,8.543983671E0
