"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.101891667E-2,1.506135559E1,1.121908569E1,-5.582781982E1
2.106591666E-2,1.507765961E1,1.129229736E1,-5.593988037E1
3.111191667E-2,1.502635193E1,1.130404663E1,-5.585449219E1
4.115791668E-2,1.494969940E1,1.135577393E1,-5.589611816E1
5.120391666E-2,1.482366943E1,1.120260620E1,-5.589318848E1
6.124991667E-2,1.462781525E1,1.120938110E1,-5.580261230E1
7.129591668E-2,1.473141479E1,1.118994141E1,-5.584228516E1
8.134191667E-2,1.465082169E1,1.112908936E1,-5.564221191E1
9.138791668E-2,1.449407578E1,1.117446899E1,-5.572033691E1
1.014339167E-1,1.461082458E1,1.126492310E1,-5.572326660E1
1.114809167E-1,1.445896149E1,1.115484619E1,-5.561395264E1
1.215269167E-1,1.430173111E1,1.112054443E1,-5.576947021E1
1.315729167E-1,1.432794952E1,1.126785278E1,-5.561114502E1
1.416189167E-1,1.423033142E1,1.122070312E1,-5.581427002E1
1.516649167E-1,1.419934082E1,1.119641113E1,-5.573132324E1
1.617105833E-1,1.421720886E1,1.118341064E1,-5.585784912E1
1.717565834E-1,1.421720886E1,1.118341064E1,-5.585784912E1
1.818025833E-1,1.433547592E1,1.125888062E1,-5.579449463E1
1.918485833E-1,1.433547592E1,1.125888062E1,-5.579449463E1
2.018955833E-1,1.429896545E1,1.129910278E1,-5.547900391E1
2.119415833E-1,1.416579056E1,1.146337891E1,-5.550195312E1
2.219875834E-1,1.438465500E1,1.140252686E1,-5.550384521E1
2.320335833E-1,1.446479034E1,1.147109985E1,-5.547167969E1
2.420795833E-1,1.449556732E1,1.148257446E1,-5.540515137E1
2.521255833E-1,1.437036514E1,1.170471191E1,-5.546276855E1
2.621715833E-1,1.433647919E1,1.172708130E1,-5.514068604E1
2.722175833E-1,1.436257553E1,1.161535645E1,-5.521685791E1
2.822635833E-1,1.423969650E1,1.167684937E1,-5.513519287E1
2.923105833E-1,1.414548492E1,1.152368164E1,-5.532122803E1
3.023565833E-1,1.412729263E1,1.152261353E1,-5.538574219E1
3.124025833E-1,1.414247513E1,1.154714966E1,-5.532006836E1
3.224485833E-1,1.402118301E1,1.157705688E1,-5.533154297E1
3.324945833E-1,1.397108841E1,1.152639771E1,-5.528405762E1
3.425405833E-1,1.407112122E1,1.150982666E1,-5.525946045E1
3.525865834E-1,1.395711517E1,1.164303589E1,-5.517645264E1
3.626325833E-1,1.398067856E1,1.165090942E1,-5.529498291E1
