"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.653749781E-4,5.769003296E-1,5.633535004E0,8.195906525E0
1.081137499E-2,6.069877625E-1,5.644162903E0,8.194110260E0
2.085737500E-2,5.866300964E-1,5.694608002E0,8.128845978E0
3.090337498E-2,5.695655823E-1,5.686824188E0,8.060737610E0
4.094937499E-2,5.815406799E-1,5.690566406E0,8.005951538E0
5.099437499E-2,6.282435608E-1,5.711223450E0,7.945626984E0
6.104037497E-2,6.527925110E-1,5.753285980E0,7.891289978E0
7.108637498E-2,6.583309937E-1,5.768404541E0,7.774832153E0
8.113237499E-2,6.271957397E-1,5.753735046E0,7.636669464E0
9.117837498E-2,5.637277222E-1,5.709427185E0,7.509284363E0
1.012233750E-1,5.292993164E-1,5.661377106E0,7.483687592E0
1.112693750E-1,5.373825073E-1,5.579647064E0,7.592361603E0
1.213153750E-1,5.533992004E-1,5.554649048E0,7.764803009E0
1.313613750E-1,4.863386536E-1,5.509592743E0,7.810607758E0
1.414073750E-1,4.364923096E-1,5.440137177E0,7.862699432E0
1.514523750E-1,4.098477173E-1,5.393284607E0,7.998467102E0
1.614983750E-1,3.794609070E-1,5.352269897E0,8.131240997E0
1.715443750E-1,3.995191956E-1,5.285957794E0,8.179141388E0
1.815903750E-1,3.559597778E-1,5.278173981E0,8.124205627E0
1.916363750E-1,3.441343689E-1,5.269492035E0,8.040529633E0
2.016813750E-1,3.276686096E-1,5.302872620E0,8.007747803E0
2.117273750E-1,3.264710999E-1,5.371729431E0,7.970625000E0
2.217733750E-1,3.165916443E-1,5.274431763E0,7.952063599E0
2.318193750E-1,1.363664246E-1,5.136718140E0,8.026309204E0
2.418653750E-1,1.127156067E-1,5.125042419E0,8.059390411E0
2.519103750E-1,2.537223816E-1,5.199587402E0,8.650511169E0
2.619563750E-1,2.040257263E-1,5.139113159E0,8.696166229E0
2.720023750E-1,1.425036621E-1,5.119204559E0,8.491392059E0
2.820483750E-1,1.314266968E-1,5.171595612E0,8.344547424E0
2.920943750E-1,1.685494995E-1,5.183421021E0,8.164471893E0
3.021393750E-1,2.041754150E-1,5.210065613E0,8.108039246E0
3.121853750E-1,2.951861572E-1,5.208718414E0,8.165669403E0
3.222313750E-1,3.781137085E-1,5.260510712E0,8.241112518E0
3.322773750E-1,4.306544495E-1,5.275329895E0,8.268056488E0
3.423233750E-1,4.751119995E-1,5.281467133E0,8.250243530E0
3.523683750E-1,5.240602112E-1,5.294340363E0,8.226742401E0
3.624143750E-1,5.668711853E-1,5.304968262E0,8.198600922E0
3.724603750E-1,6.110293579E-1,5.296585693E0,8.201445007E0
3.825063750E-1,6.316864014E-1,5.328768768E0,8.262368317E0
3.925513750E-1,6.846762085E-1,5.301525421E0,8.351582794E0
4.025973750E-1,6.030958557E-1,5.243446198E0,8.406967621E0
4.126433750E-1,5.105882263E-1,5.224286041E0,8.414152679E0
4.226893750E-1,5.069956970E-1,5.186863861E0,8.365503845E0
4.327353750E-1,5.032534790E-1,5.149591370E0,8.375383301E0
4.427803750E-1,6.010002136E-1,5.157375183E0,8.558153229E0
4.528263750E-1,3.983216858E-1,5.118156738E0,8.481063538E0
4.628723750E-1,1.910028076E-1,4.965773621E0,8.596174164E0
4.729183750E-1,2.261796570E-1,4.972060547E0,8.598718872E0
4.829643750E-1,3.230282593E-1,5.167853394E0,8.422385559E0
4.930093750E-1,4.403842163E-1,5.289101257E0,8.343798981E0
5.030553750E-1,5.096900940E-1,5.368136902E0,8.302784271E0
5.131013750E-1,4.926255798E-1,5.461093597E0,8.214467926E0
5.231473750E-1,5.078938293E-1,5.515729980E0,8.178243256E0
5.331930000E-1,5.114863586E-1,5.523214417E0,8.199199677E0
5.432380000E-1,4.755610657E-1,5.506000214E0,8.174650726E0
5.532840000E-1,4.391867065E-1,5.488935699E0,8.224946136E0
5.633300000E-1,4.263134766E-1,5.429209900E0,8.255332947E0
5.733760000E-1,4.245172119E-1,5.385800171E0,8.304879913E0
5.834210000E-1,4.082011414E-1,5.311105499E0,8.392747192E0
5.934670000E-1,4.156855774E-1,5.240751801E0,8.468489685E0
6.035130000E-1,4.173321533E-1,5.215903473E0,8.575966187E0
6.135590000E-1,3.782633972E-1,5.128036194E0,8.610244904E0
6.236050000E-1,3.043171692E-1,5.054688721E0,8.579708405E0
6.336500000E-1,2.592608643E-1,5.029541016E0,8.518036652E0
6.436960000E-1,2.430944824E-1,4.968617706E0,8.494984589E0
6.537420000E-1,1.956431580E-1,4.920118561E0,8.504265289E0
6.637880000E-1,1.688488770E-1,4.910388794E0,8.477471008E0
6.738340000E-1,2.016307068E-1,4.886288910E0,8.436456299E0
6.838790000E-1,2.154020691E-1,4.915627899E0,8.377329254E0
6.939250000E-1,2.498304749E-1,4.957391052E0,8.310268707E0
