"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
5.788374983E-3,4.107498330E-1,5.501867986E0,8.111524771E0
1.583437499E-2,4.096555632E-1,5.508039722E0,8.107390789E0
2.588037497E-2,4.084213621E-1,5.514033703E0,8.103377261E0
3.592637499E-2,4.067038522E-1,5.519040674E0,8.100054873E0
4.597237500E-2,4.041290673E-1,5.522808620E0,8.097614830E0
5.601737500E-2,4.000353220E-1,5.524652832E0,8.096559992E0
6.606337498E-2,3.946059630E-1,5.524572140E0,8.096881589E0
7.610937499E-2,3.890245033E-1,5.522513335E0,8.098556231E0
8.615537500E-2,3.847984282E-1,5.518372337E0,8.101579826E0
9.620137498E-2,3.825421338E-1,5.512112308E0,8.105947697E0
1.062463750E-1,3.816813506E-1,5.503980001E0,8.111511907E0
1.162923750E-1,3.808742521E-1,5.494852497E0,8.117735683E0
1.263383750E-1,3.790510537E-1,5.485173601E0,8.124363502E0
1.363843750E-1,3.763465337E-1,5.474184344E0,8.131898809E0
1.464303750E-1,3.728843243E-1,5.461901098E0,8.140312952E0
1.564753750E-1,3.689272942E-1,5.448602775E0,8.149400110E0
1.665213750E-1,3.647079068E-1,5.434608049E0,8.158928733E0
1.765673750E-1,3.607790895E-1,5.420168935E0,8.168702939E0
1.866133750E-1,3.578146974E-1,5.405049205E0,8.178845519E0
1.966583750E-1,3.558810231E-1,5.389148871E0,8.189414946E0
2.067043750E-1,3.547765207E-1,5.372374379E0,8.200477293E0
2.167503750E-1,3.544233488E-1,5.355217479E0,8.211706286E0
2.267963750E-1,3.560586689E-1,5.338556423E0,8.222477442E0
2.368423750E-1,3.611950093E-1,5.323150179E0,8.232235860E0
2.468873750E-1,3.678073331E-1,5.311100821E0,8.239722635E0
2.569333750E-1,3.730242920E-1,5.304384710E0,8.243813347E0
2.669793750E-1,3.772931249E-1,5.300551860E0,8.246083821E0
2.770253750E-1,3.820041534E-1,5.298089597E0,8.247449146E0
2.870713750E-1,3.895451247E-1,5.296122009E0,8.248360142E0
2.971163750E-1,4.024175873E-1,5.295583481E0,8.248087662E0
3.071623750E-1,4.213953469E-1,5.297703681E0,8.245778596E0
3.172083750E-1,4.443607249E-1,5.302368005E0,8.241573864E0
3.272543750E-1,4.673361163E-1,5.307565595E0,8.236956317E0
3.373003750E-1,4.864413818E-1,5.310691516E0,8.233834489E0
3.473453750E-1,5.013158214E-1,5.310907863E0,8.232802455E0
3.573913750E-1,5.121273962E-1,5.308055007E0,8.233976576E0
3.674373750E-1,5.194159505E-1,5.302425308E0,8.237147521E0
3.774833750E-1,5.237766212E-1,5.294432749E0,8.242011235E0
3.875293750E-1,5.250817928E-1,5.284244560E0,8.248463638E0
3.975743750E-1,5.229505924E-1,5.271953128E0,8.256460290E0
4.076203750E-1,5.185878021E-1,5.258937811E0,8.265031139E0
