"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.044049999E-2,9.418195460E-1,2.715660323E-1,3.166823581E-2,1.955118967E-1,3.928118913E1,3.163349146E1,-2.667351576E0,2.269912665E1
2.048650000E-2,9.417523217E-1,2.715508384E-1,3.212974381E-2,1.957812572E-1,3.930410117E1,3.164124377E1,-2.625788099E0,2.274376154E1
3.053249998E-2,9.417226082E-1,2.713541917E-1,3.276124057E-2,1.960923431E-1,3.931422435E1,3.163148185E1,-2.562947523E0,2.279881979E1
4.057849999E-2,9.417127880E-1,2.710455082E-1,3.348551309E-2,1.964433842E-1,3.931756947E1,3.161066537E1,-2.488721220E0,2.286151644E1
5.062450000E-2,9.417097534E-1,2.707100931E-1,3.415211818E-2,1.968052570E-1,3.931860310E1,3.158551704E1,-2.420410746E0,2.292370300E1
6.067049998E-2,9.417055387E-1,2.704136005E-1,3.466596202E-2,1.971432748E-1,3.932003866E1,3.156163841E1,-2.368720069E0,2.297837568E1
7.071649999E-2,9.416936533E-1,2.702103579E-1,3.496909270E-2,1.974247314E-1,3.932408665E1,3.154409399E1,-2.340155824E0,2.301993548E1
8.076249997E-2,9.416849711E-1,2.701043164E-1,3.504483058E-2,1.975976178E-1,3.932704345E1,3.153303869E1,-2.334965610E0,2.304200785E1
9.080849998E-2,9.416852240E-1,2.700550046E-1,3.495120136E-2,1.976808157E-1,3.932695733E1,3.152499109E1,-2.346535776E0,2.304861276E1
1.008545000E-1,9.416929790E-1,2.699978008E-1,3.478100185E-2,1.977520438E-1,3.932431632E1,3.151431816E1,-2.365795189E0,2.305152439E1
1.109005000E-1,9.417183514E-1,2.698479161E-1,3.462793503E-2,1.978628900E-1,3.931567441E1,3.149311508E1,-2.382257213E0,2.305965310E1
1.209465000E-1,9.417747860E-1,2.695381578E-1,3.454309342E-2,1.980307609E-1,3.929644610E1,3.145463798E1,-2.389357206E0,2.307669174E1
1.309925000E-1,9.418661182E-1,2.690576732E-1,3.457953991E-2,1.982430546E-1,3.926530836E1,3.139885725E1,-2.380696425E0,2.310287624E1
1.410385000E-1,9.419890606E-1,2.684212769E-1,3.473933969E-2,1.984940391E-1,3.922335635E1,3.132758878E1,-2.356201893E0,2.313757089E1
1.510845000E-1,9.421262907E-1,2.676971940E-1,3.496994617E-2,1.987795419E-1,3.917647791E1,3.124764087E1,-2.323019966E0,2.317850382E1
1.611305000E-1,9.422509190E-1,2.670057328E-1,3.526510055E-2,1.990666883E-1,3.913385759E1,3.117301541E1,-2.283655031E0,2.322149158E1
1.711765000E-1,9.423402281E-1,2.664436624E-1,3.560431946E-2,1.993366389E-1,3.910328822E1,3.111458191E1,-2.242051980E0,2.326356101E1
1.812225000E-1,9.423919002E-1,2.660539937E-1,3.597114456E-2,1.995466145E-1,3.908559106E1,3.107706080E1,-2.199696557E0,2.329929624E1
1.912685000E-1,9.424006667E-1,2.658683474E-1,3.633559889E-2,1.996866263E-1,3.908258784E1,3.106346390E1,-2.160294639E0,2.332661000E1
2.013145000E-1,9.423745357E-1,2.658726464E-1,3.665363901E-2,1.997458005E-1,3.909153909E1,3.107113944E1,-2.127937435E0,2.334297991E1
2.113605000E-1,9.423317988E-1,2.660094551E-1,3.687088494E-2,1.997254014E-1,3.910617447E1,3.109212534E1,-2.107153445E0,2.334702503E1
2.214065000E-1,9.422926865E-1,2.662321169E-1,3.694044831E-2,1.996004782E-1,3.911956397E1,3.111993922E1,-2.101088113E0,2.333459019E1
2.314525000E-1,9.422596434E-1,2.665262281E-1,3.684385827E-2,1.993815674E-1,3.913087235E1,3.115246005E1,-2.111705642E0,2.330632000E1
