"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
8.532249980E-3,5.871409238E-1,5.298835702E0,8.234907453E0
1.857824999E-2,5.706732276E-1,5.297987856E0,8.236610747E0
2.862425000E-2,5.543257648E-1,5.296707900E0,8.238550268E0
3.867124999E-2,5.395635553E-1,5.295765914E0,8.240135449E0
4.871725000E-2,5.275547996E-1,5.295325618E0,8.241196133E0
5.876324998E-2,5.189848645E-1,5.295414496E0,8.241683207E0
6.881025000E-2,5.137677960E-1,5.295299306E0,8.242083741E0
7.885624998E-2,5.109624847E-1,5.294391233E0,8.242841540E0
8.890325000E-2,5.092229746E-1,5.292021357E0,8.244470574E0
9.894924998E-2,5.073342143E-1,5.287830657E0,8.247276068E0
1.089952500E-1,5.049892981E-1,5.282008000E0,8.251149849E0
1.190422500E-1,5.022131862E-1,5.274427085E0,8.256167344E0
1.290882500E-1,4.993905891E-1,5.265315953E0,8.262151970E0
1.391342500E-1,4.971249026E-1,5.255383873E0,8.268609635E0
1.491812500E-1,4.954823101E-1,5.245376948E0,8.275060283E0
1.592272500E-1,4.947641624E-1,5.235864698E0,8.281125015E0
1.692732500E-1,4.947914981E-1,5.227290925E0,8.286538367E0
1.793202500E-1,4.945613371E-1,5.220112883E0,8.291075222E0
1.893662500E-1,4.932237135E-1,5.214616501E0,8.294612787E0
1.994132500E-1,4.910613766E-1,5.210632793E0,8.297244619E0
2.094592500E-1,4.886751278E-1,5.207368877E0,8.299434401E0
2.195052500E-1,4.867069185E-1,5.203849438E0,8.301756915E0
2.295522500E-1,4.850987515E-1,5.199416079E0,8.304628483E0
2.395982500E-1,4.832742740E-1,5.193912095E0,8.308178328E0
2.496442500E-1,4.808992447E-1,5.187640956E0,8.312233372E0
2.596912500E-1,4.782466553E-1,5.181047636E0,8.316497161E0
2.697372500E-1,4.761864619E-1,5.174612190E0,8.320621203E0
2.797832500E-1,4.754262874E-1,5.168755034E0,8.324304364E0
2.898302500E-1,4.759512942E-1,5.164046271E0,8.327196397E0
2.998762500E-1,4.772224789E-1,5.160892283E0,8.329078615E0
3.099222500E-1,4.790046372E-1,5.159594786E0,8.329780281E0
3.199692500E-1,4.809877934E-1,5.159345695E0,8.329820042E0
3.300152500E-1,4.828974575E-1,5.159210039E0,8.329793730E0
3.400622500E-1,4.844710894E-1,5.158355176E0,8.330231686E0
3.501082500E-1,4.848370520E-1,5.156335548E0,8.331460186E0
3.601542500E-1,4.836243761E-1,5.153448778E0,8.333316677E0
3.702012500E-1,4.810666578E-1,5.150279002E0,8.335424598E0
3.802472500E-1,4.779440984E-1,5.147479355E0,8.337333130E0
3.902932500E-1,4.751943722E-1,5.145764367E0,8.338549351E0
4.003402500E-1,4.734863639E-1,5.145694200E0,8.338689684E0
4.103862500E-1,4.726598234E-1,5.147122675E0,8.337854701E0
4.204322500E-1,4.726185275E-1,5.149724686E0,8.336250225E0
4.304792500E-1,4.730032012E-1,5.152920774E0,8.334253401E0
4.405252500E-1,4.734197422E-1,5.156106337E0,8.332258916E0
4.505712500E-1,4.732414752E-1,5.159057427E0,8.330442186E0
4.606182500E-1,4.720987100E-1,5.161751239E0,8.328838295E0
4.706642500E-1,4.701710292E-1,5.163880211E0,8.327627336E0
4.807112500E-1,4.677983387E-1,5.165348446E0,8.326850826E0
4.907571250E-1,4.653895782E-1,5.166458248E0,8.326297095E0
5.008031250E-1,4.638574615E-1,5.167141203E0,8.325958541E0
5.108501250E-1,4.635214659E-1,5.167428886E0,8.325798912E0
5.208961250E-1,4.639481665E-1,5.167656342E0,8.325633436E0
5.309421250E-1,4.645451307E-1,5.167959228E0,8.325412411E0
