"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.707833348E-3,4.685256958E-1,5.000950470E0,8.588689728E0
1.175383336E-2,4.453239441E-1,5.052593079E0,8.504265289E0
2.179895833E-2,4.323010254E-1,5.083279266E0,8.396639099E0
3.184595835E-2,4.050576782E-1,5.136867828E0,8.316855011E0
4.189195836E-2,3.791615295E-1,5.169949036E0,8.217312012E0
5.193795834E-2,3.483256531E-1,5.169200592E0,8.139024811E0
6.198395835E-2,3.396437073E-1,5.138215027E0,8.074359283E0
7.203095834E-2,3.097059631E-1,5.130131836E0,8.045619049E0
8.207695835E-2,3.324586487E-1,5.091212769E0,8.052055664E0
9.212295833E-2,3.623963928E-1,5.091961212E0,8.136031036E0
1.021699584E-1,4.059558105E-1,5.068460083E0,8.242310028E0
1.122159584E-1,4.689747620E-1,5.040318604E0,8.321495361E0
1.222619583E-1,4.872367859E-1,5.016667786E0,8.367000732E0
1.323079584E-1,4.722679138E-1,4.989125061E0,8.358468475E0
1.423549583E-1,4.276606750E-1,4.944368134E0,8.337362366E0
1.524009584E-1,3.582051086E-1,4.876409454E0,8.366551666E0
1.624469583E-1,1.528321838E-1,4.700824585E0,8.461454315E0
1.724929583E-1,2.019300842E-1,4.751269684E0,8.418194275E0
1.825399583E-1,2.510279846E-1,4.787194977E0,8.402327271E0
1.925859583E-1,2.251318359E-1,4.767585754E0,8.411009216E0
2.026319584E-1,1.956431580E-1,4.752916260E0,8.434061279E0
2.126789583E-1,2.076182556E-1,4.773573303E0,8.436755676E0
2.227249584E-1,2.724334717E-1,4.815486145E0,8.473429413E0
2.327709583E-1,3.339555359E-1,4.863087158E0,8.505612488E0
2.428169583E-1,4.164340210E-1,4.913382568E0,8.576864319E0
2.528639583E-1,4.396357727E-1,4.928650818E0,8.634045410E0
2.629099583E-1,3.938310242E-1,4.936584320E0,8.642278290E0
2.729559584E-1,3.623963928E-1,4.936135254E0,8.605305176E0
2.830019583E-1,3.448828125E-1,4.974455566E0,8.522677002E0
2.930489584E-1,3.617976379E-1,5.019511871E0,8.431366882E0
3.030949583E-1,4.296066284E-1,5.066065063E0,8.390202484E0
3.131409583E-1,4.790039062E-1,5.111720123E0,8.410111084E0
3.231869584E-1,4.535568237E-1,5.099146271E0,8.436007233E0
3.332339583E-1,4.194277954E-1,5.070406036E0,8.442144470E0
3.432799584E-1,4.079017639E-1,5.072052612E0,8.436156921E0
3.533259583E-1,3.769161987E-1,5.069807281E0,8.397836609E0
3.633729584E-1,3.716770935E-1,5.071902924E0,8.364605713E0
3.734189583E-1,3.731739807E-1,5.092260590E0,8.327333221E0
3.834649583E-1,3.356021118E-1,5.063370667E0,8.309969330E0
3.935109584E-1,3.038681030E-1,5.051994324E0,8.284671936E0
4.035579583E-1,2.827619934E-1,5.039719849E0,8.263416138E0
4.136039584E-1,2.366578674E-1,5.013075256E0,8.278684387E0
4.236499583E-1,2.445913696E-1,4.990621948E0,8.280630341E0
4.336959583E-1,2.803669739E-1,4.981640625E0,8.333470459E0
4.437429583E-1,3.213816833E-1,4.974904633E0,8.389454041E0
4.537889583E-1,3.532653809E-1,4.977299652E0,8.437953186E0
4.638349584E-1,3.626957703E-1,4.961133270E0,8.490942993E0
4.738809583E-1,2.833607483E-1,4.942422180E0,8.487350464E0
4.839279584E-1,2.230361938E-1,4.876259766E0,8.469238129E0
4.939739583E-1,1.517843628E-1,4.863685913E0,8.455317078E0
5.040199583E-1,1.405577087E-1,4.877606964E0,8.402776337E0
5.140669583E-1,1.386117554E-1,4.877906342E0,8.387059021E0
5.241129583E-1,1.408570862E-1,4.888085175E0,8.392747192E0
5.341589584E-1,1.390608215E-1,4.884342957E0,8.402327271E0
5.442049583E-1,1.294807434E-1,4.862787781E0,8.460406494E0
5.542519584E-1,1.312770081E-1,4.831951904E0,8.474626923E0
5.642979583E-1,1.332229614E-1,4.827760620E0,8.476123810E0
5.743439583E-1,1.845661926E-1,4.857099609E0,8.455167389E0
5.843899584E-1,4.483177185E-1,4.917723541E0,8.501421204E0
5.944369583E-1,2.568658447E-1,4.969815216E0,8.635542297E0
6.044829584E-1,1.067280579E-1,4.718936920E0,8.674461365E0
6.145289583E-1,1.971400452E-1,4.881349182E0,8.520281982E0
6.245749583E-1,2.496807861E-1,4.944667511E0,8.409512329E0
6.346219583E-1,2.198927307E-1,4.917573853E0,8.377329254E0
6.446679583E-1,1.848655701E-1,4.917424164E0,8.370443573E0
6.547139584E-1,1.615141296E-1,4.897365875E0,8.364456024E0
6.647609583E-1,1.299298096E-1,4.893024902E0,8.433612213E0
6.748069584E-1,1.312770081E-1,4.878654785E0,8.488997040E0
6.848529583E-1,1.951940918E-1,4.883444824E0,8.506510620E0
6.948989583E-1,2.612068176E-1,4.923860779E0,8.537496185E0
7.049459583E-1,3.002755737E-1,4.928950195E0,8.536897430E0
7.149919583E-1,3.209326172E-1,4.935686188E0,8.543783112E0
7.250379584E-1,2.680924988E-1,4.934488678E0,8.541088715E0
7.350839583E-1,1.935475159E-1,4.929099884E0,8.510552216E0
7.451309584E-1,1.261875916E-1,4.928800507E0,8.456664276E0
7.551769583E-1,1.254391479E-1,4.903952179E0,8.436306610E0
7.652229583E-1,1.116677856E-1,4.864733734E0,8.439001007E0
7.752689584E-1,1.196012878E-1,4.815486145E0,8.525371399E0
7.853159583E-1,1.026864624E-1,4.764142914E0,8.608448639E0
7.953619584E-1,8.277786255E-2,4.728217621E0,8.641679535E0
