"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.063570834E-2,2.829390910E-1,5.416818480E0,8.173990576E0
2.068170832E-2,2.726028399E-1,5.420871186E0,8.171654613E0
3.072770833E-2,2.617263062E-1,5.425207481E0,8.169132124E0
4.077470832E-2,2.501614638E-1,5.430258306E0,8.166138350E0
5.082070833E-2,2.371882099E-1,5.435968696E0,8.162725330E0
6.086670834E-2,2.235309414E-1,5.441778490E0,8.159239220E0
7.091270832E-2,2.096792712E-1,5.447167284E0,8.156010388E0
8.095870833E-2,1.958345446E-1,5.451684843E0,8.153335286E0
9.100570832E-2,1.824535205E-1,5.455157504E0,8.151322675E0
1.010517083E-1,1.688097006E-1,5.458051291E0,8.149679607E0
1.110977083E-1,1.546430300E-1,5.460595999E0,8.148255810E0
1.211437083E-1,1.400343373E-1,5.463350038E0,8.146673554E0
1.311897083E-1,1.254834954E-1,5.466360769E0,8.144891322E0
1.412367083E-1,1.118571167E-1,5.469077970E0,8.143265212E0
1.512827083E-1,9.931316715E-2,5.470736825E0,8.142313285E0
1.613287083E-1,8.715432988E-2,5.470642685E0,8.142516768E0
1.713747083E-1,7.529352244E-2,5.469056920E0,8.143699660E0
1.814207083E-1,6.394991037E-2,5.466618631E0,8.145433944E0
1.914677083E-1,5.269254930E-2,5.463990308E0,8.147278156E0
2.015137083E-1,4.157906628E-2,5.461532723E0,8.148989636E0
2.115597083E-1,3.186393803E-2,5.459649920E0,8.150294734E0
2.216057083E-1,2.393531232E-2,5.458576956E0,8.151040839E0
2.316517083E-1,1.727967228E-2,5.458241326E0,8.151282329E0
2.416987083E-1,1.161952299E-2,5.458593328E0,8.151056042E0
2.517447083E-1,7.184194645E-3,5.458912586E0,8.150847881E0
2.617907083E-1,4.687352477E-3,5.458557660E0,8.151087032E0
2.718367083E-1,4.249435710E-3,5.457025689E0,8.152113218E0
2.818827083E-1,5.894735700E-3,5.454398535E0,8.153870307E0
2.919297083E-1,8.537002233E-3,5.450903655E0,8.156204515E0
3.019757083E-1,1.065682804E-2,5.447120506E0,8.158729343E0
3.120217083E-1,1.157018254E-2,5.443190593E0,8.161350065E0
3.220677083E-1,1.108852729E-2,5.439077661E0,8.164092994E0
3.321137083E-1,9.842340593E-3,5.435071149E0,8.166762248E0
3.421607083E-1,8.765781968E-3,5.431368107E0,8.169226264E0
3.522067083E-1,8.595277388E-3,5.428410001E0,8.171192683E0
3.622527083E-1,9.794846813E-3,5.426447091E0,8.172495443E0
3.722987083E-1,1.243273479E-2,5.425340797E0,8.173226345E0
3.823447083E-1,1.561756697E-2,5.424909273E0,8.173507011E0
3.923917083E-1,1.932150514E-2,5.424594693E0,8.173707570E0
4.024377083E-1,2.303333134E-2,5.423682527E0,8.174303986E0
4.124832083E-1,2.616076488E-2,5.421534845E0,8.175718428E0
4.225292083E-1,2.845027872E-2,5.418426465E0,8.177770801E0
4.325752083E-1,2.951761028E-2,5.414797098E0,8.180171083E0
4.426222083E-1,2.904590899E-2,5.411440796E0,8.182393609E0
4.526682083E-1,2.749636487E-2,5.409072089E0,8.183965341E0
4.627142083E-1,2.555743501E-2,5.407618471E0,8.184931301E0
4.727602083E-1,2.421759579E-2,5.406565388E0,8.185631213E0
4.828062083E-1,2.371212684E-2,5.405349167E0,8.186436374E0
4.928532083E-1,2.348523660E-2,5.404188495E0,8.187203529E0
5.028992083E-1,2.314559331E-2,5.403561088E0,8.187618096E0
5.129452083E-1,2.262164853E-2,5.403330123E0,8.187771878E0
5.229912083E-1,2.249406503E-2,5.403209086E0,8.187851985E0
5.330372083E-1,2.275124887E-2,5.402745402E0,8.188157794E0
5.430832084E-1,2.365180230E-2,5.401456676E0,8.189005056E0
