"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.307512500E-2,-1.050967127E-1,1.588511765E-1,-1.338206381E-1
2.311912499E-2,-9.752485156E-2,1.879742891E-1,-1.500401646E-1
3.316312499E-2,-9.559832513E-2,1.923093945E-1,-1.529190391E-1
4.320812499E-2,-1.029822454E-1,1.722971946E-1,-1.559511274E-1
5.325212498E-2,-1.093898118E-1,1.433345228E-1,-1.656673998E-1
6.329712499E-2,-1.119162142E-1,9.272257239E-2,-1.705727875E-1
7.334112498E-2,-1.130371317E-1,4.102262482E-2,-1.681125611E-1
8.338512504E-2,-1.190209016E-1,9.083893150E-3,-1.538490653E-1
9.343012504E-2,-1.367674172E-1,3.085122909E-3,-1.283900440E-1
1.034741250E-1,-1.482159346E-1,3.092591278E-2,-1.169750541E-1
1.135181250E-1,-1.405055523E-1,5.584191531E-2,-1.301550269E-1
1.235631250E-1,-1.067538634E-1,8.403889835E-2,-1.301543266E-1
1.336071250E-1,-4.950521886E-2,7.322273403E-2,-1.165322512E-1
1.436511250E-1,7.951281033E-3,4.937342554E-2,-1.051716879E-1
1.536961250E-1,1.700363308E-2,6.575452536E-2,-1.226758510E-1
1.637401250E-1,-3.722758219E-2,1.892664284E-1,-1.507862061E-1
1.737841250E-1,-9.475452453E-2,3.090402186E-1,-1.715729684E-1
1.838291250E-1,-1.198824868E-1,3.675731719E-1,-1.792158335E-1
1.938731250E-1,-1.193064451E-1,3.738393188E-1,-2.015720159E-1
2.039181250E-1,-9.974453598E-2,3.508466482E-1,-2.024649084E-1
2.139621250E-1,-7.303302735E-2,3.152361810E-1,-1.865408123E-1
2.240061250E-1,-4.279801622E-2,2.698850632E-1,-1.621407717E-1
2.340511250E-1,-2.071242221E-2,2.245910913E-1,-1.288816333E-1
2.440951250E-1,-1.247139089E-2,1.765360534E-1,-9.089814126E-2
2.541391250E-1,-1.068201382E-2,1.116324142E-1,-5.898175016E-2
2.641841250E-1,-2.035005018E-3,2.829330973E-2,-4.348997772E-2
2.742281250E-1,7.747052237E-3,-4.196833447E-2,-3.239311650E-2
2.842721250E-1,1.321065798E-2,-8.331374079E-2,-2.490835451E-2
2.943171250E-1,1.334717963E-4,-9.408303350E-2,-1.702220179E-2
