"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.307512500E-2,-3.002339935E1,-1.586785889E1,-2.251971436E1
2.311912499E-2,-2.999840546E1,-1.593789673E1,-2.245922852E1
3.316312499E-2,-2.989329529E1,-1.594598389E1,-2.246582031E1
4.320812499E-2,-2.977996063E1,-1.588125610E1,-2.237664795E1
5.325212498E-2,-2.977476501E1,-1.595889282E1,-2.268023682E1
6.329712499E-2,-2.953366852E1,-1.595501709E1,-2.279846191E1
7.334112498E-2,-2.954711914E1,-1.606481934E1,-2.282452393E1
8.338512504E-2,-2.959846497E1,-1.588800049E1,-2.272021484E1
9.343012504E-2,-2.945652008E1,-1.615057373E1,-2.298858643E1
1.034741250E-1,-2.955256653E1,-1.594589233E1,-2.289129639E1
1.135181250E-1,-2.942595673E1,-1.592108154E1,-2.291516113E1
1.235631250E-1,-2.950559998E1,-1.588473511E1,-2.308123779E1
1.336071250E-1,-2.955485535E1,-1.599713135E1,-2.278277588E1
1.436511250E-1,-2.948465729E1,-1.599932861E1,-2.296313477E1
1.536961250E-1,-2.931109619E1,-1.609243774E1,-2.281823730E1
1.637401250E-1,-2.914540863E1,-1.611560059E1,-2.293334961E1
1.737841250E-1,-2.906433868E1,-1.610903931E1,-2.319104004E1
1.838291250E-1,-2.901140594E1,-1.617163086E1,-2.323760986E1
1.938731250E-1,-2.882042694E1,-1.624844360E1,-2.334722900E1
2.039181250E-1,-2.864167786E1,-1.632791138E1,-2.368621826E1
2.139621250E-1,-2.851689148E1,-1.629727173E1,-2.358319092E1
2.240061250E-1,-2.843960571E1,-1.626516724E1,-2.361700439E1
2.340511250E-1,-2.849722290E1,-1.629840088E1,-2.373162842E1
2.440951250E-1,-2.849722290E1,-1.629840088E1,-2.373162842E1
2.541391250E-1,-2.838005829E1,-1.636947632E1,-2.380175781E1
2.641841250E-1,-2.844536591E1,-1.631112671E1,-2.390521240E1
2.742281250E-1,-2.819970703E1,-1.656048584E1,-2.382446289E1
2.842721250E-1,-2.819891357E1,-1.648767090E1,-2.392504883E1
2.943171250E-1,-2.821561432E1,-1.660388184E1,-2.377276611E1
3.043611250E-1,-2.830152893E1,-1.647381592E1,-2.398217773E1
3.144061250E-1,-2.839203644E1,-1.647882080E1,-2.396685791E1
3.244501250E-1,-2.834137726E1,-1.651843262E1,-2.405737305E1
3.344941250E-1,-2.827572632E1,-1.639013672E1,-2.393792725E1
3.445385834E-1,-2.839667511E1,-1.644854736E1,-2.406964111E1
3.545825834E-1,-2.821357727E1,-1.640460205E1,-2.400750732E1
3.646265834E-1,-2.827813721E1,-1.634179688E1,-2.400000000E1
3.746715834E-1,-2.826336670E1,-1.637731934E1,-2.403356934E1
3.847155834E-1,-2.827973938E1,-1.632012939E1,-2.397637939E1
3.947595833E-1,-2.831240082E1,-1.618905640E1,-2.403601074E1
4.048045833E-1,-2.834590912E1,-1.625561523E1,-2.412005615E1
4.148485833E-1,-2.841880798E1,-1.625189209E1,-2.410089111E1
4.248925833E-1,-2.835528564E1,-1.628790283E1,-2.398358154E1
4.349375833E-1,-2.842565155E1,-1.610461426E1,-2.372631836E1
4.449815833E-1,-2.857980347E1,-1.599487305E1,-2.366613770E1
4.550265833E-1,-2.856039429E1,-1.591857910E1,-2.359057617E1
4.650705833E-1,-2.862349701E1,-1.594946289E1,-2.371917725E1
4.751145833E-1,-2.866983032E1,-1.582000732E1,-2.384454346E1
4.851595833E-1,-2.871726227E1,-1.582165527E1,-2.391473389E1
4.952035833E-1,-2.872680664E1,-1.573724365E1,-2.382476807E1
5.052475833E-1,-2.853954315E1,-1.576446533E1,-2.366198730E1
5.152925833E-1,-2.877301788E1,-1.573452759E1,-2.370129395E1
5.253365833E-1,-2.872917175E1,-1.582147217E1,-2.331933594E1
5.353805833E-1,-2.873092651E1,-1.567633057E1,-2.346520996E1
5.454255833E-1,-2.878878021E1,-1.575424194E1,-2.351782227E1
5.554695834E-1,-2.873835754E1,-1.571737671E1,-2.375506592E1
5.655135834E-1,-2.873329163E1,-1.570422363E1,-2.366009521E1
5.755585834E-1,-2.876773071E1,-1.565347290E1,-2.358850098E1
5.856025834E-1,-2.864144135E1,-1.577178955E1,-2.351171875E1
5.956475834E-1,-2.868357086E1,-1.573870850E1,-2.361053467E1
6.056915834E-1,-2.896158600E1,-1.568499756E1,-2.398229980E1
6.157355834E-1,-2.883996582E1,-1.562069702E1,-2.388275146E1
6.257805834E-1,-2.872126007E1,-1.570419312E1,-2.399029541E1
6.358245834E-1,-2.878288269E1,-1.578347778E1,-2.395318604E1
6.458685833E-1,-2.878950500E1,-1.567599487E1,-2.419891357E1
6.559135834E-1,-2.881419373E1,-1.572814941E1,-2.407629395E1
6.659575833E-1,-2.876255798E1,-1.573471069E1,-2.400616455E1
6.760015833E-1,-2.879856110E1,-1.577481079E1,-2.394104004E1
6.860465833E-1,-2.879767609E1,-1.575366211E1,-2.411047363E1
6.960905833E-1,-2.884091187E1,-1.575781250E1,-2.410412598E1
7.061345833E-1,-2.891960144E1,-1.588528442E1,-2.379217529E1
7.161795833E-1,-2.889001465E1,-1.580477905E1,-2.379095459E1
7.262235833E-1,-2.881537628E1,-1.579806519E1,-2.386193848E1
7.362675833E-1,-2.877609253E1,-1.570718384E1,-2.399285889E1
7.463125833E-1,-2.865064240E1,-1.571350098E1,-2.379901123E1
7.563565833E-1,-2.870820618E1,-1.557553101E1,-2.396051025E1
7.664015833E-1,-2.862603760E1,-1.548129272E1,-2.395355225E1
7.764455833E-1,-2.867510223E1,-1.543087769E1,-2.424328613E1
7.864895833E-1,-2.867558289E1,-1.550909424E1,-2.431842041E1
7.965345833E-1,-2.851218414E1,-1.562869263E1,-2.412133789E1
8.065785833E-1,-2.859106445E1,-1.555313110E1,-2.400421143E1
8.166225834E-1,-2.844734955E1,-1.551135254E1,-2.407659912E1
8.266675833E-1,-2.840026855E1,-1.546121216E1,-2.408911133E1
8.367115834E-1,-2.843547058E1,-1.524942017E1,-2.412554932E1
8.467555834E-1,-2.833762360E1,-1.514843750E1,-2.435974121E1
8.568005834E-1,-2.849272919E1,-1.519583130E1,-2.429827881E1
8.668445834E-1,-2.868159485E1,-1.523056030E1,-2.411352539E1
8.768885834E-1,-2.896121216E1,-1.517910767E1,-2.408966064E1
8.869335834E-1,-2.882089233E1,-1.508218384E1,-2.376080322E1
8.969775834E-1,-2.890419769E1,-1.504678345E1,-2.392724609E1
9.070215833E-1,-2.895908356E1,-1.504357910E1,-2.394250488E1
9.170665834E-1,-2.898609161E1,-1.506973267E1,-2.388793945E1
9.271105833E-1,-2.888972473E1,-1.499649048E1,-2.388610840E1
9.371555833E-1,-2.894260406E1,-1.495294189E1,-2.391693115E1
9.471995833E-1,-2.877217102E1,-1.499673462E1,-2.417596436E1
9.572435833E-1,-2.890798950E1,-1.487640381E1,-2.397351074E1
9.672885833E-1,-2.890798950E1,-1.487640381E1,-2.397351074E1
