"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.307512500E-2,6.371692175E-1,1.248639689E-1,-2.088841750E-1,-7.312946152E-1,1.008378848E2,2.779189508E1,-4.793479429E0,-9.905597688E1
2.311912499E-2,6.368920229E-1,1.253307189E-1,-2.078598222E-1,-7.317479836E-1,1.008790921E2,2.773537905E1,-4.666025634E0,-9.908182009E1
3.316312499E-2,6.365935653E-1,1.258866069E-1,-2.068009116E-1,-7.322120783E-1,1.009234466E2,2.768248708E1,-4.527919484E0,-9.910802376E1
4.320812499E-2,6.362808409E-1,1.264003269E-1,-2.057555723E-1,-7.326896812E-1,1.009699062E2,2.762774344E1,-4.393862667E0,-9.913758783E1
5.325212498E-2,6.359283458E-1,1.268133318E-1,-2.047507414E-1,-7.332057904E-1,1.010222556E2,2.756934300E1,-4.269797216E0,-9.917612200E1
6.329712499E-2,6.355034370E-1,1.270707410E-1,-2.038567462E-1,-7.337784660E-1,1.010853331E2,2.750969634E1,-4.164472638E0,-9.923013327E1
7.334112498E-2,6.350145494E-1,1.271410156E-1,-2.031242181E-1,-7.343924454E-1,1.011578728E2,2.745097984E1,-4.084687083E0,-9.929942343E1
8.338512504E-2,6.345134234E-1,1.270229649E-1,-2.025217684E-1,-7.350120884E-1,1.012321894E2,2.739000881E1,-4.029996799E0,-9.937633810E1
9.343012504E-2,6.340787366E-1,1.267719225E-1,-2.019469855E-1,-7.355884729E-1,1.012966210E2,2.732127222E1,-3.990820414E0,-9.944751110E1
1.034741250E-1,6.337372839E-1,1.264984500E-1,-2.012858095E-1,-7.361108199E-1,1.013472121E2,2.724255801E1,-3.950286035E0,-9.950551813E1
1.135181250E-1,6.334138384E-1,1.263265014E-1,-2.005271135E-1,-7.366256963E-1,1.013951183E2,2.716245673E1,-3.894677090E0,-9.955768639E1
1.235631250E-1,6.330812524E-1,1.263152430E-1,-1.997548832E-1,-7.371232451E-1,1.014443612E2,2.709310990E1,-3.824602197E0,-9.960629130E1
1.336071250E-1,6.327504470E-1,1.264922676E-1,-1.991268872E-1,-7.375466892E-1,1.014933234E2,2.705082328E1,-3.750242202E0,-9.964901493E1
1.436511250E-1,6.324210536E-1,1.267646074E-1,-1.987938349E-1,-7.378721209E-1,1.015420596E2,2.704235195E1,-3.690719724E0,-9.968885081E1
1.536961250E-1,6.320370431E-1,1.271165757E-1,-1.986285350E-1,-7.381851561E-1,1.015988554E2,2.705524452E1,-3.635567090E0,-9.973441939E1
1.637401250E-1,6.316601766E-1,1.276869859E-1,-1.981155499E-1,-7.385471026E-1,1.016545723E2,2.705276128E1,-3.536116270E0,-9.977190589E1
1.737841250E-1,6.313547331E-1,1.285673940E-1,-1.969627045E-1,-7.389637295E-1,1.016997137E2,2.701494574E1,-3.364817307E0,-9.978877753E1
1.838291250E-1,6.311118039E-1,1.296710435E-1,-1.953605842E-1,-7.394035688E-1,1.017356057E2,2.695279835E1,-3.143119683E0,-9.978912963E1
1.938731250E-1,6.308444085E-1,1.308544796E-1,-1.936007268E-1,-7.398859131E-1,1.017751020E2,2.688250765E1,-2.902074451E0,-9.979031300E1
2.039181250E-1,6.305121491E-1,1.320570688E-1,-1.919005940E-1,-7.403981396E-1,1.018241638E2,2.681939658E1,-2.661870614E0,-9.980027159E1
2.139621250E-1,6.301611712E-1,1.332160413E-1,-1.903936572E-1,-7.408783397E-1,1.018759711E2,2.677066038E1,-2.439452800E0,-9.981429667E1
2.240061250E-1,6.298333530E-1,1.342927299E-1,-1.891336719E-1,-7.412853096E-1,1.019243426E2,2.673810082E1,-2.243527354E0,-9.982745902E1
2.340511250E-1,6.295436935E-1,1.352531960E-1,-1.881373809E-1,-7.416102039E-1,1.019670698E2,2.672063158E1,-2.078637052E0,-9.983870681E1
2.440951250E-1,6.293316264E-1,1.360573605E-1,-1.873661753E-1,-7.418382868E-1,1.019983433E2,2.671164538E1,-1.946471441E0,-9.984357580E1
2.541391250E-1,6.291982000E-1,1.366356759E-1,-1.868111461E-1,-7.419852002E-1,1.020180161E2,2.670511904E1,-1.852074846E0,-9.984423176E1
2.641841250E-1,6.290795092E-1,1.369237443E-1,-1.865257961E-1,-7.421043968E-1,1.020355140E2,2.670118201E1,-1.802575461E0,-9.985214785E1
2.742281250E-1,6.289281968E-1,1.369374289E-1,-1.865356295E-1,-7.422276394E-1,1.020578179E2,2.670342557E1,-1.796949554E0,-9.987383160E1
