"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
3.586041683E-3,1.538583263E0,3.247234548E0,9.128216409E0
1.363004168E-2,1.486977638E0,3.210726580E0,9.149657564E0
2.367404167E-2,1.417869543E0,3.166430998E0,9.176026168E0
3.371904168E-2,1.330928024E0,3.115200326E0,9.206533431E0
4.376304167E-2,1.229957281E0,3.056266239E0,9.240267187E0
5.380804167E-2,1.117769751E0,2.989558864E0,9.276272587E0
6.385204167E-2,9.965363590E-1,2.916500828E0,9.313272014E0
7.389604166E-2,8.717485178E-1,2.836847425E0,9.350318218E0
8.394104167E-2,7.509244309E-1,2.749077795E0,9.386947516E0
9.398504166E-2,6.369267491E-1,2.659661880E0,9.421073620E0
1.040290417E-1,5.359267699E-1,2.572569357E0,9.451495514E0
1.140740417E-1,4.518204930E-1,2.484342767E0,9.479451637E0
1.241180417E-1,3.749590260E-1,2.400408764E0,9.504395859E0
1.341630417E-1,3.002406183E-1,2.327789123E0,9.525090909E0
1.442070417E-1,2.308654877E-1,2.274051895E0,9.539994292E0
1.542510416E-1,1.726029356E-1,2.247711212E0,9.547465864E0
1.642960417E-1,1.267216982E-1,2.253382865E0,9.546847814E0
1.743400416E-1,9.026446388E-2,2.287707775E0,9.539095575E0
1.843840416E-1,6.612833625E-2,2.343225626E0,9.525808362E0
1.944290416E-1,5.905978799E-2,2.413839380E0,9.508206489E0
2.044730416E-1,7.774460672E-2,2.494242980E0,9.487297431E0
2.145180416E-1,1.168507576E-1,2.583959734E0,9.462853730E0
2.245620417E-1,1.566460302E-1,2.680142046E0,9.435486422E0
2.346060417E-1,1.923439396E-1,2.792075002E0,9.402309321E0
2.446510417E-1,2.416209658E-1,2.911839135E0,9.364769611E0
2.546950417E-1,2.755899266E-1,3.043355002E0,9.321917122E0
2.647400417E-1,2.699841644E-1,3.181943953E0,9.275690789E0
2.747840417E-1,2.319857046E-1,3.313962388E0,9.230381300E0
2.848280417E-1,1.768811788E-1,3.433607530E0,9.187772055E0
2.948730417E-1,1.241244929E-1,3.543005134E0,9.147011114E0
3.049170417E-1,8.881291087E-2,3.643401827E0,9.107899674E0
3.149610417E-1,7.268108699E-2,3.733819077E0,9.071351067E0
3.250060417E-1,7.467257555E-2,3.817677213E0,9.036363668E0
3.350500417E-1,8.841258673E-2,3.902203685E0,9.000060645E0
3.450950417E-1,1.037906086E-1,3.984921029E0,8.963578112E0
3.551390417E-1,1.150332602E-1,4.055216840E0,8.931857552E0
3.651830417E-1,1.309338679E-1,4.103163716E0,8.909714146E0
3.752280417E-1,1.796164515E-1,4.120128243E0,8.901032785E0
3.852720417E-1,2.263614871E-1,4.112842320E0,8.903336003E0
3.953160417E-1,2.219689856E-1,4.094134153E0,8.912064727E0
4.053610417E-1,1.855114499E-1,4.058801768E0,8.929043287E0
4.154050417E-1,1.471687078E-1,4.007494205E0,8.952900512E0
4.254500417E-1,1.123210201E-1,3.946627321E0,8.980401721E0
4.354940417E-1,6.643904724E-2,3.879652436E0,9.009993310E0
4.455380416E-1,2.053251347E-4,3.808177241E0,9.040679498E0
4.555830417E-1,-6.654109485E-2,3.739795808E0,9.068936167E0
4.656270416E-1,-1.107875421E-1,3.685167612E0,9.090839837E0
4.756710416E-1,-1.538585164E-1,3.620587746E0,9.116126706E0
