"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.580583328E-3,-4.966671753E-1,-9.392368469E0,5.932164001E-1
7.464416674E-3,-5.008584595E-1,-9.195677490E0,6.960525513E-2
1.750841667E-2,-6.370751953E-1,-9.101074219E0,-4.394860840E-1
2.755341667E-2,-8.644523621E-1,-9.078471222E0,-7.921527100E-1
3.759741667E-2,-1.156495056E0,-9.132658539E0,-1.006057892E0
4.764241667E-2,-1.468596039E0,-9.171876984E0,-1.116228790E0
5.768641667E-2,-1.763482819E0,-9.196276245E0,-1.172362061E0
6.773141667E-2,-2.062261505E0,-9.229058075E0,-1.222507782E0
7.777541666E-2,-2.303859100E0,-9.213041382E0,-1.282832336E0
8.781941666E-2,-2.528841248E0,-9.204509125E0,-1.300794983E0
9.786441666E-2,-2.689008179E0,-9.133556671E0,-1.269210663E0
1.079084167E-1,-2.781815186E0,-9.094188538E0,-1.176104279E0
1.179534167E-1,-2.827320557E0,-9.179211731E0,-1.066232758E0
1.279974167E-1,-2.893932037E0,-9.371561737E0,-9.684860229E-1
1.380424167E-1,-3.022963715E0,-9.637558594E0,-8.671467590E-1
1.480864167E-1,-3.154689789E0,-1.000893631E1,-7.424560547E-1
1.581314167E-1,-3.262765045E0,-1.039947418E1,-5.525010681E-1
1.681754166E-1,-3.326532440E0,-1.071411987E1,-2.089654541E-1
1.782204167E-1,-3.247945862E0,-1.083551743E1,1.218765564E0
1.882644166E-1,-2.554887085E0,-1.049542465E1,2.921774139E0
1.983094166E-1,-1.700164490E0,-1.014425491E1,3.283272400E0
2.083534166E-1,-1.575174408E0,-1.013257919E1,2.588866425E0
2.183974166E-1,-1.630409546E0,-1.012793884E1,1.619182892E0
2.284424166E-1,-1.511706390E0,-9.853559418E0,9.398954773E-1
2.384864166E-1,-1.338815918E0,-9.422156525E0,6.084846497E-1
2.485314166E-1,-1.249002686E0,-9.070088654E0,4.647834778E-1
2.585754166E-1,-1.226250000E0,-8.894054718E0,4.568499756E-1
2.686204166E-1,-1.131946106E0,-8.718918915E0,4.499642944E-1
2.786644167E-1,-1.038839722E0,-8.560548248E0,2.966830444E-1
2.887094166E-1,-9.895921326E-1,-8.425529022E0,2.020797729E-2
2.987534167E-1,-8.725355530E-1,-8.305778046E0,-2.814147949E-1
3.087984167E-1,-7.674540710E-1,-8.221353607E0,-5.044509888E-1
3.188424167E-1,-6.500981140E-1,-8.213719482E0,-6.138734436E-1
3.288864167E-1,-5.707630920E-1,-8.364755402E0,-6.885681152E-1
3.389314167E-1,-4.620890808E-1,-8.637637939E0,-7.161108398E-1
3.489754167E-1,-3.115022278E-1,-8.988657990E0,-6.659651184E-1
3.590204167E-1,-1.234931946E-1,-9.379046173E0,-5.785469055E-1
3.690644167E-1,5.403762817E-2,-9.723629608E0,-4.673281860E-1
3.791094167E-1,2.094145203E-1,-1.003902374E1,-2.680924988E-1
3.891534167E-1,3.725752258E-1,-1.027253815E1,-6.286926270E-3
3.991984167E-1,4.631369019E-1,-1.037253021E1,1.957928467E-1
4.092424167E-1,4.046086121E-1,-1.034154465E1,3.528163147E-1
4.192874167E-1,2.088157654E-1,-1.015742752E1,4.707710266E-1
4.293314167E-1,-1.441502380E-1,-1.001178040E1,5.908213806E-1
4.393754167E-1,-5.912704468E-1,-9.957742767E0,7.131170654E-1
4.494204167E-1,-1.020577698E0,-1.000758911E1,7.412585449E-1
4.594644167E-1,-1.441801758E0,-1.008063721E1,8.164022827E-1
4.695094167E-1,-1.798210602E0,-1.012060410E1,1.017134857E0
4.795534167E-1,-2.086660767E0,-1.006656647E1,1.304237823E0
4.895984167E-1,-2.315684509E0,-9.943222961E0,1.510059814E0
4.996424167E-1,-2.426454163E0,-9.776918793E0,1.426533508E0
5.096874167E-1,-2.565814362E0,-9.603878632E0,1.067130890E0
5.197314167E-1,-2.750081177E0,-9.406289520E0,5.974076843E-1
5.297764167E-1,-2.906505890E0,-9.284442902E0,2.772235107E-1
5.398204167E-1,-3.034639435E0,-9.195078735E0,1.444496155E-1
5.498654167E-1,-3.200344849E0,-9.088799744E0,1.245410156E-1
5.599094167E-1,-3.516487427E0,-8.959468689E0,2.868035889E-1
5.699534166E-1,-3.961362305E0,-8.922196198E0,5.020559692E-1
5.799984167E-1,-4.307442627E0,-9.155560913E0,5.959107971E-1
5.900424166E-1,-4.437222748E0,-9.819280701E0,3.417393494E-1
6.000874166E-1,-4.309687958E0,-1.098475708E1,-1.853146362E-1
6.101314166E-1,-4.189936981E0,-1.221534805E1,-7.042854309E-1
6.201764166E-1,-3.938310242E0,-1.336450836E1,-1.028810577E0
6.302204166E-1,-3.585344238E0,-1.438179291E1,-1.305884399E0
6.402654166E-1,-3.256029053E0,-1.540102341E1,-1.553768921E0
6.503094166E-1,-2.995121613E0,-1.635379211E1,-1.870210876E0
6.603544166E-1,-2.677482147E0,-1.690060501E1,-2.271676025E0
6.703984166E-1,-2.192939758E0,-1.682291656E1,-2.510130157E0
6.804424167E-1,-1.610351257E0,-1.604558304E1,-2.679727478E0
6.904874166E-1,-8.710386658E-1,-1.455887466E1,-2.836900635E0
7.005314167E-1,1.167572021E-2,-1.267653900E1,-3.088826752E0
7.105764167E-1,7.782316589E-1,-1.112920670E1,-3.188669128E0
7.206204167E-1,1.346450043E0,-9.826615448E0,-3.177592163E0
7.306654167E-1,1.867666168E0,-8.884624329E0,-2.858904877E0
7.407094167E-1,2.684367828E0,-8.100854187E0,-1.851948853E0
7.507544167E-1,3.327280884E0,-7.533983002E0,-6.822811890E-1
7.607984167E-1,3.335513763E0,-7.243886261E0,-3.553610229E-1
7.708434167E-1,3.435206451E0,-7.149282990E0,-4.796026611E-1
7.808874167E-1,3.423530731E0,-7.347919922E0,-6.703060913E-1
7.909314167E-1,3.465892639E0,-7.764952698E0,-8.837622070E-1
8.009764167E-1,3.521127777E0,-8.646918640E0,-7.804769897E-1
8.110204167E-1,3.227737885E0,-9.739047546E0,-3.200344849E-1
8.210654167E-1,2.402054901E0,-1.053209839E1,2.254312134E-1
8.311094167E-1,1.651964722E0,-1.104104004E1,6.155200195E-1
8.411544167E-1,1.393452301E0,-1.105690704E1,7.720944214E-1
8.511984167E-1,1.220412140E0,-1.089793762E1,6.521937561E-1
8.612434167E-1,1.269809418E0,-1.082668579E1,6.839277649E-1
8.712874167E-1,1.427281952E0,-1.041070084E1,6.730004883E-1
8.813324167E-1,1.547032928E0,-9.847721558E0,4.987628174E-1
8.913764167E-1,1.620380402E0,-9.094188538E0,1.818717957E-1
9.014203750E-1,1.570683746E0,-8.111332397E0,-2.194436646E-1
9.114653750E-1,1.155596924E0,-7.705975342E0,6.735992432E-3
9.215093750E-1,4.888833618E-1,-7.710166626E0,7.972421265E-1
