"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
2.442416677E-3,3.541656473E-1,-3.048454368E-1,6.371185886E-1,-6.129567591E-1,1.385153650E2,-8.986791738E1,4.449298949E0,-1.244005328E2
1.248641667E-2,3.464513094E-1,-2.970819030E-1,6.396635839E-1,-6.185017144E-1,1.394591714E2,-8.970432353E1,4.343353676E0,-1.258106251E2
2.253041667E-2,3.384043908E-1,-2.896599905E-1,6.422348999E-1,-6.237900376E-1,1.404406186E2,-8.958274359E1,4.203331548E0,-1.272134429E2
3.257541667E-2,3.302962538E-1,-2.828514200E-1,6.447983555E-1,-6.285973177E-1,1.414264843E2,-8.951405017E1,4.034071619E0,-1.285606979E2
4.261941666E-2,3.224641893E-1,-2.769111167E-1,6.472142550E-1,-6.328117496E-1,1.423759715E2,-8.949075871E1,3.838342865E0,-1.298000165E2
5.266441667E-2,3.152555187E-1,-2.720615739E-1,6.492995546E-1,-6.364012703E-1,1.432475202E2,-8.949563455E1,3.618333988E0,-1.308815685E2
6.270841666E-2,3.089763232E-1,-2.685138419E-1,6.508847608E-1,-6.393614858E-1,1.440049004E2,-8.951220939E1,3.374445504E0,-1.317608381E2
7.275341667E-2,3.038781456E-1,-2.664291955E-1,6.518398716E-1,-6.416994663E-1,1.446186336E2,-8.952715125E1,3.108378890E0,-1.324028499E2
8.279741666E-2,3.001456733E-1,-2.659141821E-1,6.520978735E-1,-6.434055180E-1,1.450672944E2,-8.953441571E1,2.823957668E0,-1.327834510E2
9.284241666E-2,2.978632845E-1,-2.669863979E-1,6.516656998E-1,-6.444591577E-1,1.453413757E2,-8.953543829E1,2.527042461E0,-1.328947253E2
1.028864167E-1,2.969737226E-1,-2.695642888E-1,6.506218698E-1,-6.448510496E-1,1.454481435E2,-8.953827040E1,2.222348192E0,-1.327494690E2
1.129314167E-1,2.973072411E-1,-2.735397271E-1,6.490799063E-1,-6.445771267E-1,1.454081173E2,-8.955613163E1,1.909300313E0,-1.323721203E2
1.229754167E-1,2.986345508E-1,-2.787606890E-1,6.471984921E-1,-6.436180119E-1,1.452487809E2,-8.960718772E1,1.588491824E0,-1.317956619E2
1.330204167E-1,3.007361191E-1,-2.849778550E-1,6.452006472E-1,-6.419202947E-1,1.449963570E2,-8.971301980E1,1.272308072E0,-1.310602948E2
1.430644167E-1,3.034354351E-1,-2.918620791E-1,6.433453850E-1,-6.394140113E-1,1.446718787E2,-8.989418854E1,9.847433834E-1,-1.302093535E2
1.531084166E-1,3.065457566E-1,-2.990420054E-1,6.419024034E-1,-6.360541804E-1,1.442976310E2,-9.016787031E1,7.523771117E-1,-1.292911836E2
1.631534167E-1,3.098764113E-1,-3.061150579E-1,6.410822573E-1,-6.318890181E-1,1.438964348E2,-9.053780277E1,5.988120540E-1,-1.283580825E2
1.731974166E-1,3.132956165E-1,-3.126137648E-1,6.408308092E-1,-6.272594397E-1,1.434840953E2,-9.096168138E1,5.362445873E-1,-1.274640601E2
1.832424166E-1,3.168231813E-1,-3.180244402E-1,6.405811840E-1,-6.230083821E-1,1.430581745E2,-9.131612293E1,5.522340505E-1,-1.266549794E2
1.932864166E-1,3.203171445E-1,-3.221496895E-1,6.398246480E-1,-6.198716556E-1,1.426357890E2,-9.150782426E1,6.022290220E-1,-1.259631912E2
2.033314166E-1,3.235161219E-1,-3.249163456E-1,6.387323176E-1,-6.178896263E-1,1.422486022E2,-9.155296802E1,6.735575383E-1,-1.254205356E2
2.133754166E-1,3.260904093E-1,-3.262508518E-1,6.379769934E-1,-6.166123661E-1,1.419366996E2,-9.154207649E1,7.870245932E-1,-1.250649802E2
2.234204166E-1,3.275773922E-1,-3.262430546E-1,6.381861682E-1,-6.156110834E-1,1.417564023E2,-9.157216055E1,9.415862699E-1,-1.249313427E2
2.334644166E-1,3.275907317E-1,-3.251158055E-1,6.396296030E-1,-6.147015333E-1,1.417547844E2,-9.169953890E1,1.110180407E0,-1.250349349E2
2.435094166E-1,3.261550836E-1,-3.231443235E-1,6.421592779E-1,-6.138664778E-1,1.419288599E2,-9.192491741E1,1.269325125E0,-1.253481417E2
2.535534166E-1,3.237497419E-1,-3.205898662E-1,6.453621223E-1,-6.131198253E-1,1.422203086E2,-9.220941875E1,1.418309094E0,-1.258026828E2
2.635974167E-1,3.209965833E-1,-3.177283902E-1,6.487372840E-1,-6.124946611E-1,1.425535906E2,-9.250112604E1,1.562707969E0,-1.263161199E2
2.736424166E-1,3.184140562E-1,-3.148124394E-1,6.518886671E-1,-6.120022384E-1,1.428659184E2,-9.276002030E1,1.708194062E0,-1.268181702E2
2.836864167E-1,3.163083049E-1,-3.120164070E-1,6.546422999E-1,-6.115866810E-1,1.431203739E2,-9.297205736E1,1.861720486E0,-1.272654959E2
2.937314167E-1,3.147079469E-1,-3.094428677E-1,6.570534895E-1,-6.111338974E-1,1.433136326E2,-9.315186603E1,2.025131740E0,-1.276466060E2
3.037754167E-1,3.134967940E-1,-3.071685184E-1,6.592399204E-1,-6.105489202E-1,1.434598191E2,-9.332169012E1,2.192464621E0,-1.279653538E2
3.138204167E-1,3.125332538E-1,-3.052645240E-1,6.613044944E-1,-6.097646306E-1,1.435760747E2,-9.350132840E1,2.354388691E0,-1.282282237E2
3.238644167E-1,3.117352980E-1,-3.038010590E-1,6.632995154E-1,-6.087361948E-1,1.436723225E2,-9.370298506E1,2.503381133E0,-1.284363822E2
3.339094167E-1,3.110633824E-1,-3.028278250E-1,6.652569626E-1,-6.074273771E-1,1.437533469E2,-9.393447667E1,2.635523262E0,-1.285889949E2
3.439534167E-1,3.104651606E-1,-3.023197448E-1,6.672177604E-1,-6.058337099E-1,1.438254691E2,-9.419998358E1,2.750380003E0,-1.286930739E2
3.539984167E-1,3.098542947E-1,-3.022326062E-1,6.692083350E-1,-6.039917135E-1,1.438991003E2,-9.450035949E1,2.844309240E0,-1.287602385E2
3.640424167E-1,3.092102487E-1,-3.026000213E-1,6.711890051E-1,-6.019365068E-1,1.439767143E2,-9.483184031E1,2.911020617E0,-1.287889030E2
3.740874167E-1,3.087141909E-1,-3.035489155E-1,6.729870739E-1,-5.997016174E-1,1.440364825E2,-9.517664096E1,2.948812466E0,-1.287509235E2
3.841314167E-1,3.087464964E-1,-3.053051957E-1,6.742933523E-1,-5.973213952E-1,1.440325904E2,-9.550274951E1,2.960114779E0,-1.285913044E2
3.941754167E-1,3.095935111E-1,-3.080168186E-1,6.748851994E-1,-5.948171665E-1,1.439305294E2,-9.578652600E1,2.949329134E0,-1.282705371E2
4.042204167E-1,3.111813936E-1,-3.115598302E-1,6.748168583E-1,-5.922153151E-1,1.437391176E2,-9.602895770E1,2.921052114E0,-1.278060035E2
4.142644167E-1,3.129529837E-1,-3.155122984E-1,6.744422360E-1,-5.896100603E-1,1.435254371E2,-9.625637206E1,2.870514284E0,-1.272853419E2
4.243094167E-1,3.141875387E-1,-3.193235325E-1,6.742048017E-1,-5.871681668E-1,1.433764536E2,-9.649827761E1,2.789129420E0,-1.268231609E2
4.343534167E-1,3.143900016E-1,-3.225251441E-1,6.744223954E-1,-5.850562830E-1,1.433520146E2,-9.676887398E1,2.675114349E0,-1.265070148E2
4.443984167E-1,3.134610324E-1,-3.249190114E-1,6.751742003E-1,-5.833605994E-1,1.434641346E2,-9.706442317E1,2.532823052E0,-1.263644131E2
4.544424167E-1,3.116328180E-1,-3.265261972E-1,6.763521626E-1,-5.820767748E-1,1.436846815E2,-9.736866759E1,2.373894912E0,-1.263730476E2
4.644874167E-1,3.093693636E-1,-3.274579797E-1,6.777160346E-1,-5.811735678E-1,1.439575409E2,-9.765196458E1,2.218434461E0,-1.264819291E2
4.745314167E-1,3.071963353E-1,-3.279259783E-1,6.789343314E-1,-5.806402627E-1,1.442193008E2,-9.787804445E1,2.081338722E0,-1.266255977E2
4.845764167E-1,3.054772918E-1,-3.281902601E-1,6.797141113E-1,-5.804856259E-1,1.444262376E2,-9.802019393E1,1.963050667E0,-1.267482940E2
