"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-9.931667009E-4,-2.166295166E0,-9.457183685E0,-2.862048340E-1
9.051833302E-3,-2.082768860E0,-9.579778748E0,-3.170407104E-1
1.909683330E-2,-1.988914032E0,-9.703870697E0,-3.664379883E-1
2.914083330E-2,-1.903292084E0,-9.819879456E0,-3.960763550E-1
3.918583330E-2,-1.777553558E0,-9.852810974E0,-4.342469788E-1
4.922983330E-2,-1.673819275E0,-9.814191284E0,-4.638853455E-1
5.927483330E-2,-1.579216003E0,-9.790091400E0,-4.761598206E-1
6.931883330E-2,-1.486109619E0,-9.737999725E0,-5.189707947E-1
7.936383330E-2,-1.421743469E0,-9.682764587E0,-5.411247253E-1
8.940883330E-2,-1.362616425E0,-9.565109253E0,-6.210585022E-1
9.945283330E-2,-1.359772339E0,-9.440568237E0,-6.650669861E-1
1.094978333E-1,-1.395697632E0,-9.401948547E0,-7.271878052E-1
1.195418333E-1,-1.487606506E0,-9.437275085E0,-7.906558228E-1
1.295868333E-1,-1.587897949E0,-9.509425049E0,-8.047265625E-1
1.396308333E-1,-1.671873322E0,-9.530231781E0,-8.018824768E-1
1.496758333E-1,-1.736838226E0,-9.553433533E0,-8.192463684E-1
1.597215000E-1,-1.761536865E0,-9.530680847E0,-7.963439941E-1
1.697655000E-1,-1.773961029E0,-9.495503998E0,-7.514373779E-1
1.798105000E-1,-1.750759277E0,-9.487720184E0,-6.884184265E-1
1.898545000E-1,-1.715582428E0,-9.481433258E0,-6.102809143E-1
1.998995000E-1,-1.657802582E0,-9.465117188E0,-5.376818848E-1
2.099435000E-1,-1.605411530E0,-9.452992401E0,-4.799020386E-1
2.199885000E-1,-1.522334290E0,-9.467661896E0,-4.110452271E-1
2.300335000E-1,-1.417552185E0,-9.529183960E0,-3.689826965E-1
2.400775000E-1,-1.353186035E0,-9.633516998E0,-3.356021118E-1
2.501225000E-1,-1.266965332E0,-9.734556885E0,-3.200344849E-1
2.601665000E-1,-1.205742645E0,-9.769883423E0,-2.936892700E-1
2.702115000E-1,-1.138682098E0,-9.806557159E0,-2.938389587E-1
2.802555000E-1,-1.053658905E0,-9.882299652E0,-3.022215271E-1
2.903005000E-1,-9.452842712E-1,-9.999056854E0,-3.125500488E-1
3.003455000E-1,-8.960366821E-1,-1.007360184E1,-3.391946411E-1
3.103895000E-1,-8.228388977E-1,-1.005084915E1,-3.532653809E-1
3.204345000E-1,-7.478448486E-1,-9.976004791E0,-3.833528137E-1
3.304785000E-1,-6.839277649E-1,-9.809101868E0,-3.975732422E-1
3.405235000E-1,-6.343807983E-1,-9.515113220E0,-3.912863159E-1
3.505675000E-1,-7.321275330E-1,-9.228309631E0,-3.517684937E-1
3.606125000E-1,-1.010698242E0,-9.077573090E0,-2.323168945E-1
3.706575000E-1,-1.329984283E0,-9.099727020E0,-6.481521606E-2
3.807015000E-1,-1.459315338E0,-9.255403290E0,5.957611084E-2
3.907465000E-1,-1.412462769E0,-9.503437500E0,7.095245361E-2
4.007905000E-1,-1.413660278E0,-9.785900116E0,6.092330933E-2
4.108355000E-1,-1.490450592E0,-9.988578644E0,1.068777466E-1
4.208795000E-1,-1.490450592E0,-9.990374908E0,1.591191101E-1
4.309245000E-1,-1.459165649E0,-9.802365875E0,2.124082947E-1
4.409695000E-1,-1.435963898E0,-9.680070190E0,3.453318787E-1
4.510135000E-1,-1.403780823E0,-9.708660736E0,5.200186157E-1
4.610585000E-1,-1.325643311E0,-9.825118561E0,6.131250000E-1
4.711025000E-1,-1.210981750E0,-9.937983856E0,5.926176453E-1
4.811475000E-1,-1.091380463E0,-9.966275024E0,4.625381470E-1
4.911915000E-1,-1.036444702E0,-9.931247864E0,2.945874023E-1
5.012365000E-1,-1.112486572E0,-9.848769379E0,2.020797729E-1
5.112805000E-1,-1.160686340E0,-9.736053772E0,5.284011841E-2
5.213255000E-1,-1.136586456E0,-9.568252716E0,-1.405577087E-1
5.313705000E-1,-1.172960815E0,-9.306896210E0,-2.948867798E-1
5.414145000E-1,-1.210233307E0,-9.021888885E0,-4.222718811E-1
5.514595000E-1,-1.266815643E0,-8.772208099E0,-5.063969421E-1
5.615035000E-1,-1.319057007E0,-8.616082764E0,-5.312452698E-1
5.715485000E-1,-1.364712067E0,-8.513845367E0,-5.863307190E-1
5.815925000E-1,-1.439406738E0,-8.574768677E0,-6.349795532E-1
5.916375000E-1,-1.548230438E0,-8.759484558E0,-6.999444580E-1
6.016825000E-1,-1.702858887E0,-9.022787018E0,-7.490423584E-1
6.117265000E-1,-1.881886597E0,-9.364825745E0,-7.571255493E-1
6.217715000E-1,-2.098935242E0,-9.744885406E0,-7.030879211E-1
6.318155000E-1,-2.435734863E0,-1.011027557E1,-5.206173706E-1
6.418605000E-1,-2.795736237E0,-1.042252625E1,-2.719844055E-1
6.519045000E-1,-3.020419006E0,-1.058643539E1,-1.161584473E-1
6.619495000E-1,-3.158432007E0,-1.064391586E1,9.894424438E-2
6.719945000E-1,-3.221301270E0,-1.060589493E1,4.197271729E-1
6.820385000E-1,-3.056044922E0,-1.042731628E1,8.539741516E-1
6.920835000E-1,-2.579136658E0,-1.017404297E1,1.317410431E0
7.021275000E-1,-2.030228119E0,-9.966275024E0,1.704505463E0
7.121725000E-1,-1.726210327E0,-9.804311829E0,1.985171814E0
7.222165000E-1,-1.519939270E0,-9.651779022E0,2.010319519E0
7.322615000E-1,-1.377136230E0,-9.514514465E0,1.794767761E0
7.423055000E-1,-1.436113586E0,-9.408684540E0,1.463656311E0
7.523505000E-1,-1.603914642E0,-9.345066833E0,1.065184937E0
7.623955000E-1,-1.786983948E0,-9.217981110E0,7.258406067E-1
7.724395000E-1,-1.888622589E0,-8.998836823E0,4.599934387E-1
7.824845000E-1,-1.981728973E0,-8.783584442E0,2.439926147E-1
7.925285000E-1,-2.097138977E0,-8.634644165E0,5.897735596E-2
8.025735000E-1,-2.181264038E0,-8.527616730E0,-1.014889526E-1
8.126175000E-1,-2.188748474E0,-8.512947235E0,-1.895059204E-1
8.226625000E-1,-2.176174622E0,-8.641978912E0,-2.402503967E-1
8.327075000E-1,-2.176024933E0,-8.966054993E0,-2.496807861E-1
8.427515000E-1,-2.162403259E0,-9.331145782E0,-1.555265808E-1
8.527965000E-1,-2.054777069E0,-9.594448242E0,5.867797852E-2
8.628405000E-1,-1.854942627E0,-9.738748169E0,3.917353821E-1
8.728855000E-1,-1.671424255E0,-9.820478210E0,7.420069885E-1
8.829295000E-1,-1.519789581E0,-9.826765137E0,1.056952057E0
8.929745000E-1,-1.568737793E0,-9.709558868E0,1.299298096E0
9.030195000E-1,-1.804946594E0,-9.522897034E0,1.417851562E0
9.130635000E-1,-1.995799713E0,-9.389225006E0,1.356479187E0
9.231085000E-1,-2.182162170E0,-9.346414032E0,1.093775482E0
9.331525000E-1,-2.284100189E0,-9.381740570E0,7.803273010E-1
9.431975000E-1,-2.386337585E0,-9.525741119E0,5.066963196E-1
9.532415000E-1,-2.482737122E0,-9.613009644E0,2.514770508E-1
9.632865000E-1,-2.517764282E0,-9.555229797E0,4.161346436E-2
9.733305000E-1,-2.514620819E0,-9.470655670E0,-1.537303162E-1
9.833755000E-1,-2.504591675E0,-9.328601074E0,-2.032772827E-1
9.934205000E-1,-2.454296265E0,-9.162147217E0,-1.311273193E-1
1.003464500E0,-2.325713654E0,-9.067244568E0,5.149291992E-2
1.013509500E0,-2.283052368E0,-9.157806244E0,3.201841736E-1
1.023553500E0,-2.176024933E0,-9.344617767E0,5.962101746E-1
1.033598500E0,-1.930834808E0,-9.545649719E0,8.566685486E-1
1.043642500E0,-1.897903290E0,-9.746981049E0,1.091230774E0
1.053687500E0,-1.958078156E0,-9.963430939E0,1.384171600E0
1.063732500E0,-1.995949402E0,-1.020308258E1,1.785936127E0
1.073776500E0,-2.271526337E0,-1.049961594E1,2.423759766E0
1.083821500E0,-2.756817169E0,-1.082938019E1,3.134930878E0
1.093865500E0,-3.206631775E0,-1.113339798E1,3.443289642E0
1.103910500E0,-3.600462799E0,-1.152902527E1,2.992876282E0
1.113954500E0,-3.901786194E0,-1.203138062E1,1.900747375E0
