"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
4.029833304E-3,-1.708815299E0,-9.650639400E0,-4.256853760E-1
1.407383330E-2,-1.699364883E0,-9.652584769E0,-4.193815659E-1
2.411883330E-2,-1.689624591E0,-9.654489791E0,-4.148674423E-1
3.416283330E-2,-1.680271677E0,-9.656236355E0,-4.121968727E-1
4.420783330E-2,-1.671303218E0,-9.657860711E0,-4.106077457E-1
5.425283330E-2,-1.662725060E0,-9.659409639E0,-4.089892729E-1
6.429683330E-2,-1.654756621E0,-9.660879044E0,-4.065373527E-1
7.434183330E-2,-1.647319401E0,-9.662309858E0,-4.027537291E-1
8.438583330E-2,-1.640248948E0,-9.663735994E0,-3.973492938E-1
9.443083330E-2,-1.632871808E0,-9.665274396E0,-3.902169333E-1
1.044748333E-1,-1.624375366E0,-9.667061890E0,-3.813138531E-1
1.145198333E-1,-1.614139522E0,-9.669197878E0,-3.705110856E-1
1.245648333E-1,-1.602487629E0,-9.671600499E0,-3.581571249E-1
1.346088333E-1,-1.590007917E0,-9.674138190E0,-3.450449996E-1
1.446538333E-1,-1.577241691E0,-9.676662433E0,-3.325974835E-1
1.546985000E-1,-1.564829806E0,-9.679023539E0,-3.223511517E-1
1.647435000E-1,-1.552866842E0,-9.681171221E0,-3.156145746E-1
1.747875000E-1,-1.541743976E0,-9.683016018E0,-3.135431984E-1
1.848325000E-1,-1.531211386E0,-9.684588919E0,-3.165752355E-1
1.948775000E-1,-1.521567427E0,-9.685841977E0,-3.246135125E-1
2.049215000E-1,-1.513064552E0,-9.686768761E0,-3.365512611E-1
2.149665000E-1,-1.505652329E0,-9.687403184E0,-3.512120945E-1
2.250105000E-1,-1.498983872E0,-9.687827691E0,-3.676465347E-1
2.350555000E-1,-1.493448313E0,-9.687983812E0,-3.855853537E-1
2.450995000E-1,-1.489603330E0,-9.687773897E0,-4.052270282E-1
2.551445000E-1,-1.487624633E0,-9.687137720E0,-4.271244488E-1
2.651895000E-1,-1.487334903E0,-9.686076450E0,-4.514900888E-1
2.752335000E-1,-1.488148836E0,-9.684640959E0,-4.787957454E-1
2.852785000E-1,-1.489473668E0,-9.682892641E0,-5.090763556E-1
2.953225000E-1,-1.491211022E0,-9.680825651E0,-5.422432612E-1
3.053675000E-1,-1.493812010E0,-9.678370990E0,-5.777371758E-1
3.154115000E-1,-1.497522799E0,-9.675538598E0,-6.144114605E-1
3.254565000E-1,-1.501607226E0,-9.672519096E0,-6.508888768E-1
3.355015000E-1,-1.503212433E0,-9.669924102E0,-6.848576184E-1
3.455455000E-1,-1.499426799E0,-9.668446510E0,-7.134228017E-1
3.555905000E-1,-1.490104729E0,-9.668473408E0,-7.323443185E-1
3.656345000E-1,-1.477256642E0,-9.670094256E0,-7.369543364E-1
3.756795000E-1,-1.462665062E0,-9.672990966E0,-7.279719168E-1
3.857235000E-1,-1.446064524E0,-9.676612732E0,-7.128407114E-1
3.957685000E-1,-1.428059485E0,-9.680197075E0,-7.003987136E-1
4.058135000E-1,-1.411132673E0,-9.683034144E0,-6.954723613E-1
4.158575000E-1,-1.397292606E0,-9.684861984E0,-6.979558200E-1
4.259025000E-1,-1.386925639E0,-9.685951905E0,-7.034695251E-1
4.359465000E-1,-1.379957951E0,-9.686792150E0,-7.055916258E-1
4.459915000E-1,-1.376295108E0,-9.687898443E0,-6.975075578E-1
