"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
4.029833304E-3,4.725778122E-1,-3.940418976E-1,6.053325418E-1,-5.049492182E-1,1.235964831E2,-9.252565404E1,1.003159208E1,-1.042747546E2
1.407383330E-2,4.719279671E-1,-3.935479892E-1,6.053884601E-1,-5.058743665E-1,1.236809640E2,-9.248779902E1,9.975544135E0,-1.043926700E2
2.411883330E-2,4.711237209E-1,-3.929770364E-1,6.055693017E-1,-5.068504875E-1,1.237854711E2,-9.246056910E1,9.917787547E0,-1.045351402E2
3.416283330E-2,4.701342130E-1,-3.922525426E-1,6.059265278E-1,-5.079024571E-1,1.239139821E2,-9.244430752E1,9.862337824E0,-1.047129721E2
4.420783330E-2,4.689572491E-1,-3.913353218E-1,6.064525416E-1,-5.090689685E-1,1.240667388E2,-9.243448642E1,9.809174983E0,-1.049299711E2
5.425283330E-2,4.676161640E-1,-3.901995907E-1,6.071159751E-1,-5.103818995E-1,1.242406650E2,-9.242451362E1,9.758334781E0,-1.051857394E2
6.429683330E-2,4.661312976E-1,-3.888179222E-1,6.078989898E-1,-5.118602753E-1,1.244330754E2,-9.240962961E1,9.711114782E0,-1.054804100E2
7.434183330E-2,4.645315956E-1,-3.872067114E-1,6.087681632E-1,-5.135004383E-1,1.246401761E2,-9.238687637E1,9.667048422E0,-1.058089896E2
8.438583330E-2,4.628559185E-1,-3.854102546E-1,6.096812220E-1,-5.152787008E-1,1.248569024E2,-9.235453651E1,9.625161597E0,-1.061626646E2
9.443083330E-2,4.611555513E-1,-3.835281976E-1,6.105692877E-1,-5.171524601E-1,1.250766034E2,-9.231195181E1,9.581462656E0,-1.065260478E2
1.044748333E-1,4.594996122E-1,-3.816927235E-1,6.113473817E-1,-5.190617018E-1,1.252903538E2,-9.225884079E1,9.531139834E0,-1.068788774E2
1.145198333E-1,4.580031778E-1,-3.800734415E-1,6.119056589E-1,-5.209114954E-1,1.254833378E2,-9.219442606E1,9.470526136E0,-1.071925186E2
1.245648333E-1,4.567427552E-1,-3.787559732E-1,6.122079782E-1,-5.226196861E-1,1.256457553E2,-9.212079891E1,9.401538985E0,-1.074508801E2
1.346088333E-1,4.557644610E-1,-3.777922223E-1,6.122576483E-1,-5.241111603E-1,1.257717364E2,-9.204268794E1,9.327665769E0,-1.076445946E2
1.446538333E-1,4.550652791E-1,-3.772080354E-1,6.120997135E-1,-5.253224265E-1,1.258617310E2,-9.196854375E1,9.252113479E0,-1.077720215E2
1.546985000E-1,4.546117895E-1,-3.769919169E-1,6.118061923E-1,-5.262113773E-1,1.259200823E2,-9.190747922E1,9.178673334E0,-1.078383681E2
1.647435000E-1,4.543368129E-1,-3.771178306E-1,6.114478809E-1,-5.267747226E-1,1.259554566E2,-9.186723071E1,9.107904084E0,-1.078535896E2
