"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.563750011E-3,-5.866300964E-1,-1.067849396E1,-8.532257080E-1
1.360874996E-2,-5.670208740E-1,-1.053703812E1,-9.300160217E-1
2.365275001E-2,-5.517526245E-1,-1.034453842E1,-1.011746063E0
3.369675000E-2,-5.652246094E-1,-1.009755203E1,-1.064885559E0
4.374175001E-2,-5.776487732E-1,-9.899364166E0,-1.175206146E0
5.378575000E-2,-6.539900208E-1,-9.735904083E0,-1.280736694E0
6.382975000E-2,-8.147557068E-1,-9.611063690E0,-1.398990784E0
7.387475000E-2,-9.836045837E-1,-9.524244232E0,-1.487905884E0
8.391875000E-2,-1.175505524E0,-9.477241974E0,-1.587149506E0
9.396274999E-2,-1.434916077E0,-9.475146332E0,-1.670975189E0
1.040077500E-1,-1.770069122E0,-9.559720459E0,-1.785337372E0
1.140517500E-1,-2.329605560E0,-9.721533966E0,-1.988315277E0
1.240957500E-1,-2.937341766E0,-9.917925568E0,-2.127376099E0
1.341407500E-1,-3.227887573E0,-9.918524323E0,-2.095342712E0
1.441847500E-1,-3.444636841E0,-9.649683380E0,-2.011816406E0
1.542287500E-1,-3.569477234E0,-9.232351227E0,-1.819915466E0
1.642737500E-1,-3.598965912E0,-8.768465881E0,-1.570983124E0
1.743177500E-1,-3.502266998E0,-8.338110809E0,-1.319655762E0
1.843617500E-1,-3.328927460E0,-8.010591888E0,-1.072220306E0
1.944067500E-1,-3.175496521E0,-7.855664063E0,-8.866062927E-1
2.044507500E-1,-3.015030212E0,-7.841593323E0,-7.123686218E-1
2.144948750E-1,-2.854114838E0,-8.000712433E0,-5.773493958E-1
2.245398750E-1,-2.735112305E0,-8.291258240E0,-4.584965515E-1
2.345838750E-1,-2.584076385E0,-8.590336304E0,-3.727249146E-1
2.446278750E-1,-2.474354553E0,-8.930129700E0,-2.954855347E-1
2.546728750E-1,-2.400108948E0,-9.338330841E0,-2.392025757E-1
2.647168750E-1,-2.351460114E0,-9.669591980E0,-2.022294617E-1
2.747608750E-1,-2.250719604E0,-9.876910858E0,-1.606159973E-1
2.848058750E-1,-2.102228394E0,-9.914482727E0,-1.175056458E-1
2.948498750E-1,-1.879790955E0,-9.723629608E0,-1.037342834E-1
3.048938750E-1,-1.681752777E0,-9.493258667E0,-1.362167358E-1
3.149388750E-1,-1.566941528E0,-9.314380646E0,-1.633103943E-1
3.249828750E-1,-1.537153473E0,-9.214238892E0,-2.110610962E-1
3.350268750E-1,-1.521436157E0,-9.194180603E0,-2.854563904E-1
3.450718750E-1,-1.486109619E0,-9.232051849E0,-3.559597778E-1
3.551158750E-1,-1.434467010E0,-9.342372437E0,-4.083508301E-1
3.651598750E-1,-1.358275452E0,-9.490264893E0,-4.477189636E-1
3.752048750E-1,-1.280437317E0,-9.677076416E0,-4.745132446E-1
3.852488750E-1,-1.221609650E0,-9.879754944E0,-5.248086548E-1
3.952928750E-1,-1.105451202E0,-1.010907806E1,-5.658233643E-1
4.053378750E-1,-9.180409241E-1,-1.035172348E1,-5.972579956E-1
4.153818750E-1,-6.978488159E-1,-1.060933777E1,-5.171745300E-1
4.254258750E-1,-4.168830872E-1,-1.081650696E1,-3.091072083E-1
4.354708750E-1,-1.216969299E-1,-1.093700638E1,-1.398092651E-1
4.455148750E-1,8.771759033E-2,-1.098595459E1,-7.694000244E-2
4.555588750E-1,2.194436646E-1,-1.091679840E1,-1.204994202E-1
4.656038750E-1,2.766247559E-1,-1.066322571E1,-2.628533936E-1
4.756478750E-1,2.615061951E-1,-1.026355682E1,-4.216731262E-1
4.856918750E-1,1.255888367E-1,-9.871222687E0,-5.168751526E-1
4.957368750E-1,6.092330933E-2,-9.581425323E0,-5.342390442E-1
5.057808750E-1,7.783813477E-3,-9.421108704E0,-5.179229736E-1
5.158248750E-1,-1.951940918E-1,-9.400152283E0,-4.516108704E-1
5.258698750E-1,-4.240681458E-1,-9.490115204E0,-4.269122314E-1
5.359138750E-1,-5.704637146E-1,-9.625433807E0,-4.348457336E-1
5.459578750E-1,-6.659651184E-1,-9.804910583E0,-5.022056580E-1
5.560028750E-1,-7.497908020E-1,-9.993368683E0,-5.797444153E-1
5.660468750E-1,-8.222401428E-1,-1.012195129E1,-6.477030945E-1
5.760908750E-1,-8.620573425E-1,-1.014260834E1,-7.258406067E-1
5.861358750E-1,-8.937913513E-1,-1.003004242E1,-7.499404907E-1
5.961798750E-1,-9.193881226E-1,-9.867630157E0,-7.607180786E-1
6.062238750E-1,-1.002165985E0,-9.686955872E0,-7.560777283E-1
6.162688750E-1,-1.107097778E0,-9.540260925E0,-7.384144592E-1
6.263128750E-1,-1.222956848E0,-9.462123413E0,-7.476951599E-1
6.363568750E-1,-1.385668488E0,-9.421408081E0,-7.547305298E-1
6.464018750E-1,-1.482217712E0,-9.385482788E0,-7.575746155E-1
6.564458750E-1,-1.567540283E0,-9.313931580E0,-7.767347717E-1
6.664898750E-1,-1.674567719E0,-9.258995819E0,-7.605683899E-1
6.765348750E-1,-1.739233246E0,-9.247320099E0,-7.086264038E-1
6.865788750E-1,-1.777852936E0,-9.254056091E0,-6.837780762E-1
6.966228750E-1,-1.842817841E0,-9.267827454E0,-6.477030945E-1
7.066678750E-1,-1.933080139E0,-9.261989594E0,-6.298901367E-1
7.167118750E-1,-2.015708313E0,-9.188043365E0,-6.524931335E-1
7.267558750E-1,-2.140249329E0,-9.063652039E0,-6.960525513E-1
7.368008750E-1,-2.266436920E0,-8.920250244E0,-7.312294006E-1
7.468448750E-1,-2.384241943E0,-8.760831757E0,-7.714956665E-1
