"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.563750011E-3,7.134433389E-1,2.202353954E0,1.840028539E-2
1.360874996E-2,8.065439463E-1,2.273627043E0,1.957928762E-3
2.365275001E-2,9.189279079E-1,2.288375616E0,-3.239647672E-2
3.369675000E-2,1.036680102E0,2.273051500E0,-7.968063653E-2
4.374175001E-2,1.148253918E0,2.238139629E0,-1.409818679E-1
5.378575000E-2,1.240562320E0,2.168133497E0,-2.015868872E-1
6.382975000E-2,1.308271766E0,2.058507442E0,-2.608013749E-1
7.387475000E-2,1.341143727E0,1.917516470E0,-3.298305273E-1
8.391875000E-2,1.341294885E0,1.746657968E0,-4.120363593E-1
9.396274999E-2,1.311226845E0,1.537291169E0,-5.057522058E-1
1.040077500E-1,1.245087385E0,1.288755059E0,-5.904833674E-1
1.140517500E-1,1.127192378E0,9.972645640E-1,-6.228759289E-1
1.240957500E-1,9.682347178E-1,7.060762644E-1,-5.952821374E-1
1.341407500E-1,7.703192234E-1,4.399577379E-1,-5.462070107E-1
1.441847500E-1,5.422524214E-1,1.975095272E-1,-4.877323508E-1
1.542287500E-1,3.103328943E-1,-1.501765382E-2,-4.230745137E-1
1.642737500E-1,8.137860894E-2,-2.056567073E-1,-3.618763387E-1
1.743177500E-1,-1.354093552E-1,-3.539138138E-1,-3.116216958E-1
1.843617500E-1,-3.396587968E-1,-4.695432484E-1,-2.783604562E-1
1.944067500E-1,-5.234795213E-1,-5.562435389E-1,-2.551981509E-1
2.044507500E-1,-6.812927127E-1,-6.164566875E-1,-2.301712185E-1
2.144948750E-1,-8.125998378E-1,-6.501281261E-1,-2.015321255E-1
2.245398750E-1,-9.111201167E-1,-6.606032848E-1,-1.750959456E-1
2.345838750E-1,-9.763785005E-1,-6.511679292E-1,-1.645333171E-1
2.446278750E-1,-1.007815719E0,-6.214718223E-1,-1.571237296E-1
2.546728750E-1,-1.010001898E0,-5.683404207E-1,-1.344541013E-1
2.647168750E-1,-9.856896400E-1,-4.871163070E-1,-9.713367373E-2
2.747608750E-1,-9.420475960E-1,-3.746808469E-1,-4.964950681E-2
2.848058750E-1,-8.777380586E-1,-2.447121441E-1,-1.397338416E-2
2.948498750E-1,-7.986307144E-1,-1.153419018E-1,-3.650971688E-3
3.048938750E-1,-7.137694955E-1,9.659635834E-3,-1.094194222E-2
3.149388750E-1,-6.273041368E-1,1.257420331E-1,-1.107217092E-2
3.249828750E-1,-5.495516062E-1,2.155154347E-1,4.035035148E-3
3.350268750E-1,-4.853787720E-1,2.763939500E-1,2.669267729E-2
3.450718750E-1,-4.304037690E-1,3.207605183E-1,5.181533098E-2
3.551158750E-1,-3.891032040E-1,3.633263409E-1,7.221487164E-2
3.651598750E-1,-3.614435792E-1,4.109878540E-1,9.398787469E-2
3.752048750E-1,-3.497043550E-1,4.784036577E-1,1.254869401E-1
3.852488750E-1,-3.525217175E-1,5.570026636E-1,1.643537432E-1
3.952928750E-1,-3.641975522E-1,6.492606997E-1,2.075885534E-1
4.053378750E-1,-3.733184934E-1,7.333905697E-1,2.370181084E-1
4.153818750E-1,-3.393376172E-1,7.530587912E-1,2.497602701E-1
4.254258750E-1,-2.500591874E-1,6.742029786E-1,2.367934883E-1
4.354708750E-1,-1.284097284E-1,5.224813819E-1,2.114822716E-1
4.455148750E-1,-5.926735234E-3,3.499135673E-1,1.707122028E-1
4.555588750E-1,6.945084035E-2,2.390475124E-1,1.320404410E-1
4.656038750E-1,7.948824763E-2,2.208004445E-1,1.027499735E-1
4.756478750E-1,3.650429845E-2,2.769518793E-1,8.702108264E-2
4.856918750E-1,-3.292282298E-2,3.845014572E-1,7.134076953E-2
4.957368750E-1,-8.078728616E-2,4.901125729E-1,3.495213762E-2
5.057808750E-1,-8.575051278E-2,5.590966344E-1,-9.172248654E-3
5.158248750E-1,-4.031086341E-2,5.993639231E-1,-3.454418480E-2
5.258698750E-1,3.375605866E-2,6.166329980E-1,-4.583928734E-2
5.359138750E-1,1.215833798E-1,6.312609911E-1,-5.717157573E-2
5.459578750E-1,2.013541311E-1,6.583981514E-1,-6.671345979E-2
5.560028750E-1,2.596874535E-1,6.972126365E-1,-6.351766735E-2
5.660468750E-1,2.881898284E-1,7.473750710E-1,-5.024157465E-2
5.760908750E-1,2.863501012E-1,7.999479771E-1,-3.192994371E-2
5.861358750E-1,2.681829631E-1,8.453751802E-1,-2.740476094E-2
5.961798750E-1,2.369214445E-1,8.712011576E-1,-3.401073068E-2
6.062238750E-1,2.048474252E-1,8.648750186E-1,-4.560839012E-2
6.162688750E-1,1.762226969E-1,8.292856216E-1,-5.109024048E-2
6.263128750E-1,1.563494354E-1,7.572082281E-1,-5.421993509E-2
6.363568750E-1,1.452874541E-1,6.506234407E-1,-4.888802022E-2
6.464018750E-1,1.398673207E-1,5.229244828E-1,-4.456394911E-2
6.564458750E-1,1.376049668E-1,3.857737780E-1,-4.042672738E-2
6.664898750E-1,1.406837404E-1,2.491796613E-1,-4.493667930E-2
6.765348750E-1,1.484151632E-1,1.256116629E-1,-5.690705404E-2
6.865788750E-1,1.642641723E-1,1.440390851E-2,-8.146752417E-2
6.966228750E-1,1.846458167E-1,-6.893283129E-2,-1.064700857E-1
7.066678750E-1,2.092659473E-1,-1.368113756E-1,-1.322916150E-1
7.167118750E-1,2.374190241E-1,-1.996561140E-1,-1.464926451E-1
7.267558750E-1,2.642721832E-1,-2.712036073E-1,-1.488445848E-1
7.368008750E-1,2.811358571E-1,-3.513514400E-1,-1.367927194E-1
7.468448750E-1,2.871867418E-1,-4.242480993E-1,-1.117659360E-1
