"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.563750011E-3,-2.280633545E1,3.346057129E1,-4.081909180E0
1.360874996E-2,-2.273812866E1,3.347409058E1,-4.420776367E0
2.365275001E-2,-2.269715881E1,3.342471313E1,-4.869812012E0
3.369675000E-2,-2.250944519E1,3.333877563E1,-6.200134277E0
4.374175001E-2,-2.244911957E1,3.315518188E1,-6.947937012E0
5.378575000E-2,-2.244911957E1,3.315518188E1,-6.947937012E0
6.382975000E-2,-2.214611816E1,3.293353271E1,-7.999511719E0
7.387475000E-2,-2.211338806E1,3.276336670E1,-8.952026367E0
8.391875000E-2,-2.210825348E1,3.266293335E1,-9.606811523E0
9.396274999E-2,-2.205744934E1,3.252120972E1,-1.055023193E1
1.040077500E-1,-2.193547821E1,3.232308960E1,-1.153161621E1
1.140517500E-1,-2.202833557E1,3.209945679E1,-1.219488525E1
1.240957500E-1,-2.207160187E1,3.182696533E1,-1.263024902E1
1.341407500E-1,-2.215836334E1,3.138351440E1,-1.316485596E1
1.441847500E-1,-2.228207397E1,3.112860107E1,-1.344641113E1
1.542287500E-1,-2.247793579E1,3.099520874E1,-1.371130371E1
1.642737500E-1,-2.252916718E1,3.090350342E1,-1.379357910E1
1.743177500E-1,-2.260937500E1,3.083776855E1,-1.376092529E1
1.843617500E-1,-2.276143646E1,3.065768433E1,-1.405090332E1
1.944067500E-1,-2.289733887E1,3.078121948E1,-1.378057861E1
2.044507500E-1,-2.308460999E1,3.077099609E1,-1.350079346E1
2.144948750E-1,-2.335416412E1,3.082424927E1,-1.306286621E1
2.245398750E-1,-2.336942291E1,3.078955078E1,-1.276019287E1
2.345838750E-1,-2.352359009E1,3.091430664E1,-1.235699463E1
2.446278750E-1,-2.370561218E1,3.081860352E1,-1.184234619E1
2.546728750E-1,-2.391265869E1,3.095855713E1,-1.152886963E1
2.647168750E-1,-2.397635651E1,3.103378296E1,-1.099572754E1
2.747608750E-1,-2.405518341E1,3.108999634E1,-1.043859863E1
2.848058750E-1,-2.411078644E1,3.116522217E1,-9.901611328E0
2.948498750E-1,-2.419136810E1,3.118301392E1,-9.628662109E0
3.048938750E-1,-2.415500641E1,3.139285278E1,-9.279907227E0
3.149388750E-1,-2.420606995E1,3.132330322E1,-9.323974609E0
3.249828750E-1,-2.415023804E1,3.148748779E1,-9.122802734E0
3.350268750E-1,-2.402569580E1,3.142477417E1,-9.160461426E0
3.450718750E-1,-2.400808716E1,3.158865356E1,-8.739562988E0
3.551158750E-1,-2.391096497E1,3.153060913E1,-8.792419434E0
3.651598750E-1,-2.398080444E1,3.156222534E1,-8.707092285E0
3.752048750E-1,-2.405507660E1,3.164263916E1,-8.529846191E0
3.852488750E-1,-2.390849304E1,3.181164551E1,-8.595275879E0
3.952928750E-1,-2.372607422E1,3.181500244E1,-8.641906738E0
4.053378750E-1,-2.354545593E1,3.176782227E1,-8.798400879E0
4.153818750E-1,-2.355654907E1,3.195812988E1,-8.572875977E0
4.254258750E-1,-2.333137512E1,3.214785767E1,-8.621826172E0
4.354708750E-1,-2.316362000E1,3.225930786E1,-8.528076172E0
4.455148750E-1,-2.308009338E1,3.225891113E1,-8.759948730E0
4.555588750E-1,-2.288372803E1,3.227932739E1,-9.053466797E0
4.656038750E-1,-2.301773071E1,3.231762695E1,-9.220092773E0
4.756478750E-1,-2.282003021E1,3.238861084E1,-9.229370117E0
4.856918750E-1,-2.272134399E1,3.241058350E1,-9.056152344E0
4.957368750E-1,-2.275862122E1,3.240142822E1,-8.833129883E0
5.057808750E-1,-2.268898010E1,3.239334106E1,-9.205871582E0
5.158248750E-1,-2.259835815E1,3.230059814E1,-9.305175781E0
5.258698750E-1,-2.251265717E1,3.232019043E1,-9.285644531E0
5.359138750E-1,-2.253190613E1,3.234008789E1,-9.600402832E0
5.459578750E-1,-2.239413452E1,3.230429077E1,-9.977966309E0
