"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.188229164E-2,3.851747486E-1,-3.312153607E-1,6.363737800E-1,-5.804869324E-1,1.346908214E2,-9.169137347E1,6.067373819E0,-1.191173018E2
2.192729164E-2,3.816914591E-1,-3.273952652E-1,6.380077185E-1,-5.831552705E-1,1.351230101E2,-9.164128727E1,6.038669086E0,-1.198020956E2
3.197129164E-2,3.778661900E-1,-3.234381713E-1,6.400102944E-1,-5.856550211E-1,1.355968559E2,-9.163936890E1,6.017379420E0,-1.205312976E2
4.201529163E-2,3.739609579E-1,-3.195977189E-1,6.421695933E-1,-5.879020277E-1,1.360797835E2,-9.167378605E1,5.998845196E0,-1.212559736E2
5.206029164E-2,3.702084764E-1,-3.161555331E-1,6.442146954E-1,-5.898973227E-1,1.365430497E2,-9.172468921E1,5.968914558E0,-1.219277856E2
6.210429163E-2,3.669234457E-1,-3.133135711E-1,6.459153207E-1,-5.916039540E-1,1.369479943E2,-9.177125498E1,5.928531525E0,-1.224984820E2
7.214929163E-2,3.643090977E-1,-3.111472652E-1,6.471917380E-1,-5.929663719E-1,1.372698608E2,-9.180543980E1,5.886372344E0,-1.229426878E2
8.219329169E-2,3.626303782E-1,-3.098728077E-1,6.480030859E-1,-5.937761077E-1,1.374763506E2,-9.183522725E1,5.853260688E0,-1.232170516E2
9.223729168E-2,3.618825772E-1,-3.094025964E-1,6.484889759E-1,-5.939470869E-1,1.375682867E2,-9.187423852E1,5.843763935E0,-1.233311847E2
1.022822917E-1,3.619499174E-1,-3.096200215E-1,6.487469673E-1,-5.935107933E-1,1.375600090E2,-9.192838019E1,5.860235861E0,-1.233070160E2
1.123262917E-1,3.626559719E-1,-3.104182617E-1,6.488309449E-1,-5.925702337E-1,1.374732036E2,-9.199811428E1,5.895567818E0,-1.231707616E2
1.223712917E-1,3.638802009E-1,-3.116903590E-1,6.487226907E-1,-5.912690446E-1,1.373226308E2,-9.207332378E1,5.942420528E0,-1.229428803E2
1.324152917E-1,3.655206300E-1,-3.132974394E-1,6.483972117E-1,-5.897630639E-1,1.371207467E2,-9.214065704E1,5.996205484E0,-1.226448535E2
1.424592917E-1,3.674332118E-1,-3.150943281E-1,6.478748436E-1,-5.881891742E-1,1.368851927E2,-9.219300262E1,6.052017544E0,-1.223028984E2
1.525042917E-1,3.694423416E-1,-3.169587993E-1,6.472363399E-1,-5.866297513E-1,1.366375417E2,-9.223376080E1,6.105417845E0,-1.219446594E2
1.625482917E-1,3.713685684E-1,-3.187680265E-1,6.465993009E-1,-5.851339280E-1,1.363999095E2,-9.227156266E1,6.154470991E0,-1.215985664E2
1.725922917E-1,3.730626505E-1,-3.204552913E-1,6.460531199E-1,-5.837362226E-1,1.361907534E2,-9.231470957E1,6.195072423E0,-1.212851635E2
1.826372917E-1,3.744443190E-1,-3.219954425E-1,6.456420827E-1,-5.824573924E-1,1.360200549E2,-9.236773724E1,6.224057236E0,-1.210146920E2
1.926812917E-1,3.754817847E-1,-3.234309221E-1,6.453653044E-1,-5.812998924E-1,1.358918136E2,-9.243345941E1,6.236065380E0,-1.207865021E2
2.027262917E-1,3.762262456E-1,-3.247780618E-1,6.451927130E-1,-5.802579591E-1,1.357997548E2,-9.250849776E1,6.232701789E0,-1.205942003E2
2.127702917E-1,3.766952873E-1,-3.259829348E-1,6.451690476E-1,-5.793036386E-1,1.357417385E2,-9.259539354E1,6.221827366E0,-1.204413383E2
2.228142917E-1,3.768288718E-1,-3.269946594E-1,6.453784858E-1,-5.784126753E-1,1.357252131E2,-9.270273929E1,6.206882919E0,-1.203386613E2
2.328592917E-1,3.765185340E-1,-3.277301113E-1,6.459315473E-1,-5.775804963E-1,1.357636027E2,-9.284063531E1,6.190202621E0,-1.203045147E2
2.429032917E-1,3.756547976E-1,-3.281082318E-1,6.469212606E-1,-5.768201461E-1,1.358704218E2,-9.301683303E1,6.172332236E0,-1.203570337E2
2.529482917E-1,3.741905634E-1,-3.281003503E-1,6.483461191E-1,-5.761761106E-1,1.360514129E2,-9.322913398E1,6.149485810E0,-1.205030301E2
2.629922917E-1,3.721957741E-1,-3.277200909E-1,6.501131785E-1,-5.756932552E-1,1.362977995E2,-9.346504755E1,6.119718173E0,-1.207339314E2
2.730362916E-1,3.698433477E-1,-3.270258796E-1,6.520643773E-1,-5.753971736E-1,1.365880871E2,-9.370571121E1,6.083851060E0,-1.210270607E2
2.830812917E-1,3.673044532E-1,-3.260920741E-1,6.540332252E-1,-5.753190018E-1,1.369010566E2,-9.393196160E1,6.041264909E0,-1.213586096E2
2.931252916E-1,3.647133387E-1,-3.249884167E-1,6.558902154E-1,-5.754777373E-1,1.372201157E2,-9.412957195E1,5.991252351E0,-1.217089281E2
3.031702916E-1,3.621373760E-1,-3.237743557E-1,6.575581137E-1,-5.758854133E-1,1.375369645E2,-9.429120256E1,5.931470901E0,-1.220659919E2
3.132142916E-1,3.595387805E-1,-3.224817540E-1,6.590453495E-1,-5.765385103E-1,1.378562527E2,-9.442033838E1,5.857715959E0,-1.224304220E2
3.232582916E-1,3.568389060E-1,-3.211176817E-1,6.604326025E-1,-5.773891496E-1,1.381876223E2,-9.452968294E1,5.768905801E0,-1.228091951E2
3.333032916E-1,3.539837731E-1,-3.196950254E-1,6.618108361E-1,-5.783571995E-1,1.385376499E2,-9.463408133E1,5.666892452E0,-1.232064718E2
