"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.507416659E-3,-1.296523446E0,-9.723849463E0,-4.347934742E-2
1.155241666E-2,-1.295729686E0,-9.723855311E0,-6.181159731E-2
2.159641666E-2,-1.294035163E0,-9.723931324E0,-8.188564139E-2
3.164141666E-2,-1.291633858E0,-9.724055870E0,-1.026141579E-1
4.168541665E-2,-1.288824271E0,-9.724208483E0,-1.218188809E-1
5.173041666E-2,-1.285753021E0,-9.724401441E0,-1.376821760E-1
6.177441665E-2,-1.282570527E0,-9.724672751E0,-1.478431384E-1
7.181941665E-2,-1.279193029E0,-9.725069193E0,-1.510240877E-1
8.186341665E-2,-1.274681025E0,-9.725693091E0,-1.489197844E-1
9.190841665E-2,-1.268731191E0,-9.726533920E0,-1.447904899E-1
1.019524166E-1,-1.261653137E0,-9.727497541E0,-1.418985575E-1
1.119974167E-1,-1.253803250E0,-9.728496246E0,-1.430317845E-1
1.220414166E-1,-1.245023801E0,-9.729516000E0,-1.501369189E-1
1.320864166E-1,-1.235037634E0,-9.730573177E0,-1.634874553E-1
1.421304166E-1,-1.223801917E0,-9.731668945E0,-1.817700724E-1
1.521754166E-1,-1.211867969E0,-9.732762959E0,-2.019661908E-1
1.622194166E-1,-1.200132680E0,-9.733803763E0,-2.210156154E-1
1.722644166E-1,-1.189229889E0,-9.734763876E0,-2.370968471E-1
1.823084166E-1,-1.179376965E0,-9.735653822E0,-2.494585737E-1
1.923534166E-1,-1.170381828E0,-9.736510440E0,-2.582634937E-1
2.023974166E-1,-1.162249959E0,-9.737313262E0,-2.645894867E-1
2.124424166E-1,-1.154889265E0,-9.738051766E0,-2.695968229E-1
2.224864166E-1,-1.147950081E0,-9.738744661E0,-2.741250712E-1
2.325314166E-1,-1.141484742E0,-9.739381422E0,-2.784755823E-1
2.425754166E-1,-1.135324408E0,-9.739983101E0,-2.825988926E-1
2.526204166E-1,-1.129852876E0,-9.740533909E0,-2.855105685E-1
2.626644166E-1,-1.125508541E0,-9.741015134E0,-2.862511549E-1
2.727094166E-1,-1.122410028E0,-9.741422685E0,-2.846159079E-1
2.827534166E-1,-1.120094165E0,-9.741795153E0,-2.809279411E-1
2.927984166E-1,-1.117388512E0,-9.742244804E0,-2.760797040E-1
3.028424166E-1,-1.113914755E0,-9.742792688E0,-2.707419818E-1
3.128874166E-1,-1.109769225E0,-9.743432958E0,-2.646265617E-1
3.229314166E-1,-1.105204815E0,-9.744174385E0,-2.562852710E-1
3.329764166E-1,-1.099508677E0,-9.745143269E0,-2.436913735E-1
3.430204166E-1,-1.092766180E0,-9.746332008E0,-2.257453733E-1
3.530654166E-1,-1.084955104E0,-9.747699087E0,-2.032835685E-1
3.631094167E-1,-1.076305244E0,-9.749141010E0,-1.786698969E-1
3.731540416E-1,-1.067448028E0,-9.750525046E0,-1.546411662E-1
3.831980416E-1,-1.059228086E0,-9.751747114E0,-1.325259916E-1
3.932430416E-1,-1.049414411E0,-9.753068585E0,-1.117326897E-1
4.032870416E-1,-1.040649654E0,-9.754218147E0,-9.144930163E-2
4.133320416E-1,-1.042053278E0,-9.754223410E0,-7.307791650E-2
4.233760416E-1,-1.061281482E0,-9.752268686E0,-5.489903724E-2
4.334210416E-1,-1.098243413E0,-9.748307197E0,-2.182034244E-2
4.434650416E-1,-1.138871037E0,-9.743582647E0,4.108678554E-2
4.535100416E-1,-1.168374917E0,-9.739421768E0,1.210299545E-1
4.635540416E-1,-1.188085077E0,-9.735881279E0,1.927397048E-1
4.735990416E-1,-1.200289897E0,-9.733343003E0,2.396031648E-1
4.836430416E-1,-1.201304535E0,-9.732689284E0,2.602473809E-1
4.936880416E-1,-1.187733002E0,-9.734220085E0,2.652380526E-1
5.037320416E-1,-1.159513901E0,-9.737634274E0,2.647851674E-1
5.137770416E-1,-1.119317363E0,-9.742448872E0,2.606106940E-1
5.238210416E-1,-1.070707339E0,-9.748194346E0,2.498052587E-1
5.338660416E-1,-1.018062518E0,-9.754210546E0,2.344991668E-1
5.439100416E-1,-9.663991517E-1,-9.759762477E0,2.218698571E-1
5.539550416E-1,-9.177634006E-1,-9.764538483E0,2.182006379E-1
5.639990416E-1,-8.699459673E-1,-9.768722166E0,2.265895285E-1
5.740440416E-1,-8.178066377E-1,-9.772755575E0,2.460195703E-1
5.840880416E-1,-7.555500901E-1,-9.777082515E0,2.718651406E-1
5.941330416E-1,-6.802614876E-1,-9.781862029E0,2.975542430E-1
6.041770417E-1,-5.913098424E-1,-9.787025705E0,3.171717612E-1
6.142220416E-1,-4.937729497E-1,-9.792158976E0,3.254740034E-1
6.242660417E-1,-3.993782777E-1,-9.796645544E0,3.199009125E-1
6.343110417E-1,-3.221930942E-1,-9.800083707E0,3.011164399E-1
6.443550417E-1,-2.707980968E-1,-9.802510886E0,2.712185664E-1
