"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.507416659E-3,4.534804759E-1,-3.797468562E-1,5.983380299E-1,-5.404992512E-1,1.260655842E2,-9.025619140E1,7.594627545E0,-1.076350646E2
1.155241666E-2,4.520432631E-1,-3.790266087E-1,5.995742391E-1,-5.408386228E-1,1.262502933E2,-9.036420700E1,7.589950547E0,-1.078591615E2
2.159641666E-2,4.503671461E-1,-3.781710171E-1,6.009661072E-1,-5.412907953E-1,1.264655158E2,-9.048247881E1,7.579966320E0,-1.081213075E2
3.164141666E-2,4.485768850E-1,-3.772567993E-1,6.024179502E-1,-5.418013938E-1,1.266951701E2,-9.060459750E1,7.565817813E0,-1.084006805E2
4.168541665E-2,4.469186120E-1,-3.764421323E-1,6.037385480E-1,-5.422684283E-1,1.269076870E2,-9.071772859E1,7.549264798E0,-1.086558578E2
5.173041666E-2,4.455980933E-1,-3.758678183E-1,6.047650977E-1,-5.426093700E-1,1.270767781E2,-9.081116359E1,7.531170623E0,-1.088516425E2
6.177441665E-2,4.448496864E-1,-3.756828990E-1,6.053079280E-1,-5.427462261E-1,1.271725557E2,-9.087099439E1,7.512421624E0,-1.089491934E2
7.181941665E-2,4.447901487E-1,-3.759680013E-1,6.052648329E-1,-5.426456901E-1,1.271801734E2,-9.088969517E1,7.492524717E0,-1.089285841E2
8.186341665E-2,4.452854005E-1,-3.767074783E-1,6.047161968E-1,-5.423381603E-1,1.271167999E2,-9.087724424E1,7.465946386E0,-1.088055622E2
9.190841665E-2,4.460504396E-1,-3.777460610E-1,6.038937432E-1,-5.419033840E-1,1.270188696E2,-9.085284970E1,7.430900522E0,-1.086251994E2
1.019524166E-1,4.468061168E-1,-3.788980502E-1,6.030494259E-1,-5.414166880E-1,1.269220968E2,-9.083573518E1,7.389212761E0,-1.084349262E2
1.119974167E-1,4.472663814E-1,-3.799476859E-1,6.024366002E-1,-5.409831444E-1,1.268631348E2,-9.084232211E1,7.342983109E0,-1.082858752E2
1.220414166E-1,4.471475589E-1,-3.806768896E-1,6.022768004E-1,-5.407465847E-1,1.268783579E2,-9.088406547E1,7.291285682E0,-1.082291343E2
1.320864166E-1,4.463100694E-1,-3.809597476E-1,6.026627286E-1,-5.408092465E-1,1.269856257E2,-9.096255990E1,7.232488898E0,-1.082914740E2
1.421304166E-1,4.447516528E-1,-3.807361586E-1,6.035764301E-1,-5.412314684E-1,1.271850986E2,-9.107005765E1,7.166344785E0,-1.084784494E2
1.521754166E-1,4.426284632E-1,-3.800091992E-1,6.048858589E-1,-5.420203731E-1,1.274565839E2,-9.118878373E1,7.096100570E0,-1.087724796E2
1.622194166E-1,4.401509503E-1,-3.788202472E-1,6.064322163E-1,-5.431411789E-1,1.277729745E2,-9.130073372E1,7.027036082E0,-1.091467258E2
1.722644166E-1,4.374952510E-1,-3.772461256E-1,6.080870069E-1,-5.445305340E-1,1.281116456E2,-9.139520221E1,6.962880361E0,-1.095748206E2
1.823084166E-1,4.347850980E-1,-3.753798631E-1,6.097577080E-1,-5.461204238E-1,1.284567598E2,-9.146777980E1,6.904909792E0,-1.100346699E2
1.923534166E-1,4.320867672E-1,-3.733168592E-1,6.113900554E-1,-5.478484498E-1,1.287998706E2,-9.151942929E1,6.851992704E0,-1.105101835E2
2.023974166E-1,4.294268269E-1,-3.711355807E-1,6.129796765E-1,-5.496425253E-1,1.291376187E2,-9.155650038E1,6.804158638E0,-1.109912262E2
2.124424166E-1,4.268014101E-1,-3.688887848E-1,6.145420918E-1,-5.514523162E-1,1.294705196E2,-9.158582183E1,6.760865124E0,-1.114733768E2
2.224864166E-1,4.241917827E-1,-3.666143618E-1,6.160889760E-1,-5.532535671E-1,1.298009668E2,-9.161232939E1,6.720054415E0,-1.119550431E2
2.325314166E-1,4.215504186E-1,-3.642689002E-1,6.176581769E-1,-5.550691059E-1,1.301349787E2,-9.163779705E1,6.682033631E0,-1.124452365E2
2.425754166E-1,4.190128938E-1,-3.620118100E-1,6.191535049E-1,-5.567985070E-1,1.304554339E2,-9.166193123E1,6.645809002E0,-1.129151564E2
2.526204166E-1,4.166398998E-1,-3.598446612E-1,6.205351208E-1,-5.584434563E-1,1.307547374E2,-9.167894982E1,6.613637459E0,-1.133585819E2
2.626644166E-1,4.145345910E-1,-3.578141841E-1,6.217385081E-1,-5.599743036E-1,1.310199782E2,-9.168321926E1,6.588094746E0,-1.137608913E2
2.727094166E-1,4.127296100E-1,-3.559408937E-1,6.227459337E-1,-5.613804068E-1,1.312471593E2,-9.167353926E1,6.569877695E0,-1.141171789E2
2.827534166E-1,4.111694180E-1,-3.542066984E-1,6.235832441E-1,-5.626910895E-1,1.314433660E2,-9.165180296E1,6.556262523E0,-1.144349520E2
2.927984166E-1,4.097363725E-1,-3.525931800E-1,6.242991188E-1,-5.639546204E-1,1.316234496E2,-9.162323670E1,6.540356203E0,-1.147279869E2
3.028424166E-1,4.083337411E-1,-3.510454108E-1,6.249531220E-1,-5.652117608E-1,1.317995882E2,-9.159177990E1,6.519935087E0,-1.150112313E2
3.128874166E-1,4.069236972E-1,-3.495040162E-1,6.255673702E-1,-5.665028662E-1,1.319765356E2,-9.155574105E1,6.495565851E0,-1.152939780E2
3.229314166E-1,4.055586188E-1,-3.479523589E-1,6.260923302E-1,-5.678553849E-1,1.321477244E2,-9.150661093E1,6.468735720E0,-1.155723706E2
3.329764166E-1,4.043037543E-1,-3.464274543E-1,6.264252377E-1,-5.693136501E-1,1.323049917E2,-9.143246515E1,6.435255089E0,-1.158361499E2
3.430204166E-1,4.031945494E-1,-3.449205991E-1,6.265266641E-1,-5.709012218E-1,1.324439246E2,-9.132685250E1,6.395627274E0,-1.160824487E2
3.530654166E-1,4.021419792E-1,-3.433708806E-1,6.264642657E-1,-5.726436515E-1,1.325756952E2,-9.119470264E1,6.349722469E0,-1.163259424E2
3.631094167E-1,4.009865128E-1,-3.416855862E-1,6.263844501E-1,-5.745462130E-1,1.327202707E2,-9.104992689E1,6.298893381E0,-1.165913376E2
3.731540416E-1,3.995696886E-1,-3.397624781E-1,6.264529281E-1,-5.765954085E-1,1.328974392E2,-9.090862216E1,6.246850545E0,-1.169040567E2
3.831980416E-1,3.978361992E-1,-3.375417396E-1,6.267537091E-1,-5.787673937E-1,1.331140433E2,-9.077860027E1,6.198557191E0,-1.172750776E2
3.932430416E-1,3.957412480E-1,-3.350971381E-1,6.272198533E-1,-5.811144674E-1,1.333755764E2,-9.065636076E1,6.140905939E0,-1.177014865E2
4.032870416E-1,3.934358681E-1,-3.323925538E-1,6.278345440E-1,-5.835641581E-1,1.336630824E2,-9.053715278E1,6.089422119E0,-1.181713870E2
4.133320416E-1,3.912159303E-1,-3.292125003E-1,6.287637029E-1,-5.858543968E-1,1.339396414E2,-9.042924769E1,6.097666373E0,-1.186758184E2
4.233760416E-1,3.898907070E-1,-3.258591706E-1,6.297729092E-1,-5.875261515E-1,1.341046019E2,-9.032253522E1,6.210620980E0,-1.191079717E2
4.334210416E-1,3.910913653E-1,-3.235057749E-1,6.296476487E-1,-5.881627586E-1,1.339551512E2,-9.012824908E1,6.427818594E0,-1.191993620E2
4.434650416E-1,3.957091532E-1,-3.234360113E-1,6.271323775E-1,-5.877996951E-1,1.333795811E2,-8.975839632E1,6.666663912E0,-1.187414757E2
4.535100416E-1,4.020048703E-1,-3.251896047E-1,6.229630953E-1,-5.869929307E-1,1.325928549E2,-8.928803284E1,6.840186876E0,-1.179449531E2
4.635540416E-1,4.074797670E-1,-3.269668635E-1,6.190872606E-1,-5.863307826E-1,1.319067686E2,-8.886587271E1,6.956144566E0,-1.172241710E2
4.735990416E-1,4.104557401E-1,-3.275141509E-1,6.168648889E-1,-5.862918547E-1,1.315330662E2,-8.858984957E1,7.027961478E0,-1.168667046E2
4.836430416E-1,4.102613747E-1,-3.264458969E-1,6.165782060E-1,-5.873244367E-1,1.315574900E2,-8.846830370E1,7.033932406E0,-1.169782112E2
4.936880416E-1,4.070632613E-1,-3.237605315E-1,6.177866615E-1,-5.897612095E-1,1.319590270E2,-8.843919068E1,6.954072964E0,-1.175394088E2
5.037320416E-1,4.013427960E-1,-3.195883833E-1,6.199738617E-1,-5.936494670E-1,1.326757000E2,-8.844240048E1,6.788065768E0,-1.184842811E2
5.137770416E-1,3.935512977E-1,-3.141871804E-1,6.228992745E-1,-5.986654266E-1,1.336486944E2,-8.846770229E1,6.551695871E0,-1.197388225E2
5.238210416E-1,3.841658479E-1,-3.079503846E-1,6.264458369E-1,-6.042754461E-1,1.348160703E2,-8.853207120E1,6.266000956E0,-1.212157772E2
5.338660416E-1,3.739378719E-1,-3.013025306E-1,6.302894083E-1,-6.100183230E-1,1.360826359E2,-8.862282814E1,5.956768282E0,-1.227993881E2
5.439100416E-1,3.638138091E-1,-2.946442347E-1,6.339372391E-1,-6.155874917E-1,1.373307986E2,-8.869771241E1,5.653470105E0,-1.243602167E2
5.539550416E-1,3.545617013E-1,-2.884238867E-1,6.369382422E-1,-6.208118780E-1,1.384668311E2,-8.871986828E1,5.368091618E0,-1.257860374E2
