"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.265124968E-3,-5.734574890E-1,-9.570048981E0,-2.240540771E0
1.430912496E-2,1.410067749E-1,-8.407716064E0,-2.095791779E0
2.435412497E-2,7.846682739E-1,-7.485334167E0,-1.741927643E0
3.439900000E-2,1.506766663E0,-6.756948853E0,-1.192869415E0
4.444299999E-2,2.273472290E0,-6.326743469E0,-5.463638306E-2
5.448699999E-2,2.556383972E0,-6.227200470E0,7.304809570E-1
6.453199999E-2,1.966460724E0,-6.260730743E0,6.984475708E-1
7.457599998E-2,1.355131989E0,-6.357729034E0,9.056167603E-2
8.461999998E-2,9.574090576E-1,-6.730304260E0,-5.113366699E-1
9.466499998E-2,8.794212341E-1,-7.256460114E0,-8.107141113E-1
1.047090000E-1,8.544232178E-1,-8.086334381E0,-7.670050049E-1
1.147530000E-1,5.053491211E-1,-9.095086670E0,-4.062551880E-1
1.247980000E-1,-1.675016785E-1,-1.030951126E1,5.560935974E-1
1.348420000E-1,-8.804690552E-1,-1.135014725E1,1.728605347E0
1.448860000E-1,-1.315464478E0,-1.177406570E1,2.360591125E0
1.549300000E-1,-1.204844513E0,-1.151525391E1,2.180814972E0
1.649750000E-1,-9.256750488E-1,-1.097577576E1,1.632056122E0
1.750190000E-1,-6.786886597E-1,-1.031834290E1,1.027912445E0
1.850630000E-1,-4.408332825E-1,-9.641899567E0,4.932243347E-1
1.951080000E-1,-3.381468201E-1,-9.047036591E0,2.254312134E-1
2.051520000E-1,-3.608995056E-1,-8.463849335E0,-7.589218140E-2
2.151960000E-1,-4.137396240E-1,-8.174351349E0,-4.754113770E-1
2.252400000E-1,-6.688092041E-1,-8.575666809E0,9.729766846E-2
2.352850000E-1,-7.170089722E-1,-8.988957367E0,9.913883972E-1
2.453290000E-1,-4.746629333E-1,-9.047785034E0,1.575623474E0
2.553730000E-1,-2.206411743E-1,-8.853489075E0,1.880838776E0
2.654180000E-1,-3.293151855E-2,-8.570876770E0,1.878593445E0
2.754620000E-1,-5.688171387E-2,-8.326884155E0,1.638792114E0
2.855060000E-1,-1.944456482E-1,-8.124804382E0,1.296753387E0
2.955510000E-1,-4.308041382E-1,-7.782017212E0,1.000070343E0
3.055950000E-1,-5.545967102E-1,-7.399113464E0,7.298822021E-1
3.156390000E-1,-7.099736023E-1,-7.066056061E0,4.429289246E-1
3.256830000E-1,-8.298742676E-1,-6.758146362E0,3.100053406E-1
