"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
4.265124968E-3,-5.370695351E-1,-9.681753019E0,-1.487049705E0
1.430912496E-2,-5.961772840E-1,-9.690243176E0,-1.407073536E0
2.435412497E-2,-6.544004953E-1,-9.697842218E0,-1.326541297E0
3.439900000E-2,-7.061778823E-1,-9.705841209E0,-1.238557804E0
4.444299999E-2,-7.453578816E-1,-9.716586052E0,-1.126283005E0
5.448699999E-2,-7.690988197E-1,-9.730766720E0,-9.781549788E-1
6.453199999E-2,-7.834660864E-1,-9.745972989E0,-7.989438855E-1
7.457599998E-2,-7.950986103E-1,-9.758993568E0,-6.049666358E-1
8.461999998E-2,-8.052199213E-1,-9.768162003E0,-4.132229494E-1
9.466499998E-2,-8.095415253E-1,-9.773715688E0,-2.350327800E-1
1.047090000E-1,-8.025576840E-1,-9.776833423E0,-7.436579316E-2
1.147530000E-1,-7.829169597E-1,-9.778441408E0,7.214402937E-2
1.247980000E-1,-7.552958094E-1,-9.778401062E0,2.201982295E-1
1.348420000E-1,-7.267683405E-1,-9.775268708E0,3.899097352E-1
1.448860000E-1,-7.021884732E-1,-9.766930579E0,5.916699943E-1
1.549300000E-1,-6.812115140E-1,-9.752006146E0,8.187936477E-1
1.649750000E-1,-6.618761605E-1,-9.730610599E0,1.055103898E0
1.750190000E-1,-6.432392570E-1,-9.704530263E0,1.282360612E0
1.850630000E-1,-6.246373636E-1,-9.676484678E0,1.487137706E0
1.951080000E-1,-6.081840662E-1,-9.649137835E0,1.661432679E0
2.051520000E-1,-5.979154785E-1,-9.624646772E0,1.801318689E0
2.151960000E-1,-5.968744183E-1,-9.604770917E0,1.904791895E0
2.252400000E-1,-6.068140636E-1,-9.588517411E0,1.981977480E0
2.352850000E-1,-6.250869414E-1,-9.573219926E0,2.049104685E0
2.453290000E-1,-6.445173852E-1,-9.556720837E0,2.118911523E0
2.553730000E-1,-6.585827894E-1,-9.538004485E0,2.197458487E0
2.654180000E-1,-6.641608138E-1,-9.517198337E0,2.284278237E0
2.754620000E-1,-6.627287576E-1,-9.495277126E0,2.374150380E0
2.855060000E-1,-6.580209450E-1,-9.473598574E0,2.460497529E0
2.955510000E-1,-6.530011835E-1,-9.453592910E0,2.537573772E0
3.055950000E-1,-6.489587110E-1,-9.436795614E0,2.600353280E0
3.156390000E-1,-6.456990344E-1,-9.424975467E0,2.643673546E0
3.256830000E-1,-6.425193916E-1,-9.419481423E0,2.663953152E0
3.357280000E-1,-6.384509721E-1,-9.420876569E0,2.659993418E0
3.457720000E-1,-6.324478550E-1,-9.428759201E0,2.633362859E0
3.558160000E-1,-6.240571006E-1,-9.441986772E0,2.587573605E0
3.658610000E-1,-6.127639710E-1,-9.458989305E0,2.527477969E0
3.759050000E-1,-5.977513544E-1,-9.478089235E0,2.458582566E0
3.859490000E-1,-5.787361726E-1,-9.497725940E0,2.386290808E0
3.959930000E-1,-5.557920638E-1,-9.516408378E0,2.316280487E0
4.060380000E-1,-5.307648114E-1,-9.532297018E0,2.256037062E0
4.160820000E-1,-5.063732975E-1,-9.543181025E0,2.215266182E0
4.261260000E-1,-4.863451586E-1,-9.547064745E0,2.202976504E0
4.361710000E-1,-4.756341559E-1,-9.543100918E0,2.222414403E0
4.462150000E-1,-4.810651594E-1,-9.532826191E0,2.264929362E0
4.562590000E-1,-5.060869301E-1,-9.519485768E0,2.315034153E0
4.663040000E-1,-5.472358331E-1,-9.505679907E0,2.361924875E0
4.763480000E-1,-5.945252628E-1,-9.491940120E0,2.405353900E0
4.863920000E-1,-6.385457700E-1,-9.476975926E0,2.452609635E0
4.964360000E-1,-6.719683816E-1,-9.458734952E0,2.513342910E0
5.064810000E-1,-6.893867985E-1,-9.435075948E0,2.596190939E0
5.165250000E-1,-6.915114574E-1,-9.404190370E0,2.705390030E0
5.265690000E-1,-6.843695220E-1,-9.370184718E0,2.822656233E0
5.366140000E-1,-6.717352239E-1,-9.342681754E0,2.915334016E0
5.466580000E-1,-6.561668660E-1,-9.331442821E0,2.954608009E0
5.567020000E-1,-6.426290269E-1,-9.343354184E0,2.919733169E0
5.667460000E-1,-6.374951716E-1,-9.378446833E0,2.806141064E0
5.767910000E-1,-6.449732488E-1,-9.429871341E0,2.626335967E0
5.868350000E-1,-6.745042460E-1,-9.486801587E0,2.404527689E0
5.968790000E-1,-7.349445022E-1,-9.536176645E0,2.181117419E0
6.069240000E-1,-8.215348955E-1,-9.568528120E0,2.001119802E0
6.169680000E-1,-9.169785581E-1,-9.582190139E0,1.891261438E0
6.270120000E-1,-1.003880900E0,-9.582926304E0,1.842784658E0
6.370560000E-1,-1.073155203E0,-9.578354366E0,1.827450188E0
6.471010000E-1,-1.119374812E0,-9.574184132E0,1.821570521E0
6.571450000E-1,-1.137491971E0,-9.573213494E0,1.815439861E0
6.671890000E-1,-1.123505796E0,-9.576678554E0,1.805842095E0
6.772340000E-1,-1.080079476E0,-9.584733678E0,1.789525148E0
6.872780000E-1,-1.017828191E0,-9.596488336E0,1.762820768E0
6.973220000E-1,-9.529849812E-1,-9.610501188E0,1.722259364E0
7.073670000E-1,-8.996383477E-1,-9.625458366E0,1.666522534E0
7.174110000E-1,-8.654931664E-1,-9.640690947E0,1.595024536E0
7.274550000E-1,-8.521830033E-1,-9.655899555E0,1.507816238E0
7.374990000E-1,-8.577950878E-1,-9.670731602E0,1.406147776E0
7.475440000E-1,-8.804723442E-1,-9.684515828E0,1.292674370E0
7.575880000E-1,-9.192855770E-1,-9.696406726E0,1.170780608E0
7.676320000E-1,-9.740733299E-1,-9.705532476E0,1.044003471E0
7.776770000E-1,-1.042011617E0,-9.711471493E0,9.152225661E-1
7.877210000E-1,-1.117216458E0,-9.714368203E0,7.867503943E-1
