"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.265124968E-3,-2.384968567E1,2.982192993E1,-9.593261719E0
1.430912496E-2,-2.386098480E1,2.986779785E1,-9.625549316E0
2.435412497E-2,-2.383483887E1,2.987500000E1,-9.584655762E0
3.439900000E-2,-2.377606964E1,2.966177368E1,-9.403076172E0
4.444299999E-2,-2.389994812E1,2.964450073E1,-9.715820312E0
5.448699999E-2,-2.389482117E1,2.964593506E1,-9.723449707E0
6.453199999E-2,-2.403003693E1,2.956787109E1,-9.845336914E0
7.457599998E-2,-2.428594971E1,2.928924561E1,-1.005450439E1
8.461999998E-2,-2.436596680E1,2.897476196E1,-1.004559326E1
9.466499998E-2,-2.445530701E1,2.876440430E1,-1.041809082E1
1.047090000E-1,-2.460399628E1,2.851965332E1,-1.060559082E1
1.147530000E-1,-2.456023407E1,2.815927124E1,-1.084765625E1
1.247980000E-1,-2.470137787E1,2.795645142E1,-1.127130127E1
1.348420000E-1,-2.479199219E1,2.787298584E1,-1.158471680E1
1.448860000E-1,-2.485936737E1,2.755642700E1,-1.215673828E1
1.549300000E-1,-2.514544678E1,2.707351685E1,-1.266369629E1
1.649750000E-1,-2.511591339E1,2.680441284E1,-1.319750977E1
1.750190000E-1,-2.513691711E1,2.622381592E1,-1.390588379E1
1.850630000E-1,-2.528479767E1,2.591674805E1,-1.458984375E1
1.951080000E-1,-2.533620453E1,2.537350464E1,-1.517224121E1
2.051520000E-1,-2.528625488E1,2.512008667E1,-1.551403809E1
2.151960000E-1,-2.527827454E1,2.477133179E1,-1.587219238E1
2.252400000E-1,-2.526336670E1,2.468572998E1,-1.635351562E1
2.352850000E-1,-2.507600403E1,2.459207153E1,-1.661364746E1
2.453290000E-1,-2.496340942E1,2.457855225E1,-1.659173584E1
2.553730000E-1,-2.491420746E1,2.435937500E1,-1.684619141E1
2.654180000E-1,-2.473546600E1,2.418457031E1,-1.724298096E1
2.754620000E-1,-2.487809753E1,2.399331665E1,-1.737329102E1
2.855060000E-1,-2.480747223E1,2.384017944E1,-1.779071045E1
2.955510000E-1,-2.489757538E1,2.352145386E1,-1.796350098E1
3.055950000E-1,-2.494323730E1,2.341607666E1,-1.817492676E1
3.156390000E-1,-2.498627472E1,2.334774780E1,-1.844104004E1
3.256830000E-1,-2.520951843E1,2.333657837E1,-1.819177246E1
3.357280000E-1,-2.514762115E1,2.343423462E1,-1.797991943E1
3.457720000E-1,-2.510165405E1,2.332388306E1,-1.776708984E1
3.558160000E-1,-2.523500061E1,2.337872314E1,-1.759722900E1
3.658610000E-1,-2.533999634E1,2.341207886E1,-1.730316162E1
3.759050000E-1,-2.546528625E1,2.356051636E1,-1.710699463E1
3.859490000E-1,-2.557936096E1,2.362658691E1,-1.676861572E1
3.959930000E-1,-2.580105591E1,2.374771118E1,-1.622509766E1
4.060380000E-1,-2.584706879E1,2.380987549E1,-1.604827881E1
4.160820000E-1,-2.601163483E1,2.388265991E1,-1.577117920E1
4.261260000E-1,-2.611484528E1,2.381198120E1,-1.540136719E1
4.361710000E-1,-2.621047974E1,2.376016235E1,-1.536248779E1
4.462150000E-1,-2.624259949E1,2.365560913E1,-1.532623291E1
4.562590000E-1,-2.614545441E1,2.371017456E1,-1.552392578E1
4.663040000E-1,-2.603239441E1,2.367990112E1,-1.530255127E1
4.763480000E-1,-2.592742157E1,2.371228027E1,-1.551147461E1
4.863920000E-1,-2.581782532E1,2.379956055E1,-1.577496338E1
4.964360000E-1,-2.571797180E1,2.380496216E1,-1.566925049E1
5.064810000E-1,-2.586376953E1,2.373986816E1,-1.589093018E1
5.165250000E-1,-2.590959167E1,2.369400024E1,-1.570996094E1
5.265690000E-1,-2.595063782E1,2.350646973E1,-1.571588135E1
5.366140000E-1,-2.610910797E1,2.323364258E1,-1.598779297E1
5.466580000E-1,-2.609186554E1,2.312884521E1,-1.610272217E1
5.567020000E-1,-2.607093048E1,2.308514404E1,-1.612200928E1
5.667460000E-1,-2.579437256E1,2.302578735E1,-1.628198242E1
5.767910000E-1,-2.551330566E1,2.323376465E1,-1.621606445E1
5.868350000E-1,-2.546286011E1,2.371731567E1,-1.642242432E1
5.968790000E-1,-2.510536957E1,2.417147827E1,-1.618975830E1
6.069240000E-1,-2.466729736E1,2.457595825E1,-1.615612793E1
6.169680000E-1,-2.426576996E1,2.495605469E1,-1.619726562E1
6.270120000E-1,-2.398928070E1,2.515182495E1,-1.621295166E1
6.370560000E-1,-2.376755524E1,2.539593506E1,-1.612725830E1
6.471010000E-1,-2.366181946E1,2.544613647E1,-1.635717773E1
6.571450000E-1,-2.360610199E1,2.557043457E1,-1.628607178E1
6.671890000E-1,-2.368898773E1,2.569912720E1,-1.594543457E1
6.772340000E-1,-2.388093567E1,2.565521240E1,-1.559057617E1
6.872780000E-1,-2.428421021E1,2.553491211E1,-1.516656494E1
6.973220000E-1,-2.460630035E1,2.550714111E1,-1.492816162E1
7.073670000E-1,-2.482182312E1,2.558621216E1,-1.451391602E1
7.174110000E-1,-2.510785675E1,2.558728027E1,-1.386029053E1
7.274550000E-1,-2.524313354E1,2.593420410E1,-1.343383789E1
7.374990000E-1,-2.535118866E1,2.615338135E1,-1.285754395E1
7.475440000E-1,-2.553321075E1,2.634591675E1,-1.224273682E1
7.575880000E-1,-2.532801819E1,2.659542847E1,-1.168652344E1
7.676320000E-1,-2.528575134E1,2.690826416E1,-1.128607178E1
7.776770000E-1,-2.508213043E1,2.735867310E1,-1.093231201E1
7.877210000E-1,-2.508213043E1,2.735867310E1,-1.093231201E1
7.977650000E-1,-2.484244537E1,2.765747070E1,-1.052697754E1
8.078090000E-1,-2.470258331E1,2.798724365E1,-1.042816162E1
8.178540000E-1,-2.440538788E1,2.826351929E1,-1.022003174E1
8.278980000E-1,-2.435106659E1,2.846484375E1,-9.977111816E0
8.379420000E-1,-2.432043457E1,2.847100830E1,-1.002172852E1
8.479870000E-1,-2.425103760E1,2.849230957E1,-9.970520020E0
8.580310000E-1,-2.423585510E1,2.855880737E1,-9.854919434E0
8.680750000E-1,-2.414669800E1,2.856668091E1,-9.721252441E0
