"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
4.265124968E-3,3.157354344E-1,-3.305225297E-1,6.830427535E-1,-5.696653287E-1,1.431895660E2,-9.873199406E1,3.138349699E0,-1.256622720E2
1.430912496E-2,3.213903402E-1,-3.301803816E-1,6.802184932E-1,-5.700806648E-1,1.425059448E2,-9.826190041E1,3.484149114E0,-1.252008051E2
2.435412497E-2,3.271070861E-1,-3.299295762E-1,6.773168829E-1,-5.704290190E-1,1.418134377E2,-9.778899324E1,3.824898228E0,-1.247197939E2
3.439900000E-2,3.329348889E-1,-3.299556019E-1,6.739856171E-1,-5.709876439E-1,1.411059831E2,-9.727218368E1,4.128036322E0,-1.241959710E2
4.444299999E-2,3.393520521E-1,-3.305997322E-1,6.694091858E-1,-5.722197122E-1,1.403251950E2,-9.661184471E1,4.357498064E0,-1.235514567E2
5.448699999E-2,3.466511487E-1,-3.319104676E-1,6.630915734E-1,-5.744372054E-1,1.394347587E2,-9.574019699E1,4.496573049E0,-1.227518870E2
6.453199999E-2,3.545908353E-1,-3.332966037E-1,6.554649221E-1,-5.775331654E-1,1.384632606E2,-9.468644648E1,4.580749839E0,-1.218734078E2
7.457599998E-2,3.625655353E-1,-3.341887260E-1,6.474195523E-1,-5.811300512E-1,1.374843237E2,-9.354726514E1,4.648911398E0,-1.210258052E2
8.461999998E-2,3.698605753E-1,-3.343551639E-1,6.397405229E-1,-5.849289890E-1,1.365859623E2,-9.242234144E1,4.708222774E0,-1.202996340E2
9.466499998E-2,3.758318038E-1,-3.338450712E-1,6.328717983E-1,-5.888728909E-1,1.358485346E2,-9.137755098E1,4.733549498E0,-1.197547620E2
1.047090000E-1,3.800723773E-1,-3.327894296E-1,6.269302201E-1,-5.930890825E-1,1.353236681E2,-9.043580204E1,4.692621594E0,-1.194220504E2
1.147530000E-1,3.827145211E-1,-3.313479336E-1,6.217165601E-1,-5.976676211E-1,1.349961439E2,-8.957728710E1,4.577532461E0,-1.192772463E2
1.247980000E-1,3.846837273E-1,-3.296424403E-1,6.165328139E-1,-6.026952133E-1,1.347517859E2,-8.870998371E1,4.415711814E0,-1.192195522E2
