"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.198166667E-2,2.403967964E0,5.286381133E0,7.906403276E0
2.202666667E-2,2.343332630E0,5.251562133E0,7.947703330E0
3.207166668E-2,2.262199151E0,5.209644029E0,7.998635502E0
4.211666668E-2,2.162861973E0,5.161084072E0,8.057377800E0
5.216166668E-2,2.050516934E0,5.108717578E0,8.119882196E0
6.220666668E-2,1.932963487E0,5.056335297E0,8.181272698E0
7.225166669E-2,1.818418141E0,5.007632083E0,8.237297795E0
8.229666669E-2,1.713570840E0,4.965528622E0,8.285125095E0
9.234166663E-2,1.621378521E0,4.931445202E0,8.323945929E0
1.023866666E-1,1.538688075E0,4.904044565E0,8.355769985E0
1.124306666E-1,1.459786331E0,4.880419767E0,8.383712075E0
1.224756666E-1,1.384127015E0,4.858811089E0,8.409057416E0
1.325206666E-1,1.313637954E0,4.837595344E0,8.432563223E0
1.425656666E-1,1.243736829E0,4.812233924E0,8.457637253E0
1.526106666E-1,1.155156775E0,4.772481920E0,8.492651550E0
1.626556666E-1,1.050093127E0,4.715462505E0,8.538021850E0
1.727006666E-1,9.389738830E-1,4.644067124E0,8.589939862E0
1.827456667E-1,8.286062258E-1,4.563001327E0,8.644566305E0
1.927906667E-1,7.245449368E-1,4.478923920E0,8.697722758E0
2.028346666E-1,6.337088071E-1,4.399831266E0,8.745055384E0
2.128796667E-1,5.612273431E-1,4.332756978E0,8.783412534E0
2.229246667E-1,5.113176299E-1,4.280876972E0,8.811852806E0
2.329696667E-1,4.855097742E-1,4.244652594E0,8.830815911E0
2.430146667E-1,4.832022802E-1,4.224515953E0,8.840593041E0
2.530596667E-1,4.976849197E-1,4.220402144E0,8.841754298E0
2.631046667E-1,5.179155550E-1,4.229866447E0,8.836067880E0
2.731496667E-1,5.370665019E-1,4.248433988E0,8.826010669E0
2.831946667E-1,5.489803499E-1,4.269536882E0,8.815088071E0
2.932386667E-1,5.499068778E-1,4.285957033E0,8.807058089E0
3.032836667E-1,5.395704623E-1,4.292996496E0,8.804268383E0
3.133286667E-1,5.187870825E-1,4.289939864E0,8.807007219E0
3.233736667E-1,4.881976296E-1,4.277268071E0,8.814916162E0
3.334186667E-1,4.497873065E-1,4.255177290E0,8.827641458E0
3.434636667E-1,4.065728745E-1,4.225138681E0,8.844151071E0
3.535086667E-1,3.630556298E-1,4.189690229E0,8.862887889E0
3.635536667E-1,3.251637355E-1,4.151005342E0,8.882540381E0
3.735986667E-1,2.975647315E-1,4.111075584E0,8.902056633E0
3.836426667E-1,2.813694425E-1,4.071888129E0,8.920575349E0
3.936876667E-1,2.748784118E-1,4.034622070E0,8.937693658E0
4.037326667E-1,2.733351489E-1,3.998674265E0,8.953881674E0
4.137776666E-1,2.704342173E-1,3.963446252E0,8.969618871E0
4.238226666E-1,2.620293564E-1,3.929248812E0,8.984901153E0
4.338676666E-1,2.474341945E-1,3.895735203E0,8.999895753E0
4.439126666E-1,2.272258152E-1,3.863176152E0,9.014451812E0
4.539576666E-1,2.037400350E-1,3.832339106E0,9.028165287E0
4.640026666E-1,1.808656726E-1,3.804970336E0,9.040220491E0
4.740466666E-1,1.612496710E-1,3.782986267E0,9.049812849E0
4.840916666E-1,1.449794554E-1,3.767338825E0,9.056613160E0
4.941366666E-1,1.331827527E-1,3.757777751E0,9.060765268E0
5.041816666E-1,1.262161881E-1,3.753394678E0,9.062681401E0
5.142266667E-1,1.238240282E-1,3.749679942E0,9.064251963E0
5.242716667E-1,1.255170073E-1,3.741239194E0,9.067716438E0
5.343166667E-1,1.302412743E-1,3.724994752E0,9.074334902E0
5.443616667E-1,1.367063488E-1,3.699631284E0,9.084610214E0
5.544066667E-1,1.428130072E-1,3.666104227E0,9.098097986E0
5.644506667E-1,1.467694617E-1,3.626059863E0,9.114068486E0
5.744956667E-1,1.470997655E-1,3.581579508E0,9.131634691E0
5.845406667E-1,1.428934064E-1,3.535381242E0,9.149686216E0
5.945856667E-1,1.340871890E-1,3.490636009E0,9.166983449E0
6.046306667E-1,1.223843706E-1,3.450972884E0,9.182151711E0
6.146756667E-1,1.105916239E-1,3.419811025E0,9.193952562E0
6.247206667E-1,1.016280159E-1,3.398882963E0,9.201812974E0
6.347656667E-1,9.744709223E-2,3.388113269E0,9.205829426E0
6.448106667E-1,9.789167248E-2,3.384989979E0,9.206973726E0
6.548546667E-1,1.017670151E-1,3.385430566E0,9.206769658E0
6.648996667E-1,1.056344641E-1,3.387063986E0,9.206125295E0
6.749446667E-1,1.070183173E-1,3.388486906E0,9.205585597E0
6.849896667E-1,1.054757670E-1,3.388413231E0,9.205630621E0
6.950346667E-1,1.013536718E-1,3.386728064E0,9.206296619E0
7.050798333E-1,9.477940972E-2,3.384045946E0,9.207353210E0
7.151248333E-1,8.810608299E-2,3.381160637E0,9.208479384E0
7.251698333E-1,8.431551581E-2,3.378805963E0,9.209378686E0
7.352138333E-1,8.463776135E-2,3.378026237E0,9.209662276E0
7.452588333E-1,9.027650549E-2,3.379401795E0,9.209103867E0
7.553038333E-1,1.019454831E-1,3.381847977E0,9.208084112E0
7.653488333E-1,1.182503526E-1,3.384525710E0,9.206905314E0
7.753938333E-1,1.366262602E-1,3.387065740E0,9.205716575E0
7.854388334E-1,1.542005237E-1,3.388362360E0,9.204961699E0
7.954838334E-1,1.682871423E-1,3.387856284E0,9.204901473E0
8.055288333E-1,1.772652313E-1,3.385833147E0,9.205477424E0
8.155738333E-1,1.809279271E-1,3.383313582E0,9.206332287E0
8.256178334E-1,1.812023626E-1,3.380351967E0,9.207414606E0
8.356628333E-1,1.798907955E-1,3.376731664E0,9.208768821E0
8.457078333E-1,1.783719813E-1,3.373052888E0,9.210146425E0
8.557528333E-1,1.777741035E-1,3.369601569E0,9.211421118E0
8.657978333E-1,1.791335080E-1,3.366154343E0,9.212655466E0
8.758428333E-1,1.825090325E-1,3.362711502E0,9.213845959E0
8.858878333E-1,1.872929868E-1,3.359838181E0,9.214798470E0
8.959328333E-1,1.924928243E-1,3.357985783E0,9.215366235E0
9.059768333E-1,1.965730662E-1,3.358766386E0,9.214995521E0
9.160218333E-1,1.967284560E-1,3.363333061E0,9.213326726E0
9.260668333E-1,1.924557493E-1,3.370596765E0,9.210762137E0
9.361118333E-1,1.866501951E-1,3.376510931E0,9.208715027E0
9.461568333E-1,1.859428282E-1,3.373880561E0,9.209693851E0
9.562018333E-1,1.990616960E-1,3.354552590E0,9.216477206E0
9.662468333E-1,2.296095423E-1,3.313553376E0,9.230587122E0
9.762918333E-1,2.707661381E-1,3.253470311E0,9.250822581E0
9.863368333E-1,3.124797361E-1,3.180941156E0,9.274700856E0
9.963808333E-1,3.458272840E-1,3.101899372E0,9.300253773E0
1.006425833E0,3.611745806E-1,3.022656736E0,9.325727752E0
1.016470833E0,3.525966787E-1,2.951007294E0,9.348975112E0
1.026515833E0,3.229267370E-1,2.895425124E0,9.367407875E0
1.036560833E0,2.816041351E-1,2.862822219E0,9.378754982E0
1.046605833E0,2.382084577E-1,2.855640961E0,9.382146367E0
1.056650833E0,1.996121749E-1,2.873438131E0,9.377611851E0
1.066695833E0,1.694439591E-1,2.914909216E0,9.365398772E0
1.076739833E0,1.488709236E-1,2.976187159E0,9.346456717E0
1.086784833E0,1.385319683E-1,3.052266451E0,9.322048100E0
1.096829833E0,1.365744575E-1,3.137397526E0,9.293771549E0
1.106874833E0,1.407138842E-1,3.225756555E0,9.263411636E0
1.116919833E0,1.480107160E-1,3.312637409E0,9.232585115E0
1.126964833E0,1.568635101E-1,3.393901135E0,9.202875997E0
