"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.833291666E-3,1.289268951E0,4.073928223E0,8.916657715E0
1.187829167E-2,1.133442993E0,3.966900787E0,8.952732697E0
2.192229166E-2,1.115180969E0,3.958368530E0,9.077423401E0
3.196629166E-2,1.201551361E0,4.064348145E0,9.206754456E0
4.201129166E-2,1.285676422E0,4.144281921E0,9.388326874E0
5.205529166E-2,1.307081909E0,4.158202972E0,9.502838745E0
6.209929171E-2,1.063987427E0,4.051624603E0,9.269773407E0
7.214329171E-2,6.926097107E-1,3.914060669E0,9.048383789E0
8.218829171E-2,5.101391602E-1,3.825145569E0,8.866661682E0
9.223229170E-2,4.558021545E-1,3.788920898E0,8.698710938E0
1.022762917E-1,5.393284607E-1,3.804338837E0,8.609346771E0
1.123212917E-1,5.752537537E-1,3.834276581E0,8.436456299E0
1.223652917E-1,4.870870972E-1,3.888314209E0,8.189020844E0
1.324092917E-1,4.495152283E-1,3.992796936E0,8.170459442E0
1.424542917E-1,5.297483826E-1,4.209097137E0,8.327482910E0
1.524982917E-1,9.800120544E-1,4.716841278E0,8.473728790E0
1.625422917E-1,8.159532166E-1,4.615052948E0,8.275391235E0
1.725872917E-1,6.445596313E-1,4.661606140E0,7.970774689E0
1.826312917E-1,4.207749939E-1,4.625531158E0,7.778274994E0
1.926752917E-1,3.079096985E-1,4.612957306E0,7.804320831E0
2.027202917E-1,5.029541016E-1,4.746928711E0,8.124505005E0
2.127642917E-1,3.658392334E-1,4.445305939E0,8.184380493E0
2.228082917E-1,1.779798889E-1,4.328249359E0,8.378676453E0
2.328532917E-1,5.927673340E-2,4.159101105E0,8.604856110E0
2.428972917E-1,1.240919495E-1,4.075874176E0,8.881630554E0
2.529412917E-1,2.772235107E-1,4.013453979E0,9.031768341E0
2.629862917E-1,3.002755737E-1,3.873045959E0,9.057814178E0
2.730302917E-1,2.089654541E-1,3.766018524E0,9.122928772E0
2.830742917E-1,1.175056458E-1,3.600612488E0,9.104666748E0
2.931182917E-1,5.822891235E-2,3.272045746E0,9.074579315E0
3.031632917E-1,6.227050781E-2,3.009192352E0,9.742041321E0
3.132072917E-1,-1.694476318E-1,2.958597565E0,9.799521790E0
3.232512917E-1,-5.330415344E-1,2.591261444E0,9.795779572E0
3.332962917E-1,-5.016069031E-1,2.522105255E0,9.521699524E0
3.433402917E-1,-5.798941040E-1,2.792293396E0,8.885223083E0
3.533842917E-1,-4.716691589E-1,2.911146240E0,8.381819916E0
3.634292917E-1,-4.604425049E-1,3.087479553E0,8.050259399E0
3.734732917E-1,-5.816903687E-1,3.177891541E0,8.002359009E0
3.835177917E-1,-5.569917297E-1,3.286266174E0,8.084388428E0
3.935627917E-1,-3.263214111E-1,3.554059296E0,8.287366333E0
4.036067917E-1,-1.022373962E-1,3.826343079E0,8.414302368E0
4.136507917E-1,7.155120850E-2,4.086202698E0,8.430169373E0
4.236957917E-1,3.116519165E-1,4.362528076E0,8.426576843E0
4.337397917E-1,5.054988098E-1,4.622238007E0,8.421487427E0
4.437837917E-1,5.701643372E-1,4.718338165E0,8.481662292E0
4.538287917E-1,5.551954651E-1,4.701123962E0,8.603359222E0
4.638727917E-1,4.299060059E-1,4.639901276E0,8.707392883E0
