"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.833291666E-3,-2.715172768E-1,3.071163893E-1,-4.247169942E-3
1.187829167E-2,-3.155502677E-1,3.792326450E-1,1.014703419E-3
2.192229166E-2,-3.573729992E-1,4.567124248E-1,3.887260798E-3
3.196629166E-2,-3.900662363E-1,5.153839588E-1,-4.932862706E-3
4.201129166E-2,-3.927001655E-1,5.603774190E-1,-3.013069928E-2
5.205529166E-2,-3.785566390E-1,5.628474951E-1,-5.467545614E-2
6.209929171E-2,-3.374597728E-1,4.848157465E-1,-5.979454890E-2
7.214329171E-2,-2.728663981E-1,3.634610772E-1,-4.096040502E-2
8.218829171E-2,-2.027149051E-1,2.554552853E-1,-1.837361977E-2
9.223229170E-2,-1.368072629E-1,1.828213036E-1,-3.219434060E-3
1.022762917E-1,-8.989695460E-2,1.513959318E-1,-4.194014706E-3
1.123212917E-1,-6.931151450E-2,1.269340068E-1,-2.864564769E-3
1.223652917E-1,-5.938246846E-2,9.393437207E-2,2.136613708E-3
1.324092917E-1,-3.910782561E-2,6.631286442E-2,3.830383997E-3
1.424542917E-1,-1.295174286E-2,6.302342564E-2,-3.619021922E-2
1.524982917E-1,-2.190103009E-2,1.119134650E-1,-9.245642275E-2
1.625422917E-1,-8.032242954E-2,1.607856303E-1,-1.471625715E-1
1.725872917E-1,-1.770026386E-1,2.104024440E-1,-1.826020479E-1
1.826312917E-1,-2.998090088E-1,2.637381852E-1,-1.959526688E-1
1.926752917E-1,-3.804071844E-1,3.030560315E-1,-2.310131937E-1
2.027202917E-1,-4.355270267E-1,2.695954740E-1,-2.608854175E-1
2.127642917E-1,-4.543952644E-1,2.214521915E-1,-2.719141245E-1
2.228082917E-1,-4.401116371E-1,1.480425745E-1,-2.668689489E-1
2.328532917E-1,-4.026433527E-1,6.702975184E-2,-2.507025003E-1
2.428972917E-1,-3.516186774E-1,-6.548582111E-3,-2.486499548E-1
2.529412917E-1,-3.125889897E-1,-7.325091213E-2,-2.481191754E-1
2.629862917E-1,-2.906138003E-1,-1.212477684E-1,-2.372039109E-1
2.730302917E-1,-2.846429944E-1,-1.395303756E-1,-2.058089823E-1
2.830742917E-1,-3.051405847E-1,-1.229585931E-1,-1.557859778E-1
2.931182917E-1,-3.230018616E-1,-3.699974343E-2,-9.808858484E-2
3.031632917E-1,-2.863465548E-1,5.973228440E-2,-4.872475192E-2
3.132072917E-1,-2.521917820E-1,1.550665349E-1,2.963982895E-2
3.232512917E-1,-2.044080794E-1,2.703644037E-1,1.043417826E-1
3.332962917E-1,-1.770395786E-1,3.192381859E-1,1.660006195E-1
3.433402917E-1,-1.477859914E-1,2.886659503E-1,1.942987144E-1
3.533842917E-1,-1.069165766E-1,1.838910580E-1,1.848261207E-1
3.634292917E-1,-6.237749010E-2,4.683430120E-2,1.681218147E-1
3.734732917E-1,-2.641549148E-2,-7.263936847E-2,1.642581075E-1
3.835177917E-1,-4.855535924E-3,-1.406657994E-1,1.600311846E-1
3.935627917E-1,-8.158388548E-3,-1.409339905E-1,1.467026025E-1
4.036067917E-1,-5.008991063E-2,-1.060621664E-1,1.346234977E-1
4.136507917E-1,-1.257271469E-1,-4.731949046E-2,1.175635457E-1
4.236957917E-1,-2.128656954E-1,1.701956987E-2,8.113526553E-2
4.337397917E-1,-2.994639874E-1,6.601001322E-2,3.217385709E-2
4.437837917E-1,-3.713990748E-1,1.137892157E-1,-1.755074598E-2
4.538287917E-1,-4.230281711E-1,1.488505304E-1,-5.799084902E-2
4.638727917E-1,-4.526379108E-1,1.653953791E-1,-8.322688192E-2
4.739167917E-1,-4.518440068E-1,1.654411852E-1,-8.953218162E-2
4.839617917E-1,-4.187376499E-1,1.663458049E-1,-8.230210096E-2
4.940057917E-1,-3.627878428E-1,1.764530241E-1,-7.179220021E-2
5.040497917E-1,-3.024024665E-1,1.682793349E-1,-5.551079661E-2
5.140947917E-1,-2.420083880E-1,1.480329186E-1,-4.435508326E-2
5.241387917E-1,-1.765562445E-1,1.265211999E-1,-4.702317715E-2
5.341827917E-1,-1.192625985E-1,1.006296873E-1,-4.670812935E-2
5.442267917E-1,-7.736139745E-2,7.135298103E-2,-3.709270805E-2
5.542717917E-1,-5.395567045E-2,3.627995029E-2,-1.347073354E-2
5.643157917E-1,-4.259152338E-2,9.918427095E-3,1.975212060E-2
5.743597917E-1,-5.020629987E-2,-3.971023485E-3,4.457411170E-2
5.844047917E-1,-5.904604495E-2,-2.746078419E-3,5.627392605E-2
5.944487917E-1,-5.776133388E-2,-1.790638827E-2,5.241846666E-2
6.044927917E-1,-3.013213165E-2,-4.238663614E-2,2.674316242E-2
6.145377917E-1,1.648650318E-2,-9.736999869E-2,-3.992378246E-3
6.245817917E-1,7.801157236E-2,-1.685483754E-1,-1.964574680E-2
6.346257917E-1,1.427375674E-1,-2.583131790E-1,-2.741445415E-2
6.446707917E-1,2.109337747E-1,-3.455516398E-1,-3.108228184E-2
6.547147917E-1,2.765711248E-1,-4.331539273E-1,-3.585892916E-2
6.647587917E-1,3.365850449E-1,-5.236122012E-1,-3.468322754E-2
6.748037917E-1,3.989229798E-1,-6.062617898E-1,-4.072540998E-2
6.848477917E-1,4.597378969E-1,-6.346540451E-1,-5.591773242E-2
6.948917917E-1,5.102958679E-1,-6.320955157E-1,-5.439547077E-2
7.049367917E-1,5.438579917E-1,-5.688990951E-1,-3.661556169E-2
7.149807917E-1,5.765341520E-1,-3.959701955E-1,-3.534257039E-2
7.250247917E-1,5.777513981E-1,-1.682325900E-1,-1.269166544E-2
7.350687917E-1,5.084772110E-1,1.142744627E-2,1.387762837E-2
7.451137917E-1,3.932583630E-1,1.049577668E-1,4.730577767E-2
7.551577917E-1,1.890037656E-1,-1.245674491E-2,5.115164816E-2
7.652017917E-1,-6.299267709E-2,-2.567841709E-1,-1.407221891E-2
7.752467917E-1,-2.805007696E-1,-4.832521975E-1,-6.407573074E-2
7.852907917E-1,-4.179640710E-1,-6.074795723E-1,-8.628765494E-2
7.953347917E-1,-4.695529640E-1,-6.321553588E-1,-8.145694435E-2
8.053797917E-1,-4.416288435E-1,-5.420785546E-1,-6.018563733E-2
