"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.833291666E-3,-3.110394287E1,-1.277441406E1,-2.253997803E1
1.187829167E-2,-3.103356934E1,-1.280471802E1,-2.263989258E1
2.192229166E-2,-3.102912903E1,-1.273526001E1,-2.270727539E1
3.196629166E-2,-3.071202087E1,-1.258355713E1,-2.298199463E1
4.201129166E-2,-3.060205078E1,-1.240847778E1,-2.330310059E1
5.205529166E-2,-3.035897064E1,-1.239901733E1,-2.336083984E1
6.209929171E-2,-3.030265808E1,-1.229217529E1,-2.367626953E1
7.214329171E-2,-3.001686859E1,-1.245272827E1,-2.386059570E1
8.218829171E-2,-2.995972443E1,-1.222073364E1,-2.397460938E1
9.223229170E-2,-2.985266113E1,-1.216601562E1,-2.408990479E1
1.022762917E-1,-2.991601562E1,-1.214916992E1,-2.423449707E1
1.123212917E-1,-2.976228333E1,-1.208953857E1,-2.426550293E1
1.223652917E-1,-2.976228333E1,-1.208953857E1,-2.426550293E1
1.324092917E-1,-2.980068970E1,-1.217184448E1,-2.441790771E1
1.424542917E-1,-2.979244232E1,-1.217620850E1,-2.457922363E1
1.524982917E-1,-2.969541168E1,-1.231970215E1,-2.442187500E1
1.625422917E-1,-2.978405762E1,-1.219241333E1,-2.444512939E1
1.725872917E-1,-2.966876984E1,-1.214120483E1,-2.432482910E1
1.826312917E-1,-2.963721466E1,-1.225299072E1,-2.450714111E1
1.926752917E-1,-2.950123596E1,-1.228164673E1,-2.454083252E1
2.027202917E-1,-2.935055542E1,-1.217456055E1,-2.475000000E1
2.127642917E-1,-2.927532959E1,-1.209710693E1,-2.501843262E1
2.228082917E-1,-2.921224213E1,-1.209597778E1,-2.514428711E1
2.328532917E-1,-2.910295868E1,-1.207064819E1,-2.518255615E1
2.428972917E-1,-2.919987488E1,-1.194650269E1,-2.530303955E1
2.529412917E-1,-2.907135773E1,-1.212265015E1,-2.541198730E1
2.629862917E-1,-2.896483612E1,-1.214456177E1,-2.558074951E1
2.730302917E-1,-2.887808228E1,-1.219067383E1,-2.540295410E1
2.830742917E-1,-2.903787231E1,-1.202014160E1,-2.545617676E1
2.931182917E-1,-2.899357605E1,-1.187374878E1,-2.540972900E1
3.031632917E-1,-2.905752563E1,-1.171673584E1,-2.554895020E1
3.132072917E-1,-2.892331696E1,-1.174761963E1,-2.554705811E1
3.232512917E-1,-2.903614807E1,-1.173501587E1,-2.569409180E1
3.332962917E-1,-2.903582001E1,-1.157522583E1,-2.564923096E1
3.433402917E-1,-2.900389862E1,-1.142596436E1,-2.558947754E1
3.533842917E-1,-2.893939209E1,-1.137033081E1,-2.583483887E1
3.634292917E-1,-2.873925018E1,-1.129052734E1,-2.602252197E1
3.734732917E-1,-2.882037354E1,-1.126837158E1,-2.583221436E1
3.835177917E-1,-2.897547150E1,-1.113217163E1,-2.581500244E1
3.935627917E-1,-2.907192993E1,-1.105480957E1,-2.569964600E1
4.036067917E-1,-2.913319397E1,-1.111459351E1,-2.571307373E1
4.136507917E-1,-2.922448730E1,-1.111227417E1,-2.554040527E1
4.236957917E-1,-2.912408447E1,-1.107965088E1,-2.558654785E1
4.337397917E-1,-2.915904999E1,-1.099121094E1,-2.580090332E1
4.437837917E-1,-2.908722687E1,-1.077880859E1,-2.550256348E1
4.538287917E-1,-2.907791901E1,-1.065841675E1,-2.570989990E1
4.638727917E-1,-2.894694519E1,-1.046353149E1,-2.593737793E1
4.739167917E-1,-2.899694061E1,-1.030609131E1,-2.605511475E1
4.839617917E-1,-2.881810760E1,-1.000558472E1,-2.593835449E1
4.940057917E-1,-2.881726837E1,-1.003939819E1,-2.593646240E1
5.040497917E-1,-2.866903687E1,-9.988067627E0,-2.617578125E1
5.140947917E-1,-2.869326782E1,-9.944946289E0,-2.624273682E1
5.241387917E-1,-2.865869141E1,-9.840393066E0,-2.629486084E1
5.341827917E-1,-2.862687683E1,-9.849945068E0,-2.613055420E1
5.442267917E-1,-2.865181732E1,-9.770812988E0,-2.615490723E1
5.542717917E-1,-2.876701355E1,-9.715148926E0,-2.619976807E1
5.643157917E-1,-2.874049377E1,-9.635406494E0,-2.614929199E1
5.743597917E-1,-2.869139099E1,-9.622192383E0,-2.630828857E1
5.844047917E-1,-2.878594208E1,-9.606658936E0,-2.625762939E1
5.944487917E-1,-2.872210693E1,-9.666931152E0,-2.618023682E1
6.044927917E-1,-2.866352844E1,-9.559265137E0,-2.623687744E1
6.145377917E-1,-2.869967651E1,-9.624328613E0,-2.618261719E1
6.245817917E-1,-2.856743622E1,-9.674224854E0,-2.621105957E1
6.346257917E-1,-2.857681274E1,-9.569549561E0,-2.615911865E1
6.446707917E-1,-2.875595856E1,-9.609436035E0,-2.589251709E1
6.547147917E-1,-2.891684723E1,-9.495910645E0,-2.601763916E1
6.647587917E-1,-2.906082916E1,-9.683410645E0,-2.568328857E1
