"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.833291666E-3,7.196253619E-1,1.022336137E-1,-1.651356462E-1,-6.666467786E-1,8.795288343E1,2.166726060E1,-5.817731423E0,-8.673709041E1
1.187829167E-2,7.200522516E-1,1.023240714E-1,-1.629124526E-1,-6.667189077E-1,8.788241082E1,2.149133791E1,-5.633695319E0,-8.666511645E1
2.192229166E-2,7.205740822E-1,1.025063038E-1,-1.602750819E-1,-6.667663124E-1,8.779620382E1,2.128923821E1,-5.410147882E0,-8.657538232E1
3.196629166E-2,7.211588487E-1,1.027867569E-1,-1.572558424E-1,-6.668097868E-1,8.769951962E1,2.106461932E1,-5.148330592E0,-8.647300496E1
4.201129166E-2,7.217265562E-1,1.031744420E-1,-1.539806134E-1,-6.669001602E-1,8.760557460E1,2.082918720E1,-4.855881093E0,-8.637101061E1
5.205529166E-2,7.222151409E-1,1.037008588E-1,-1.506110967E-1,-6.670590354E-1,8.752465858E1,2.059908918E1,-4.542470503E0,-8.627883461E1
6.209929171E-2,7.225997045E-1,1.042110727E-1,-1.474631644E-1,-6.672662978E-1,8.746092784E1,2.038681442E1,-4.246099730E0,-8.620411042E1
7.214329171E-2,7.229023058E-1,1.045680197E-1,-1.448681777E-1,-6.674509984E-1,8.741075403E1,2.020705368E1,-4.006119642E0,-8.614630413E1
8.218829171E-2,7.231528214E-1,1.047606558E-1,-1.429383960E-1,-6.675656431E-1,8.736919905E1,2.006740007E1,-3.833849750E0,-8.610078465E1
9.223229170E-2,7.233597861E-1,1.048822626E-1,-1.415839306E-1,-6.676109694E-1,8.733485630E1,1.996821125E1,-3.714861380E0,-8.606392808E1
1.022762917E-1,7.235205184E-1,1.050341520E-1,-1.406144556E-1,-6.676178130E-1,8.730817769E1,1.990266836E1,-3.625204447E0,-8.603388731E1
1.123212917E-1,7.236457235E-1,1.052167874E-1,-1.398431340E-1,-6.676152553E-1,8.728739144E1,1.985577210E1,-3.549170710E0,-8.600892775E1
1.223652917E-1,7.237554976E-1,1.053563080E-1,-1.392210953E-1,-6.676042734E-1,8.726916375E1,1.981729262E1,-3.488685037E0,-8.598752235E1
1.324092917E-1,7.238499144E-1,1.054440050E-1,-1.387635596E-1,-6.675832763E-1,8.725348365E1,1.978768844E1,-3.445706124E0,-8.596984137E1
1.424542917E-1,7.238771571E-1,1.055746458E-1,-1.384461451E-1,-6.675991920E-1,8.724895896E1,1.977321471E1,-3.409558561E0,-8.596231448E1
1.524982917E-1,7.237217564E-1,1.058555664E-1,-1.380468340E-1,-6.678056747E-1,8.727476670E1,1.976570605E1,-3.349878097E0,-8.598158737E1
1.625422917E-1,7.234346257E-1,1.062256486E-1,-1.373268908E-1,-6.682064333E-1,8.732243510E1,1.974070631E1,-3.252292342E0,-8.602077626E1
1.725872917E-1,7.230724262E-1,1.065054010E-1,-1.361417399E-1,-6.687962258E-1,8.738253654E1,1.967127580E1,-3.119569137E0,-8.607471864E1
1.826312917E-1,7.227182873E-1,1.065685936E-1,-1.343829163E-1,-6.695241229E-1,8.744126856E1,1.953774996E1,-2.954419140E0,-8.613263479E1
1.926752917E-1,7.223872080E-1,1.064092824E-1,-1.320740237E-1,-6.703656848E-1,8.749614781E1,1.934146662E1,-2.759910959E0,-8.619220566E1
2.027202917E-1,7.219629394E-1,1.060643026E-1,-1.295250745E-1,-6.713740245E-1,8.756643389E1,1.911070331E1,-2.556639550E0,-8.627170701E1
2.127642917E-1,7.214588236E-1,1.054496046E-1,-1.269804447E-1,-6.724978676E-1,8.764988935E1,1.885778560E1,-2.372325189E0,-8.637078353E1
2.228082917E-1,7.202867566E-1,1.045098135E-1,-1.247433328E-1,-6.743173101E-1,8.784367866E1,1.860408820E1,-2.221133769E0,-8.658801142E1
2.328532917E-1,7.196959869E-1,1.035068950E-1,-1.227876057E-1,-6.754607093E-1,8.794122749E1,1.836552839E1,-2.115256955E0,-8.670991999E1
2.428972917E-1,7.190608997E-1,1.024016374E-1,-1.212695803E-1,-6.765788837E-1,8.804599817E1,1.815345007E1,-2.053625691E0,-8.684112747E1
2.529412917E-1,7.183624962E-1,1.012191325E-1,-1.201623101E-1,-6.776954683E-1,8.816109989E1,1.796794393E1,-2.031486477E0,-8.698411588E1
2.629862917E-1,7.176244219E-1,9.995128680E-2,-1.193729260E-1,-6.788041820E-1,8.828261001E1,1.780093350E1,-2.042176130E0,-8.713506497E1
2.730302917E-1,7.169263318E-1,9.860458107E-2,-1.187636808E-1,-6.798448417E-1,8.839741543E1,1.764178922E1,-2.075591823E0,-8.728066782E1
2.830742917E-1,7.163717490E-1,9.720329384E-2,-1.181543105E-1,-6.807368520E-1,8.848853589E1,1.747781002E1,-2.117279668E0,-8.740334189E1
2.931182917E-1,7.160355963E-1,9.583313865E-2,-1.173187104E-1,-6.814288928E-1,8.854373111E1,1.729770553E1,-2.143465594E0,-8.748891772E1
3.031632917E-1,7.159436187E-1,9.485800414E-2,-1.161723200E-1,-6.818582137E-1,8.855882879E1,1.712477214E1,-2.119639132E0,-8.752541202E1
3.132072917E-1,7.160873711E-1,9.422373819E-2,-1.148786416E-1,-6.820144626E-1,8.853523164E1,1.696765752E1,-2.063230570E0,-8.751565356E1
3.232512917E-1,7.165552999E-1,9.410591141E-2,-1.133607492E-1,-6.817932615E-1,8.845838590E1,1.683461845E1,-1.956282594E0,-8.744143229E1
3.332962917E-1,7.172798266E-1,9.437186329E-2,-1.116937939E-1,-6.812694381E-1,8.833929572E1,1.672110461E1,-1.813489472E0,-8.731663995E1
3.433402917E-1,7.181525232E-1,9.474307166E-2,-1.101076605E-1,-6.805564780E-1,8.819568154E1,1.662286800E1,-1.672825562E0,-8.716502619E1
3.533842917E-1,7.189985316E-1,9.499824383E-2,-1.089017187E-1,-6.798213158E-1,8.805628173E1,1.654580743E1,-1.572203799E0,-8.702005820E1
3.634292917E-1,7.197014897E-1,9.499797975E-2,-1.082822976E-1,-6.791760146E-1,8.794031926E1,1.649478052E1,-1.536923763E0,-8.690399425E1
3.734732917E-1,7.202762015E-1,9.470425836E-2,-1.082718452E-1,-6.786091422E-1,8.784542230E1,1.646811366E1,-1.572216772E0,-8.681531625E1
3.835177917E-1,7.207766308E-1,9.418264172E-2,-1.087054803E-1,-6.780810645E-1,8.776272442E1,1.645788686E1,-1.660538535E0,-8.674371965E1
3.935627917E-1,7.212224838E-1,9.359710280E-2,-1.092829059E-1,-6.775950034E-1,8.768899317E1,1.645379830E1,-1.764571793E0,-8.668232742E1
4.036067917E-1,7.216430132E-1,9.299603013E-2,-1.097183204E-1,-6.771595540E-1,8.761940444E1,1.643707355E1,-1.857202246E0,-8.662535751E1
4.136507917E-1,7.220746233E-1,9.235177209E-2,-1.097601103E-1,-6.767806275E-1,8.754793624E1,1.638529085E1,-1.920123246E0,-8.656736066E1
4.236957917E-1,7.224810427E-1,9.164097075E-2,-1.092842039E-1,-6.765204576E-1,8.748059669E1,1.628677069E1,-1.943705163E0,-8.651489540E1
