"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
2.789000049E-3,-5.043709550E-1,3.471334058E0,9.161416315E0
1.283400005E-2,-5.033231340E-1,3.473393740E0,9.160693599E0
2.287800005E-2,-5.008027282E-1,3.475068967E0,9.160196001E0
3.292300005E-2,-4.960845368E-1,3.476136961E0,9.160047482E0
4.296700004E-2,-4.884951067E-1,3.477149114E0,9.160071455E0
5.301100004E-2,-4.780450725E-1,3.478486665E0,9.160114725E0
6.305600004E-2,-4.663179699E-1,3.480481442E0,9.159961528E0
7.310000004E-2,-4.570182658E-1,3.483645955E0,9.159227702E0
8.314500004E-2,-4.494603375E-1,3.488582175E0,9.157722629E0
9.318900004E-2,-4.454659218E-1,3.495499139E0,9.155279662E0
1.032330000E-1,-4.465130850E-1,3.504007422E0,9.151975400E0
1.132780000E-1,-4.512233096E-1,3.514852838E0,9.147584726E0
1.233220000E-1,-4.597211412E-1,3.527786294E0,9.142181314E0
1.333660000E-1,-4.534946240E-1,3.537717790E0,9.138654274E0
1.434110000E-1,-4.034215907E-1,3.547737286E0,9.137117041E0
1.534550000E-1,-3.030224495E-1,3.556318367E0,9.137662586E0
1.635000000E-1,-1.752177739E-1,3.557123237E0,9.140693198E0
1.735440000E-1,-4.393778739E-2,3.554863580E0,9.143145520E0
1.835880000E-1,7.624875192E-2,3.557086692E0,9.142069048E0
1.936330000E-1,1.871991938E-1,3.569324037E0,9.135698506E0
2.036770000E-1,3.119915301E-1,3.593894329E0,9.122646936E0
2.137220000E-1,4.279393314E-1,3.623303778E0,9.106296952E0
2.237660000E-1,5.096883033E-1,3.646237727E0,9.092924370E0
2.338100000E-1,5.561449798E-1,3.658836138E0,9.085137632E0
2.438550000E-1,5.816080691E-1,3.661596023E0,9.082430372E0
2.538990000E-1,5.981602210E-1,3.658173356E0,9.082735012E0
2.639440000E-1,6.117443262E-1,3.652647445E0,9.084054143E0
2.739880000E-1,6.253377139E-1,3.648256770E0,9.084892634E0
2.840320001E-1,6.415793786E-1,3.646026935E0,9.084655237E0
2.940770001E-1,6.582340761E-1,3.642684374E0,9.084804926E0
3.041210001E-1,6.698227458E-1,3.634452371E0,9.087254325E0
3.141650000E-1,6.711884362E-1,3.620093071E0,9.092883439E0
3.242100000E-1,6.602515116E-1,3.601132013E0,9.101209289E0
3.342540000E-1,6.381686977E-1,3.580182901E0,9.111044306E0
3.442990000E-1,6.078041068E-1,3.558356707E0,9.121665189E0
3.543430000E-1,5.687699590E-1,3.534727816E0,9.133361959E0
3.643870000E-1,5.176138021E-1,3.508446921E0,9.146528134E0
3.744320000E-1,4.501349235E-1,3.481053008E0,9.160553851E0
3.844760000E-1,3.626347765E-1,3.455164460E0,9.174226980E0
3.945210000E-1,2.538483891E-1,3.433291196E0,9.186085718E0
4.045650000E-1,1.542646969E-1,3.411569082E0,9.196385003E0
4.146090000E-1,1.189754256E-1,3.378690481E0,9.209038963E0
4.246540000E-1,1.237053663E-1,3.334575870E0,9.225042207E0
4.346980000E-1,1.352577651E-1,3.290606562E0,9.240655442E0
4.447430000E-1,1.427503689E-1,3.252949909E0,9.253866057E0
4.547870000E-1,1.394411464E-1,3.222343828E0,9.264618502E0
4.648310000E-1,1.186541668E-1,3.199413387E0,9.272851381E0
4.748760000E-1,8.428400480E-2,3.183477093E0,9.278710291E0
4.849200000E-1,5.270950623E-2,3.172496899E0,9.282703355E0
4.949640000E-1,2.103186140E-2,3.169046457E0,9.284007869E0
5.050090000E-1,-2.173929684E-2,3.187196215E0,9.277791109E0
5.150530000E-1,-6.959434642E-2,3.233992359E0,9.261346985E0
5.250980000E-1,-1.093871614E-1,3.301409293E0,9.237144189E0
5.351420000E-1,-1.319495932E-1,3.370125479E0,9.211999993E0
5.451860000E-1,-1.353896929E-1,3.429959160E0,9.189839630E0
5.552310000E-1,-1.194581041E-1,3.479717211E0,9.171335531E0
5.652750000E-1,-8.191164323E-2,3.514680345E0,9.158406753E0
5.753200000E-1,-2.196720805E-2,3.532422551E0,9.151918098E0
5.853640001E-1,5.602366238E-2,3.535940821E0,9.150414194E0
5.954080001E-1,1.410203697E-1,3.531640194E0,9.151160299E0
6.054530001E-1,2.249166584E-1,3.526578844E0,9.151434533E0
6.154970000E-1,3.097044282E-1,3.521919782E0,9.150752163E0
6.255420001E-1,4.012720446E-1,3.515034394E0,9.149842336E0
6.355860000E-1,5.018582603E-1,3.504438069E0,9.148943034E0
6.456300000E-1,6.036736337E-1,3.492367955E0,9.147406386E0
6.556750000E-1,6.925872720E-1,3.487981373E0,9.142778900E0
6.657190000E-1,7.742304093E-1,3.495472534E0,9.133364298E0
6.757630000E-1,8.565732390E-1,3.510215119E0,9.120349565E0
6.858080000E-1,9.265201908E-1,3.530140675E0,9.105809294E0
6.958520000E-1,9.646194054E-1,3.556917999E0,9.091421635E0
7.058970000E-1,9.925093085E-1,3.581805211E0,9.078639622E0
7.159410000E-1,1.029859202E0,3.593472160E0,9.069864705E0
7.259850000E-1,1.068797785E0,3.589099905E0,9.067090786E0
7.360300000E-1,1.081172467E0,3.573605660E0,9.071742246E0
7.460740000E-1,1.072568143E0,3.554611858E0,9.080221878E0
7.561190000E-1,1.049295786E0,3.528155253E0,9.093250059E0
7.661630000E-1,9.975129171E-1,3.486235687E0,9.115219803E0
7.762070000E-1,9.191947259E-1,3.429281468E0,9.145010197E0
7.862520000E-1,8.268546923E-1,3.365576638E0,9.177434762E0
7.962960000E-1,7.344235153E-1,3.303102062E0,9.207944364E0
8.063410000E-1,6.569185256E-1,3.242559991E0,9.235278343E0
8.163850000E-1,6.022642355E-1,3.180689433E0,9.260485690E0
8.264290000E-1,5.623614106E-1,3.118661292E0,9.284061663E0
8.364740000E-1,5.333245031E-1,3.064552621E0,9.303772627E0
8.465180000E-1,5.130582729E-1,3.027216102E0,9.317125914E0
8.565630000E-1,5.046462492E-1,3.006005035E0,9.324450136E0
8.666070000E-1,5.022202395E-1,2.997233042E0,9.327404149E0
8.766510001E-1,5.000683910E-1,2.998812375E0,9.327012386E0
8.866960000E-1,4.946844576E-1,3.009394081E0,9.323890557E0
8.967400001E-1,4.847089615E-1,3.027205285E0,9.318647359E0
9.067840000E-1,4.723736753E-1,3.048914827E0,9.312200804E0
9.168290001E-1,4.605221001E-1,3.069600522E0,9.305996908E0
9.268730000E-1,4.537582969E-1,3.083947250E0,9.301584599E0
9.369180001E-1,4.536006413E-1,3.088690804E0,9.300018130E0
9.469620000E-1,4.590077078E-1,3.082722843E0,9.301732534E0
9.570060000E-1,4.680093136E-1,3.065828775E0,9.306866389E0
9.670510000E-1,4.854028798E-1,3.040667914E0,9.314226864E0
9.770950000E-1,5.140589873E-1,3.010532242E0,9.322474946E0
9.871400000E-1,5.411651442E-1,2.976831814E0,9.331758571E0
9.971840000E-1,5.628430384E-1,2.941022004E0,9.341825137E0
1.007228000E0,5.804960749E-1,2.904108239E0,9.352287560E0
1.017273000E0,5.969361795E-1,2.866826392E0,9.362749398E0
1.027317000E0,6.166823729E-1,2.833180636E0,9.371706748E0
1.037362000E0,6.491792241E-1,2.815740438E0,9.374767765E0
1.047406000E0,6.828284883E-1,2.815389898E0,9.372482089E0
1.057450000E0,7.142702094E-1,2.824826719E0,9.367297947E0
1.067495000E0,7.396851323E-1,2.836397774E0,9.361827292E0
1.077539000E0,7.545483890E-1,2.840634959E0,9.359356259E0
1.087584000E0,7.679673104E-1,2.836243115E0,9.359596580E0
1.097628000E0,7.868169064E-1,2.829242536E0,9.360149726E0
1.107672000E0,8.141352441E-1,2.822207167E0,9.359937472E0
1.117717000E0,8.439678846E-1,2.816821589E0,9.358917133E0
1.127761000E0,8.712759165E-1,2.814148826E0,9.357219102E0
1.137806000E0,8.986450519E-1,2.816850532E0,9.353817192E0
1.147850000E0,9.225168215E-1,2.825667549E0,9.348832440E0
1.157894000E0,9.432945368E-1,2.840497842E0,9.342262509E0
1.167939000E0,9.679556805E-1,2.861984605E0,9.333177690E0
1.177983000E0,9.950816448E-1,2.890458499E0,9.321542900E0
1.188028000E0,1.024307198E0,2.924664710E0,9.307697278E0
