"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.789000049E-3,-2.602217102E1,-1.425515747E1,-2.741802979E1
1.283400005E-2,-2.601719666E1,-1.426116943E1,-2.755480957E1
2.287800005E-2,-2.608699036E1,-1.427340698E1,-2.751635742E1
3.292300005E-2,-2.608907318E1,-1.426324463E1,-2.725976562E1
4.296700004E-2,-2.602670288E1,-1.426779175E1,-2.728112793E1
5.301100004E-2,-2.606498718E1,-1.422979736E1,-2.725592041E1
6.305600004E-2,-2.614884186E1,-1.436935425E1,-2.733544922E1
7.310000004E-2,-2.610499573E1,-1.432452393E1,-2.753771973E1
8.314500004E-2,-2.613695526E1,-1.432937622E1,-2.741772461E1
9.318900004E-2,-2.616598511E1,-1.439218140E1,-2.746856689E1
1.032330000E-1,-2.616598511E1,-1.439218140E1,-2.746856689E1
1.132780000E-1,-2.616406250E1,-1.425582886E1,-2.736853027E1
1.233220000E-1,-2.627185059E1,-1.431253052E1,-2.739007568E1
1.333660000E-1,-2.634022522E1,-1.424478149E1,-2.745782471E1
1.434110000E-1,-2.636444855E1,-1.403848267E1,-2.727056885E1
1.534550000E-1,-2.646746826E1,-1.408715820E1,-2.707525635E1
1.635000000E-1,-2.679853058E1,-1.405819702E1,-2.668261719E1
1.735440000E-1,-2.721714783E1,-1.419744873E1,-2.620257568E1
1.835880000E-1,-2.761412048E1,-1.422225952E1,-2.593566895E1
1.936330000E-1,-2.800669098E1,-1.431045532E1,-2.561755371E1
2.036770000E-1,-2.841364288E1,-1.437997437E1,-2.514605713E1
2.137220000E-1,-2.876438904E1,-1.453158569E1,-2.490032959E1
2.237660000E-1,-2.889147186E1,-1.468112183E1,-2.455517578E1
2.338100000E-1,-2.911225891E1,-1.470538330E1,-2.424090576E1
2.438550000E-1,-2.908941650E1,-1.466723633E1,-2.435498047E1
2.538990000E-1,-2.923300171E1,-1.465283203E1,-2.432562256E1
2.639440000E-1,-2.926089478E1,-1.476400757E1,-2.419635010E1
2.739880000E-1,-2.928025055E1,-1.478604126E1,-2.425738525E1
2.840320001E-1,-2.933055878E1,-1.467340088E1,-2.408508301E1
2.940770001E-1,-2.939814758E1,-1.469720459E1,-2.415130615E1
3.041210001E-1,-2.947203064E1,-1.463571167E1,-2.386956787E1
3.141650000E-1,-2.951284027E1,-1.461788940E1,-2.403967285E1
3.242100000E-1,-2.957823944E1,-1.459829712E1,-2.400256348E1
3.342540000E-1,-2.954165649E1,-1.456695557E1,-2.423803711E1
3.442990000E-1,-2.937969971E1,-1.459997559E1,-2.431481934E1
3.543430000E-1,-2.916259766E1,-1.444781494E1,-2.442254639E1
3.643870000E-1,-2.914450073E1,-1.438253784E1,-2.471917725E1
3.744320000E-1,-2.911595154E1,-1.410580444E1,-2.473168945E1
3.844760000E-1,-2.894306183E1,-1.399426270E1,-2.509545898E1
3.945210000E-1,-2.859442902E1,-1.385638428E1,-2.548168945E1
4.045650000E-1,-2.832712555E1,-1.366256714E1,-2.593280029E1
4.146090000E-1,-2.826966095E1,-1.352163696E1,-2.611901855E1
4.246540000E-1,-2.834387970E1,-1.345043945E1,-2.614147949E1
4.346980000E-1,-2.826819611E1,-1.344357300E1,-2.611175537E1
4.447430000E-1,-2.828012848E1,-1.325396729E1,-2.628833008E1
4.547870000E-1,-2.836988831E1,-1.309106445E1,-2.603643799E1
4.648310000E-1,-2.822944641E1,-1.302606201E1,-2.602557373E1
4.748760000E-1,-2.813957977E1,-1.300457764E1,-2.663403320E1
4.849200000E-1,-2.792181396E1,-1.283770752E1,-2.638543701E1
4.949640000E-1,-2.800136566E1,-1.270452881E1,-2.644403076E1
5.050090000E-1,-2.785294342E1,-1.282562256E1,-2.645697021E1
5.150530000E-1,-2.765636444E1,-1.306970215E1,-2.689044189E1
5.250980000E-1,-2.748896027E1,-1.321499634E1,-2.702386475E1
5.351420000E-1,-2.740980530E1,-1.333218384E1,-2.675585938E1
5.451860000E-1,-2.731608582E1,-1.355078125E1,-2.674353027E1
