"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.081916620E-3,1.771116943E0,5.016368408E0,8.266709290E0
8.963083383E-3,1.746567993E0,5.006938019E0,8.448581085E0
1.900808339E-2,1.680704956E0,4.908891907E0,8.541687469E0
2.905408334E-2,1.529219971E0,4.860991516E0,8.623118134E0
3.909908334E-2,1.331780548E0,4.846920776E0,8.601562958E0
4.914408334E-2,1.148262177E0,4.890031128E0,8.378526764E0
5.918908335E-2,1.009949799E0,4.984035645E0,8.164322205E0
6.923408335E-2,1.058299255E0,4.947062531E0,8.217761078E0
7.927908335E-2,1.073118439E0,4.905299377E0,8.296048279E0
8.932408335E-2,1.100511475E0,4.876708832E0,8.398884430E0
9.936908336E-2,1.096170502E0,4.840933228E0,8.496481476E0
1.094150834E-1,1.067729645E0,4.733756104E0,8.455167389E0
1.194600834E-1,1.090781708E0,4.729265442E0,8.300538940E0
1.295050834E-1,1.016985168E0,4.664300537E0,8.232131195E0
1.395500834E-1,1.000070343E0,4.588857422E0,8.165669403E0
1.495950834E-1,1.515448608E0,5.108426971E0,8.422086182E0
1.596400834E-1,2.014959869E0,5.411247253E0,8.333470459E0
1.696850834E-1,1.583706665E0,5.068609772E0,8.121062164E0
1.797300834E-1,1.112486572E0,5.055137787E0,7.931406555E0
1.897749584E-1,8.589138794E-1,4.966522064E0,7.901319122E0
1.998209584E-1,6.819818115E-1,4.911586304E0,8.033494263E0
2.098659584E-1,7.641609192E-1,4.952750702E0,8.198600922E0
2.199109584E-1,6.698570251E-1,4.875661011E0,8.276439056E0
2.299559584E-1,5.554948425E-1,4.792284393E0,8.234825592E0
2.400009584E-1,5.337899780E-1,4.792284393E0,8.176446991E0
2.500459584E-1,4.987628174E-1,4.770130463E0,8.212671661E0
2.600909584E-1,5.453160095E-1,4.765789490E0,8.288713531E0
2.701359584E-1,6.375242615E-1,4.742887115E0,8.426726532E0
2.801819583E-1,7.472460938E-1,4.691394196E0,8.630153503E0
2.902269583E-1,7.089257812E-1,4.570146332E0,8.922046509E0
3.002719583E-1,5.336402893E-1,4.414320374E0,9.156159668E0
3.103169583E-1,3.505709839E-1,4.398603058E0,9.099876709E0
3.203619584E-1,2.604583740E-1,4.437971191E0,8.849597168E0
3.304069584E-1,3.438349915E-1,4.485272827E0,8.656947784E0
3.404519584E-1,4.644841003E-1,4.537065125E0,8.626411285E0
3.504969584E-1,5.014572144E-1,4.467459869E0,8.705596619E0
3.605419584E-1,5.011578369E-1,4.321363678E0,8.825048218E0
3.705879584E-1,5.818400574E-1,4.224066010E0,8.973838806E0
3.806329584E-1,6.617738342E-1,4.263434143E0,8.929980011E0
3.906779584E-1,7.655081177E-1,4.347708893E0,8.776249695E0
4.007229584E-1,7.923023987E-1,4.458328857E0,8.578959961E0
4.107679584E-1,7.562274170E-1,4.656965790E0,8.214318237E0
4.208129584E-1,7.500901794E-1,4.837939453E0,7.826175385E0
4.308579584E-1,6.942562866E-1,4.966971130E0,7.506290588E0
4.409029583E-1,5.680686951E-1,5.101840668E0,7.279512177E0
4.509489583E-1,4.608915710E-1,5.188809814E0,7.198380890E0
4.609939583E-1,3.429368591E-1,5.250032501E0,7.433242493E0
4.710389583E-1,3.140469360E-1,5.229525146E0,7.625891876E0
4.810839584E-1,5.228627014E-1,5.313051453E0,7.719746704E0
4.911289584E-1,7.057823181E-1,5.388644257E0,8.128995667E0
5.011739584E-1,7.634124756E-1,5.219645691E0,8.587641907E0
5.112189584E-1,5.653742981E-1,5.218597870E0,8.693621521E0
5.212639584E-1,3.381468201E-1,5.197192383E0,8.718320160E0
5.313089584E-1,1.824705505E-1,5.250032501E0,8.699609070E0
5.413549584E-1,4.745132446E-2,5.396128693E0,8.497678986E0
5.513999584E-1,-5.867797852E-2,5.445825348E0,8.337811432E0
5.614449584E-1,-1.490899658E-1,5.435197449E0,8.346792755E0
5.714899584E-1,-8.187973022E-2,5.492378540E0,8.418044586E0
5.815349584E-1,-7.484436035E-3,5.468278656E0,8.512198792E0
5.915799584E-1,1.829196167E-1,5.359155579E0,8.799750824E0
6.016249583E-1,3.180885315E-1,5.257966003E0,8.991651764E0
6.116699583E-1,4.793032837E-1,5.239105225E0,9.069789276E0
6.217149583E-1,5.794450378E-1,5.189109192E0,9.088051300E0
6.317609583E-1,6.396199036E-1,5.163362732E0,8.848100281E0
6.418059584E-1,6.450086975E-1,5.211712189E0,8.381520538E0
6.518509584E-1,6.680607605E-1,5.275180206E0,7.798033905E0
6.618959584E-1,6.480024719E-1,5.251230011E0,7.436236267E0
6.719409584E-1,5.984555054E-1,5.251679077E0,7.174730072E0
6.819859584E-1,7.104226685E-1,5.294939117E0,7.044650574E0
6.920309584E-1,8.735833740E-1,5.370082855E0,6.966513062E0
7.020759584E-1,9.343569946E-1,5.409900055E0,7.033274231E0
7.121209584E-1,8.882528687E-1,5.435197449E0,6.978488159E0
7.221669584E-1,8.249345398E-1,5.473667450E0,6.942413177E0
