"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
6.452083355E-3,1.232993155E0,4.595263924E0,8.579007908E0
1.649708336E-2,1.203083332E0,4.582573712E0,8.590035757E0
2.654208336E-2,1.166636175E0,4.569732934E0,8.601895080E0
3.658708336E-2,1.127399019E0,4.557558446E0,8.613578401E0
4.663208337E-2,1.091359851E0,4.545822792E0,8.624414461E0
5.667708337E-2,1.065078152E0,4.534645254E0,8.633579972E0
6.672208337E-2,1.048416145E0,4.524323457E0,8.641031663E0
7.676808338E-2,1.038448251E0,4.514971128E0,8.647124462E0
8.681308338E-2,1.032589998E0,4.506689424E0,8.652144297E0
9.685808339E-2,1.027492542E0,4.499958402E0,8.656254305E0
1.069030834E-1,1.021607027E0,4.494445062E0,8.659814090E0
1.169480833E-1,1.014447258E0,4.489179352E0,8.663386154E0
1.269930833E-1,1.005755079E0,4.483950187E0,8.667107322E0
1.370380833E-1,9.956695092E-1,4.478264354E0,8.671210313E0
1.470830833E-1,9.765142500E-1,4.469436813E0,8.677940458E0
1.571290834E-1,9.376947315E-1,4.452544499E0,8.690896134E0
1.671740834E-1,8.842877986E-1,4.427331598E0,8.709355209E0
1.772190834E-1,8.262715787E-1,4.396788082E0,8.730499910E0
1.872639584E-1,7.725445108E-1,4.364475784E0,8.751607189E0
1.973089583E-1,7.281999582E-1,4.333959458E0,8.770553922E0
2.073539583E-1,6.939452878E-1,4.308611778E0,8.785806969E0
2.173989583E-1,6.696890639E-1,4.289858003E0,8.796859376E0
2.274439583E-1,6.549888714E-1,4.277407234E0,8.804026308E0
2.374889583E-1,6.496930481E-1,4.269519340E0,8.808246244E0
2.475349584E-1,6.529910970E-1,4.264714391E0,8.810330191E0
2.575799584E-1,6.619771712E-1,4.261205477E0,8.811357547E0
2.676249584E-1,6.718430319E-1,4.256870351E0,8.812705330E0
2.776699584E-1,6.781754203E-1,4.250658854E0,8.815218464E0
2.877149584E-1,6.774383788E-1,4.242691438E0,8.819112709E0
2.977599584E-1,6.685415478E-1,4.233990781E0,8.823971745E0
3.078049584E-1,6.554141101E-1,4.225421394E0,8.829062331E0
3.178499584E-1,6.438613276E-1,4.217439360E0,8.833727825E0
3.278959584E-1,6.389224769E-1,4.210713893E0,8.837294042E0
3.379409584E-1,6.414590722E-1,4.205778550E0,8.839460435E0
3.479859584E-1,6.491999817E-1,4.203049947E0,8.840193091E0
3.580309583E-1,6.589598617E-1,4.202611113E0,8.839679706E0
3.680759583E-1,6.676119136E-1,4.204954385E0,8.837915601E0
3.781209583E-1,6.730797911E-1,4.210693427E0,8.834768044E0
3.881659583E-1,6.752326629E-1,4.220427287E0,8.829957540E0
3.982109583E-1,6.740320102E-1,4.234651224E0,8.823236750E0
4.082559583E-1,6.712162104E-1,4.252726137E0,8.814754195E0
4.183019584E-1,6.678952112E-1,4.272753435E0,8.805316204E0
4.283469584E-1,6.647678279E-1,4.292555324E0,8.795916805E0
4.383919584E-1,6.625925906E-1,4.310101941E0,8.787496229E0
4.484369584E-1,6.630301085E-1,4.323366642E0,8.780945009E0
4.584819584E-1,6.674874410E-1,4.332152960E0,8.776275423E0
4.685269584E-1,6.770677384E-1,4.337002641E0,8.773145993E0
4.785719584E-1,6.919675402E-1,4.338288151E0,8.771347389E0
4.886169584E-1,7.075494929E-1,4.337470711E0,8.770508898E0
4.986629584E-1,7.175810491E-1,4.336446278E0,8.770200166E0
5.087079583E-1,7.194479920E-1,4.336158595E0,8.770189641E0
5.187529583E-1,7.142893591E-1,4.337492930E0,8.769951659E0
5.287979583E-1,7.040076882E-1,4.341184570E0,8.768955878E0
5.388429583E-1,6.925863218E-1,4.346844382E0,8.767061380E0
5.488879583E-1,6.845434036E-1,4.353216093E0,8.764531290E0
5.589329583E-1,6.829156119E-1,4.359317370E0,8.761625808E0
5.689779583E-1,6.884060012E-1,4.363202552E0,8.759261194E0
5.790229584E-1,6.989791558E-1,4.362490654E0,8.758778799E0
5.890689584E-1,7.092982489E-1,4.356316579E0,8.761021791E0
5.991139584E-1,7.145178390E-1,4.344769205E0,8.766330478E0
6.091589584E-1,7.133320237E-1,4.329770805E0,8.773844150E0
6.192039584E-1,7.075282236E-1,4.315286959E0,8.781446700E0
6.292489584E-1,7.001625592E-1,4.304746183E0,8.787208546E0
6.392939584E-1,6.953074698E-1,4.299403290E0,8.790209337E0
6.493389584E-1,6.959567300E-1,4.298997786E0,8.790356103E0
6.593839584E-1,7.020318409E-1,4.301793924E0,8.788504874E0
6.694289584E-1,7.122429067E-1,4.305424168E0,8.785905202E0
6.794749583E-1,7.235484982E-1,4.308064478E0,8.783686768E0
6.895199583E-1,7.332285637E-1,4.308752696E0,8.782546561E0
6.995649583E-1,7.389619048E-1,4.307097934E0,8.782878098E0
7.096099583E-1,7.400661515E-1,4.302811925E0,8.784885448E0
7.196549583E-1,7.363746580E-1,4.295224577E0,8.788907747E0
7.296999583E-1,7.290314323E-1,4.283639489E0,8.795171285E0
7.397449584E-1,7.195859132E-1,4.268196115E0,8.803453866E0
7.497899584E-1,7.094127081E-1,4.250471451E0,8.812849756E0
7.598349584E-1,6.998088026E-1,4.232208842E0,8.822401768E0
7.698809584E-1,6.909375532E-1,4.214830332E0,8.831416420E0
7.799259584E-1,6.843223058E-1,4.199236685E0,8.839355770E0
7.899709584E-1,6.807361353E-1,4.185455675E0,8.846166607E0
8.000159584E-1,6.796123736E-1,4.173036189E0,8.852118487E0
8.100609584E-1,6.794329371E-1,4.161639381E0,8.857495587E0
8.201059584E-1,6.787078093E-1,4.151707885E0,8.862210782E0
8.301509584E-1,6.761099645E-1,4.143891035E0,8.866067020E0
8.401959584E-1,6.713261381E-1,4.138086796E0,8.869140902E0
8.502409584E-1,6.648153365E-1,4.133372186E0,8.871829451E0
8.602859583E-1,6.565888157E-1,4.128407900E0,8.874752474E0
8.703319583E-1,6.466030870E-1,4.121961053E0,8.878481829E0
8.803769583E-1,6.351864716E-1,4.113114215E0,8.883407523E0
8.904219583E-1,6.227455701E-1,4.101844584E0,8.889496813E0
9.004669584E-1,6.099173271E-1,4.088404467E0,8.896575453E0
9.105119584E-1,5.972251416E-1,4.073544061E0,8.904249923E0
9.205569584E-1,5.841492325E-1,4.058424915E0,8.912017365E0
9.306019584E-1,5.703117235E-1,4.043881428E0,8.919521681E0
9.406469584E-1,5.567015982E-1,4.031656654E0,8.925913273E0
9.506919584E-1,5.435135322E-1,4.023706780E0,8.930312133E0
9.607379584E-1,5.298720512E-1,4.021155932E0,8.932280890E0
9.707829584E-1,5.140248177E-1,4.023519084E0,8.932142311E0
9.808279584E-1,4.956726735E-1,4.028156511E0,8.931089813E0
9.908729584E-1,4.827577822E-1,4.031999009E0,8.930063041E0
1.000917958E0,4.858349525E-1,4.028575172E0,8.931441230E0
1.010962958E0,5.073612942E-1,4.010587674E0,8.938336852E0
1.021007958E0,5.425466220E-1,3.975516075E0,8.951928120E0
1.031052958E0,5.829424402E-1,3.926640953E0,8.970940341E0
1.041097958E0,6.215680140E-1,3.869539677E0,8.993131694E0
1.051142958E0,6.535707754E-1,3.810024084E0,9.016244568E0
1.061188958E0,6.763119858E-1,3.754631949E0,9.037778694E0
1.071233958E0,6.886133581E-1,3.711524228E0,9.054639725E0
1.081278958E0,6.903751972E-1,3.689465023E0,9.063516383E0
1.091323958E0,6.795059542E-1,3.696846255E0,9.061330109E0
1.101368958E0,6.538377739E-1,3.733363287E0,9.048237024E0
1.111413958E0,6.140512720E-1,3.795186775E0,9.025275593E0
1.121458958E0,5.665758278E-1,3.874110737E0,8.994796396E0
1.131503958E0,5.182732219E-1,3.961021412E0,8.959787947E0
1.141548958E0,4.761765582E-1,4.046820531E0,8.923710042E0
1.151594958E0,4.437617508E-1,4.124443780E0,8.889777480E0
1.161639958E0,4.206676975E-1,4.188860509E0,8.860733190E0
1.171684958E0,4.056674332E-1,4.237522207E0,8.838265849E0
1.181729958E0,3.968061971E-1,4.269955835E0,8.823044962E0
1.191775250E0,3.935120220E-1,4.287390186E0,8.814734314E0
1.201820250E0,3.959364238E-1,4.291283846E0,8.812730473E0
1.211865250E0,4.059683455E-1,4.284120130E0,8.815758746E0
1.221910250E0,4.249497962E-1,4.270255797E0,8.821589005E0
1.231955250E0,4.503070144E-1,4.253783021E0,8.828286991E0
1.242000250E0,4.767947916E-1,4.238420339E0,8.834283310E0
1.252046250E0,4.976552086E-1,4.227460611E0,8.838383378E0
1.262091250E0,5.072025423E-1,4.223153844E0,8.839899561E0
1.272136250E0,5.024601215E-1,4.225302111E0,8.839143516E0
1.282181250E0,4.833299322E-1,4.232309999E0,8.836857255E0
1.292226250E0,4.526908511E-1,4.241631338E0,8.834010245E0
1.302271250E0,4.145032338E-1,4.250237562E0,8.831747957E0
1.312316250E0,3.732101604E-1,4.256205815E0,8.830714754E0
1.322361250E0,3.333030597E-1,4.259331737E0,8.830804217E0
1.332406250E0,2.980980523E-1,4.260889142E0,8.831311170E0
1.342451250E0,2.702480200E-1,4.262373458E0,8.831491265E0
1.352497250E0,2.521600969E-1,4.265272215E0,8.830627046E0
1.362542250E0,2.442735004E-1,4.270371572E0,8.828383470E0
1.372587250E0,2.445209838E-1,4.277830573E0,8.824765213E0
1.382632250E0,2.503729503E-1,4.287004854E0,8.820147666E0
1.392677250E0,2.599746448E-1,4.296969094E0,8.815019658E0
1.402722250E0,2.709881496E-1,4.306876616E0,8.809851304E0
1.412767250E0,2.815851316E-1,4.316283617E0,8.804913331E0
1.422812250E0,2.900543119E-1,4.325270203E0,8.800227372E0
1.432857250E0,2.950231478E-1,4.334218489E0,8.795658358E0
1.442902250E0,2.957181259E-1,4.343284889E0,8.791161849E0
1.452948250E0,2.930890351E-1,4.353021381E0,8.786432621E0
1.462993250E0,2.884301929E-1,4.364497418E0,8.780892384E0
1.473038250E0,2.827753506E-1,4.379003776E0,8.773851167E0
1.483083250E0,2.755486306E-1,4.396133486E0,8.765511283E0
1.493128250E0,2.667014096E-1,4.414113967E0,8.756743968E0
1.503173250E0,2.555926318E-1,4.431786007E0,8.748145053E0
1.513218250E0,2.410732096E-1,4.448346198E0,8.740148985E0
1.523263250E0,2.241689457E-1,4.463478793E0,8.732880896E0
1.533308250E0,2.075917970E-1,4.477201038E0,8.726263602E0
1.543353250E0,1.920780923E-1,4.490437965E0,8.719814708E0
1.553398250E0,1.782879641E-1,4.503670799E0,8.713281029E0
1.563444250E0,1.673358734E-1,4.517400061E0,8.706388332E0
1.573489250E0,1.586387979E-1,4.532502250E0,8.698698658E0
1.583534250E0,1.505623130E-1,4.549491042E0,8.689969350E0
1.593579250E0,1.410341106E-1,4.568625763E0,8.680084632E0
1.603624250E0,1.285553119E-1,4.590320980E0,8.668825234E0
1.613669250E0,1.136668482E-1,4.615138902E0,8.655846169E0
1.623714250E0,1.005958179E-1,4.642175843E0,8.641538032E0
1.633759250E0,9.613240060E-2,4.667836348E0,8.627755560E0
1.643804250E0,1.044506496E-1,4.687123682E0,8.617196074E0
1.653849250E0,1.256585099E-1,4.694214308E0,8.613052152E0
1.663894250E0,1.563485897E-1,4.685494647E0,8.617296061E0
1.673940250E0,1.900024221E-1,4.661807577E0,8.629458269E0
1.683985250E0,2.174725133E-1,4.627907759E0,8.647038508E0
1.694030250E0,2.307859107E-1,4.594332755E0,8.664580155E0
1.704075250E0,2.268233806E-1,4.574958006E0,8.674929727E0
1.714120250E0,2.078030094E-1,4.581921747E0,8.671730715E0
1.724165250E0,1.800493282E-1,4.617623092E0,8.653395016E0
1.734210250E0,1.496442179E-1,4.679731632E0,8.620545943E0
1.744255250E0,1.227747910E-1,4.760616458E0,8.576570204E0
1.754300250E0,1.035655730E-1,4.850125343E0,8.526526809E0
1.764345250E0,9.377022598E-2,4.938869412E0,8.475546105E0
1.774391250E0,9.299782706E-2,5.020191903E0,8.427640452E0
1.784436250E0,9.904953995E-2,5.090415208E0,8.385342278E0
1.794481250E0,1.098514395E-1,5.148199148E0,8.349854942E0
1.804526250E0,1.236182702E-1,5.193269486E0,8.321705276E0
1.814571250E0,1.379041875E-1,5.225706330E0,8.301149390E0
1.824616250E0,1.506961137E-1,5.245279884E0,8.288572614E0
1.834661250E0,1.598021928E-1,5.250700838E0,8.284968975E0
1.844706250E0,1.629874635E-1,5.241189172E0,8.290927287E0
1.854751250E0,1.601255621E-1,5.218879121E0,8.305044805E0
1.864796250E0,1.524193521E-1,5.187300648E0,8.324949312E0
1.874841250E0,1.428479443E-1,5.152089885E0,8.346955308E0
1.884887250E0,1.341359493E-1,5.118717486E0,8.367606504E0
1.894932250E0,1.268867724E-1,5.091605117E0,8.384244756E0
1.904977250E0,1.222585550E-1,5.073065935E0,8.395543331E0
1.915022250E0,1.217179616E-1,5.063186479E0,8.401513338E0
1.925067250E0,1.254981866E-1,5.060043016E0,8.403351703E0
1.935112250E0,1.318874026E-1,5.060551724E0,8.402947075E0
1.945157250E0,1.375058368E-1,5.061224154E0,8.402452401E0
1.955202250E0,1.403158441E-1,5.059201602E0,8.403623598E0
1.965247250E0,1.400742902E-1,5.053243289E0,8.407212034E0
1.975292250E0,1.377333209E-1,5.043545097E0,8.413072114E0
1.985337250E0,1.356201737E-1,5.031375872E0,8.420389904E0
1.995382250E0,1.353944529E-1,5.017916166E0,8.428421640E0
2.005428250E0,1.368784031E-1,5.004390972E0,8.436435249E0
2.015473250E0,1.409053531E-1,4.991412492E0,8.444053586E0
2.025518250E0,1.471940244E-1,4.978433427E0,8.451605265E0
2.035563250E0,1.540643749E-1,4.964283165E0,8.459802477E0
2.045608250E0,1.602978357E-1,4.947946630E0,8.469252162E0
2.055653250E0,1.646038167E-1,4.928938501E0,8.480246097E0
2.065698250E0,1.660840758E-1,4.908271517E0,8.492195467E0
2.075743250E0,1.650648696E-1,4.887649849E0,8.504100983E0
2.085788250E0,1.643855145E-1,4.869072076E0,8.514764550E0
