"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.452083355E-3,-1.467868835E-1,2.827542722E-1,-3.237996623E-2
1.649708336E-2,-1.594179571E-1,3.572556078E-1,-6.114888564E-2
2.654208336E-2,-1.554714143E-1,4.071371257E-1,-7.811455429E-2
3.658708336E-2,-1.493520141E-1,4.061838984E-1,-8.442567289E-2
4.663208337E-2,-1.422091573E-1,3.298385441E-1,-7.859467715E-2
5.667708337E-2,-1.338703036E-1,2.039536536E-1,-7.002211362E-2
6.672208337E-2,-1.215949878E-1,1.129808649E-1,-6.655387580E-2
7.676808338E-2,-1.093213260E-1,5.329569802E-2,-6.076640263E-2
8.681308338E-2,-9.564945847E-2,2.423608303E-2,-5.990620330E-2
9.685808339E-2,-7.388224453E-2,3.594956547E-2,-5.168593675E-2
1.069030834E-1,-6.559342146E-2,5.448623002E-2,-3.873924538E-2
1.169480833E-1,-6.370511651E-2,7.214558870E-2,-3.584881872E-2
1.269930833E-1,-6.372695416E-2,9.475635737E-2,-2.649180405E-2
1.370380833E-1,-7.317669690E-2,1.219275221E-1,-8.837017231E-3
1.470830833E-1,-1.488306969E-1,2.986271977E-1,-6.319959462E-2
1.571290834E-1,-2.606827319E-1,4.804983139E-1,-1.331307739E-1
1.671740834E-1,-3.426987827E-1,5.767004490E-1,-1.591541171E-1
1.772190834E-1,-3.820287585E-1,5.699604154E-1,-1.662627310E-1
1.872639584E-1,-3.798500001E-1,4.871669710E-1,-1.502355635E-1
1.973089583E-1,-3.336135149E-1,3.819376230E-1,-1.318702251E-1
2.073539583E-1,-2.608431876E-1,2.692201436E-1,-1.246304139E-1
2.173989583E-1,-1.818161607E-1,1.718994826E-1,-1.008466035E-1
2.274439583E-1,-1.158837453E-1,7.813064009E-2,-7.298140973E-2
2.374889583E-1,-7.345880568E-2,-1.411030628E-2,-4.463873804E-2
2.475349584E-1,-4.503062740E-2,-8.842501789E-2,-2.552949078E-2
2.575799584E-1,-4.209715500E-2,-1.247958094E-1,-1.555914804E-2
2.676249584E-1,-6.011317298E-2,-1.063659340E-1,-1.576021686E-2
2.776699584E-1,-8.437395841E-2,-4.947495461E-2,-2.282361686E-2
2.877149584E-1,-9.867486358E-2,4.578205571E-2,-2.542845532E-2
2.977599584E-1,-9.709222615E-2,1.349453777E-1,-1.616376918E-3
3.078049584E-1,-9.335820377E-2,1.639871597E-1,2.538328245E-2
3.178499584E-1,-8.144512773E-2,1.220482960E-1,4.913426936E-2
3.278959584E-1,-6.223521382E-2,4.031135887E-2,5.910834670E-2
3.379409584E-1,-4.010852054E-2,-3.677054495E-2,5.831956118E-2
3.479859584E-1,-1.330860052E-2,-7.194824517E-2,6.751386076E-2
3.580309583E-1,1.480576582E-2,-6.480394304E-2,9.372468293E-2
3.680759583E-1,5.353984609E-2,-2.616467327E-2,1.123929024E-1
3.781209583E-1,9.488547593E-2,1.671015657E-2,1.269980073E-1
3.881659583E-1,1.441933662E-1,5.891060457E-2,1.277753860E-1
3.982109583E-1,1.935485899E-1,8.295475692E-2,1.194394454E-1
4.082559583E-1,2.269536853E-1,8.539634198E-2,1.008050367E-1
4.183019584E-1,2.352051735E-1,7.422628254E-2,7.268273085E-2
4.283469584E-1,2.199218273E-1,5.632530898E-2,4.920616746E-2
4.383919584E-1,1.796007603E-1,3.006547689E-2,3.348686174E-2
4.484369584E-1,1.259303391E-1,-1.175467484E-2,2.771179751E-2
4.584819584E-1,7.879412174E-2,-5.787919089E-2,3.636322916E-2
4.685269584E-1,3.722536564E-2,-1.204104871E-1,4.384964332E-2
4.785719584E-1,6.711310707E-4,-1.690098047E-1,3.657910973E-2
4.886169584E-1,-1.200551540E-2,-1.470776051E-1,1.823046245E-2
4.986629584E-1,-9.550521150E-3,-6.752845645E-2,-1.438027248E-4
5.087079583E-1,2.202275209E-3,1.993427984E-2,-4.105254542E-3
5.187529583E-1,2.662647143E-2,9.289896488E-2,-8.114683442E-4
5.287979583E-1,5.594361573E-2,1.339502633E-1,-4.130592570E-4
5.388429583E-1,6.998827308E-2,1.188087910E-1,2.587889321E-4
5.488879583E-1,7.378220558E-2,6.242994219E-2,7.501787972E-3
5.589329583E-1,6.257900596E-2,-1.376516186E-2,2.075741626E-2
5.689779583E-1,2.459221147E-2,-8.148401976E-2,3.284310922E-2
5.790229584E-1,-3.637356684E-2,-1.108905748E-1,4.570715129E-2
5.890689584E-1,-9.665261954E-2,-6.389430910E-2,6.313860416E-2
5.991139584E-1,-1.524490416E-1,1.737488061E-2,8.030593395E-2
6.091589584E-1,-1.705635935E-1,8.712466806E-2,8.292062581E-2
6.192039584E-1,-1.418071985E-1,1.213792786E-1,8.041961491E-2
6.292489584E-1,-8.629974723E-2,1.154223159E-1,7.543177903E-2
6.392939584E-1,-2.308212407E-2,6.637694687E-2,7.586468756E-2
6.493389584E-1,2.119825594E-2,-4.688175395E-3,7.391685247E-2
6.593839584E-1,4.860574007E-2,-5.563028529E-2,8.484940231E-2
6.694289584E-1,4.678333923E-2,-7.648763061E-2,1.043104529E-1
6.794749583E-1,2.888426557E-2,-6.963139027E-2,1.128867790E-1
6.895199583E-1,3.212724579E-3,-4.036111757E-2,1.046352386E-1
6.995649583E-1,-2.504560351E-2,4.559685010E-3,8.734113723E-2
7.096099583E-1,-6.004140526E-2,5.198179185E-2,7.661738247E-2
7.196549583E-1,-1.010689214E-1,1.015695184E-1,7.212755084E-2
7.296999583E-1,-1.505107582E-1,1.312179565E-1,6.971286237E-2
7.397449584E-1,-1.862800866E-1,1.474652141E-1,7.136018574E-2
7.497899584E-1,-2.014081776E-1,1.473205984E-1,7.074499130E-2
7.598349584E-1,-1.998600066E-1,1.400406808E-1,7.084676623E-2
7.698809584E-1,-1.813544929E-1,1.233178973E-1,6.702326983E-2
7.799259584E-1,-1.609556079E-1,8.619422466E-2,5.803941935E-2
7.899709584E-1,-1.430594325E-1,4.589767009E-2,4.938174784E-2
8.000159584E-1,-1.315192878E-1,2.294768021E-2,3.819424286E-2
8.100609584E-1,-1.204224229E-1,1.264737174E-2,2.086585388E-2
8.201059584E-1,-1.005455479E-1,1.803251728E-2,1.983739901E-3
8.301509584E-1,-7.699520886E-2,3.147349134E-2,-2.168057673E-2
8.401959584E-1,-6.054668501E-2,4.288486764E-2,-4.616476968E-2
8.502409584E-1,-5.704995617E-2,5.048286915E-2,-6.633182615E-2
8.602859583E-1,-6.819559634E-2,6.524477154E-2,-7.861256599E-2
8.703319583E-1,-9.311000258E-2,8.130922168E-2,-8.472372591E-2
8.803769583E-1,-1.201265603E-1,8.870871365E-2,-9.884049743E-2
8.904219583E-1,-1.477707177E-1,9.037212282E-2,-1.165670305E-1
9.004669584E-1,-1.702611297E-1,8.425001800E-2,-1.257389337E-1
9.105119584E-1,-1.788716614E-1,8.751612157E-2,-1.243961677E-1
9.205569584E-1,-1.761080772E-1,9.929770976E-2,-1.119618937E-1
9.306019584E-1,-1.616276801E-1,1.069188789E-1,-1.079740748E-1
9.406469584E-1,-1.248831525E-1,9.313195944E-2,-1.168437749E-1
9.506919584E-1,-6.732637435E-2,9.132953733E-2,-1.254604459E-1
9.607379584E-1,-6.948613562E-3,1.014660522E-1,-1.262281686E-1
9.707829584E-1,3.865455836E-2,1.454993039E-1,-1.168906018E-1
9.808279584E-1,4.962484911E-2,1.518767327E-1,-8.985507488E-2
9.908729584E-1,1.615237631E-2,4.813515767E-2,-7.119962573E-2
1.000917958E0,-1.132109389E-1,-1.733181328E-1,-5.925615504E-2
1.010962958E0,-2.989640236E-1,-3.449532986E-1,-2.623242140E-2
1.021007958E0,-4.803709686E-1,-4.419262111E-1,-1.418458298E-2
1.031052958E0,-6.033030748E-1,-4.651473761E-1,-2.816591226E-2
1.041097958E0,-6.624147296E-1,-4.211022258E-1,-5.926577002E-2
1.051142958E0,-6.588956714E-1,-3.432729542E-1,-8.705452085E-2
1.061188958E0,-5.696985126E-1,-2.330498695E-1,-1.009177640E-1
1.071233958E0,-3.906121254E-1,-1.296579689E-1,-1.167790145E-1
1.081278958E0,-1.156264991E-1,-1.312283520E-2,-1.448498517E-1
1.091323958E0,2.208021134E-1,1.264425218E-1,-1.678065658E-1
1.101368958E0,5.387519002E-1,2.900062501E-1,-1.962077916E-1
1.111413958E0,7.779437304E-1,4.084788263E-1,-2.085430324E-1
1.121458958E0,9.241213799E-1,4.584898651E-1,-1.998560578E-1
1.131503958E0,9.652453661E-1,4.379211962E-1,-1.746769398E-1
1.141548958E0,9.155381918E-1,3.544120491E-1,-1.362287700E-1
1.151594958E0,7.977218032E-1,2.655633986E-1,-9.355081618E-2
1.161639958E0,6.333947182E-1,1.848530024E-1,-5.327113718E-2
1.171684958E0,4.524321258E-1,1.242064238E-1,-1.745508611E-2
1.181729958E0,2.700262666E-1,7.292666286E-2,1.025546063E-2
1.191775250E0,9.997116029E-2,1.909086108E-2,2.289375663E-2
1.201820250E0,-3.452582285E-2,-5.631142110E-2,1.835777238E-2
1.211865250E0,-1.337362975E-1,-1.647726446E-1,-1.975195948E-3
1.221910250E0,-1.835810244E-1,-2.718250751E-1,-2.564233355E-2
1.231955250E0,-1.923385710E-1,-3.310481906E-1,-5.237913877E-2
1.242000250E0,-1.607604623E-1,-3.153235912E-1,-7.304880023E-2
1.252046250E0,-9.479369968E-2,-2.275974900E-1,-9.506116062E-2
1.262091250E0,-1.941243932E-2,-8.789391071E-2,-1.225440204E-1
1.272136250E0,4.463338852E-2,6.528658420E-2,-1.507466435E-1
1.282181250E0,8.736436814E-2,2.090753168E-1,-1.677350104E-1
1.292226250E0,9.540684521E-2,3.139798939E-1,-1.699425131E-1
1.302271250E0,7.527132332E-2,3.817957640E-1,-1.639680564E-1
1.312316250E0,4.131042585E-2,3.907884657E-1,-1.529638767E-1
1.322361250E0,1.642325334E-2,3.657004237E-1,-1.331876963E-1
1.332406250E0,8.889703080E-3,3.130973876E-1,-9.723822027E-2
