"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
6.452083355E-3,6.341357929E-1,1.094161743E-1,-2.253215355E-1,-7.315258644E-1,1.012881655E2,2.817530366E1,-7.220452727E0,-9.997235851E1
1.649708336E-2,6.344108221E-1,1.101613200E-1,-2.237054251E-1,-7.316716293E-1,1.012474001E2,2.807882903E1,-7.044400208E0,-9.990842049E1
2.654208336E-2,6.346699410E-1,1.111486679E-1,-2.218583658E-1,-7.318599414E-1,1.012089822E2,2.797934937E1,-6.829958981E0,-9.983974118E1
3.658708336E-2,6.349091717E-1,1.122644425E-1,-2.199463319E-1,-7.320592064E-1,1.011735035E2,2.788391011E1,-6.599209753E0,-9.977028954E1
4.663208337E-2,6.351024203E-1,1.132606886E-1,-2.181728768E-1,-7.322687132E-1,1.011448376E2,2.779316223E1,-6.387361849E0,-9.971112952E1
5.667708337E-2,6.351931677E-1,1.138713807E-1,-2.167799604E-1,-7.325090714E-1,1.011313743E2,2.770995848E1,-6.232926988E0,-9.967852724E1
6.672208337E-2,6.351840693E-1,1.141141412E-1,-2.157740046E-1,-7.327761085E-1,1.011327242E2,2.763592626E1,-6.135042066E0,-9.967159319E1
7.676808338E-2,6.350978684E-1,1.141131719E-1,-2.150536939E-1,-7.330625912E-1,1.011455129E2,2.757066207E1,-6.076491817E0,-9.968334056E1
8.681308338E-2,6.349798046E-1,1.139855775E-1,-2.145258205E-1,-7.333392958E-1,1.011630267E2,2.751390009E1,-6.042084294E0,-9.970364283E1
9.685808339E-2,6.348482853E-1,1.138848413E-1,-2.140907017E-1,-7.335959912E-1,1.011825340E2,2.746769072E1,-6.012146940E0,-9.972531913E1
1.069030834E-1,6.347741648E-1,1.138787195E-1,-2.136697495E-1,-7.337838239E-1,1.011935266E2,2.742932041E1,-5.977583055E0,-9.973586679E1
1.169480833E-1,6.347401945E-1,1.139434992E-1,-2.132086840E-1,-7.339371541E-1,1.011985643E2,2.739221420E1,-5.935539245E0,-9.973841534E1
1.269930833E-1,6.347462004E-1,1.140808716E-1,-2.126898405E-1,-7.340612134E-1,1.011976737E2,2.735490119E1,-5.884500590E0,-9.973296601E1
1.370380833E-1,6.348326067E-1,1.142781294E-1,-2.120914501E-1,-7.341289802E-1,1.011848593E2,2.731418361E1,-5.825286640E0,-9.971384602E1
1.470830833E-1,6.350096709E-1,1.147326041E-1,-2.110347812E-1,-7.342094333E-1,1.011585965E2,2.725001892E1,-5.712839653E0,-9.967346783E1
1.571290834E-1,6.351725685E-1,1.156365750E-1,-2.089667776E-1,-7.345181590E-1,1.011344306E2,2.712710008E1,-5.485025686E0,-9.962118690E1
1.671740834E-1,6.353556386E-1,1.167955448E-1,-2.060507056E-1,-7.350001661E-1,1.011072670E2,2.694614584E1,-5.171745553E0,-9.955766743E1
1.772190834E-1,6.355623267E-1,1.179399029E-1,-2.027573851E-1,-7.355543972E-1,1.010765926E2,2.673039098E1,-4.831603578E0,-9.949070226E1
1.872639584E-1,6.357343965E-1,1.188446982E-1,-1.995508028E-1,-7.361367560E-1,1.010510508E2,2.650569056E1,-4.516760537E0,-9.943594268E1
1.973089583E-1,6.358635397E-1,1.194450801E-1,-1.967530529E-1,-7.366808665E-1,1.010318779E2,2.629622845E1,-4.257002778E0,-9.939682931E1
2.073539583E-1,6.358858775E-1,1.198235930E-1,-1.945347879E-1,-7.371890732E-1,1.010285613E2,2.612360595E1,-4.056408842E0,-9.938056642E1
2.173989583E-1,6.358151499E-1,1.200402674E-1,-1.929468448E-1,-7.376320419E-1,1.010390623E2,2.599654269E1,-3.914395696E0,-9.938335563E1
2.274439583E-1,6.357060949E-1,1.201142298E-1,-1.919516786E-1,-7.379734946E-1,1.010552522E2,2.591264690E1,-3.828342130E0,-9.939645775E1
2.374889583E-1,6.355750182E-1,1.199885005E-1,-1.914694186E-1,-7.382321076E-1,1.010747089E2,2.586032288E1,-3.797343132E0,-9.941903153E1
2.475349584E-1,6.354295694E-1,1.196400646E-1,-1.914101048E-1,-7.384293127E-1,1.010962958E2,2.582969347E1,-3.816647908E0,-9.945050165E1
2.575799584E-1,6.352754331E-1,1.191161398E-1,-1.916000159E-1,-7.385973575E-1,1.011191684E2,2.580858500E1,-3.869249945E0,-9.948846072E1
2.676249584E-1,6.351315438E-1,1.185293424E-1,-1.917845005E-1,-7.387674622E-1,1.011405170E2,2.578230134E1,-3.927005637E0,-9.952662546E1
2.776699584E-1,6.350224783E-1,1.180188861E-1,-1.917653817E-1,-7.389479244E-1,1.011566967E2,2.574315609E1,-3.964078222E0,-9.955726115E1
2.877149584E-1,6.349776077E-1,1.177353616E-1,-1.914218664E-1,-7.391207529E-1,1.011633526E2,2.569123854E1,-3.959763014E0,-9.957163425E1
2.977599584E-1,6.350692191E-1,1.177787096E-1,-1.907471375E-1,-7.392095299E-1,1.011497630E2,2.563300745E1,-3.907677775E0,-9.955628276E1
3.078049584E-1,6.353193607E-1,1.180332740E-1,-1.899077646E-1,-7.391701226E-1,1.011126502E2,2.557489040E1,-3.830831563E0,-9.951141357E1
3.178499584E-1,6.356505243E-1,1.182689433E-1,-1.891335006E-1,-7.390463215E-1,1.010635013E2,2.552095892E1,-3.763208324E0,-9.945518347E1
3.278959584E-1,6.359760560E-1,1.182917026E-1,-1.886381066E-1,-7.388892086E-1,1.010151713E2,2.547644339E1,-3.734300931E0,-9.940605237E1
3.379409584E-1,6.362261132E-1,1.180703790E-1,-1.884840493E-1,-7.387486489E-1,1.009780351E2,2.544491043E1,-3.749147509E0,-9.937527526E1
