"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
3.881041659E-3,-7.919229144E-1,3.216412997E0,9.233831742E0
1.392704167E-2,-7.845957685E-1,3.211522678E0,9.236158934E0
2.397304168E-2,-7.770761760E-1,3.206410165E0,9.238570910E0
3.401904163E-2,-7.693130471E-1,3.200920507E0,9.241123804E0
4.406504164E-2,-7.605420774E-1,3.194367825E0,9.244116409E0
5.411104165E-2,-7.503430715E-1,3.185857495E0,9.247886109E0
6.415704166E-2,-7.389116918E-1,3.174474720E0,9.252719418E0
7.420304167E-2,-7.267346460E-1,3.159856973E0,9.258685917E0
8.424904168E-2,-7.117097868E-1,3.144066567E0,9.265226027E0
9.429504164E-2,-6.887379038E-1,3.132591991E0,9.270846956E0
1.043410416E-1,-6.589817888E-1,3.123990152E0,9.275911229E0
1.143870417E-1,-6.277468398E-1,3.115818084E0,9.280825229E0
1.244340417E-1,-5.982093376E-1,3.108129288E0,9.285352728E0
1.344800417E-1,-5.723084746E-1,3.100321208E0,9.289594883E0
1.445262500E-1,-5.457134375E-1,3.090728559E0,9.294390185E0
1.545722500E-1,-5.188186940E-1,3.077987476E0,9.300157294E0
1.646182500E-1,-4.936424837E-1,3.063451298E0,9.306324937E0
1.746642500E-1,-4.694271537E-1,3.049487270E0,9.312162212E0
1.847102500E-1,-4.476677639E-1,3.037424171E0,9.317175030E0
1.947562500E-1,-4.302255927E-1,3.027676278E0,9.321168678E0
2.048022500E-1,-4.171550192E-1,3.019770842E0,9.324326760E0
2.148482500E-1,-4.083845977E-1,3.012548654E0,9.327050393E0
2.248942500E-1,-4.035103222E-1,3.004672162E0,9.329803262E0
2.349402500E-1,-4.016863929E-1,2.995372166E0,9.332871881E0
2.449862500E-1,-4.008033903E-1,2.984166854E0,9.336498324E0
2.550322500E-1,-3.997693102E-1,2.970952731E0,9.340756266E0
2.650782500E-1,-3.980417503E-1,2.956389948E0,9.345449241E0
2.751242500E-1,-3.959528691E-1,2.941103280E0,9.350359733E0
2.851712500E-1,-3.940603081E-1,2.925277206E0,9.355402957E0
2.952172500E-1,-3.930971255E-1,2.909144446E0,9.360473077E0
3.052632500E-1,-3.908452531E-1,2.895053241E0,9.364935088E0
3.153092500E-1,-3.820029840E-1,2.886290311E0,9.368004291E0
3.253552500E-1,-3.638014057E-1,2.883204151E0,9.369678934E0
3.354012500E-1,-3.356671986E-1,2.884841371E0,9.370225064E0
3.454472500E-1,-3.028501941E-1,2.888471615E0,9.370225064E0
3.554932500E-1,-2.681302681E-1,2.891998655E0,9.370194658E0
3.655392500E-1,-2.295079652E-1,2.893029227E0,9.370902171E0
3.755852500E-1,-1.853247775E-1,2.889214796E0,9.373056870E0
3.856312500E-1,-1.694792982E-1,2.876284848E0,9.377332354E0
3.956772500E-1,-1.672309158E-1,2.857959674E0,9.382973748E0
4.057232500E-1,-1.741678515E-1,2.831095811E0,9.390988526E0
4.157692500E-1,-2.028083177E-1,2.796992511E0,9.400627661E0
4.258152500E-1,-2.355781060E-1,2.759972034E0,9.410800062E0
4.358612500E-1,-2.635344297E-1,2.717191173E0,9.422500926E0
4.459082500E-1,-2.840585221E-1,2.668982927E0,9.435674118E0
4.559542500E-1,-2.942468386E-1,2.619921572E0,9.449102249E0
4.660002500E-1,-2.958265370E-1,2.573472168E0,9.461808833E0
4.760462500E-1,-2.903233021E-1,2.531733280E0,9.473233123E0
4.860922500E-1,-2.769157645E-1,2.495809449E0,9.483161695E0
4.961382500E-1,-2.542809186E-1,2.465444858E0,9.491734298E0
5.061842500E-1,-2.237319211E-1,2.440723854E0,9.498890120E0
5.162302500E-1,-1.892448240E-1,2.422053694E0,9.504416909E0
5.262762500E-1,-1.543268052E-1,2.410672674E0,9.507941025E0
5.363222500E-1,-1.221035216E-1,2.407770847E0,9.509144382E0
5.463682500E-1,-9.519492748E-2,2.413995500E0,9.507873783E0
5.564142500E-1,-7.522230062E-2,2.427906172E0,9.504510464E0
5.664602500E-1,-6.394718320E-2,2.446793118E0,9.499747907E0
5.765062500E-1,-6.263398536E-2,2.468187203E0,9.494221119E0
5.865522500E-1,-6.965328452E-2,2.490113384E0,9.488444654E0
5.965982500E-1,-8.218552133E-2,2.509911472E0,9.483126612E0
6.066442500E-1,-9.662357586E-2,2.525968511E0,9.478725997E0
6.166902500E-1,-1.110588255E-1,2.536875614E0,9.475654455E0
6.267372500E-1,-1.252870838E-1,2.542528702E0,9.473961686E0
6.367832500E-1,-1.387912832E-1,2.543348774E0,9.473553550E0
6.468292500E-1,-1.511779517E-1,2.539215378E0,9.474472733E0
6.568752500E-1,-1.617173935E-1,2.530108632E0,9.476734436E0
6.669212500E-1,-1.702857754E-1,2.516886615E0,9.480104771E0
