"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.881041659E-3,-2.524791718E1,-1.349871826E1,-2.970599365E1
1.392704167E-2,-2.526966095E1,-1.346984863E1,-2.966986084E1
2.397304168E-2,-2.523814392E1,-1.349273682E1,-2.966046143E1
3.401904163E-2,-2.509732056E1,-1.339562988E1,-2.978759766E1
4.406504164E-2,-2.524820709E1,-1.339379883E1,-2.953948975E1
5.411104165E-2,-2.520948029E1,-1.330603027E1,-2.938739014E1
6.415704166E-2,-2.536818695E1,-1.321832275E1,-2.915795898E1
7.420304167E-2,-2.540620422E1,-1.313906860E1,-2.951702881E1
8.424904168E-2,-2.542968750E1,-1.308782959E1,-2.959466553E1
9.429504164E-2,-2.565789032E1,-1.290072632E1,-2.956115723E1
1.043410416E-1,-2.577941895E1,-1.291366577E1,-2.915759277E1
1.143870417E-1,-2.571660614E1,-1.297845459E1,-2.926904297E1
1.244340417E-1,-2.578705597E1,-1.309878540E1,-2.955163574E1
1.344800417E-1,-2.596474457E1,-1.282855225E1,-2.926141357E1
1.445262500E-1,-2.615869141E1,-1.278259277E1,-2.947497559E1
1.545722500E-1,-2.619688416E1,-1.265130615E1,-2.927947998E1
1.646182500E-1,-2.633395386E1,-1.263507080E1,-2.934826660E1
1.746642500E-1,-2.633395386E1,-1.263507080E1,-2.934826660E1
1.847102500E-1,-2.637715149E1,-1.273443604E1,-2.893719482E1
1.947562500E-1,-2.642658997E1,-1.248608398E1,-2.897161865E1
2.048022500E-1,-2.651750946E1,-1.249404907E1,-2.894921875E1
2.148482500E-1,-2.644335175E1,-1.240405273E1,-2.887005615E1
2.248942500E-1,-2.643373871E1,-1.248126221E1,-2.894439697E1
2.349402500E-1,-2.661614990E1,-1.250784302E1,-2.880810547E1
2.449862500E-1,-2.671023560E1,-1.250811768E1,-2.882702637E1
2.550322500E-1,-2.665624237E1,-1.242990112E1,-2.858422852E1
2.650782500E-1,-2.654665375E1,-1.241235352E1,-2.863061523E1
2.751242500E-1,-2.654225922E1,-1.227194214E1,-2.869146729E1
2.851712500E-1,-2.662877655E1,-1.216659546E1,-2.874591064E1
2.952172500E-1,-2.658197784E1,-1.197125244E1,-2.904296875E1
3.052632500E-1,-2.665240479E1,-1.191079712E1,-2.890515137E1
3.153092500E-1,-2.652032471E1,-1.204998779E1,-2.893066406E1
3.253552500E-1,-2.654931641E1,-1.213137817E1,-2.885717773E1
3.354012500E-1,-2.660432434E1,-1.218508911E1,-2.888330078E1
3.454472500E-1,-2.676889038E1,-1.212402344E1,-2.864343262E1
3.554932500E-1,-2.689397430E1,-1.203424072E1,-2.866314697E1
3.655392500E-1,-2.689343262E1,-1.195266724E1,-2.856640625E1
3.755852500E-1,-2.722379303E1,-1.204885864E1,-2.846881104E1
3.856312500E-1,-2.736134338E1,-1.196026611E1,-2.835412598E1
3.956772500E-1,-2.721982574E1,-1.194644165E1,-2.828411865E1
4.057232500E-1,-2.722085571E1,-1.177108765E1,-2.818768311E1
4.157692500E-1,-2.717341614E1,-1.183566284E1,-2.831756592E1
4.258152500E-1,-2.709671783E1,-1.170248413E1,-2.846142578E1
4.358612500E-1,-2.704627228E1,-1.145635986E1,-2.852258301E1
4.459082500E-1,-2.695855713E1,-1.130371094E1,-2.837939453E1
4.559542500E-1,-2.696631622E1,-1.115002441E1,-2.856591797E1
4.660002500E-1,-2.702878571E1,-1.095089722E1,-2.884478760E1
4.760462500E-1,-2.692813110E1,-1.063183594E1,-2.904632568E1
4.860922500E-1,-2.700386810E1,-1.041333008E1,-2.887445068E1
4.961382500E-1,-2.702542877E1,-1.022381592E1,-2.906811523E1
5.061842500E-1,-2.726110077E1,-9.943756104E0,-2.887316895E1
5.162302500E-1,-2.731235504E1,-9.972351074E0,-2.872949219E1
5.262762500E-1,-2.736910248E1,-9.956573486E0,-2.880529785E1
5.363222500E-1,-2.753630829E1,-9.847900391E0,-2.862200928E1
5.463682500E-1,-2.764191437E1,-9.837768555E0,-2.853289795E1
5.564142500E-1,-2.754534912E1,-9.844879150E0,-2.844232178E1
5.664602500E-1,-2.779717255E1,-9.826202393E0,-2.855596924E1
5.765062500E-1,-2.776682281E1,-9.782348633E0,-2.854394531E1
5.865522500E-1,-2.781470490E1,-9.922607422E0,-2.849450684E1
5.965982500E-1,-2.759081268E1,-1.021578979E1,-2.852447510E1
6.066442500E-1,-2.759233856E1,-1.020278931E1,-2.837133789E1
6.166902500E-1,-2.769854736E1,-1.009317017E1,-2.833068848E1
6.267372500E-1,-2.775333405E1,-1.003469849E1,-2.815704346E1
6.367832500E-1,-2.757487488E1,-1.009756470E1,-2.821234131E1
6.468292500E-1,-2.752841949E1,-1.019992065E1,-2.823742676E1
6.568752500E-1,-2.746214294E1,-1.019168091E1,-2.854980469E1
6.669212500E-1,-2.749472809E1,-1.017184448E1,-2.868829346E1
6.769672500E-1,-2.753556824E1,-1.006460571E1,-2.867919922E1
6.870132500E-1,-2.747386169E1,-9.951812744E0,-2.857989502E1
6.970592500E-1,-2.750319672E1,-9.855621338E0,-2.870874023E1
7.071052500E-1,-2.753347015E1,-9.857513428E0,-2.859954834E1
7.171512500E-1,-2.746031952E1,-9.732635498E0,-2.843457031E1
7.271972500E-1,-2.748896027E1,-9.715454102E0,-2.860565186E1
