"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-5.769999698E-4,-1.897603912E0,4.708009644E0,8.239016876E0
9.468000033E-3,-1.786385193E0,4.606371002E0,8.593629456E0
1.951200003E-2,-1.699565735E0,4.580774231E0,8.900641022E0
2.955600002E-2,-1.712139587E0,4.585564270E0,8.930728455E0
3.960000002E-2,-1.789378967E0,4.611759796E0,8.739875336E0
4.964400001E-2,-1.930685120E0,4.633464661E0,8.475075989E0
5.968800001E-2,-2.039059753E0,4.652624817E0,8.294252014E0
6.973200000E-2,-2.002535706E0,4.711003418E0,8.227640533E0
7.977700001E-2,-1.858535156E0,4.839586029E0,8.146359558E0
8.982100000E-2,-1.687440948E0,4.962480469E0,8.190517731E0
9.986500000E-2,-1.538350983E0,5.068609772E0,8.316256256E0
1.099090000E-1,-1.416803741E0,5.111271057E0,8.349038086E0
1.199530000E-1,-1.291214905E0,5.126988373E0,8.329279175E0
1.299970000E-1,-1.240769806E0,5.097200317E0,8.291258240E0
1.400410000E-1,-1.258582764E0,5.054539032E0,8.394393768E0
1.500850000E-1,-1.268911285E0,4.969066772E0,8.561895447E0
1.601300000E-1,-1.256038055E0,4.875361633E0,8.691076813E0
1.701740000E-1,-1.262474670E0,4.784201202E0,8.753047943E0
1.802180000E-1,-1.269060974E0,4.744084625E0,8.758736115E0
1.902620000E-1,-1.231040039E0,4.734953613E0,8.800499268E0
2.003060000E-1,-1.167422333E0,4.811893616E0,8.802744598E0
2.103500000E-1,-1.066831512E0,4.848717041E0,8.715326385E0
2.203940000E-1,-9.578581238E-1,4.871769104E0,8.609197083E0
2.304390000E-1,-8.610095215E-1,4.859045563E0,8.520880737E0
2.404830000E-1,-8.987310791E-1,4.845573578E0,8.452922058E0
2.505270000E-1,-9.349557495E-1,4.770130463E0,8.461604004E0
2.605710000E-1,-8.897497559E-1,4.741240540E0,8.559051361E0
2.706150000E-1,-8.399034119E-1,4.660408630E0,8.705297241E0
2.806590000E-1,-8.015830994E-1,4.552033997E0,8.770860901E0
2.907030000E-1,-7.954458618E-1,4.444108429E0,8.828790436E0
3.007470000E-1,-8.107141113E-1,4.377047882E0,8.776249695E0
3.107920000E-1,-8.622070313E-1,4.395609283E0,8.611891479E0
3.208360000E-1,-9.069639587E-1,4.495152283E0,8.377179565E0
3.308800000E-1,-9.449848938E-1,4.648283844E0,8.156987457E0
3.409240000E-1,-9.342073059E-1,4.793332214E0,8.007149048E0
3.509680000E-1,-8.924441528E-1,4.822072449E0,7.893235931E0
3.610120000E-1,-8.725355530E-1,4.790787506E0,7.846383362E0
3.710560000E-1,-9.125024414E-1,4.724475403E0,7.860154724E0
3.811010000E-1,-9.364526367E-1,4.677772522E0,8.007149048E0
3.911450000E-1,-9.431886292E-1,4.587809601E0,8.218808899E0
4.011890000E-1,-9.250762939E-1,4.504283295E0,8.421936493E0
4.112330000E-1,-9.352551270E-1,4.488865356E0,8.585695953E0
4.212770000E-1,-9.364526367E-1,4.463567963E0,8.666527863E0
4.313210000E-1,-9.621990967E-1,4.462071075E0,8.686137085E0
4.413650000E-1,-1.030906219E0,4.471800842E0,8.584648132E0
4.514090000E-1,-1.039139099E0,4.513114929E0,8.491392059E0
4.614540000E-1,-1.021775208E0,4.561165009E0,8.359665985E0
4.714980000E-1,-9.927355957E-1,4.575834503E0,8.194559326E0
