"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.446000035E-3,-2.324736786E1,-1.507324219E1,-3.002551270E1
1.449000003E-2,-2.324736786E1,-1.507324219E1,-3.002551270E1
2.453400003E-2,-2.317330933E1,-1.509390259E1,-3.000115967E1
3.457800002E-2,-2.313442993E1,-1.511044312E1,-2.994256592E1
4.462200002E-2,-2.317790985E1,-1.499835205E1,-3.005480957E1
5.466600001E-2,-2.332673645E1,-1.507266235E1,-2.986743164E1
6.471000001E-2,-2.340296173E1,-1.491763306E1,-2.959136963E1
7.475400000E-2,-2.360952759E1,-1.486721802E1,-2.964196777E1
8.479900000E-2,-2.378435516E1,-1.489617920E1,-2.951226807E1
9.484300000E-2,-2.383757782E1,-1.472500610E1,-2.953839111E1
1.048870000E-1,-2.399993896E1,-1.467913818E1,-2.939233398E1
1.149310000E-1,-2.406764221E1,-1.464648438E1,-2.954565430E1
1.249750000E-1,-2.416918182E1,-1.467022705E1,-2.938311768E1
1.350190000E-1,-2.422428131E1,-1.450039673E1,-2.936828613E1
1.450630000E-1,-2.428894043E1,-1.451821899E1,-2.945318604E1
1.551080000E-1,-2.428190613E1,-1.436172485E1,-2.922106934E1
1.651520000E-1,-2.444843292E1,-1.427877808E1,-2.926342773E1
1.751960000E-1,-2.451483154E1,-1.433407593E1,-2.907232666E1
1.852400000E-1,-2.453324890E1,-1.422058105E1,-2.902081299E1
1.952840000E-1,-2.475032806E1,-1.407189941E1,-2.907550049E1
2.053280000E-1,-2.482453156E1,-1.422457886E1,-2.897119141E1
2.153720000E-1,-2.494428253E1,-1.427096558E1,-2.893957520E1
2.254160000E-1,-2.504536438E1,-1.427639771E1,-2.887689209E1
2.354610000E-1,-2.502969360E1,-1.414144897E1,-2.884399414E1
2.455050000E-1,-2.501502991E1,-1.424475098E1,-2.892968750E1
2.555490000E-1,-2.506219482E1,-1.419183350E1,-2.886547852E1
2.655930000E-1,-2.510649872E1,-1.420751953E1,-2.908380127E1
2.756370000E-1,-2.510157776E1,-1.417266846E1,-2.893164062E1
2.856810000E-1,-2.500188446E1,-1.424273682E1,-2.904125977E1
2.957250000E-1,-2.504610443E1,-1.423135376E1,-2.914794922E1
3.057700000E-1,-2.512660980E1,-1.422363281E1,-2.896911621E1
3.158140000E-1,-2.512316132E1,-1.408169556E1,-2.889764404E1
3.258580000E-1,-2.514630127E1,-1.404461670E1,-2.870733643E1
3.359020000E-1,-2.520951843E1,-1.433770752E1,-2.848931885E1
3.459460000E-1,-2.514741516E1,-1.434344482E1,-2.850317383E1
3.559900000E-1,-2.520756531E1,-1.424603271E1,-2.873602295E1
3.660340000E-1,-2.524719238E1,-1.426571655E1,-2.874438477E1
3.760780000E-1,-2.530037689E1,-1.430294800E1,-2.857598877E1
3.861230000E-1,-2.536470032E1,-1.430532837E1,-2.858221436E1
3.961670000E-1,-2.546508026E1,-1.428543091E1,-2.861877441E1
4.062110000E-1,-2.553330994E1,-1.430249023E1,-2.859826660E1
4.162550000E-1,-2.559173584E1,-1.413824463E1,-2.839495850E1
4.262990000E-1,-2.566705322E1,-1.403613281E1,-2.838592529E1
4.363430000E-1,-2.552836609E1,-1.404858398E1,-2.846777344E1
4.463870000E-1,-2.559942627E1,-1.404528809E1,-2.867773438E1
4.564320000E-1,-2.560089111E1,-1.392755127E1,-2.838177490E1
4.664760000E-1,-2.569576263E1,-1.412051392E1,-2.855017090E1
4.765200000E-1,-2.562150574E1,-1.414160156E1,-2.835650635E1
4.865640000E-1,-2.576683044E1,-1.403353882E1,-2.824664307E1
4.966080000E-1,-2.598273468E1,-1.377853394E1,-2.823864746E1
5.066520000E-1,-2.606563568E1,-1.377902222E1,-2.830004883E1
5.166960000E-1,-2.607592773E1,-1.376965332E1,-2.821343994E1
5.267400000E-1,-2.610639191E1,-1.376892090E1,-2.801208496E1
5.367850000E-1,-2.614579010E1,-1.370669556E1,-2.799133301E1
5.468290000E-1,-2.623998260E1,-1.354791260E1,-2.770001221E1
5.568730000E-1,-2.631230164E1,-1.361730957E1,-2.803656006E1
5.669170000E-1,-2.616925049E1,-1.356167603E1,-2.821307373E1
5.769610000E-1,-2.628570557E1,-1.350781250E1,-2.797351074E1
5.870050000E-1,-2.630996704E1,-1.347225952E1,-2.815509033E1
5.970490000E-1,-2.625471497E1,-1.345812988E1,-2.815795898E1
6.070940000E-1,-2.630243683E1,-1.346807861E1,-2.816381836E1
6.171380000E-1,-2.645475769E1,-1.332669067E1,-2.815899658E1
6.271820000E-1,-2.646888733E1,-1.350277710E1,-2.816107178E1
6.372260000E-1,-2.646036530E1,-1.331326294E1,-2.782287598E1
6.472700000E-1,-2.641565704E1,-1.328082275E1,-2.767401123E1
6.573140000E-1,-2.647413635E1,-1.320803833E1,-2.787707520E1
6.673580000E-1,-2.642204285E1,-1.337805176E1,-2.792218018E1
6.774020000E-1,-2.630771637E1,-1.335440063E1,-2.798254395E1
6.874470000E-1,-2.634632874E1,-1.318688965E1,-2.800994873E1
6.974910000E-1,-2.623767853E1,-1.311990356E1,-2.806909180E1
7.075350000E-1,-2.611021423E1,-1.321356201E1,-2.817541504E1
7.175795417E-1,-2.610069275E1,-1.316320801E1,-2.802630615E1
7.276235417E-1,-2.606583405E1,-1.325546265E1,-2.813031006E1
7.376675417E-1,-2.624295807E1,-1.308795166E1,-2.796057129E1
7.477115417E-1,-2.613389587E1,-1.311743164E1,-2.813800049E1
7.577565417E-1,-2.613389587E1,-1.311743164E1,-2.813800049E1
7.678005417E-1,-2.610563660E1,-1.313082886E1,-2.807159424E1
7.778445417E-1,-2.623369598E1,-1.308566284E1,-2.779876709E1
7.878885417E-1,-2.635547638E1,-1.308886719E1,-2.774987793E1
7.979325417E-1,-2.650594330E1,-1.305654907E1,-2.779675293E1
8.079765417E-1,-2.667073822E1,-1.303448486E1,-2.758404541E1
8.180205417E-1,-2.672890472E1,-1.299270630E1,-2.745111084E1
8.280645417E-1,-2.682885742E1,-1.305917358E1,-2.725408936E1
8.381095417E-1,-2.684518433E1,-1.311059570E1,-2.695581055E1
8.481535417E-1,-2.685935211E1,-1.317132568E1,-2.723889160E1
8.581975417E-1,-2.705224609E1,-1.303018188E1,-2.708416748E1
8.682415417E-1,-2.713866425E1,-1.306069946E1,-2.723272705E1
8.782855417E-1,-2.716055298E1,-1.303796387E1,-2.711590576E1
8.883295417E-1,-2.709140778E1,-1.295672607E1,-2.707653809E1
8.983735417E-1,-2.724916840E1,-1.303167725E1,-2.717559814E1
9.084175417E-1,-2.721125031E1,-1.312139893E1,-2.688201904E1
