"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
4.446000035E-3,6.580222558E-1,2.275333284E-1,-1.200060652E-1,-7.076962154E-1,9.770157472E1,2.840821356E1,9.445863320E0,-9.177012550E1
1.449000003E-2,6.580927385E-1,2.255364950E-1,-1.201934922E-1,-7.082378735E-1,9.769084820E1,2.824834946E1,9.280621930E0,-9.186361023E1
2.453400003E-2,6.581435597E-1,2.238570484E-1,-1.204561725E-1,-7.086786532E-1,9.768311335E1,2.812297594E1,9.133218452E0,-9.194270090E1
3.457800002E-2,6.581644040E-1,2.224677092E-1,-1.208988092E-1,-7.090212833E-1,9.767994078E1,2.803815634E1,8.993713564E0,-9.201073714E1
4.462200002E-2,6.582222058E-1,2.212360624E-1,-1.215154071E-1,-7.092476356E-1,9.767114274E1,2.798241168E1,8.850339792E0,-9.206454641E1
5.466600001E-2,6.584189762E-1,2.199993790E-1,-1.222668327E-1,-7.093205207E-1,9.764118777E1,2.793926693E1,8.690362217E0,-9.209689948E1
6.471000001E-2,6.587918441E-1,2.186802775E-1,-1.231082629E-1,-7.092366959E-1,9.758440615E1,2.789854171E1,8.510271772E0,-9.210605404E1
7.475400000E-2,6.592856840E-1,2.172303679E-1,-1.240211795E-1,-7.090643522E-1,9.750916455E1,2.785381681E1,8.310054448E0,-9.210278386E1
8.479900000E-2,6.598021278E-1,2.156339665E-1,-1.249586360E-1,-7.089065781E-1,9.743043264E1,2.779876620E1,8.096035409E0,-9.210277376E1
9.484300000E-2,6.602941159E-1,2.139964455E-1,-1.258065779E-1,-7.087947546E-1,9.735538481E1,2.773256398E1,7.887036259E0,-9.210795968E1
1.048870000E-1,6.607429245E-1,2.124013243E-1,-1.264881451E-1,-7.087349614E-1,9.728688585E1,2.765584492E1,7.696184633E0,-9.211708856E1
1.149310000E-1,6.611024792E-1,2.108578540E-1,-1.269969735E-1,-7.087695639E-1,9.723198316E1,2.756843591E1,7.526413121E0,-9.213684221E1
1.249750000E-1,6.613379563E-1,2.093149000E-1,-1.273621338E-1,-7.089417312E-1,9.719601412E1,2.746805691E1,7.372829010E0,-9.217505573E1
1.350190000E-1,6.614642652E-1,2.077104907E-1,-1.276449866E-1,-7.092448144E-1,9.717671638E1,2.735471235E1,7.225223453E0,-9.223236134E1
1.450630000E-1,6.615378799E-1,2.060956526E-1,-1.279230530E-1,-7.095970514E-1,9.716546804E1,2.723988123E1,7.079004875E0,-9.229761293E1
1.551080000E-1,6.615896599E-1,2.045455205E-1,-1.282490931E-1,-7.099383329E-1,9.715755546E1,2.713473717E1,6.934400106E0,-9.236252006E1
1.651520000E-1,6.616497113E-1,2.031266811E-1,-1.286556495E-1,-7.102161307E-1,9.714837833E1,2.704795254E1,6.792716712E0,-9.241944774E1
1.751960000E-1,6.617238581E-1,2.018570863E-1,-1.291685398E-1,-7.104158541E-1,9.713704621E1,2.698321942E1,6.653066011E0,-9.246678582E1
1.852400000E-1,6.618130277E-1,2.007357483E-1,-1.298300978E-1,-7.105299166E-1,9.712341680E1,2.694396342E1,6.511982947E0,-9.250457593E1
1.952840000E-1,6.621406431E-1,1.998522687E-1,-1.305363078E-1,-7.103443361E-1,9.707332909E1,2.693079676E1,6.376484904E0,-9.249469492E1
2.053280000E-1,6.622009763E-1,1.990958645E-1,-1.313358072E-1,-7.103531238E-1,9.706410290E1,2.693421927E1,6.252793407E0,-9.251969758E1
2.153720000E-1,6.621956262E-1,1.984451672E-1,-1.320639071E-1,-7.104051725E-1,9.706492105E1,2.694019311E1,6.145211687E0,-9.254983991E1
2.254160000E-1,6.621126075E-1,1.978264646E-1,-1.326226980E-1,-7.105509900E-1,9.707761608E1,2.693410614E1,6.056507985E0,-9.259037938E1
2.354610000E-1,6.619610843E-1,1.971599992E-1,-1.329780565E-1,-7.108110835E-1,9.710078345E1,2.690638611E1,5.983060505E0,-9.264355409E1
2.455050000E-1,6.617659207E-1,1.963531004E-1,-1.332226109E-1,-7.111702827E-1,9.713061720E1,2.685719065E1,5.909450974E0,-9.270961552E1
2.555490000E-1,6.615504844E-1,1.954386165E-1,-1.333917699E-1,-7.115907212E-1,9.716354197E1,2.679250207E1,5.834413446E0,-9.278343452E1
2.655930000E-1,6.613143646E-1,1.945036624E-1,-1.335320030E-1,-7.120399355E-1,9.719961819E1,2.672363329E1,5.760793089E0,-9.286113190E1
2.756370000E-1,6.610690884E-1,1.936603119E-1,-1.336913102E-1,-7.124676232E-1,9.723708280E1,2.666418195E1,5.692817993E0,-9.293594975E1
2.856810000E-1,6.608353762E-1,1.929763739E-1,-1.339126233E-1,-7.128282817E-1,9.727277103E1,2.662360723E1,5.631476773E0,-9.300173733E1
2.957250000E-1,6.606249923E-1,1.925162462E-1,-1.342025410E-1,-7.130930351E-1,9.730488862E1,2.660792817E1,5.580770815E0,-9.305396618E1
3.057700000E-1,6.604627480E-1,1.922827079E-1,-1.345565561E-1,-7.132396850E-1,9.732965172E1,2.661712502E1,5.540430798E0,-9.308884245E1
3.158140000E-1,6.603470312E-1,1.921728627E-1,-1.349707015E-1,-7.132981664E-1,9.734731053E1,2.664216246E1,5.503012999E0,-9.311113474E1
3.258580000E-1,6.602446539E-1,1.920594560E-1,-1.354071637E-1,-7.133408638E-1,9.736293169E1,2.666890431E1,5.463061635E0,-9.313155308E1
3.359020000E-1,6.601036595E-1,1.918448864E-1,-1.358150399E-1,-7.134513439E-1,9.738444213E1,2.668448064E1,5.419087792E0,-9.316224951E1
3.459460000E-1,6.599010017E-1,1.914314469E-1,-1.361543431E-1,-7.136853590E-1,9.741535389E1,2.667717578E1,5.367688957E0,-9.321111642E1
3.559900000E-1,6.596447304E-1,1.907540364E-1,-1.364019189E-1,-7.140562697E-1,9.745443292E1,2.663966175E1,5.305410668E0,-9.327961091E1
3.660340000E-1,6.593476847E-1,1.898020919E-1,-1.365713651E-1,-7.145515742E-1,9.749971505E1,2.657237303E1,5.229811790E0,-9.336610437E1
3.760780000E-1,6.590277901E-1,1.886199571E-1,-1.367250957E-1,-7.151300818E-1,9.754846275E1,2.648454077E1,5.138544127E0,-9.346578821E1
3.861230000E-1,6.587193199E-1,1.872934720E-1,-1.368854618E-1,-7.157321469E-1,9.759545232E1,2.638554660E1,5.035083618E0,-9.356957360E1
3.961670000E-1,6.584737303E-1,1.859631804E-1,-1.370062863E-1,-7.162816154E-1,9.763285118E1,2.628352997E1,4.932032193E0,-9.366350889E1
4.062110000E-1,6.583103243E-1,1.847537608E-1,-1.370465945E-1,-7.167369304E-1,9.765772904E1,2.618544300E1,4.841598787E0,-9.373947960E1
4.162550000E-1,6.582019990E-1,1.837311703E-1,-1.370145655E-1,-7.171053018E-1,9.767421850E1,2.609719840E1,4.769229645E0,-9.379893811E1
4.262990000E-1,6.581307866E-1,1.829335570E-1,-1.368920921E-1,-7.173978694E-1,9.768505743E1,2.602022070E1,4.720005282E0,-9.384316525E1
4.363430000E-1,6.581021347E-1,1.823225567E-1,-1.366893841E-1,-7.176182895E-1,9.768941817E1,2.595216703E1,4.690016688E0,-9.387305927E1
4.463870000E-1,6.581232897E-1,1.818169895E-1,-1.364351069E-1,-7.177755842E-1,9.768619845E1,2.588876621E1,4.670499533E0,-9.389096594E1
4.564320000E-1,6.581735999E-1,1.813243903E-1,-1.361859005E-1,-7.179013635E-1,9.767854111E1,2.582705821E1,4.650539089E0,-9.390383556E1
4.664760000E-1,6.582245660E-1,1.806698445E-1,-1.360419743E-1,-7.180469704E-1,9.767078348E1,2.576095960E1,4.609634191E0,-9.392318757E1
4.765200000E-1,6.582483711E-1,1.797142569E-1,-1.360429569E-1,-7.182647510E-1,9.766715992E1,2.568223344E1,4.534807989E0,-9.395885003E1
4.865640000E-1,6.582296368E-1,1.783966226E-1,-1.361985815E-1,-7.185808735E-1,9.767001162E1,2.558669442E1,4.421026105E0,-9.401544605E1
4.966080000E-1,6.581301017E-1,1.767757786E-1,-1.364955297E-1,-7.190160660E-1,9.768516167E1,2.547801710E1,4.275114938E0,-9.409606874E1
5.066520000E-1,6.579301861E-1,1.750166824E-1,-1.368685214E-1,-7.195582984E-1,9.771558518E1,2.536428373E1,4.115630595E0,-9.419682817E1
5.166960000E-1,6.576686570E-1,1.733537127E-1,-1.372033176E-1,-7.201359289E-1,9.775537448E1,2.525525416E1,3.968488907E0,-9.430242241E1
5.267400000E-1,6.573909171E-1,1.719532677E-1,-1.373713254E-1,-7.206929337E-1,9.779761690E1,2.515370247E1,3.855344344E0,-9.439959484E1
5.367850000E-1,6.571527348E-1,1.708819014E-1,-1.373126504E-1,-7.211760736E-1,9.783383206E1,2.506004224E1,3.784335960E0,-9.447761546E1
5.468290000E-1,6.569907618E-1,1.701433859E-1,-1.370648875E-1,-7.215454090E-1,9.785845404E1,2.497781040E1,3.751636374E0,-9.453099573E1
5.568730000E-1,6.569087282E-1,1.696807412E-1,-1.367033506E-1,-7.217973787E-1,9.787092244E1,2.490872801E1,3.746775999E0,-9.456146541E1
5.669170000E-1,6.568908843E-1,1.693181466E-1,-1.363494487E-1,-7.219657712E-1,9.787363441E1,2.484877105E1,3.746971942E0,-9.457834138E1
5.769610000E-1,6.569004753E-1,1.688775474E-1,-1.360876075E-1,-7.221095947E-1,9.787217674E1,2.479048836E1,3.732834115E0,-9.459397647E1
5.870050000E-1,6.569172024E-1,1.682751873E-1,-1.359471716E-1,-7.222613707E-1,9.786963449E1,2.472949300E1,3.696150613E0,-9.461463919E1
5.970490000E-1,6.569089706E-1,1.675051525E-1,-1.359361199E-1,-7.224500753E-1,9.787088561E1,2.466587138E1,3.636879613E0,-9.464539118E1
6.070940000E-1,6.568543983E-1,1.665982867E-1,-1.360304788E-1,-7.226916110E-1,9.787917947E1,2.460001903E1,3.560010430E0,-9.468816360E1
6.171380000E-1,6.567647361E-1,1.656217482E-1,-1.361627316E-1,-7.229725356E-1,9.789280514E1,2.453169876E1,3.475756215E0,-9.473866819E1
6.271820000E-1,6.566661020E-1,1.646435488E-1,-1.362503892E-1,-7.232690070E-1,9.790779263E1,2.445948846E1,3.395107201E0,-9.479040775E1
6.372260000E-1,6.565880592E-1,1.637366685E-1,-1.362394376E-1,-7.235477531E-1,9.791965005E1,2.438477642E1,3.327100053E0,-9.483618518E1
6.472700000E-1,6.565627158E-1,1.629777051E-1,-1.360882186E-1,-7.237704281E-1,9.792350036E1,2.431027699E1,3.280025803E0,-9.486833668E1
6.573140000E-1,6.566279169E-1,1.624598047E-1,-1.357981008E-1,-7.238821594E-1,9.791359440E1,2.424374968E1,3.259932363E0,-9.487778517E1
6.673580000E-1,6.568181915E-1,1.622617566E-1,-1.353553060E-1,-7.238369543E-1,9.788468187E1,2.419049535E1,3.273051291E0,-9.485647893E1
6.774020000E-1,6.571449692E-1,1.623908432E-1,-1.347790203E-1,-7.236188312E-1,9.783501263E1,2.415282378E1,3.318101675E0,-9.480239820E1
6.874470000E-1,6.575901769E-1,1.628225363E-1,-1.340942354E-1,-7.232446830E-1,9.776731217E1,2.413091896E1,3.391768741E0,-9.471919369E1
6.974910000E-1,6.581071422E-1,1.635215365E-1,-1.333329422E-1,-7.227573048E-1,9.768865605E1,2.412458986E1,3.490213287E0,-9.461505413E1
7.075350000E-1,6.586346179E-1,1.643870365E-1,-1.326097720E-1,-7.222133075E-1,9.760835211E1,2.413532614E1,3.598376361E0,-9.450290272E1
7.175795417E-1,6.590969030E-1,1.652938088E-1,-1.320665163E-1,-7.216839247E-1,9.753793239E1,2.416476282E1,3.697599883E0,-9.439880097E1
7.276235417E-1,6.594624268E-1,1.661602071E-1,-1.317825875E-1,-7.212027499E-1,9.748222543E1,2.421282366E1,3.776179736E0,-9.431060525E1
7.376675417E-1,6.597174100E-1,1.668772185E-1,-1.317833790E-1,-7.208037931E-1,9.744335113E1,2.427261815E1,3.824001865E0,-9.424461237E1
7.477115417E-1,6.598449727E-1,1.672417598E-1,-1.320873289E-1,-7.205468396E-1,9.742389880E1,2.432895105E1,3.824279670E0,-9.421119925E1
7.577565417E-1,6.598238229E-1,1.670111651E-1,-1.326765300E-1,-7.205115126E-1,9.742712418E1,2.436032791E1,3.760193874E0,-9.422298728E1
7.678005417E-1,6.596610228E-1,1.660241386E-1,-1.334819036E-1,-7.207398932E-1,9.745194883E1,2.434784864E1,3.624359120E0,-9.428491910E1
7.778445417E-1,6.593671750E-1,1.642775245E-1,-1.344100470E-1,-7.212362145E-1,9.749674440E1,2.428370228E1,3.423434267E0,-9.439501237E1
7.878885417E-1,6.589356676E-1,1.619284067E-1,-1.353856201E-1,-7.219791027E-1,9.756249763E1,2.417473804E1,3.175641312E0,-9.454763689E1
7.979325417E-1,6.583436756E-1,1.592149293E-1,-1.363491814E-1,-7.229406383E-1,9.765265183E1,2.403561039E1,2.904801974E0,-9.473657075E1
8.079765417E-1,6.576162526E-1,1.564609548E-1,-1.372716857E-1,-7.240285854E-1,9.776334588E1,2.389042919E1,2.637696244E0,-9.494578945E1
8.180205417E-1,6.568250667E-1,1.540753767E-1,-1.380655459E-1,-7.251066228E-1,9.788363705E1,2.376475765E1,2.411278617E0,-9.514996637E1
8.280645417E-1,6.560749371E-1,1.523537550E-1,-1.386516683E-1,-7.260369723E-1,9.799758456E1,2.367533808E1,2.252140679E0,-9.532353637E1
8.381095417E-1,6.554487956E-1,1.513702227E-1,-1.389677209E-1,-7.267474918E-1,9.809262244E1,2.362237007E1,2.168785473E0,-9.545223778E1
8.481535417E-1,6.550017677E-1,1.509891250E-1,-1.390379435E-1,-7.272161832E-1,9.816043202E1,2.359684558E1,2.146989831E0,-9.553291360E1
8.581975417E-1,6.547502327E-1,1.509433080E-1,-1.389744315E-1,-7.274642622E-1,9.819857203E1,2.358702609E1,2.156242113E0,-9.557249103E1
8.682415417E-1,6.546488958E-1,1.509408464E-1,-1.389619942E-1,-7.275585184E-1,9.821393452E1,2.358548217E1,2.160216862E0,-9.558790750E1
8.782855417E-1,6.545839265E-1,1.507612435E-1,-1.392096011E-1,-7.276067976E-1,9.822378283E1,2.359240891E1,2.128516500E0,-9.560382277E1
8.883295417E-1,6.544097257E-1,1.503071982E-1,-1.398498090E-1,-7.277346369E-1,9.825018526E1,2.361117921E1,2.047577240E0,-9.564555458E1
8.983735417E-1,6.540190059E-1,1.495495704E-1,-1.409379314E-1,-7.280320435E-1,9.830938484E1,2.364414596E1,1.914126004E0,-9.573018827E1
9.084175417E-1,6.533758318E-1,1.484655297E-1,-1.424293845E-1,-7.285409377E-1,9.840677729E1,2.368588370E1,1.730973841E0,-9.586372041E1
9.184625417E-1,6.525150193E-1,1.470893156E-1,-1.441390434E-1,-7.292549949E-1,9.853701392E1,2.372358775E1,1.514243297E0,-9.603952852E1
9.285065417E-1,6.515189919E-1,1.454139137E-1,-1.458337696E-1,-7.301440537E-1,9.868754902E1,2.373702781E1,1.278906037E0,-9.624515118E1
9.385505417E-1,6.504766107E-1,1.433965742E-1,-1.472942650E-1,-7.311785112E-1,9.884490815E1,2.370418804E1,1.035622524E0,-9.646830853E1
9.485945417E-1,6.494727913E-1,1.410604760E-1,-1.483445050E-1,-7.323120586E-1,9.899627123E1,2.361178877E1,7.969604601E-1,-9.669507485E1
9.586385417E-1,6.485497042E-1,1.384464813E-1,-1.488997947E-1,-7.335152536E-1,9.913531034E1,2.345565436E1,5.710980386E-1,-9.691735524E1
9.686825417E-1,6.477121252E-1,1.356629042E-1,-1.489466505E-1,-7.347648603E-1,9.926134561E1,2.324294123E1,3.673582291E-1,-9.713060788E1
9.787265417E-1,6.469217980E-1,1.328918174E-1,-1.485187072E-1,-7.360530260E-1,9.938016265E1,2.299052318E1,1.988666315E-1,-9.733465397E1
9.887715417E-1,6.461474866E-1,1.303736861E-1,-1.476877867E-1,-7.373496211E-1,9.949647062E1,2.272302272E1,8.054596440E-2,-9.752694416E1
9.988155417E-1,6.453618536E-1,1.283222548E-1,-1.465618725E-1,-7.386210388E-1,9.961437714E1,2.246605261E1,2.246859219E-2,-9.770558957E1
