"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
8.573666681E-3,-4.203061641E0,-8.848356974E0,-5.262703125E-1
1.861766668E-2,-4.192017421E0,-8.853253432E0,-5.319906070E-1
2.866166667E-2,-4.178745118E0,-8.858853310E0,-5.430618713E-1
3.870566667E-2,-4.163350861E0,-8.865115094E0,-5.588718288E-1
4.875066667E-2,-4.145609824E0,-8.872175606E0,-5.783608544E-1
5.879466666E-2,-4.125569662E0,-8.880045374E0,-6.004895324E-1
6.883866666E-2,-4.103235345E0,-8.888610960E0,-6.262223976E-1
7.888266665E-2,-4.078339655E0,-8.897586436E0,-6.604500977E-1
8.892570838E-2,-4.051124374E0,-8.906492915E0,-7.062895641E-1
9.896970837E-2,-4.022790521E0,-8.914836892E0,-7.609029237E-1
1.090147084E-1,-3.994378316E0,-8.922568080E0,-8.178121926E-1
1.190587084E-1,-3.966941426E0,-8.929756647E0,-8.711667929E-1
1.291027084E-1,-3.940966047E0,-8.936523630E0,-9.183925610E-1
1.391467084E-1,-3.916239341E0,-8.942918730E0,-9.609227957E-1
1.491907084E-1,-3.892390888E0,-8.948863009E0,-1.001621098E0
1.592347083E-1,-3.869355489E0,-8.954172866E0,-1.042569076E0
1.692797084E-1,-3.847031989E0,-8.958770531E0,-1.084827196E0
1.793237083E-1,-3.825837002E0,-8.962473573E0,-1.128338228E0
1.893677083E-1,-3.806645563E0,-8.965086109E0,-1.171655278E0
1.994117083E-1,-3.793609488E0,-8.966399978E0,-1.203452803E0
2.094557083E-1,-3.793747483E0,-8.966618080E0,-1.201379526E0
2.194997083E-1,-3.808372246E0,-8.966682399E0,-1.153684226E0
2.295447083E-1,-3.833549772E0,-8.966834427E0,-1.065785372E0
2.395887083E-1,-3.867844861E0,-8.964921802E0,-9.518652394E-1
2.496327083E-1,-3.911384691E0,-8.958257146E0,-8.287146185E-1
2.596767084E-1,-3.965894482E0,-8.944689267E0,-7.073332921E-1
2.697207084E-1,-4.032385217E0,-8.923510067E0,-5.890004846E-1
2.797647084E-1,-4.108006380E0,-8.896073762E0,-4.693042160E-1
2.898087084E-1,-4.184153793E0,-8.866143619E0,-3.470896979E-1
2.998537084E-1,-4.252660648E0,-8.837243755E0,-2.325759627E-1
3.098977084E-1,-4.317219756E0,-8.807765018E0,-1.448503690E-1
3.199417084E-1,-4.396936601E0,-8.768809698E0,-1.050336261E-1
3.299857083E-1,-4.512994477E0,-8.709783810E0,-9.293405587E-2
3.400297083E-1,-4.664411049E0,-8.629906751E0,-6.385931964E-2
3.500737083E-1,-4.843539916E0,-8.530898187E0,-2.219139110E-3
3.601187083E-1,-5.041216151E0,-8.415155477E0,8.603076912E-2
3.701627083E-1,-5.237128866E0,-8.293113561E0,1.812542931E-1
3.802067083E-1,-5.411191705E0,-8.178812774E0,2.492391021E-1
3.902507083E-1,-5.560431944E0,-8.078807845E0,2.248860519E-1
4.002947083E-1,-5.698861851E0,-7.984085875E0,1.159729718E-1
4.103387084E-1,-5.830587341E0,-7.889256316E0,-5.544111182E-4
4.203837084E-1,-5.957775975E0,-7.793294152E0,-7.474052202E-2
4.304277084E-1,-6.080203807E0,-7.697639551E0,-1.164990567E-1
4.404717084E-1,-6.200171716E0,-7.601287962E0,-1.199719648E-1
4.505157084E-1,-6.317051709E0,-7.505074368E0,-6.933240943E-2
4.605597084E-1,-6.423523659E0,-7.414399840E0,3.322199498E-2
4.706037084E-1,-6.512207209E0,-7.334805202E0,1.670153546E-1
4.806487084E-1,-6.583272514E0,-7.266564102E0,3.060633305E-1
4.906927084E-1,-6.641351738E0,-7.207078038E0,4.319458436E-1
5.007367083E-1,-6.691288129E0,-7.153626301E0,5.369994051E-1
5.107807083E-1,-6.735619379E0,-7.104976298E0,6.219700831E-1
5.208247083E-1,-6.775938855E0,-7.060202998E0,6.901203317E-1
5.308687083E-1,-6.812445361E0,-7.019601102E0,7.428856789E-1
5.409127083E-1,-6.845829454E0,-6.982884681E0,7.810625153E-1
5.509577083E-1,-6.878806581E0,-6.947680349E0,8.049051218E-1
5.610017083E-1,-6.914153000E0,-6.911879602E0,8.102697229E-1
5.710457084E-1,-6.951813161E0,-6.876013951E0,7.929997522E-1
5.810897084E-1,-6.988349488E0,-6.843516880E0,7.518861517E-1
5.911337084E-1,-7.019117537E0,-6.818171539E0,6.932634294E-1
6.011777084E-1,-7.040906017E0,-6.801564862E0,6.328125751E-1
6.112227084E-1,-7.052349603E0,-6.794056453E0,5.841572358E-1
6.212667084E-1,-7.053070564E0,-6.795752145E0,5.550248360E-1
6.313107084E-1,-7.042930908E0,-6.807041949E0,5.453458303E-1
6.413547084E-1,-7.022059856E0,-6.828094264E0,5.512749801E-1
6.513987083E-1,-6.990801226E0,-6.858593341E0,5.696449948E-1
6.614427083E-1,-6.947640588E0,-6.899817966E0,5.990948619E-1
6.714877083E-1,-6.891599119E0,-6.952194400E0,6.394941153E-1
6.815317083E-1,-6.824882389E0,-7.012797282E0,6.911846711E-1
6.915757083E-1,-6.753510690E0,-7.075578251E0,7.499363246E-1
7.016197083E-1,-6.681671214E0,-7.136938933E0,8.096252867E-1
7.116637083E-1,-6.608568154E0,-7.198473276E0,8.630958811E-1
7.217077084E-1,-6.534273432E0,-7.261268279E0,9.018611667E-1
7.317527083E-1,-6.460655233E0,-7.324636309E0,9.196478851E-1
7.417967084E-1,-6.389697517E0,-7.387184560E0,9.150704654E-1
7.518407084E-1,-6.324961238E0,-7.445885342E0,8.886919215E-1
7.618847084E-1,-6.269441341E0,-7.498025549E0,8.425087850E-1
7.719287084E-1,-6.224616001E0,-7.542078472E0,7.792968024E-1
7.819727084E-1,-6.188301283E0,-7.579500067E0,7.015972466E-1
7.920177084E-1,-6.152309917E0,-7.616567321E0,6.108063232E-1
8.020617084E-1,-6.114539827E0,-7.654425704E0,5.082117717E-1
8.121057083E-1,-6.076625311E0,-7.691123999E0,3.966814322E-1
8.221497083E-1,-6.036706955E0,-7.727514145E0,2.824838121E-1
8.321937083E-1,-5.993655660E0,-7.764149875E0,1.737658920E-1
8.422377083E-1,-5.956010116E0,-7.794746600E0,6.295014613E-2
8.522827083E-1,-5.935154852E0,-7.810582615E0,-6.945062825E-2
8.623267083E-1,-5.929881248E0,-7.811812284E0,-2.195091351E-1
8.723707083E-1,-5.932654583E0,-7.805399058E0,-3.398061137E-1
8.824147083E-1,-5.941482709E0,-7.796905977E0,-3.783334907E-1
8.924587084E-1,-5.950403221E0,-7.792685457E0,-3.206802733E-1
9.025027084E-1,-5.951268024E0,-7.796010184E0,-2.018398178E-1
9.125467084E-1,-5.938924552E0,-7.807053820E0,-1.233395681E-1
9.225917084E-1,-5.913625404E0,-7.825466702E0,-1.649103752E-1
9.326357084E-1,-5.864773672E0,-7.859153096E0,-2.725026150E-1
9.426797084E-1,-5.778631906E0,-7.919095243E0,-3.625472144E-1
9.527237084E-1,-5.666655972E0,-7.997782393E0,-4.007589515E-1
9.627677083E-1,-5.550984598E0,-8.078934730E0,-3.917668840E-1
9.728117083E-1,-5.446222959E0,-8.152099770E0,-3.435643750E-1
9.828567083E-1,-5.358129392E0,-8.213280941E0,-2.618990731E-1
9.929007083E-1,-5.285621579E0,-8.262813874E0,-1.556265134E-1
1.002944708E0,-5.222466388E0,-8.304252507E0,-3.638245615E-2
1.012988708E0,-5.159050410E0,-8.343469782E0,8.260240040E-2
1.023032708E0,-5.089627588E0,-8.384287441E0,1.884666875E-1
1.033076708E0,-5.013834225E0,-8.427571455E0,2.713214592E-1
1.043121708E0,-4.934694500E0,-8.472328382E0,3.233161616E-1
1.053165708E0,-4.857559493E0,-8.516108825E0,3.407397313E-1
1.063209708E0,-4.786821924E0,-8.556571557E0,3.279224519E-1
1.073253708E0,-4.724016689E0,-8.592680452E0,2.926317828E-1
1.083297708E0,-4.667538433E0,-8.625069349E0,2.416562501E-1
1.093341958E0,-4.614466180E0,-8.655040423E0,1.818786296E-1
1.103386958E0,-4.562257268E0,-8.683753175E0,1.196568455E-1
1.113430958E0,-4.509822947E0,-8.711713976E0,6.046326136E-2
1.123474958E0,-4.457169062E0,-8.738974864E0,8.101815213E-3
1.133518958E0,-4.405875240E0,-8.764879784E0,-3.534260879E-2
1.143562958E0,-4.357868722E0,-8.788640530E0,-6.996037755E-2
1.153606958E0,-4.313509113E0,-8.810240144E0,-9.697481993E-2
1.163651958E0,-4.272095624E0,-8.830128863E0,-1.188015441E-1
1.173695958E0,-4.232007698E0,-8.849131145E0,-1.381779651E-1
1.183739958E0,-4.192226166E0,-8.867717105E0,-1.578950503E-1
1.193783958E0,-4.153678689E0,-8.885407271E0,-1.805607220E-1
