"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.573666681E-3,8.466726542E-2,2.490163893E-1,-9.672463685E-2
1.861766668E-2,2.853262238E-2,2.607710660E-1,-1.213543564E-1
2.866166667E-2,-3.085034341E-2,2.587120235E-1,-1.451121271E-1
3.870566667E-2,-9.080235660E-2,2.338668704E-1,-1.719631851E-1
4.875066667E-2,-1.461715102E-1,1.919568777E-1,-1.987419426E-1
5.879466666E-2,-1.980088651E-1,1.367444992E-1,-2.273621410E-1
6.883866666E-2,-2.740963995E-1,1.064403579E-1,-2.566554844E-1
7.888266665E-2,-3.863545060E-1,1.330424100E-1,-2.825185061E-1
8.892570838E-2,-5.046294928E-1,1.506100297E-1,-3.008626699E-1
9.896970837E-2,-5.924797654E-1,9.713774920E-2,-3.112758696E-1
1.090147084E-1,-6.390189528E-1,-3.197444603E-2,-3.152220845E-1
1.190587084E-1,-6.474484205E-1,-1.933066100E-1,-3.158202469E-1
1.291027084E-1,-6.348322034E-1,-3.196432292E-1,-3.148270845E-1
1.391467084E-1,-6.172081828E-1,-3.652602434E-1,-3.097817302E-1
1.491907084E-1,-5.947667360E-1,-3.301618695E-1,-2.982311845E-1
1.592347083E-1,-5.599645972E-1,-2.297740132E-1,-2.796548605E-1
1.692797084E-1,-5.100695491E-1,-7.616718858E-2,-2.513760626E-1
1.793237083E-1,-4.401744008E-1,1.167761683E-1,-2.131828815E-1
1.893677083E-1,-3.282870352E-1,3.113917410E-1,-1.520053595E-1
1.994117083E-1,-5.220511928E-2,3.599451482E-1,-3.546570241E-2
2.094557083E-1,4.196434021E-1,3.531299233E-1,1.347306669E-1
2.194997083E-1,9.554927349E-1,4.218432009E-1,2.810697556E-1
2.295447083E-1,1.420595050E0,6.203761697E-1,4.057642817E-1
2.395887083E-1,1.750990510E0,9.309889078E-1,5.296569467E-1
2.496327083E-1,1.921083570E0,1.257291079E0,6.554108262E-1
2.596767084E-1,1.922522187E0,1.340677619E0,7.806054950E-1
2.697207084E-1,1.749831676E0,9.570178986E-1,8.677013516E-1
2.797647084E-1,1.462170839E0,2.188175619E-1,8.826272488E-1
2.898087084E-1,1.139507055E0,-4.751505852E-1,8.011237383E-1
2.998537084E-1,8.793590665E-1,-6.421906948E-1,7.100404501E-1
3.098977084E-1,7.169350386E-1,-6.281682849E-2,7.614114881E-1
3.199417084E-1,9.244834185E-1,1.483665109E0,1.098561049E0
3.299857083E-1,1.872564793E0,3.284040928E0,1.591671228E0
3.400297083E-1,2.599443674E0,3.849113464E0,1.942056656E0
3.500737083E-1,2.952123880E0,3.598905563E0,2.233806372E0
3.601187083E-1,2.983474493E0,3.083608866E0,2.347795248E0
3.701627083E-1,2.719535828E0,2.569807291E0,2.199120760E0
3.802067083E-1,2.124868393E0,2.610834360E0,1.859962702E0
3.902507083E-1,1.178532600E0,3.121864557E0,1.660667419E0
4.002947083E-1,6.427312493E-1,3.138737679E0,1.636213422E0
4.103387084E-1,7.980345488E-1,2.742433548E0,1.632182240E0
4.203837084E-1,8.457760215E-1,2.030208588E0,1.609869242E0
4.304277084E-1,5.531644821E-1,1.135447860E0,1.580337763E0
4.404717084E-1,2.258132100E-1,-8.012535423E-2,1.555468440E0
4.505157084E-1,-1.740813442E-2,-1.264902830E0,1.494433999E0
4.605597084E-1,-1.354386359E-1,-2.068329096E0,1.326758146E0
4.706037084E-1,-1.546568722E-1,-2.326232195E0,1.127312183E0
4.806487084E-1,-1.546411514E-1,-2.211513042E0,9.625456333E-1
4.906927084E-1,-1.773481071E-1,-1.927307963E0,8.511850238E-1
5.007367083E-1,-1.812661439E-1,-1.599435210E0,7.700622082E-1
5.107807083E-1,-1.487289518E-1,-1.278787851E0,7.019234300E-1
5.208247083E-1,-1.018930003E-1,-9.939857125E-1,6.393554211E-1
5.308687083E-1,-7.107996941E-2,-7.320104837E-1,5.676958561E-1
