"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.573666681E-3,-3.332748413E-1,3.524258423E1,-2.406579590E1
1.861766668E-2,-3.452301025E-1,3.530035400E1,-2.399499512E1
2.866166667E-2,-2.960433960E-1,3.534878540E1,-2.386047363E1
3.870566667E-2,-3.501205444E-1,3.523712158E1,-2.376049805E1
4.875066667E-2,-5.745391846E-1,3.533572388E1,-2.375488281E1
5.879466666E-2,-3.813095093E-1,3.528921509E1,-2.383245850E1
6.883866666E-2,-4.993438721E-1,3.554589844E1,-2.379510498E1
7.888266665E-2,-4.993438721E-1,3.554589844E1,-2.379510498E1
8.892570838E-2,-6.533279419E-1,3.568661499E1,-2.356018066E1
9.896970837E-2,-7.032165527E-1,3.572647095E1,-2.319940186E1
1.090147084E-1,-8.262481689E-1,3.573272705E1,-2.308514404E1
1.190587084E-1,-9.571151733E-1,3.579812622E1,-2.282366943E1
1.291027084E-1,-9.987869263E-1,3.599209595E1,-2.255627441E1
1.391467084E-1,-1.178222656E0,3.610934448E1,-2.223077393E1
1.491907084E-1,-1.244911194E0,3.618209839E1,-2.193353271E1
1.592347083E-1,-1.477607727E0,3.636590576E1,-2.183325195E1
1.692797084E-1,-1.619087219E0,3.645086670E1,-2.168524170E1
1.793237083E-1,-1.830406189E0,3.665847778E1,-2.157788086E1
1.893677083E-1,-1.901832581E0,3.650976562E1,-2.127050781E1
1.994117083E-1,-1.889472961E0,3.653613281E1,-2.129840088E1
2.094557083E-1,-1.757484436E0,3.660015869E1,-2.144921875E1
2.194997083E-1,-1.711807251E0,3.663253784E1,-2.135797119E1
2.295447083E-1,-1.534194946E0,3.645541382E1,-2.165570068E1
2.395887083E-1,-1.273353577E0,3.610433960E1,-2.218927002E1
2.496327083E-1,-7.920761108E-1,3.590182495E1,-2.273474121E1
2.596767084E-1,-2.384948730E-1,3.526611328E1,-2.338140869E1
2.697207084E-1,3.718643188E-1,3.476000977E1,-2.401202393E1
2.797647084E-1,9.892501831E-1,3.424310303E1,-2.451428223E1
2.898087084E-1,1.276649475E0,3.382128906E1,-2.507482910E1
2.998537084E-1,1.345092773E0,3.350756836E1,-2.544104004E1
3.098977084E-1,1.377891541E0,3.319564819E1,-2.569805908E1
3.199417084E-1,1.595718384E0,3.321911621E1,-2.610516357E1
3.299857083E-1,2.404945374E0,3.285247803E1,-2.662243652E1
3.400297083E-1,3.775939941E0,3.245404053E1,-2.693420410E1
3.500737083E-1,5.469268799E0,3.174008179E1,-2.746551514E1
3.601187083E-1,7.169303894E0,3.062765503E1,-2.806762695E1
3.701627083E-1,8.775939941E0,2.971203613E1,-2.868969727E1
3.802067083E-1,1.015910339E1,2.879788208E1,-2.908972168E1
3.902507083E-1,1.150433350E1,2.801260376E1,-2.925915527E1
4.002947083E-1,1.280913544E1,2.752725220E1,-2.923376465E1
4.103387084E-1,1.416862488E1,2.708279419E1,-2.897442627E1
4.203837084E-1,1.531687164E1,2.653820801E1,-2.880596924E1
4.304277084E-1,1.631800842E1,2.613989258E1,-2.874145508E1
4.404717084E-1,1.680338287E1,2.574917603E1,-2.864904785E1
4.505157084E-1,1.686255646E1,2.537634277E1,-2.880206299E1
4.605597084E-1,1.683278656E1,2.527059937E1,-2.908319092E1
4.706037084E-1,1.652477264E1,2.498858643E1,-2.947088623E1
4.806487084E-1,1.611677551E1,2.469409180E1,-2.955944824E1
4.906927084E-1,1.568096161E1,2.478210449E1,-2.984802246E1
5.007367083E-1,1.511661530E1,2.472409058E1,-3.012658691E1
5.107807083E-1,1.495854950E1,2.446676636E1,-3.032336426E1
5.208247083E-1,1.468419647E1,2.451788330E1,-3.056024170E1
5.308687083E-1,1.449156952E1,2.443594360E1,-3.065203857E1
5.409127083E-1,1.433917999E1,2.422741699E1,-3.059484863E1
5.509577083E-1,1.435872650E1,2.420281982E1,-3.072271729E1
5.610017083E-1,1.423989105E1,2.414898682E1,-3.077081299E1
5.710457084E-1,1.447857666E1,2.414736938E1,-3.051153564E1
5.810897084E-1,1.472722626E1,2.401391602E1,-3.040753174E1
5.911337084E-1,1.502819061E1,2.401791382E1,-3.028625488E1
6.011777084E-1,1.522138977E1,2.402453613E1,-3.032177734E1
6.112227084E-1,1.525049591E1,2.395660400E1,-3.024438477E1
6.212667084E-1,1.533229065E1,2.398959351E1,-3.020574951E1
6.313107084E-1,1.545925140E1,2.403393555E1,-3.000817871E1
6.413547084E-1,1.528710938E1,2.403482056E1,-2.987707520E1
6.513987083E-1,1.490536499E1,2.420046997E1,-3.006958008E1
