"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.628999995E-3,7.490272820E-2,1.913660765E-1,-7.696637511E-2
1.267299999E-2,3.197240829E-2,1.949812174E-1,-9.803639352E-2
2.271699999E-2,-3.130945843E-4,1.964430362E-1,-1.179003790E-1
3.276199999E-2,-2.512256429E-2,1.915092915E-1,-1.276565641E-1
4.280599998E-2,-3.306730464E-2,1.776440889E-1,-1.301378310E-1
5.284999998E-2,-3.198171034E-2,1.447202563E-1,-1.238077730E-1
6.289399997E-2,-2.323855460E-2,9.550823271E-2,-1.169890165E-1
7.293899998E-2,-1.532346848E-2,4.150830954E-2,-1.138079017E-1
8.298299997E-2,3.732247045E-3,-2.312741056E-2,-1.029637754E-1
9.302699997E-2,6.414631009E-2,1.805888265E-1,-8.301363140E-2
1.030710000E-1,4.121327698E-1,1.315205932E0,2.781008929E-2
1.131160000E-1,1.080227733E0,2.253862858E0,3.259509802E-1
1.231600000E-1,1.700023770E0,2.631921053E0,6.088386178E-1
1.332040000E-1,2.089293242E0,2.647289991E0,8.094983697E-1
1.432480000E-1,2.183250904E0,2.417742491E0,9.333372116E-1
1.532930000E-1,1.994426966E0,1.969940186E0,9.635735750E-1
1.633370000E-1,1.588220119E0,1.449882388E0,8.800717592E-1
1.733810000E-1,1.128146768E0,1.042967677E0,7.213932276E-1
1.834250000E-1,7.881242633E-1,8.490312099E-1,5.767521858E-1
1.934700000E-1,6.366817951E-1,8.857118487E-1,5.650879741E-1
2.035140000E-1,6.142577529E-1,9.977326393E-1,7.310750484E-1
2.135580000E-1,6.434644461E-1,1.001859188E0,1.121777773E0
2.236030000E-1,9.107400775E-1,1.446031094E0,1.625015020E0
2.336470000E-1,1.410935163E0,2.103708267E0,2.119894505E0
2.436910000E-1,1.854678512E0,2.561381578E0,2.573084831E0
2.537350000E-1,2.022778749E0,2.793771267E0,2.876744270E0
2.637800000E-1,1.811652541E0,2.724428892E0,2.932970285E0
2.738240000E-1,1.336468101E0,2.514815807E0,2.797110558E0
2.838680000E-1,8.150427341E-1,2.316447973E0,2.624736309E0
2.939120000E-1,4.454866052E-1,2.201367140E0,2.471434355E0
3.039570000E-1,2.895281613E-1,2.224797726E0,2.318042994E0
3.140010000E-1,2.634224594E-1,2.303034067E0,2.157262087E0
3.240450000E-1,2.628237605E-1,2.258655310E0,2.001016855E0
3.340890000E-1,2.694154978E-1,2.053488970E0,1.800790191E0
3.441340000E-1,2.540029883E-1,1.783767939E0,1.560823679E0
3.541780000E-1,2.025995851E-1,1.507620573E0,1.409986973E0
3.642220000E-1,1.202162877E-1,1.286190271E0,1.392625809E0
3.742660000E-1,-1.908689179E-2,1.056252718E0,1.453676939E0
3.843110000E-1,-1.812441051E-1,6.392155290E-1,1.511728048E0
3.943550000E-1,-2.997817993E-1,6.271049380E-3,1.490509629E0
4.043990000E-1,-3.399907351E-1,-6.786803603E-1,1.351167798E0
4.144430000E-1,-3.007020652E-1,-1.246030688E0,1.144871354E0
4.244880000E-1,-2.488846630E-1,-1.666475654E0,9.473255277E-1
4.345320000E-1,-1.879747659E-1,-1.957021594E0,7.617133856E-1
4.445760000E-1,-1.073291823E-1,-2.106524229E0,5.989180803E-1
4.546200000E-1,-3.000498936E-2,-2.096099377E0,4.793672860E-1
4.646650000E-1,3.116169572E-2,-1.918911338E0,3.980346024E-1
4.747090000E-1,6.446638703E-2,-1.593249321E0,3.504284918E-1
