"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.628999995E-3,-7.359626770E0,3.480957031E1,-2.187506104E1
1.267299999E-2,-7.429489136E0,3.478295898E1,-2.184246826E1
2.271699999E-2,-7.411895752E0,3.479187012E1,-2.184667969E1
3.276199999E-2,-7.320968628E0,3.483102417E1,-2.189166260E1
4.280599998E-2,-7.250099182E0,3.493041992E1,-2.191845703E1
5.284999998E-2,-7.324844360E0,3.487322998E1,-2.183264160E1
6.289399997E-2,-7.354988098E0,3.483111572E1,-2.170123291E1
7.293899998E-2,-7.377487183E0,3.479632568E1,-2.166925049E1
8.298299997E-2,-7.413993835E0,3.492504883E1,-2.176763916E1
9.302699997E-2,-7.461151123E0,3.497393799E1,-2.178442383E1
1.030710000E-1,-7.461151123E0,3.497393799E1,-2.178442383E1
1.131160000E-1,-7.183891296E0,3.490646362E1,-2.199462891E1
1.231600000E-1,-6.540885925E0,3.469894409E1,-2.257727051E1
1.332040000E-1,-5.772369385E0,3.430621338E1,-2.320251465E1
1.432480000E-1,-4.916244507E0,3.374291992E1,-2.386340332E1
1.532930000E-1,-3.991394043E0,3.333309937E1,-2.469848633E1
1.633370000E-1,-3.204673767E0,3.291415405E1,-2.540588379E1
1.733810000E-1,-2.513107300E0,3.257858276E1,-2.595739746E1
1.834250000E-1,-1.842163086E0,3.223620605E1,-2.636700439E1
1.934700000E-1,-1.407341003E0,3.224029541E1,-2.667077637E1
2.035140000E-1,-1.014862061E0,3.203146362E1,-2.699444580E1
2.135580000E-1,-5.825195312E-1,3.174514771E1,-2.730322266E1
2.236030000E-1,6.137084961E-2,3.151916504E1,-2.746234131E1
2.336470000E-1,1.049285889E0,3.132421875E1,-2.798553467E1
2.436910000E-1,2.284057617E0,3.100888062E1,-2.829425049E1
2.537350000E-1,3.828910828E0,3.040621948E1,-2.877600098E1
2.637800000E-1,5.362876892E0,2.966314697E1,-2.936828613E1
2.738240000E-1,7.049057007E0,2.901095581E1,-2.931451416E1
2.838680000E-1,8.549011230E0,2.842855835E1,-2.944042969E1
