"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
4.974333337E-3,-4.089996664E0,-8.885537079E0,-7.451478204E-1
1.501933334E-2,-4.088054219E0,-8.886697167E0,-7.419705165E-1
2.506333333E-2,-4.086666674E0,-8.887312294E0,-7.422341529E-1
3.510733333E-2,-4.086664043E0,-8.887214060E0,-7.434397756E-1
4.515133332E-2,-4.087717711E0,-8.886734589E0,-7.433730443E-1
5.519533332E-2,-4.088766994E0,-8.886158053E0,-7.444963675E-1
6.523933331E-2,-4.089004099E0,-8.885438846E0,-7.517422371E-1
7.528333331E-2,-4.089338560E0,-8.883891088E0,-7.680546532E-1
8.532733331E-2,-4.090629625E0,-8.881220664E0,-7.916980889E-1
9.537133330E-2,-4.093201523E0,-8.877686023E0,-8.176223774E-1
1.054153333E-1,-4.097243703E0,-8.873663723E0,-8.407153708E-1
1.154593333E-1,-4.102993270E0,-8.869367189E0,-8.578295133E-1
1.255043333E-1,-4.109848838E0,-8.865178828E0,-8.682401153E-1
1.355483333E-1,-4.116701775E0,-8.861389832E0,-8.744182833E-1
1.455923333E-1,-4.122873511E0,-8.857868639E0,-8.810060488E-1
1.556363333E-1,-4.128710201E0,-8.854147471E0,-8.910352662E-1
1.656803333E-1,-4.135314631E0,-8.850136866E0,-9.001860856E-1
1.757243333E-1,-4.142500859E0,-8.846716830E0,-9.007591859E-1
1.857683333E-1,-4.148610030E0,-8.844974944E0,-8.896958153E-1
1.958123333E-1,-4.152713314E0,-8.844689600E0,-8.732497173E-1
2.058563333E-1,-4.155507698E0,-8.844514183E0,-8.616573199E-1
2.159003333E-1,-4.158089829E0,-8.843360528E0,-8.610283788E-1
2.259453333E-1,-4.160729847E0,-8.841193550E0,-8.704659310E-1
2.359893333E-1,-4.163107617E0,-8.838702051E0,-8.842970811E-1
2.460333333E-1,-4.165001530E0,-8.836459059E0,-8.976866933E-1
2.560773333E-1,-4.166018946E0,-8.834605492E0,-9.111069303E-1
2.661213333E-1,-4.165296814E0,-8.832968271E0,-9.300899159E-1
2.761653333E-1,-4.162674631E0,-8.831178439E0,-9.584035959E-1
2.862093333E-1,-4.158792079E0,-8.829052976E0,-9.941685290E-1
2.962533333E-1,-4.154886432E0,-8.826620534E0,-1.031400602E0
3.062973333E-1,-4.152011356E0,-8.824112663E0,-1.063916529E0
3.163413333E-1,-4.149720417E0,-8.822155600E0,-1.088802645E0
3.263863333E-1,-4.146864929E0,-8.821046968E0,-1.108490293E0
3.364303333E-1,-4.143257489E0,-8.820384479E0,-1.127107170E0
3.464743333E-1,-4.139747113E0,-8.819809697E0,-1.144369831E0
3.565183333E-1,-4.137159136E0,-8.819279355E0,-1.157713104E0
3.665623333E-1,-4.135016716E0,-8.819291634E0,-1.165272312E0
3.766063333E-1,-4.132128191E0,-8.820306711E0,-1.167822867E0
3.866503333E-1,-4.127921704E0,-8.822304704E0,-1.167613537E0
3.966943333E-1,-4.121754354E0,-8.825370984E0,-1.166227162E0
4.067383333E-1,-4.114144787E0,-8.829306745E0,-1.163294929E0
4.167823333E-1,-4.105737661E0,-8.834064040E0,-1.156866647E0
4.268263333E-1,-4.096829720E0,-8.839671519E0,-1.145556524E0
4.368713333E-1,-4.087291157E0,-8.846180640E0,-1.129276121E0
4.469153333E-1,-4.077542971E0,-8.853110175E0,-1.110037685E0
4.569593333E-1,-4.067693044E0,-8.859960773E0,-1.091348522E0
4.670033333E-1,-4.056854061E0,-8.866746467E0,-1.076494109E0
4.770473333E-1,-4.044129058E0,-8.873623377E0,-1.067686375E0
4.870913333E-1,-4.029896642E0,-8.880466958E0,-1.064597584E0
4.971353333E-1,-4.016129081E0,-8.886614136E0,-1.065316353E0
5.071793333E-1,-4.003316954E0,-8.892085961E0,-1.067878237E0
5.172233333E-1,-3.991052127E0,-8.897408096E0,-1.069459470E0
5.272673333E-1,-3.978560135E0,-8.903252388E0,-1.067367994E0
5.373123333E-1,-3.965365893E0,-8.910041006E0,-1.059777505E0
5.473563333E-1,-3.951982786E0,-8.917378092E0,-1.048010422E0
5.574003333E-1,-3.939022140E0,-8.924452053E0,-1.036512749E0
5.674443333E-1,-3.926914018E0,-8.930439602E0,-1.030861854E0
5.774883333E-1,-3.917386858E0,-8.934176558E0,-1.034715169E0
5.875323333E-1,-3.911323295E0,-8.935210930E0,-1.048629057E0
5.975763333E-1,-3.907812919E0,-8.934280053E0,-1.069468680E0
6.076203333E-1,-3.905071452E0,-8.932560387E0,-1.093561109E0
6.176643333E-1,-3.901883842E0,-8.930752428E0,-1.119405583E0
6.277083333E-1,-3.897436450E0,-8.929209348E0,-1.146868420E0
6.377533333E-1,-3.891014453E0,-8.928182577E0,-1.176284007E0
6.477973333E-1,-3.882537452E0,-8.927670361E0,-1.207770094E0
6.578413333E-1,-3.872403935E0,-8.927375076E0,-1.242009416E0
6.678853333E-1,-3.861760249E0,-8.926572838E0,-1.280330020E0
6.779293333E-1,-3.850839989E0,-8.924882408E0,-1.324238225E0
6.879733333E-1,-3.836736212E0,-8.923187301E0,-1.375607037E0
6.980173333E-1,-3.817926012E0,-8.921819052E0,-1.435503576E0
7.080613333E-1,-3.793301925E0,-8.920889345E0,-1.504888829E0
7.181053333E-1,-3.763115674E0,-8.920004661E0,-1.583855915E0
7.281493333E-1,-3.728605992E0,-8.918480877E0,-1.671612682E0
7.381943333E-1,-3.689937770E0,-8.916139652E0,-1.767176797E0
7.482383333E-1,-3.647693976E0,-8.912292768E0,-1.871230485E0
7.582823333E-1,-3.602586800E0,-8.906249671E0,-1.983978397E0
7.683263333E-1,-3.555990631E0,-8.898071170E0,-2.101284068E0
7.783703333E-1,-3.509330435E0,-8.888105176E0,-2.218621460E0
7.884143333E-1,-3.463441779E0,-8.876556925E0,-2.333965829E0
7.984583333E-1,-3.418429036E0,-8.863153937E0,-2.448457966E0
8.085023333E-1,-3.373095573E0,-8.847969303E0,-2.563547396E0
8.185463333E-1,-3.325878721E0,-8.831804091E0,-2.678411270E0
8.285903333E-1,-3.276074185E0,-8.816066895E0,-2.789331197E0
8.386343333E-1,-3.223031753E0,-8.803089584E0,-2.890288930E0
8.486793333E-1,-3.166984144E0,-8.795708644E0,-2.973526091E0
8.587233333E-1,-3.108923632E0,-8.795921482E0,-3.033557408E0
8.687673333E-1,-3.049485223E0,-8.803584843E0,-3.071415498E0
8.788113333E-1,-2.989929870E0,-8.817389535E0,-3.090317792E0
8.888553333E-1,-2.932321055E0,-8.836032797E0,-3.092265207E0
8.988998333E-1,-2.879126010E0,-8.858154568E0,-3.078937064E0
9.089438333E-1,-2.831757424E0,-8.882373151E0,-3.052985074E0
9.189878333E-1,-2.790724296E0,-8.906802818E0,-3.019409485E0
9.290318333E-1,-2.753982439E0,-8.930089939E0,-2.984158083E0
9.390758333E-1,-2.718751211E0,-8.951460927E0,-2.952266492E0
9.491208333E-1,-2.685746017E0,-8.969971458E0,-2.926173292E0
9.591648333E-1,-2.655301904E0,-8.985718594E0,-2.905571797E0
9.692088333E-1,-2.629006391E0,-8.999500481E0,-2.886764813E0
9.792528333E-1,-2.610646718E0,-9.012270800E0,-2.863490556E0
9.892968333E-1,-2.603959258E0,-9.024756945E0,-2.830066994E0
9.993408333E-1,-2.608775024E0,-9.036672401E0,-2.787284086E0
1.009384833E0,-2.619967180E0,-9.046209794E0,-2.745534674E0
1.019428833E0,-2.631800775E0,-9.050598714E0,-2.719628585E0
1.029472833E0,-2.647065224E0,-9.048414195E0,-2.712073398E0
1.039516833E0,-2.707836798E0,-9.058935090E0,-2.615226550E0
1.049561833E0,-2.824446943E0,-9.090594839E0,-2.370588549E0
1.059605833E0,-2.951350233E0,-9.115711554E0,-2.104629845E0
1.069649833E0,-3.082780731E0,-9.124763044E0,-1.863137061E0
1.079693833E0,-3.227339689E0,-9.119800512E0,-1.627767774E0
1.089737833E0,-3.385567684E0,-9.102533684E0,-1.384883645E0
1.099781833E0,-3.552226194E0,-9.073261937E0,-1.137423339E0
1.109825833E0,-3.714454561E0,-9.035849698E0,-8.901639580E-1
1.119869833E0,-3.854904096E0,-8.997857999E0,-6.437180708E-1
1.129913833E0,-3.965993592E0,-8.963730140E0,-3.981672462E-1
1.139957833E0,-4.051435153E0,-8.932844562E0,-1.619997226E-1
1.150002833E0,-4.129321235E0,-8.898458256E0,4.723788739E-2
1.160046833E0,-4.225740067E0,-8.850585932E0,2.152933840E-1
1.170090833E0,-4.358802230E0,-8.782068844E0,3.349416323E-1
1.180134833E0,-4.524454435E0,-8.694014454E0,4.237090536E-1
1.190178833E0,-4.711206316E0,-8.586710445E0,5.559102507E-1
1.200222833E0,-4.900982963E0,-8.464730510E0,7.515345879E-1
1.210266833E0,-5.077189976E0,-8.340390054E0,9.466500346E-1
1.220310833E0,-5.231784511E0,-8.225655404E0,1.096866028E0
1.230354833E0,-5.365804448E0,-8.123678793E0,1.204190794E0
1.240398833E0,-5.483508899E0,-8.031333717E0,1.290317650E0
1.250443833E0,-5.590131122E0,-7.943032574E0,1.376509263E0
1.260487833E0,-5.691652234E0,-7.852868509E0,1.474336689E0
1.270531833E0,-5.792199785E0,-7.757501006E0,1.583568232E0
1.280575833E0,-5.895694917E0,-7.655542522E0,1.693975066E0
1.290619833E0,-5.999725070E0,-7.550611314E0,1.796571481E0
1.300663833E0,-6.099956287E0,-7.447346562E0,1.887763633E0
1.310707833E0,-6.195690410E0,-7.347223518E0,1.966677509E0
1.320751833E0,-6.285407163E0,-7.251771816E0,2.035079554E0
1.330795833E0,-6.369456210E0,-7.161086764E0,2.094033521E0
1.340839833E0,-6.446510818E0,-7.076715535E0,2.144458008E0
1.350884833E0,-6.514125096E0,-6.999980185E0,2.191474885E0
1.360928833E0,-6.569837367E0,-6.931861877E0,2.241125201E0
1.370972833E0,-6.612959998E0,-6.873203194E0,2.294328285E0
1.381016833E0,-6.643830957E0,-6.825205740E0,2.347805019E0
1.391060833E0,-6.662653145E0,-6.790020704E0,2.395996309E0
1.401104833E0,-6.668748867E0,-6.771014915E0,2.432536582E0
1.411148833E0,-6.664688560E0,-6.768235148E0,2.451333773E0
1.421192833E0,-6.651654532E0,-6.780358180E0,2.453226809E0
1.431236833E0,-6.626410933E0,-6.808098541E0,2.444706392E0
1.441280833E0,-6.585372249E0,-6.851736896E0,2.433654424E0
1.451325833E0,-6.527495924E0,-6.910310794E0,2.423943076E0
1.461369833E0,-6.453071394E0,-6.982322763E0,2.416844556E0
1.471413833E0,-6.359611253E0,-7.066326202E0,2.420429776E0
1.481457833E0,-6.247944052E0,-7.157536334E0,2.443144309E0
1.491501833E0,-6.125726135E0,-7.247447800E0,2.487181005E0
1.501545833E0,-6.001786214E0,-7.328833441E0,2.550073949E0
1.511589833E0,-5.884881662E0,-7.403505893E0,2.606221253E0
1.521633833E0,-5.786529740E0,-7.480924782E0,2.605366682E0
1.531677833E0,-5.725051530E0,-7.561701143E0,2.506106396E0
1.541721833E0,-5.717089376E0,-7.630960827E0,2.306386705E0
1.551766833E0,-5.748431622E0,-7.677180728E0,2.062160787E0
1.561810833E0,-5.789867916E0,-7.703951036E0,1.833757288E0
1.571854833E0,-5.826045808E0,-7.719426277E0,1.644306185E0
1.581898833E0,-5.853155254E0,-7.730987391E0,1.486098509E0
1.591942833E0,-5.871590940E0,-7.745437616E0,1.329920695E0
1.601986833E0,-5.877522356E0,-7.771134959E0,1.140299658E0
1.612030833E0,-5.864515809E0,-7.810184419E0,9.190133160E-1
1.622074833E0,-5.835064554E0,-7.854782302E0,7.003744476E-1
1.632118833E0,-5.796929598E0,-7.897910196E0,5.047096915E-1
1.642163833E0,-5.764935388E0,-7.929069423E0,3.625791183E-1
1.652207833E0,-5.760215515E0,-7.935163976E0,2.986108714E-1
1.662251833E0,-5.785195990E0,-7.917139349E0,2.941377332E-1
1.672295833E0,-5.808367921E0,-7.897590938E0,3.563872824E-1
1.682339833E0,-5.795420431E0,-7.900312817E0,4.839993288E-1
1.692383833E0,-5.736943597E0,-7.931433452E0,6.449470825E-1
1.702427833E0,-5.654771506E0,-7.978471379E0,7.769490722E-1
1.712471833E0,-5.576555057E0,-8.030223915E0,8.084656376E-1
1.722515833E0,-5.508295830E0,-8.084364454E0,7.333494548E-1
1.732560833E0,-5.439091694E0,-8.142120327E0,5.985269876E-1
1.742604833E0,-5.358825796E0,-8.203995563E0,4.621038450E-1
1.752648833E0,-5.266275482E0,-8.268430710E0,3.680898632E-1
1.762692833E0,-5.168034073E0,-8.331637357E0,3.336745041E-1
1.772736833E0,-5.072319245E0,-8.389020177E0,3.633446650E-1
1.782780833E0,-4.985184622E0,-8.436725855E0,4.535418768E-1
1.792824833E0,-4.907937056E0,-8.473357492E0,5.919946610E-1
1.802868833E0,-4.836264226E0,-8.501218305E0,7.589017873E-1
1.812912833E0,-4.764039126E0,-8.524913562E0,9.305339389E-1
1.822956833E0,-4.688529937E0,-8.548519941E0,1.084715368E0
1.833001833E0,-4.611981990E0,-8.574018479E0,1.204969205E0
1.843045833E0,-4.538783329E0,-8.602128968E0,1.280199628E0
1.853089833E0,-4.472879069E0,-8.633080620E0,1.303600916E0
1.863133833E0,-4.417593352E0,-8.666103939E0,1.272629530E0
1.873177833E0,-4.375866160E0,-8.699010315E0,1.189582476E0
1.883221833E0,-4.348662281E0,-8.729145110E0,1.061733617E0
1.893265833E0,-4.334301812E0,-8.754531966E0,8.989369742E-1
1.903309792E0,-4.328760113E0,-8.774316605E0,7.136498930E-1
1.913353792E0,-4.326903915E0,-8.788859800E0,5.195810613E-1
1.923398792E0,-4.324256588E0,-8.799319299E0,3.299481466E-1
1.933442792E0,-4.315790697E0,-8.808285420E0,1.553848772E-1
1.943486792E0,-4.296603936E0,-8.819029679E0,2.287157246E-3
1.953530792E0,-4.264821687E0,-8.833546561E0,-1.259446397E-1
1.963574792E0,-4.220988328E0,-8.852484523E0,-2.300000815E-1
1.973618792E0,-4.166825861E0,-8.875529569E0,-3.140413446E-1
1.983662792E0,-4.104222939E0,-8.901872445E0,-3.848807643E-1
1.993706792E0,-4.035456175E0,-8.930226179E0,-4.497492265E-1
2.003750792E0,-3.962385275E0,-8.959329525E0,-5.157517197E-1
2.013794792E0,-3.885426854E0,-8.988441058E0,-5.894852553E-1
2.023839792E0,-3.805325847E0,-9.016540437E0,-6.764572160E-1
2.033883792E0,-3.723765082E0,-9.042224332E0,-7.796604992E-1
2.043927792E0,-3.641956980E0,-9.064349027E0,-8.999040306E-1
2.053971792E0,-3.561361006E0,-9.081764959E0,-1.036506756E0
2.064015792E0,-3.481475761E0,-9.093091600E0,-1.196294276E0
2.074059792E0,-3.389665120E0,-9.095584853E0,-1.420074674E0
2.084103792E0,-3.282172539E0,-9.084704939E0,-1.712184026E0
2.094147792E0,-3.169896058E0,-9.059567174E0,-2.027831345E0
2.104191792E0,-3.062361084E0,-9.023868168E0,-2.329783023E0
2.114236792E0,-2.984922022E0,-8.992486746E0,-2.541951874E0
2.124280792E0,-2.964457352E0,-8.992060484E0,-2.567284644E0
2.134324792E0,-2.934681283E0,-9.005759926E0,-2.553440191E0
2.144368792E0,-2.880484611E0,-9.022435600E0,-2.556283108E0
2.154412792E0,-2.835504612E0,-9.040780655E0,-2.541712139E0
2.164456792E0,-2.820387805E0,-9.059508702E0,-2.491344515E0
