"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.286749961E-3,-4.007167053E0,-8.979077911E0,-6.976991272E-1
1.133074996E-2,-4.015250244E0,-8.931476898E0,-6.876699829E-1
2.137474995E-2,-3.970942383E0,-8.868757324E0,-6.752458191E-1
3.141874995E-2,-3.952380981E0,-8.844657440E0,-6.529421997E-1
4.146275000E-2,-3.943399658E0,-8.866062927E0,-6.454577637E-1
5.150674999E-2,-3.950135651E0,-8.919202423E0,-6.649172974E-1
6.155045831E-2,-3.927532654E0,-8.944948883E0,-6.968009949E-1
7.159445831E-2,-3.897145844E0,-8.968150635E0,-7.108717346E-1
8.163845830E-2,-3.878883820E0,-8.956923981E0,-7.183561707E-1
9.168245830E-2,-3.843407593E0,-8.941056976E0,-7.123686218E-1
1.017264583E-1,-3.820355530E0,-8.941356354E0,-6.979985046E-1
1.117704583E-1,-3.788471832E0,-8.915011139E0,-6.554869080E-1
1.218144583E-1,-3.771107941E0,-8.866811371E0,-5.971083069E-1
1.318584583E-1,-3.754941559E0,-8.825197906E0,-5.525010681E-1
1.419024583E-1,-3.772155762E0,-8.900042267E0,-5.343887329E-1
1.519474583E-1,-3.861819305E0,-9.028475189E0,-5.257067871E-1
1.619914583E-1,-3.929777985E0,-9.068142700E0,-5.427713013E-1
1.720354583E-1,-3.891757050E0,-8.938512268E0,-5.541476440E-1
1.820794583E-1,-3.809278564E0,-8.730444946E0,-5.870791626E-1
1.921234583E-1,-3.752247162E0,-8.620423737E0,-5.794450378E-1
2.021674583E-1,-3.743864594E0,-8.609197083E0,-6.086343384E-1
2.122114583E-1,-3.779490509E0,-8.645870819E0,-6.033952332E-1
2.222554583E-1,-3.801644440E0,-8.692723389E0,-5.902226257E-1
2.322994583E-1,-3.822600861E0,-8.824000397E0,-6.090834045E-1
2.423434583E-1,-3.873794403E0,-8.955576782E0,-6.108796692E-1
2.523874583E-1,-3.900888062E0,-9.003776550E0,-6.414161682E-1
2.624314583E-1,-3.891158295E0,-8.940009155E0,-6.634204102E-1
2.724754583E-1,-3.871549072E0,-8.828640747E0,-6.716532898E-1
2.825194583E-1,-3.904330902E0,-8.778345337E0,-7.108717346E-1
2.925634583E-1,-3.986060944E0,-8.802894287E0,-8.069718933E-1
3.026084583E-1,-4.077221375E0,-8.842711487E0,-8.909472656E-1
3.126524583E-1,-4.171974335E0,-8.916058960E0,-9.641450500E-1
3.226964583E-1,-4.346960449E0,-9.043144684E0,-1.006207581E0
