"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.133074996E-2,-3.837646916E0,-9.006798391E0,-6.214300197E-1
2.137474995E-2,-3.836533314E0,-9.007222899E0,-6.221356324E-1
3.141874995E-2,-3.835364748E0,-9.007692431E0,-6.225529774E-1
4.146275000E-2,-3.834366920E0,-9.008093550E0,-6.228951126E-1
5.150674999E-2,-3.833551234E0,-9.008400528E0,-6.234565915E-1
6.155045831E-2,-3.832755720E0,-9.008685288E0,-6.242417995E-1
7.159445831E-2,-3.832100247E0,-9.008873568E0,-6.255504794E-1
8.163845830E-2,-3.831738889E0,-9.008913914E0,-6.271768094E-1
9.168245830E-2,-3.831613174E0,-9.008828545E0,-6.291728295E-1
1.017264583E-1,-3.831629839E0,-9.008671255E0,-6.313027509E-1
1.117704583E-1,-3.831721055E0,-9.008492914E0,-6.333038874E-1
1.218144583E-1,-3.832049376E0,-9.008199384E0,-6.354764204E-1
1.318584583E-1,-3.832744026E0,-9.007739793E0,-6.377893596E-1
1.419024583E-1,-3.833407977E0,-9.007304760E0,-6.399648162E-1
1.519474583E-1,-3.833980419E0,-9.006927030E0,-6.418684503E-1
1.619914583E-1,-3.835107178E0,-9.006384408E0,-6.427179046E-1
1.720354583E-1,-3.837144348E0,-9.005611407E0,-6.413900019E-1
1.820794583E-1,-3.839920606E0,-9.004732570E0,-6.371017271E-1
1.921234583E-1,-3.843351167E0,-9.003775381E0,-6.299057780E-1
2.021674583E-1,-3.847289559E0,-9.002762643E0,-6.202688357E-1
2.122114583E-1,-3.852140702E0,-9.001482688E0,-6.086292952E-1
2.222554583E-1,-3.857907811E0,-8.999860085E0,-5.959577941E-1
2.322994583E-1,-3.863897114E0,-8.998155037E0,-5.827679740E-1
2.423434583E-1,-3.869271582E0,-8.996696157E0,-5.694639504E-1
2.523874583E-1,-3.873360832E0,-8.995737798E0,-5.566824486E-1
2.624314583E-1,-3.876121010E0,-8.995243124E0,-5.453307007E-1
2.724754583E-1,-3.877301271E0,-8.995306858E0,-5.358184868E-1
2.825194583E-1,-3.876602821E0,-8.996062903E0,-5.281331989E-1
2.925634583E-1,-3.873670442E0,-8.997697785E0,-5.217527537E-1
3.026084583E-1,-3.868345383E0,-9.000291610E0,-5.164720602E-1
3.126524583E-1,-3.860447841E0,-9.003908113E0,-5.125245683E-1
3.226964583E-1,-3.851301334E0,-9.007969589E0,-5.099515742E-1
3.327404583E-1,-3.841205239E0,-9.012342721E0,-5.088524073E-1
3.427844583E-1,-3.830203410E0,-9.016947988E0,-5.102032603E-1
3.528284583E-1,-3.817192771E0,-9.021903504E0,-5.200170808E-1
3.628724583E-1,-3.800585509E0,-9.027313932E0,-5.470347620E-1
3.729164583E-1,-3.780388349E0,-9.032770554E0,-5.948246768E-1
3.829604583E-1,-3.758258684E0,-9.037627836E0,-6.579477087E-1
3.930044583E-1,-3.736893251E0,-9.041257203E0,-7.262212604E-1
4.030484583E-1,-3.716982604E0,-9.044030537E0,-7.909747884E-1
4.130924583E-1,-3.696712646E0,-9.047094478E0,-8.488339374E-1
4.231364583E-1,-3.674920366E0,-9.050923820E0,-9.010361246E-1
4.331804583E-1,-3.652253050E0,-9.055054293E0,-9.503503720E-1
4.432244583E-1,-3.630509301E0,-9.058519937E0,-9.993470424E-1
4.532694583E-1,-3.611605838E0,-9.060560616E0,-1.048159306E0
4.633134583E-1,-3.597383071E0,-9.060951210E0,-1.092739063E0
4.733574583E-1,-3.589369754E0,-9.060215630E0,-1.124728011E0
4.834014583E-1,-3.591519775E0,-9.058803527E0,-1.129218891E0
4.934454583E-1,-3.606894444E0,-9.057100818E0,-1.093306462E0
5.034894583E-1,-3.630788506E0,-9.056002711E0,-1.020923195E0
5.135334583E-1,-3.660741161E0,-9.054156745E0,-9.259134690E-1
5.235774583E-1,-3.696098981E0,-9.049616967E0,-8.242384288E-1
5.336214583E-1,-3.736111186E0,-9.041474719E0,-7.275391497E-1
5.436654583E-1,-3.780460562E0,-9.029567449E0,-6.412097615E-1
5.537094583E-1,-3.828618815E0,-9.014236050E0,-5.668574809E-1
5.637534583E-1,-3.879608582E0,-8.996324859E0,-5.008727852E-1
5.737974583E-1,-3.932388766E0,-8.976825564E0,-4.347898562E-1
5.838414583E-1,-3.988216812E0,-8.955501938E0,-3.594776455E-1
5.938854583E-1,-4.054366363E0,-8.929098836E0,-2.634320852E-1
6.039304583E-1,-4.145361902E0,-8.890158134E0,-1.309573207E-1
6.139744583E-1,-4.274350602E0,-8.829731253E0,4.316010771E-2
6.240184583E-1,-4.437853078E0,-8.745707933E0,2.327066480E-1
6.340624583E-1,-4.630218287E0,-8.639082786E0,4.042803274E-1
6.441064583E-1,-4.835407316E0,-8.518778079E0,5.341780870E-1
6.541504583E-1,-5.037222503E0,-8.396462513E0,6.015727657E-1
6.641944583E-1,-5.237753348E0,-8.272338404E0,6.086561193E-1
6.742384583E-1,-5.440899069E0,-8.142378774E0,5.782461759E-1
6.842824583E-1,-5.638438479E0,-8.009456359E0,5.410423161E-1
6.943264583E-1,-5.816634715E0,-7.881775973E0,5.296120328E-1
7.043704583E-1,-5.973886224E0,-7.761639081E0,5.529455296E-1
7.144144583E-1,-6.112219652E0,-7.649245656E0,6.049341838E-1
7.244584583E-1,-6.238391456E0,-7.541280327E0,6.690748139E-1
7.345024583E-1,-6.355671984E0,-7.436645572E0,7.333874618E-1
7.445464583E-1,-6.463851905E0,-7.335932545E0,7.992620471E-1
7.545914583E-1,-6.562053553E0,-7.240062182E0,8.700760679E-1
7.646354583E-1,-6.651205466E0,-7.149087692E0,9.423952351E-1
7.746794583E-1,-6.731776004E0,-7.063532987E0,1.012806821E0
7.847234583E-1,-6.803453513E0,-6.984161713E0,1.081946126E0
7.947674583E-1,-6.866107598E0,-6.911252196E0,1.152071711E0
8.048114583E-1,-6.918831941E0,-6.846110705E0,1.223365422E0
8.148554583E-1,-6.961765707E0,-6.789507903E0,1.293244473E0
8.248994583E-1,-6.995606468E0,-6.742258893E0,1.356287837E0
8.349434583E-1,-7.022682585E0,-6.703569621E0,1.407193843E0
8.449874583E-1,-7.046726920E0,-6.670396028E0,1.444146345E0
8.550314583E-1,-7.072299718E0,-6.638167929E0,1.467449254E0
8.650754583E-1,-7.102207641E0,-6.603634273E0,1.478765516E0
8.751194583E-1,-7.134421121E0,-6.568860297E0,1.478578698E0
8.851634583E-1,-7.163426819E0,-6.539558730E0,1.468187757E0
8.952074583E-1,-7.184744598E0,-6.519843673E0,1.451611924E0
9.052524583E-1,-7.196044927E0,-6.511173422E0,1.434457509E0
9.152964583E-1,-7.196282909E0,-6.513232226E0,1.423870832E0
9.253404583E-1,-7.185295991E0,-6.525109676E0,1.424982827E0
9.353844583E-1,-7.162892969E0,-6.546670114E0,1.438811053E0
9.454284583E-1,-7.129817609E0,-6.577236434E0,1.463471393E0
9.554724583E-1,-7.088191865E0,-6.615180770E0,1.494328904E0
9.655164583E-1,-7.038707464E0,-6.660326537E0,1.527331028E0
9.755604583E-1,-6.979645908E0,-6.714534904E0,1.560659426E0
9.856044583E-1,-6.912871290E0,-6.776669172E0,1.589043565E0
9.956484583E-1,-6.841032983E0,-6.844803268E0,1.607798948E0
1.005692458E0,-6.767506585E0,-6.915496105E0,1.616437332E0
1.015736458E0,-6.696414968E0,-6.983830760E0,1.618711752E0
1.025780458E0,-6.629694729E0,-7.046880702E0,1.620096081E0
1.035824458E0,-6.568652136E0,-7.103026836E0,1.623548423E0
1.045869458E0,-6.516111395E0,-7.150445416E0,1.627125896E0
1.055913458E0,-6.473546589E0,-7.189375593E0,1.625481074E0
1.065957208E0,-6.440569462E0,-7.221811268E0,1.612639419E0
1.076001208E0,-6.412715666E0,-7.252272922E0,1.586725582E0
1.086045208E0,-6.383058003E0,-7.285737707E0,1.552642601E0
1.096089208E0,-6.350048717E0,-7.322131947E0,1.516367498E0
1.106133208E0,-6.314970685E0,-7.360014303E0,1.478997358E0
1.116177208E0,-6.277500558E0,-7.400164209E0,1.437592640E0
1.126221208E0,-6.237730136E0,-7.443461087E0,1.386264173E0
1.136265208E0,-6.196339450E0,-7.490356341E0,1.317591402E0
1.146309208E0,-6.153195185E0,-7.540954052E0,1.228132365E0
1.156353208E0,-6.112904946E0,-7.590296366E0,1.120670993E0
1.166397208E0,-6.089485093E0,-7.625994787E0,9.992390882E-1
1.176441208E0,-6.101954280E0,-7.633669842E0,8.540207101E-1
1.186485208E0,-6.138918623E0,-7.623058316E0,6.623954663E-1
1.196530208E0,-6.168824793E0,-7.613258382E0,4.690283736E-1
1.206574208E0,-6.186417310E0,-7.604599825E0,3.666402654E-1
1.216618208E0,-6.183658009E0,-7.605838850E0,3.869031700E-1
1.226662208E0,-6.152464283E0,-7.626228676E0,4.731966344E-1
1.236706208E0,-6.094407279E0,-7.671313047E0,4.952203183E-1
1.246750208E0,-6.013666586E0,-7.739510293E0,4.145967893E-1
1.256794208E0,-5.907741936E0,-7.824737554E0,3.288533286E-1
1.266838208E0,-5.778976892E0,-7.921535870E0,2.979979371E-1
1.276882208E0,-5.637014682E0,-8.021842516E0,3.319821737E-1
1.286926208E0,-5.490132625E0,-8.118936701E0,4.211698637E-1
1.296970208E0,-5.343997257E0,-8.208203219E0,5.506314940E-1
1.307014208E0,-5.202426226E0,-8.287496726E0,6.987735531E-1
1.317058208E0,-5.070867966E0,-8.357131802E0,8.250709261E-1
1.327102208E0,-4.953878630E0,-8.420133212E0,8.924899804E-1
1.337146208E0,-4.850756842E0,-8.477982640E0,9.110852225E-1
1.347191208E0,-4.758671966E0,-8.530161438E0,9.096597444E-1
1.357235208E0,-4.673533583E0,-8.577841973E0,9.026669861E-1
1.367279208E0,-4.591956154E0,-8.622940963E0,8.915943331E-1
1.377323208E0,-4.511869765E0,-8.666854722E0,8.745137391E-1
1.387367208E0,-4.432923290E0,-8.709994310E0,8.493057346E-1
1.397411208E0,-4.356091461E0,-8.752012401E0,8.141581213E-1
1.407455208E0,-4.283384551E0,-8.792085124E0,7.667885848E-1
1.417499208E0,-4.217314814E0,-8.829049467E0,7.058711958E-1
1.427543208E0,-4.158900545E0,-8.862347606E0,6.312133616E-1
1.437587208E0,-4.107008553E0,-8.892197058E0,5.453701694E-1
1.447631208E0,-4.060206854E0,-8.918869717E0,4.523497391E-1
1.457675208E0,-4.017840561E0,-8.942408853E0,3.555254393E-1
1.467719208E0,-3.979440141E0,-8.962926732E0,2.571630843E-1
1.477763208E0,-3.943925908E0,-8.980895226E0,1.583112624E-1
1.487808208E0,-3.909788401E0,-8.997008983E0,5.913031090E-2
1.497852208E0,-3.876383258E0,-9.011551593E0,-4.110131679E-2
1.507896208E0,-3.845646199E0,-9.023624339E0,-1.459501937E-1
1.517940208E0,-3.819541890E0,-9.032098709E0,-2.615444578E-1
1.527984208E0,-3.795754832E0,-9.037448326E0,-3.910209254E-1
1.538028208E0,-3.769022531E0,-9.041410400E0,-5.324032012E-1
