"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.133074996E-2,-1.599969715E-2,-1.390362158E-2,-1.256076992E-2
2.137474995E-2,-1.148936804E-2,-1.522454992E-2,-1.445907168E-2
3.141874995E-2,-6.421430968E-3,-1.014904119E-2,-1.362437382E-2
4.146275000E-2,-5.044310354E-3,-1.985120587E-3,-1.127093844E-2
5.150674999E-2,-5.237163976E-3,5.245102104E-3,-8.603342809E-3
6.155045831E-2,-6.826538593E-3,4.943898879E-3,-9.625997394E-3
7.159445831E-2,-1.604421251E-2,5.412250757E-4,-6.521565840E-3
8.163845830E-2,-2.223259956E-2,-8.499940857E-3,-6.368434057E-3
9.168245830E-2,-3.000136837E-2,-1.666564122E-2,-3.978807479E-3
1.017264583E-1,-3.445071355E-2,-2.496378496E-2,-3.466414986E-3
1.117704583E-1,-3.009543754E-2,-1.686890423E-2,-1.505246852E-3
1.218144583E-1,-2.104601637E-2,7.555745542E-3,5.155318882E-3
1.318584583E-1,-6.410556380E-3,3.961428627E-2,9.828039445E-3
1.419024583E-1,5.827201065E-3,6.730610132E-2,9.545478038E-3
1.519474583E-1,2.322545461E-2,9.212710708E-2,1.405772194E-2
1.619914583E-1,4.300368950E-2,1.000939533E-1,2.483713254E-2
1.720354583E-1,6.973002106E-2,8.930964023E-2,3.312945366E-2
1.820794583E-1,9.367903322E-2,6.860383600E-2,3.939640522E-2
1.921234583E-1,1.164489463E-1,5.244975165E-2,4.418030009E-2
2.021674583E-1,1.372370571E-1,4.005273432E-2,5.028373376E-2
2.122114583E-1,1.541836262E-1,4.521915689E-2,6.245103478E-2
2.222554583E-1,1.704510003E-1,6.098293886E-2,7.011561096E-2
2.322994583E-1,1.844219118E-1,8.967317641E-2,6.918048114E-2
2.423434583E-1,1.992828846E-1,1.258263886E-1,6.118514389E-2
2.523874583E-1,2.090620100E-1,1.691128761E-1,4.762246087E-2
2.624314583E-1,2.067642957E-1,2.137265652E-1,3.509908915E-2
2.724754583E-1,2.032538205E-1,2.517668009E-1,1.735110022E-2
2.825194583E-1,1.935244948E-1,2.713303566E-1,-3.508640220E-3
2.925634583E-1,1.777428985E-1,2.653273642E-1,-3.025185876E-2
3.026084583E-1,1.528729796E-1,2.343401760E-1,-6.144413352E-2
3.126524583E-1,1.156420559E-1,1.862631738E-1,-8.541665971E-2
